source_text,target_text
000100000006000400000002:00010000000700040400003f00|00020000000600060000000b:00020000000600060000000b|000300000006000300000001:000300000005000302000b|00040000000a00becefc87968d4860ca:000400000003003e01|0005000000060001001d0001:000500000003008102|000600000006000300000001:000600000005000302000b|000700000006000400000002:000700000007000404fee83f7f|00080000000a00511606bce3f4158781:00080000000300d101|000900000006000600000019:,000900000006000600000019
00020000000600060000000b:00020000000600060000000b|000300000006000300000001:000300000005000302000b|00040000000a00becefc87968d4860ca:000400000003003e01|0005000000060001001d0001:000500000003008102|000600000006000300000001:000600000005000302000b|000700000006000400000002:000700000007000404fee83f7f|00080000000a00511606bce3f4158781:00080000000300d101|000900000006000600000019:000900000006000600000019|000a00000006000200010001:,000a00000003008202
000300000006000300000001:000300000005000302000b|00040000000a00becefc87968d4860ca:000400000003003e01|0005000000060001001d0001:000500000003008102|000600000006000300000001:000600000005000302000b|000700000006000400000002:000700000007000404fee83f7f|00080000000a00511606bce3f4158781:00080000000300d101|000900000006000600000019:000900000006000600000019|000a00000006000200010001:000a00000003008202|000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:,000b00000003005501
00040000000a00becefc87968d4860ca:000400000003003e01|0005000000060001001d0001:000500000003008102|000600000006000300000001:000600000005000302000b|000700000006000400000002:000700000007000404fee83f7f|00080000000a00511606bce3f4158781:00080000000300d101|000900000006000600000019:000900000006000600000019|000a00000006000200010001:000a00000003008202|000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:000b00000003005501|000c00000006000600000002:,000c00000006000600000002
0005000000060001001d0001:000500000003008102|000600000006000300000001:000600000005000302000b|000700000006000400000002:000700000007000404fee83f7f|00080000000a00511606bce3f4158781:00080000000300d101|000900000006000600000019:000900000006000600000019|000a00000006000200010001:000a00000003008202|000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:000b00000003005501|000c00000006000600000002:000c00000006000600000002|000d00000006000300000001:,000d000000050003020002
000600000006000300000001:000600000005000302000b|000700000006000400000002:000700000007000404fee83f7f|00080000000a00511606bce3f4158781:00080000000300d101|000900000006000600000019:000900000006000600000019|000a00000006000200010001:000a00000003008202|000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:000b00000003005501|000c00000006000600000002:000c00000006000600000002|000d00000006000300000001:000d000000050003020002|000e000000060005002c0000:,000e00000003008502
000700000006000400000002:000700000007000404fee83f7f|00080000000a00511606bce3f4158781:00080000000300d101|000900000006000600000019:000900000006000600000019|000a00000006000200010001:000a00000003008202|000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:000b00000003005501|000c00000006000600000002:000c00000006000600000002|000d00000006000300000001:000d000000050003020002|000e000000060005002c0000:000e00000003008502|000f00000006000400000002:,000f000000070004047bea3f61
00080000000a00511606bce3f4158781:00080000000300d101|000900000006000600000019:000900000006000600000019|000a00000006000200010001:000a00000003008202|000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:000b00000003005501|000c00000006000600000002:000c00000006000600000002|000d00000006000300000001:000d000000050003020002|000e000000060005002c0000:000e00000003008502|000f00000006000400000002:000f000000070004047bea3f61|001000000006000300000001:,0010000000050003020002
000900000006000600000019:000900000006000600000019|000a00000006000200010001:000a00000003008202|000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:000b00000003005501|000c00000006000600000002:000c00000006000600000002|000d00000006000300000001:000d000000050003020002|000e000000060005002c0000:000e00000003008502|000f00000006000400000002:000f000000070004047bea3f61|001000000006000300000001:0010000000050003020002|00110000000a008dc1bcdff48503bcce:,001100000003000d01
000a00000006000200010001:000a00000003008202|000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:000b00000003005501|000c00000006000600000002:000c00000006000600000002|000d00000006000300000001:000d000000050003020002|000e000000060005002c0000:000e00000003008502|000f00000006000400000002:000f000000070004047bea3f61|001000000006000300000001:0010000000050003020002|00110000000a008dc1bcdff48503bcce:001100000003000d01|001200000006000400000002:,0012000000070004047bea3f61
000b0000001a00d54537fa10f0bc5855ed26ac75bcf91f79e371a7d79b7994cc:000b00000003005501|000c00000006000600000002:000c00000006000600000002|000d00000006000300000001:000d000000050003020002|000e000000060005002c0000:000e00000003008502|000f00000006000400000002:000f000000070004047bea3f61|001000000006000300000001:0010000000050003020002|00110000000a008dc1bcdff48503bcce:001100000003000d01|001200000006000400000002:0012000000070004047bea3f61|001300000006000300280001:,001300000003008302
000c00000006000600000002:000c00000006000600000002|000d00000006000300000001:000d000000050003020002|000e000000060005002c0000:000e00000003008502|000f00000006000400000002:000f000000070004047bea3f61|001000000006000300000001:0010000000050003020002|00110000000a008dc1bcdff48503bcce:001100000003000d01|001200000006000400000002:0012000000070004047bea3f61|001300000006000300280001:001300000003008302|001400000006000600000008:,001400000006000600000008
000d00000006000300000001:000d000000050003020002|000e000000060005002c0000:000e00000003008502|000f00000006000400000002:000f000000070004047bea3f61|001000000006000300000001:0010000000050003020002|00110000000a008dc1bcdff48503bcce:001100000003000d01|001200000006000400000002:0012000000070004047bea3f61|001300000006000300280001:001300000003008302|001400000006000600000008:001400000006000600000008|001500000006000400000002:,001500000007000404ea063f7f
000e000000060005002c0000:000e00000003008502|000f00000006000400000002:000f000000070004047bea3f61|001000000006000300000001:0010000000050003020002|00110000000a008dc1bcdff48503bcce:001100000003000d01|001200000006000400000002:0012000000070004047bea3f61|001300000006000300280001:001300000003008302|001400000006000600000008:001400000006000600000008|001500000006000400000002:001500000007000404ea063f7f|00160000001200a3d3ac6171b292b5695e77999785d681fb:,001600000003002301
