source_text,target_text
-10.0,0.0
-9.7862,0.0001
-9.7102,0.0001
-9.4256,0.0001
-9.3629,0.0001
-9.2538,0.0001
-9.2483,0.0001
-9.2243,0.0001
-8.8509,0.0001
-8.7037,0.0002
-8.6868,0.0002
-8.6225,0.0002
-8.5658,0.0002
-8.548,0.0002
-8.5385,0.0002
-8.3657,0.0002
-8.1946,0.0003
-8.1938,0.0003
-8.0835,0.0003
-7.9951,0.0003
-7.9487,0.0004
-7.9262,0.0004
-7.8321,0.0004
-7.7823,0.0004
-7.6178,0.0005
-7.5399,0.0005
-7.4262,0.0006
-7.2054,0.0007
-7.2034,0.0007
-7.1392,0.0008
-7.0876,0.0008
-7.0571,0.0009
-6.7699,0.0011
-6.7474,0.0012
-6.6767,0.0013
-6.6406,0.0013
-6.5737,0.0014
-6.5728,0.0014
-6.5039,0.0015
-6.4175,0.0016
-6.3963,0.0017
-6.3646,0.0017
-6.3621,0.0017
-6.3215,0.0018
-6.1292,0.0022
-6.0259,0.0024
-5.9742,0.0025
-5.812,0.003
-5.7765,0.0031
-5.765,0.0031
-5.6874,0.0034
-5.6796,0.0034
-5.6665,0.0034
-5.6347,0.0036
-5.6325,0.0036
-5.6187,0.0036
-5.5928,0.0037
-5.5845,0.0037
-5.5791,0.0038
-5.5696,0.0038
-5.5612,0.0038
-5.533,0.0039
-5.5312,0.0039
-5.4922,0.0041
-5.4445,0.0043
-5.3875,0.0046
-5.3824,0.0046
-5.2943,0.005
-5.2151,0.0054
-5.2104,0.0054
-5.1599,0.0057
-5.1486,0.0058
-5.0814,0.0062
-5.0142,0.0066
-5.0072,0.0066
-4.945,0.0071
-4.9371,0.0071
-4.9321,0.0072
-4.8692,0.0076
-4.8408,0.0078
-4.8221,0.008
-4.8119,0.0081
-4.7269,0.0088
-4.7264,0.0088
-4.7261,0.0088
-4.6907,0.0091
-4.5742,0.0102
-4.5637,0.0103
-4.5541,0.0104
-4.5391,0.0106
-4.5359,0.0106
-4.5281,0.0107
-4.5112,0.0109
-4.4837,0.0112
-4.4691,0.0113
-4.4435,0.0116
-4.4416,0.0116
-4.4382,0.0117
-4.4234,0.0119
-4.4213,0.0119
-4.3873,0.0123
-4.3853,0.0123
-4.3683,0.0125
-4.3561,0.0127
-4.3389,0.0129
-4.322,0.0131
-4.3085,0.0133
-4.3054,0.0133
-4.3044,0.0133
-4.3026,0.0134
-4.3025,0.0134
-4.2963,0.0134
-4.269,0.0138
-4.2301,0.0143
-4.2012,0.0148
-4.1993,0.0148
-4.1846,0.015
-4.1704,0.0152
-4.1643,0.0153
-4.1356,0.0157
-4.1241,0.0159
-4.1181,0.016
-4.0961,0.0164
-4.0915,0.0164
-4.0812,0.0166
-4.0734,0.0167
-4.0605,0.0169
-4.0559,0.017
-4.0496,0.0171
-4.0472,0.0172
-4.0029,0.0179
-3.9787,0.0184
-3.9284,0.0193
-3.9147,0.0196
-3.9104,0.0196
-3.8916,0.02
-3.8906,0.02
-3.8693,0.0204
-3.8552,0.0207
-3.8493,0.0209
-3.8372,0.0211
-3.8299,0.0213
-3.8248,0.0214
-3.815,0.0216
-3.8032,0.0218
-3.801,0.0219
-3.7949,0.022
-3.7853,0.0222
-3.7821,0.0223
-3.7741,0.0224
-3.7711,0.0225
-3.767,0.0226
-3.7601,0.0228
-3.7504,0.023
-3.7439,0.0231
-3.7436,0.0231
-3.7412,0.0232
-3.7361,0.0233
-3.7193,0.0237
-3.7168,0.0237
-3.7134,0.0238
-3.7049,0.024
-3.6957,0.0242
-3.695,0.0242
-3.6875,0.0244
-3.6836,0.0245
-3.6836,0.0245
-3.6734,0.0248
-3.6589,0.0251
-3.6461,0.0254
-3.6458,0.0254
-3.6431,0.0255
-3.6352,0.0257
-3.6279,0.0259
-3.5741,0.0273
-3.574,0.0273
-3.5696,0.0274
-3.542,0.0281
-3.5396,0.0282
-3.5381,0.0282
-3.5319,0.0284
-3.5271,0.0286
-3.5263,0.0286
-3.5206,0.0287
-3.5193,0.0288
