source_text,target_text
-10.0,0.0
-9.975,0.0
-9.9499,0.0
-9.9249,0.0
-9.8999,0.0001
-9.8748,0.0001
-9.8498,0.0001
-9.8248,0.0001
-9.7997,0.0001
-9.7747,0.0001
-9.7497,0.0001
-9.7247,0.0001
-9.6996,0.0001
-9.6746,0.0001
-9.6496,0.0001
-9.6245,0.0001
-9.5995,0.0001
-9.5745,0.0001
-9.5494,0.0001
-9.5244,0.0001
-9.4994,0.0001
-9.4743,0.0001
-9.4493,0.0001
-9.4243,0.0001
-9.3992,0.0001
-9.3742,0.0001
-9.3492,0.0001
-9.3242,0.0001
-9.2991,0.0001
-9.2741,0.0001
-9.2491,0.0001
-9.224,0.0001
-9.199,0.0001
-9.174,0.0001
-9.1489,0.0001
-9.1239,0.0001
-9.0989,0.0001
-9.0738,0.0001
-9.0488,0.0001
-9.0238,0.0001
-8.9987,0.0001
-8.9737,0.0001
-8.9487,0.0001
-8.9237,0.0001
-8.8986,0.0001
-8.8736,0.0001
-8.8486,0.0001
-8.8235,0.0001
-8.7985,0.0002
-8.7735,0.0002
-8.7484,0.0002
-8.7234,0.0002
-8.6984,0.0002
-8.6733,0.0002
-8.6483,0.0002
-8.6233,0.0002
-8.5982,0.0002
-8.5732,0.0002
-8.5482,0.0002
-8.5232,0.0002
-8.4981,0.0002
-8.4731,0.0002
-8.4481,0.0002
-8.423,0.0002
-8.398,0.0002
-8.373,0.0002
-8.3479,0.0002
-8.3229,0.0002
-8.2979,0.0002
-8.2728,0.0003
-8.2478,0.0003
-8.2228,0.0003
-8.1977,0.0003
-8.1727,0.0003
-8.1477,0.0003
-8.1227,0.0003
-8.0976,0.0003
-8.0726,0.0003
-8.0476,0.0003
-8.0225,0.0003
-7.9975,0.0003
-7.9725,0.0003
-7.9474,0.0004
-7.9224,0.0004
-7.8974,0.0004
-7.8723,0.0004
-7.8473,0.0004
-7.8223,0.0004
-7.7972,0.0004
-7.7722,0.0004
-7.7472,0.0004
-7.7222,0.0004
-7.6971,0.0005
-7.6721,0.0005
-7.6471,0.0005
-7.622,0.0005
-7.597,0.0005
-7.572,0.0005
-7.5469,0.0005
-7.5219,0.0005
-7.4969,0.0006
-7.4718,0.0006
-7.4468,0.0006
-7.4218,0.0006
-7.3967,0.0006
-7.3717,0.0006
-7.3467,0.0006
-7.3217,0.0007
-7.2966,0.0007
-7.2716,0.0007
-7.2466,0.0007
-7.2215,0.0007
-7.1965,0.0007
-7.1715,0.0008
-7.1464,0.0008
-7.1214,0.0008
-7.0964,0.0008
-7.0713,0.0008
-7.0463,0.0009
-7.0213,0.0009
-6.9962,0.0009
-6.9712,0.0009
-6.9462,0.001
-6.9212,0.001
-6.8961,0.001
-6.8711,0.001
-6.8461,0.0011
-6.821,0.0011
-6.796,0.0011
-6.771,0.0011
-6.7459,0.0012
-6.7209,0.0012
-6.6959,0.0012
-6.6708,0.0013
-6.6458,0.0013
-6.6208,0.0013
-6.5957,0.0014
-6.5707,0.0014
-6.5457,0.0014
-6.5207,0.0015
-6.4956,0.0015
-6.4706,0.0015
-6.4456,0.0016
-6.4205,0.0016
-6.3955,0.0017
-6.3705,0.0017
-6.3454,0.0018
-6.3204,0.0018
-6.2954,0.0018
-6.2703,0.0019
-6.2453,0.0019
-6.2203,0.002
-6.1952,0.002
-6.1702,0.0021
-6.1452,0.0021
-6.1202,0.0022
-6.0951,0.0022
-6.0701,0.0023
-6.0451,0.0024
-6.02,0.0024
-5.995,0.0025
-5.97,0.0025
-5.9449,0.0026
-5.9199,0.0027
-5.8949,0.0027
-5.8698,0.0028
-5.8448,0.0029
-5.8198,0.003
-5.7947,0.003
-5.7697,0.0031
-5.7447,0.0032
-5.7196,0.0033
-5.6946,0.0034
-5.6696,0.0034
-5.6446,0.0035
-5.6195,0.0036
-5.5945,0.0037
-5.5695,0.0038
-5.5444,0.0039
-5.5194,0.004
-5.4944,0.0041
-5.4693,0.0042
-5.4443,0.0043
-5.4193,0.0044
-5.3942,0.0045
-5.3692,0.0046
-5.3442,0.0048
-5.3191,0.0049
-5.2941,0.005
-5.2691,0.0051
-5.2441,0.0053
-5.219,0.0054
-5.194,0.0055
-5.169,0.0057
-5.1439,0.0058
-5.1189,0.0059
-5.0939,0.0061
-5.0688,0.0063
-5.0438,0.0064
-5.0188,0.0066
-4.9937,0.0067
-4.9687,0.0069
-4.9437,0.0071
-4.9186,0.0073
-4.8936,0.0074
-4.8686,0.0076
-4.8436,0.0078
-4.8185,0.008
-4.7935,0.0082
-4.7685,0.0084
-4.7434,0.0086
-4.7184,0.0089
-4.6934,0.0091
-4.6683,0.0093
-4.6433,0.0095
-4.6183,0.0098
-4.5932,0.01
-4.5682,0.0103
-4.5432,0.0105
-4.5181,0.0108
-4.4931,0.0111
-4.4681,0.0113
-4.4431,0.0116
-4.418,0.0119
-4.393,0.0122
-4.368,0.0125
-4.3429,0.0128
-4.3179,0.0132
-4.2929,0.0135
-4.2678,0.0138
-4.2428,0.0142
-4.2178,0.0145
-4.1927,0.0149
-4.1677,0.0153
-4.1427,0.0156
-4.1176,0.016
-4.0926,0.0164
-4.0676,0.0168
-4.0426,0.0172
-4.0175,0.0177
-3.9925,0.0181
-3.9675,0.0186
-3.9424,0.019
-3.9174,0.0195
-3.8924,0.02
-3.8673,0.0205
-3.8423,0.021
-3.8173,0.0215
-3.7922,0.022
-3.7672,0.0226
-3.7422,0.0232
-3.7171,0.0237
-3.6921,0.0243
-3.6671,0.0249
-3.6421,0.0255
-3.617,0.0262
-3.592,0.0268
-3.567,0.0275
-3.5419,0.0281
-3.5169,0.0288
-3.4919,0.0295
-3.4668,0.0303
-3.4418,0.031
-3.4168,0.0318
-3.3917,0.0326
-3.3667,0.0334
-3.3417,0.0342
-3.3166,0.035
-3.2916,0.0359
-3.2666,0.0367
-3.2416,0.0376
-3.2165,0.0385
-3.1915,0.0395
-3.1665,0.0404
-3.1414,0.0414
-3.1164,0.0424
-3.0914,0.0435
-3.0663,0.0445
-3.0413,0.0456
-3.0163,0.0467
-2.9912,0.0478
-2.9662,0.049
-2.9412,0.0502
-2.9161,0.0514
-2.8911,0.0526
-2.8661,0.0539
-2.8411,0.0551
-2.816,0.0565
-2.791,0.0578
-2.766,0.0592
-2.7409,0.0606
-2.7159,0.062
-2.6909,0.0635
-2.6658,0.065
-2.6408,0.0666
-2.6158,0.0681
-2.5907,0.0697
-2.5657,0.0714
-2.5407,0.0731
-2.5156,0.0748
-2.4906,0.0765
-2.4656,0.0783
-2.4406,0.0801
-2.4155,0.082
-2.3905,0.0839
-2.3655,0.0858
-2.3404,0.0878
-2.3154,0.0899
-2.2904,0.0919
-2.2653,0.094
-2.2403,0.0962
-2.2153,0.0984
-2.1902,0.1006
-2.1652,0.1029
-2.1402,0.1053
-2.1151,0.1076
-2.0901,0.1101
-2.0651,0.1125
-2.0401,0.1151
-2.015,0.1176
-1.99,0.1203
-1.965,0.1229
-1.9399,0.1257
-1.9149,0.1284
-1.8899,0.1313
-1.8648,0.1341
-1.8398,0.1371
-1.8148,0.1401
-1.7897,0.1431
-1.7647,0.1462
-1.7397,0.1494
-1.7146,0.1526
-1.6896,0.1558
-1.6646,0.1591
-1.6395,0.1625
-1.6145,0.166
-1.5895,0.1695
-1.5645,0.173
-1.5394,0.1766
-1.5144,0.1803
-1.4894,0.184
-1.4643,0.1878
-1.4393,0.1917
-1.4143,0.1956
-1.3892,0.1995
-1.3642,0.2036
-1.3392,0.2076
-1.3141,0.2118
-1.2891,0.216
-1.2641,0.2203
-1.239,0.2246
-1.214,0.229
-1.189,0.2334
-1.164,0.2379
-1.1389,0.2425
-1.1139,0.2471
-1.0889,0.2518
-1.0638,0.2566
-1.0388,0.2614
-1.0138,0.2662
-0.9887,0.2712
-0.9637,0.2761
-0.9387,0.2812
-0.9136,0.2863
-0.8886,0.2914
-0.8636,0.2966
-0.8385,0.3019
-0.8135,0.3071
-0.7885,0.3125
-0.7635,0.3179
-0.7384,0.3234
-0.7134,0.3288
-0.6884,0.3344
-0.6633,0.34
-0.6383,0.3456
-0.6133,0.3513
-0.5882,0.357
-0.5632,0.3628
-0.5382,0.3686
-0.5131,0.3745
-0.4881,0.3803
-0.4631,0.3863
-0.438,0.3922
-0.413,0.3982
-0.388,0.4042
-0.363,0.4102
-0.3379,0.4163
-0.3129,0.4224
-0.2879,0.4285
-0.2628,0.4347
-0.2378,0.4408
-0.2128,0.447
-0.1877,0.4532
-0.1627,0.4594
-0.1377,0.4656
-0.1126,0.4719
-0.0876,0.4781
-0.0626,0.4844
-0.0375,0.4906
-0.0125,0.4969
0.0125,0.5031
0.0375,0.5094
0.0626,0.5156
0.0876,0.5219
0.1126,0.5281
0.1377,0.5344
0.1627,0.5406
0.1877,0.5468
0.2128,0.553
0.2378,0.5592
0.2628,0.5653
0.2879,0.5715
0.3129,0.5776
0.3379,0.5837
0.363,0.5898
0.388,0.5958
0.413,0.6018
0.438,0.6078
0.4631,0.6137
0.4881,0.6197
0.5131,0.6255
0.5382,0.6314
0.5632,0.6372
0.5882,0.643
0.6133,0.6487
0.6383,0.6544
0.6633,0.66
0.6884,0.6656
0.7134,0.6712
0.7384,0.6766
0.7635,0.6821
0.7885,0.6875
0.8135,0.6929
0.8385,0.6981
0.8636,0.7034
0.8886,0.7086
0.9136,0.7137
0.9387,0.7188
0.9637,0.7239
0.9887,0.7288
1.0138,0.7338
1.0388,0.7386
1.0638,0.7434
1.0889,0.7482
1.1139,0.7529
1.1389,0.7575
1.164,0.7621
1.189,0.7666
1.214,0.771
1.239,0.7754
1.2641,0.7797
1.2891,0.784
1.3141,0.7882
1.3392,0.7924
1.3642,0.7964
1.3892,0.8005
1.4143,0.8044
1.4393,0.8083
1.4643,0.8122
1.4894,0.816
1.5144,0.8197
1.5394,0.8234
1.5645,0.827
1.5895,0.8305
1.6145,0.834
1.6395,0.8375
1.6646,0.8409
1.6896,0.8442
1.7146,0.8474
1.7397,0.8506
1.7647,0.8538
1.7897,0.8569
1.8148,0.8599
1.8398,0.8629
1.8648,0.8659
1.8899,0.8687
1.9149,0.8716
1.9399,0.8743
1.965,0.8771
1.99,0.8797
2.015,0.8824
2.0401,0.8849
2.0651,0.8875
2.0901,0.8899
2.1151,0.8924
2.1402,0.8947
2.1652,0.8971
2.1902,0.8994
2.2153,0.9016
2.2403,0.9038
2.2653,0.906
2.2904,0.9081
2.3154,0.9101
2.3404,0.9122
2.3655,0.9142
2.3905,0.9161
2.4155,0.918
2.4406,0.9199
2.4656,0.9217
2.4906,0.9235
2.5156,0.9252
2.5407,0.9269
2.5657,0.9286
2.5907,0.9303
2.6158,0.9319
2.6408,0.9334
2.6658,0.935
2.6909,0.9365
2.7159,0.938
2.7409,0.9394
2.766,0.9408
2.791,0.9422
2.816,0.9435
2.8411,0.9449
2.8661,0.9461
2.8911,0.9474
2.9161,0.9486
2.9412,0.9498
2.9662,0.951
2.9912,0.9522
3.0163,0.9533
3.0413,0.9544
3.0663,0.9555
3.0914,0.9565
3.1164,0.9576
3.1414,0.9586
3.1665,0.9596
3.1915,0.9605
3.2165,0.9615
3.2416,0.9624
3.2666,0.9633
3.2916,0.9641
3.3166,0.965
3.3417,0.9658
3.3667,0.9666
3.3917,0.9674
3.4168,0.9682
3.4418,0.969
3.4668,0.9697
3.4919,0.9705
3.5169,0.9712
3.5419,0.9719
3.567,0.9725
3.592,0.9732
3.617,0.9738
3.6421,0.9745
3.6671,0.9751
3.6921,0.9757
3.7171,0.9763
3.7422,0.9768
3.7672,0.9774
3.7922,0.978
3.8173,0.9785
3.8423,0.979
3.8673,0.9795
3.8924,0.98
3.9174,0.9805
3.9424,0.981
3.9675,0.9814
3.9925,0.9819
4.0175,0.9823
4.0426,0.9828
4.0676,0.9832
4.0926,0.9836
4.1176,0.984
4.1427,0.9844
4.1677,0.9847
4.1927,0.9851
4.2178,0.9855
4.2428,0.9858
4.2678,0.9862
4.2929,0.9865
4.3179,0.9868
4.3429,0.9872
4.368,0.9875
4.393,0.9878
4.418,0.9881
4.4431,0.9884
4.4681,0.9887
4.4931,0.9889
4.5181,0.9892
4.5432,0.9895
4.5682,0.9897
4.5932,0.99
4.6183,0.9902
4.6433,0.9905
4.6683,0.9907
4.6934,0.9909
4.7184,0.9911
4.7434,0.9914
4.7685,0.9916
4.7935,0.9918
4.8185,0.992
4.8436,0.9922
4.8686,0.9924
4.8936,0.9926
4.9186,0.9927
4.9437,0.9929
4.9687,0.9931
4.9937,0.9933
5.0188,0.9934
5.0438,0.9936
5.0688,0.9937
5.0939,0.9939
5.1189,0.9941
5.1439,0.9942
5.169,0.9943
5.194,0.9945
5.219,0.9946
5.2441,0.9947
5.2691,0.9949
5.2941,0.995
5.3191,0.9951
5.3442,0.9952
5.3692,0.9954
5.3942,0.9955
5.4193,0.9956
5.4443,0.9957
5.4693,0.9958
5.4944,0.9959
5.5194,0.996
5.5444,0.9961
5.5695,0.9962
5.5945,0.9963
5.6195,0.9964
5.6446,0.9965
5.6696,0.9966
5.6946,0.9966
5.7196,0.9967
5.7447,0.9968
5.7697,0.9969
5.7947,0.997
5.8198,0.997
5.8448,0.9971
5.8698,0.9972
5.8949,0.9973
5.9199,0.9973
5.9449,0.9974
5.97,0.9975
5.995,0.9975
6.02,0.9976
6.0451,0.9976
6.0701,0.9977
6.0951,0.9978
6.1202,0.9978
6.1452,0.9979
6.1702,0.9979
6.1952,0.998
6.2203,0.998
6.2453,0.9981
6.2703,0.9981
6.2954,0.9982
6.3204,0.9982
6.3454,0.9982
6.3705,0.9983
6.3955,0.9983
6.4205,0.9984
6.4456,0.9984
6.4706,0.9985
6.4956,0.9985
6.5207,0.9985
6.5457,0.9986
6.5707,0.9986
6.5957,0.9986
6.6208,0.9987
6.6458,0.9987
6.6708,0.9987
6.6959,0.9988
6.7209,0.9988
6.7459,0.9988
6.771,0.9989
6.796,0.9989
6.821,0.9989
6.8461,0.9989
6.8711,0.999
6.8961,0.999
6.9212,0.999
6.9462,0.999
6.9712,0.9991
6.9962,0.9991
7.0213,0.9991
7.0463,0.9991
7.0713,0.9992
7.0964,0.9992
7.1214,0.9992
7.1464,0.9992
7.1715,0.9992
7.1965,0.9993
7.2215,0.9993
7.2466,0.9993
7.2716,0.9993
7.2966,0.9993
7.3217,0.9993
7.3467,0.9994
7.3717,0.9994
7.3967,0.9994
7.4218,0.9994
7.4468,0.9994
7.4718,0.9994
7.4969,0.9994
7.5219,0.9995
7.5469,0.9995
7.572,0.9995
7.597,0.9995
7.622,0.9995
7.6471,0.9995
7.6721,0.9995
7.6971,0.9995
