source_text,target_text
00010000000b001000000002040000c120:000100000006001000000002|000200000006000400000002:,0002000000070004046998383e
00030000000b00100000000204ebeec11f:000300000006001000000002|000400000006000400000002:,0004000000070004045904383f
00050000000b00100000000204d7dcc11f:000500000006001000000002|000600000006000400000002:,000600000007000404499f3840
00070000000b00100000000204c3cac11f:000700000006001000000002|000800000006000400000002:,0008000000070004043b683841
00090000000b00100000000204b021c11f:000900000006001000000002|000a00000006000400000002:,000a0000000700040429673842
000b0000000b001000000002049c0fc11f:000b00000006001000000002|000c00000006000400000002:,000c000000070004041d8b3843
000d0000000b0010000000020487fdc11f:000d00000006001000000002|000e00000006000400000002:,000e0000000700040412e33844
000f0000000b0010000000020473ebc11f:000f00000006001000000002|001000000006000400000002:,001000000007000404096e3845
00110000000b001000000002045fd9c11f:001100000006001000000002|001200000006000400000002:,00120000000700040401303846
00130000000b001000000002044bc7c11f:001300000006001000000002|001400000006000400000002:,001400000007000404fa293846
00150000000b00100000000204381dc11f:001500000006001000000002|001600000006000400000002:,001600000007000404ef473847
00170000000b00100000000204240bc11f:001700000006001000000002|001800000006000400000002:,001800000007000404eaae3848
00190000000b001000000002040ff9c11f:001900000006001000000002|001a00000006000400000002:,001a00000007000404e7513849
001b0000000b00100000000204fbe7c11e:001b00000006001000000002|001c00000006000400000002:,001c00000007000404e531384a
001d0000000b00100000000204e7d5c11e:001d00000006001000000002|001e00000006000400000002:,001e00000007000404e451384b
001f0000000b00100000000204d3c3c11e:001f00000006001000000002|002000000006000400000002:,002000000007000404e4b1384c
00210000000b00100000000204c01ac11e:002100000006001000000002|002200000006000400000002:,002200000007000404e10c384d
00230000000b00100000000204ac08c11e:002300000006001000000002|002400000006000400000002:,002400000007000404e3ec384e
00250000000b0010000000020497f6c11e:002500000006001000000002|002600000006000400000002:,002600000007000404e811384f
00270000000b0010000000020483e4c11e:002700000006001000000002|002800000006000400000002:,002800000007000404ed7e3850
00290000000b001000000002046fd2c11e:002900000006001000000002|002a00000006000400000002:,002a00000007000404f4343851
002b0000000b001000000002045bc0c11e:002b00000006001000000002|002c00000006000400000002:,002c00000007000404fc333852
002d0000000b001000000002044817c11e:002d00000006001000000002|002e00000006000400000002:,002e00000007000404000f3854
002f0000000b001000000002043405c11e:002f00000006001000000002|003000000006000400000002:,0030000000070004040aa13855
00310000000b001000000002041ff3c11e:003100000006001000000002|003200000006000400000002:,00320000000700040416823856
00330000000b001000000002040be1c11e:003300000006001000000002|003400000006000400000002:,00340000000700040423b63857
00350000000b00100000000204f7cfc11d:003500000006001000000002|003600000006000400000002:,00360000000700040432393858
00370000000b00100000000204e3bdc11d:003700000006001000000002|003800000006000400000002:,00380000000700040442123859
00390000000b00100000000204cfabc11d:003900000006001000000002|003a00000006000400000002:,003a000000070004045341385a
003b0000000b00100000000204bc02c11d:003b00000006001000000002|003c00000006000400000002:,003c000000070004046027385b
003d0000000b00100000000204a7f0c11d:003d00000006001000000002|003e00000006000400000002:,003e000000070004047400385c
003f0000000b0010000000020493dec11d:003f00000006001000000002|004000000006000400000002:,0040000000070004048932385d
00410000000b001000000002047fccc11d:004100000006001000000002|004200000006000400000002:,0042000000070004049fc2385e
00430000000b001000000002046bbac11d:004300000006001000000002|004400000006000400000002:,004400000007000404b7af385f
00450000000b0010000000020457a8c11d:004500000006001000000002|004600000006000400000002:,004600000007000404d0fd3860
00470000000b0010000000020443fec11d:004700000006001000000002|004800000006000400000002:,004800000007000404e5f13861
00490000000b001000000002042fecc11d:004900000006001000000002|004a00000006000400000002:,004a0000000700040401fd3863
004b0000000b001000000002041bdac11d:004b00000006001000000002|004c00000006000400000002:,004c000000070004041f6c3864
004d0000000b0010000000020407c8c11d:004d00000006001000000002|004e00000006000400000002:,004e000000070004043e443865
004f0000000b00100000000204f3b6c11c:004f00000006001000000002|005000000006000400000002:,0050000000070004045e853866
00510000000b00100000000204dfa4c11c:005100000006001000000002|005200000006000400000002:,00520000000700040480303867
00530000000b00100000000204cbfbc11c:005300000006001000000002|005400000006000400000002:,0054000000070004049d503868
00550000000b00100000000204b7e9c11c:005500000006001000000002|005600000006000400000002:,005600000007000404c1ce3869
00570000000b00100000000204a3d7c11c:005700000006001000000002|005800000006000400000002:,005800000007000404e7bb386a
00590000000b001000000002048fc5c11c:005900000006001000000002|005a00000006000400000002:,005a000000070004040f1a386c
005b0000000b001000000002047bb3c11c:005b00000006001000000002|005c00000006000400000002:,005c0000000700040437eb386d
005d0000000b0010000000020467a1c11c:005d00000006001000000002|005e00000006000400000002:,005e000000070004046233386e
005f0000000b0010000000020453f8c11c:005f00000006001000000002|006000000006000400000002:,00600000000700040487cd386f
