source_text,target_text
000100000006000600001a5d:000100000006000600001a5d|000200000006000400000004:,00020000000b000408428f6e1b5b1bc1a0
000200000006000400000004:00020000000b000408428f6e1b5b1bc1a0|00030000000600060000ad27:,00030000000600060000ad27
00030000000600060000ad27:00030000000600060000ad27|000400000006000400000004:,00040000000b0004083d44299d0c74c1f6
000400000006000400000004:00040000000b0004083d44299d0c74c1f6|00050000000600060000ee6c:,00050000000600060000ee6c
00050000000600060000ee6c:00050000000600060000ee6c|000600000006000400000004:,00060000000b0004084637191fe6e8c204
000600000006000400000004:00060000000b0004084637191fe6e8c204|00070000000600060000bcba:,00070000000600060000bcba
00070000000600060000bcba:00070000000600060000bcba|000800000006000400000004:,00080000000b000408e09d3ff23180c1fa
000800000006000400000004:00080000000b000408e09d3ff23180c1fa|00090000000600060000f888:,00090000000600060000f888
00090000000600060000f888:00090000000600060000f888|000a00000006000400000004:,000a0000000b00040857d7eedfb64bc206
000a00000006000400000004:000a0000000b00040857d7eedfb64bc206|000b0000000600060000a6f0:,000b0000000600060000a6f0
000b0000000600060000a6f0:000b0000000600060000a6f0|000c00000006000400000004:,000c0000000b000408c42438057e8ac1f4
000c00000006000400000004:000c0000000b000408c42438057e8ac1f4|000d0000000600060000c858:,000d0000000600060000c858
000d0000000600060000c858:000d0000000600060000c858|000e00000006000400000004:,000e0000000b00040836088b69846ec1fd
000e00000006000400000004:000e0000000b00040836088b69846ec1fd|000f0000000600060000119f:,000f0000000600060000119f
000f0000000600060000119f:000f0000000600060000119f|001000000006000400000004:,00100000000b00040859a8259a3a66c18d
001000000006000400000004:00100000000b00040859a8259a3a66c18d|001100000006000600005ac4:,001100000006000600005ac4
001100000006000600005ac4:001100000006000600005ac4|001200000006000400000004:,00120000000b000408e47905c63bf2c1d8
001200000006000400000004:00120000000b000408e47905c63bf2c1d8|00130000000600060000b012:,00130000000600060000b012
00130000000600060000b012:00130000000600060000b012|001400000006000400000004:,00140000000b0004087a6d39edcc4cc1f6
001400000006000400000004:00140000000b0004087a6d39edcc4cc1f6|0015000000060006000064dd:,0015000000060006000064dd
0015000000060006000064dd:0015000000060006000064dd|001600000006000400000004:,00160000000b00040824d292daed1ac1dd
001600000006000400000004:00160000000b00040824d292daed1ac1dd|0017000000060006000045ac:,0017000000060006000045ac
0017000000060006000045ac:0017000000060006000045ac|001800000006000400000004:,00180000000b000408d0766e238ee3c1cc
001800000006000400000004:00180000000b000408d0766e238ee3c1cc|001900000006000600002646:,001900000006000600002646
001900000006000600002646:001900000006000600002646|001a00000006000400000004:,001a0000000b000408acc2f82b3c73c1b1
001a00000006000400000004:001a0000000b000408acc2f82b3c73c1b1|001b0000000600060000ecb0:,001b0000000600060000ecb0
001b0000000600060000ecb0:001b0000000600060000ecb0|001c00000006000400000004:,001c0000000b00040810982f409957c204
001c00000006000400000004:001c0000000b00040810982f409957c204|001d00000006000600001a84:,001d00000006000600001a84
001d00000006000600001a84:001d00000006000600001a84|001e00000006000400000004:,001e0000000b000408e86273cb8ba3c1a0
001e00000006000400000004:001e0000000b000408e86273cb8ba3c1a0|001f000000060006000003d0:,001f000000060006000003d0
001f000000060006000003d0:001f000000060006000003d0|002000000006000400000004:,00200000000b000408bcec2baee437c145
002000000006000400000004:00200000000b000408bcec2baee437c145|00210000000600060000715e:,00210000000600060000715e
00210000000600060000715e:00210000000600060000715e|002200000006000400000004:,00220000000b0004083faac260e728c1e2
002200000006000400000004:00220000000b0004083faac260e728c1e2|002300000006000600006a17:,002300000006000600006a17
002300000006000600006a17:002300000006000600006a17|002400000006000400000004:,00240000000b000408da649e628dd2c1e0
002400000006000400000004:00240000000b000408da649e628dd2c1e0|0025000000060006000051d7:,0025000000060006000051d7
0025000000060006000051d7:0025000000060006000051d7|002600000006000400000004:,00260000000b0004085af78c11b3c3c1d3
002600000006000400000004:00260000000b0004085af78c11b3c3c1d3|002700000006000600004e37:,002700000006000600004e37
002700000006000600004e37:002700000006000600004e37|002800000006000400000004:,00280000000b0004087e061e4dfed8c1d1
002800000006000400000004:00280000000b0004087e061e4dfed8c1d1|002900000006000600004bb7:,002900000006000600004bb7
002900000006000600004bb7:002900000006000600004bb7|002a00000006000400000004:,002a0000000b0004082fa52acadd0dc1d0
002a00000006000400000004:002a0000000b0004082fa52acadd0dc1d0|002b0000000600060000d378:,002b0000000600060000d378
002b0000000600060000d378:002b0000000600060000d378|002c00000006000400000004:,002c0000000b00040811f9b2e37178c200
002c00000006000400000004:002c0000000b00040811f9b2e37178c200|002d000000060006000095bd:,002d000000060006000095bd
002d000000060006000095bd:002d000000060006000095bd|002e00000006000400000004:,002e0000000b000408eca695007d26c1f0
002e00000006000400000004:002e0000000b000408eca695007d26c1f0|002f00000006000600004f2b:,002f00000006000600004f2b
002f00000006000600004f2b:002f00000006000600004f2b|003000000006000400000004:,00300000000b000408920c631e6fcec1d2
003000000006000400000004:00300000000b000408920c631e6fcec1d2|00310000000600060000afbd:,00310000000600060000afbd
00310000000600060000afbd:00310000000600060000afbd|003200000006000400000004:,00320000000b000408fa8e752db64ec1f6
003200000006000400000004:00320000000b000408fa8e752db64ec1f6|003300000006000600009cd4:,003300000006000600009cd4
003300000006000600009cd4:003300000006000600009cd4|003400000006000400000004:,00340000000b000408d5a08e6c1657c1f2
003400000006000400000004:00340000000b000408d5a08e6c1657c1f2|00350000000600060000446e:,00350000000600060000446e
00350000000600060000446e:00350000000600060000446e|003600000006000400000004:,00360000000b000408f653e3d88c84c1cb
003600000006000400000004:00360000000b000408f653e3d88c84c1cb|0037000000060006000025e1:,0037000000060006000025e1
0037000000060006000025e1:0037000000060006000025e1|003800000006000400000004:,00380000000b0004088b3fe701e1f3c1b0
003800000006000400000004:00380000000b0004088b3fe701e1f3c1b0|0039000000060006000040d3:,0039000000060006000040d3
0039000000060006000040d3:0039000000060006000040d3|003a00000006000400000004:,003a0000000b000408f9a20599b8ecc1c8
003a00000006000400000004:003a0000000b000408f9a20599b8ecc1c8|003b00000006000600008073:,003b00000006000600008073
003b00000006000600008073:003b00000006000600008073|003c00000006000400000004:,003c0000000b000408b9949a054461c1e8
003c00000006000400000004:003c0000000b000408b9949a054461c1e8|003d0000000600060000b110:,003d0000000600060000b110
003d0000000600060000b110:003d0000000600060000b110|003e00000006000400000004:,003e0000000b000408fa539f360e42c1f7
003e00000006000400000004:003e0000000b000408fa539f360e42c1f7|003f0000000600060000b947:,003f0000000600060000b947
003f0000000600060000b947:003f0000000600060000b947|004000000006000400000004:,00400000000b0004083fc639073ea3c1f9
004000000006000400000004:00400000000b0004083fc639073ea3c1f9|00410000000600060000b8b3:,00410000000600060000b8b3
00410000000600060000b8b3:00410000000600060000b8b3|004200000006000400000004:,00420000000b000408de6896da165ec1f9
004200000006000400000004:00420000000b000408de6896da165ec1f9|0043000000060006000089cf:,0043000000060006000089cf
0043000000060006000089cf:0043000000060006000089cf|004400000006000400000004:,00440000000b000408b872df30eeafc1eb
004400000006000400000004:00440000000b000408b872df30eeafc1eb|00450000000600060000ad47:,00450000000600060000ad47
00450000000600060000ad47:00450000000600060000ad47|004600000006000400000004:,00460000000b00040862553336149bc1f6
004600000006000400000004:00460000000b00040862553336149bc1f6|004700000006000600001d1e:,004700000006000600001d1e
004700000006000600001d1e:004700000006000600001d1e|004800000006000400000004:,00480000000b000408dc78eb83f390c1a3
004800000006000400000004:00480000000b000408dc78eb83f390c1a3|004900000006000600002e5d:,004900000006000600002e5d
004900000006000600002e5d:004900000006000600002e5d|004a00000006000400000004:,004a0000000b000408c9b6fdd54ae7c1b9
004a00000006000400000004:004a0000000b000408c9b6fdd54ae7c1b9|004b0000000600060000711b:,004b0000000600060000711b
004b0000000600060000711b:004b0000000600060000711b|004c00000006000400000004:,004c0000000b0004083f9079e8d0d7c1e2
004c00000006000400000004:004c0000000b0004083f9079e8d0d7c1e2|004d0000000600060000eb4d:,004d0000000600060000eb4d
004d0000000600060000eb4d:004d0000000600060000eb4d|004e00000006000400000004:,004e0000000b000408aef0e5195bbac204
004e00000006000400000004:004e0000000b000408aef0e5195bbac204|004f00000006000600006671:,004f00000006000600006671
004f00000006000600006671:004f00000006000600006671|005000000006000400000004:,00500000000b000408cfec991fdeb6c1de
005000000006000400000004:00500000000b000408cfec991fdeb6c1de|0051000000060006000085c8:,0051000000060006000085c8
0051000000060006000085c8:0051000000060006000085c8|005200000006000400000004:,00520000000b000408fa421b6652d9c1ea
005200000006000400000004:00520000000b000408fa421b6652d9c1ea|005300000006000600001582:,005300000006000600001582
005300000006000600001582:005300000006000600001582|005400000006000400000004:,00540000000b0004084efd9d54c59fc195
005400000006000400000004:00540000000b0004084efd9d54c59fc195|00550000000600060000e2ab:,00550000000600060000e2ab
00550000000600060000e2ab:00550000000600060000e2ab|005600000006000400000004:,00560000000b000408868c355be453c202
005600000006000400000004:00560000000b000408868c355be453c202|00570000000600060000ca80:,00570000000600060000ca80
00570000000600060000ca80:00570000000600060000ca80|005800000006000400000004:,00580000000b000408d8b18f4727f6c1fe
005800000006000400000004:00580000000b000408d8b18f4727f6c1fe|00590000000600060000107b:,00590000000600060000107b
00590000000600060000107b:00590000000600060000107b|005a00000006000400000004:,005a0000000b000408e13dc8bf9111c189
005a00000006000400000004:005a0000000b000408e13dc8bf9111c189|005b0000000600060000b9fd:,005b0000000600060000b9fd
005b0000000600060000b9fd:005b0000000600060000b9fd|005c00000006000400000004:,005c0000000b0004085e0839607054c1f9
005c00000006000400000004:005c0000000b0004085e0839607054c1f9|005d0000000600060000c95d:,005d0000000600060000c95d
005d0000000600060000c95d:005d0000000600060000c95d|005e00000006000400000004:,005e0000000b0004081fc116a5d189c1fd
005e00000006000400000004:005e0000000b0004081fc116a5d189c1fd|005f0000000600060000a99c:,005f0000000600060000a99c
005f0000000600060000a99c:005f0000000600060000a99c|006000000006000400000004:,00600000000b000408a0f1042627d4c1f5
006000000006000400000004:00600000000b000408a0f1042627d4c1f5|00610000000600060000d885:,00610000000600060000d885
00610000000600060000d885:00610000000600060000d885|006200000006000400000004:,00620000000b000408196e0b693cf4c201
006200000006000400000004:00620000000b000408196e0b693cf4c201|006300000006000600003473:,006300000006000600003473
006300000006000600003473:006300000006000600003473|006400000006000400000004:,00640000000b000408c3c79f712f2cc1c0
006400000006000400000004:00640000000b000408c3c79f712f2cc1c0|00650000000600060000befb:,00650000000600060000befb
00650000000600060000befb:00650000000600060000befb|006600000006000400000004:,00660000000b0004089e41fd3ed29ec1fa
006600000006000400000004:00660000000b0004089e41fd3ed29ec1fa|006700000006000600008764:,006700000006000600008764
006700000006000600008764:006700000006000600008764|006800000006000400000004:,00680000000b000408e9266981f5f5c1ea
006800000006000400000004:00680000000b000408e9266981f5f5c1ea|006900000006000600009c17:,006900000006000600009c17
006900000006000600009c17:006900000006000600009c17|006a00000006000400000004:,006a0000000b0004086c976556ead9c1f1
006a00000006000400000004:006a0000000b0004086c976556ead9c1f1|006b00000006000600005e32:,006b00000006000600005e32
006b00000006000600005e32:006b00000006000600005e32|006c00000006000400000004:,006c0000000b000408e6877c9919a6c1da
006c00000006000400000004:006c0000000b000408e6877c9919a6c1da|006d0000000600060000df10:,006d0000000600060000df10
006d0000000600060000df10:006d0000000600060000df10|006e00000006000400000004:,006e0000000b0004080c05170f4bb1c202
006e00000006000400000004:006e0000000b0004080c05170f4bb1c202|006f000000060006000081c4:,006f000000060006000081c4
006f000000060006000081c4:006f000000060006000081c4|007000000006000400000004:,00700000000b0004087e014eb0c45ec1e8
007000000006000400000004:00700000000b0004087e014eb0c45ec1e8|007100000006000600000d6c:,007100000006000600000d6c
007100000006000600000d6c:007100000006000600000d6c|007200000006000400000004:,00720000000b000408c3b406cef51ec180
007200000006000400000004:00720000000b000408c3b406cef51ec180|0073000000060006000078a5:,0073000000060006000078a5
0073000000060006000078a5:0073000000060006000078a5|007400000006000400000004:,00740000000b000408bba28d146860c1e5
007400000006000400000004:00740000000b000408bba28d146860c1e5|00750000000600060000d98e:,00750000000600060000d98e
00750000000600060000d98e:00750000000600060000d98e|007600000006000400000004:,00760000000b000408e705f6f2673fc201
007600000006000400000004:00760000000b000408e705f6f2673fc201|00770000000600060000058c:,00770000000600060000058c
00770000000600060000058c:00770000000600060000058c|007800000006000400000004:,00780000000b0004086a40bcbf2b76c157
007800000006000400000004:00780000000b0004086a40bcbf2b76c157|007900000006000600008a48:,007900000006000600008a48
007900000006000600008a48:007900000006000600008a48|007a00000006000400000004:,007a0000000b0004088ce16edc1fd2c1ec
007a00000006000400000004:007a0000000b0004088ce16edc1fd2c1ec|007b0000000600060000c0a6:,007b0000000600060000c0a6
007b0000000600060000c0a6:007b0000000600060000c0a6|007c00000006000400000004:,007c0000000b000408d60147744b16c1fb
007c00000006000400000004:007c0000000b000408d60147744b16c1fb|007d00000006000600008a98:,007d00000006000600008a98
007d00000006000600008a98:007d00000006000600008a98|007e00000006000400000004:,007e0000000b000408b83c7cda4066c1ec
007e00000006000400000004:007e0000000b000408b83c7cda4066c1ec|007f0000000600060000a775:,007f0000000600060000a775
007f0000000600060000a775:007f0000000600060000a775|008000000006000400000004:,00800000000b0004083b251ec99f3fc1f4
008000000006000400000004:00800000000b0004083b251ec99f3fc1f4|008100000006000600003b58:,008100000006000600003b58
008100000006000600003b58:008100000006000600003b58|008200000006000400000004:,00820000000b0004089f9f0cc0b805c1c4
008200000006000400000004:00820000000b0004089f9f0cc0b805c1c4|00830000000600060000cd48:,00830000000600060000cd48
00830000000600060000cd48:00830000000600060000cd48|008400000006000400000004:,00840000000b00040839d7e92bfd7ac1fe
008400000006000400000004:00840000000b00040839d7e92bfd7ac1fe|008500000006000600001371:,008500000006000600001371
008500000006000600001371:008500000006000600001371|008600000006000400000004:,00860000000b000408f07f0d02ca14c191
008600000006000400000004:00860000000b000408f07f0d02ca14c191|00870000000600060000bf28:,00870000000600060000bf28
00870000000600060000bf28:00870000000600060000bf28|008800000006000400000004:,00880000000b0004081c6763d2df44c1fa
008800000006000400000004:00880000000b0004081c6763d2df44c1fa|00890000000600060000a14e:,00890000000600060000a14e
00890000000600060000a14e:00890000000600060000a14e|008a00000006000400000004:,008a0000000b0004085c5e8cd12274c1f3
008a00000006000400000004:008a0000000b0004085c5e8cd12274c1f3|008b0000000600060000db53:,008b0000000600060000db53
008b0000000600060000db53:008b0000000600060000db53|008c00000006000400000004:,008c0000000b00040884592cdfb005c201
008c00000006000400000004:008c0000000b00040884592cdfb005c201|008d00000006000600004e4d:,008d00000006000600004e4d
008d00000006000600004e4d:008d00000006000600004e4d|008e00000006000400000004:,008e0000000b0004087fe222ed08f9c1d2
008e00000006000400000004:008e0000000b0004087fe222ed08f9c1d2|008f00000006000600009bf7:,008f00000006000600009bf7
008f00000006000600009bf7:008f00000006000600009bf7|009000000006000400000004:,00900000000b000408c31c729fe381c1f1
009000000006000400000004:00900000000b000408c31c729fe381c1f1|00910000000600060000818d:,00910000000600060000818d
00910000000600060000818d:00910000000600060000818d|009200000006000400000004:,00920000000b0004086c3323c0af64c1e8
009200000006000400000004:00920000000b0004086c3323c0af64c1e8|0093000000060006000087d7:,0093000000060006000087d7
0093000000060006000087d7:0093000000060006000087d7|009400000006000400000004:,00940000000b000408cc41d46223d5c1eb
009400000006000400000004:00940000000b000408cc41d46223d5c1eb|009500000006000600007325:,009500000006000600007325
