source_text,target_text
70-0.00|000100000006000300030001:,0001000000050003027ecc
70-0.05|000200000006000300030001:,0002000000050003027e9f
70-0.10|000300000006000300030001:,0003000000050003027e9f
70-0.15|000400000006000300030001:,0004000000050003027eb6
70-0.21|000500000006000300030001:,0005000000050003027eb6
70-0.26|000600000006000300030001:,0006000000050003027fff
70-0.31|000700000006000300030001:,0007000000050003027fff
70-0.36|000800000006000300030001:,0008000000050003027f84
70-0.41|000900000006000300030001:,0009000000050003027f84
70-0.46|000a00000006000300030001:,000a000000050003027f08
70-0.51|000b00000006000300030001:,000b000000050003027f08
70-0.56|000c00000006000300030001:,000c000000050003027ec3
70-0.62|000d00000006000300030001:,000d000000050003027ec3
70-0.67|000e00000006000300030001:,000e000000050003027eae
70-0.72|000f00000006000300030001:,000f000000050003027eae
70-0.77|001000000006000300030001:,0010000000050003027fff
70-0.82|001100000006000300030001:,0011000000050003027fff
70-0.87|001200000006000300030001:,0012000000050003027fd8
70-0.93|001300000006000300030001:,0013000000050003027fd8
70-0.98|001400000006000300030001:,0014000000050003027fe2
70-1.03|001500000006000300030001:,0015000000050003027fe2
70-1.08|001600000006000300030001:,0016000000050003027f19
70-1.13|001700000006000300030001:,0017000000050003027f19
70-1.18|001800000006000300030001:,0018000000050003027f9d
70-1.23|001900000006000300030001:,0019000000050003027f9d
70-1.29|001a00000006000300030001:,001a000000050003027fff
70-1.34|001b00000006000300030001:,001b000000050003027fff
70-1.39|001c00000006000300030001:,001c000000050003027fff
70-1.44|001d00000006000300030001:,001d000000050003027fff
70-1.49|001e00000006000300030001:,001e000000050003027f80
70-1.54|001f00000006000300030001:,001f000000050003027f80
70-1.59|002000000006000300030001:,0020000000050003027eef
70-1.64|002100000006000300030001:,0021000000050003027f8b
70-1.69|002200000006000300030001:,0022000000050003027f8b
70-1.75|002300000006000300030001:,0023000000050003027fff
70-1.80|002400000006000300030001:,0024000000050003027fff
70-1.85|002500000006000300030001:,0025000000050003027f80
70-1.90|002600000006000300030001:,0026000000050003027f80
70-1.95|002700000006000300030001:,0027000000050003027fff
70-2.00|002800000006000300030001:,0028000000050003027fff
70-2.06|002900000006000300030001:,0029000000050003027f06
70-2.11|002a00000006000300030001:,002a000000050003027f06
70-2.16|002b00000006000300030001:,002b000000050003027f1d
70-2.21|002c00000006000300030001:,002c000000050003027f1d
70-2.26|002d00000006000300030001:,002d000000050003027fff
70-2.31|002e00000006000300030001:,002e000000050003027fff
70-2.36|002f00000006000300030001:,002f000000050003027fff
70-2.41|003000000006000300030001:,0030000000050003027fff
70-2.47|003100000006000300030001:,0031000000050003027fb0
70-2.52|003200000006000300030001:,0032000000050003027fb0
70-2.57|003300000006000300030001:,0033000000050003027eef
70-2.62|003400000006000300030001:,0034000000050003027eef
70-2.67|003500000006000300030001:,0035000000050003027f47
70-2.72|003600000006000300030001:,0036000000050003027f47
70-2.77|003700000006000300030001:,0037000000050003027faf
70-2.83|003800000006000300030001:,0038000000050003027faf
70-2.88|003900000006000300030001:,0039000000050003027f36
70-2.93|003a00000006000300030001:,003a000000050003027f36
70-2.98|003b00000006000300030001:,003b000000050003027fff
70-3.03|003c00000006000300030001:,003c000000050003027fff
70-3.09|003d00000006000300030001:,003d000000050003027eb2
70-3.14|003e00000006000300030001:,003e000000050003027eb2
70-3.19|003f00000006000300030001:,003f000000050003027e78
70-3.24|004000000006000300030001:,0040000000050003027f40
70-3.30|004100000006000300030001:,0041000000050003027f40
70-3.35|004200000006000300030001:,0042000000050003027fea
70-3.40|004300000006000300030001:,0043000000050003027fea
70-3.45|004400000006000300030001:,0044000000050003027fff
70-3.51|004500000006000300030001:,0045000000050003027fff
70-3.56|004600000006000300030001:,0046000000050003027f30
70-3.61|004700000006000300030001:,0047000000050003027f30
70-3.66|004800000006000300030001:,0048000000050003027ef3
