source_text,target_text
0.00|000100000006000300030001:,0001000000050003027fff
0.05|000200000006000300030001:,0002000000050003027fff
0.10|000300000006000300030001:,0003000000050003027fff
0.15|000400000006000300030001:,0004000000050003027fff
0.21|000500000006000300030001:,0005000000050003027fff
0.26|000600000006000300030001:,0006000000050003027fff
0.31|000700000006000300030001:,0007000000050003027fff
0.36|000800000006000300030001:,0008000000050003027fff
0.41|000900000006000300030001:,0009000000050003027f7f
0.46|000a00000006000300030001:,000a000000050003027f7f
0.51|000b00000006000300030001:,000b000000050003027fff
0.56|000c00000006000300030001:,000c000000050003027fff
0.62|000d00000006000300030001:,000d000000050003027fff
0.67|000e00000006000300030001:,000e000000050003027fff
0.72|000f00000006000300030001:,000f000000050003027fff
0.77|001000000006000300030001:,0010000000050003027fff
0.82|001100000006000300030001:,0011000000050003027fe1
0.87|001200000006000300030001:,0012000000050003027fe1
0.92|001300000006000300030001:,0013000000050003027fe1
0.98|001400000006000300030001:,0014000000050003027fe1
1.03|001500000006000300030001:,0015000000050003027fff
1.08|001600000006000300030001:,0016000000050003027fff
1.13|001700000006000300030001:,0017000000050003027fff
1.18|001800000006000300030001:,0018000000050003027fff
1.23|001900000006000300030001:,0019000000050003027fff
1.29|001a00000006000300030001:,001a000000050003027fff
1.34|001b00000006000300030001:,001b000000050003027fff
1.39|001c00000006000300030001:,001c000000050003027f73
1.44|001d00000006000300030001:,001d000000050003027f73
1.49|001e00000006000300030001:,001e000000050003027fff
1.54|001f00000006000300030001:,001f000000050003027fff
1.59|002000000006000300030001:,0020000000050003027fff
1.65|002100000006000300030001:,0021000000050003027fff
1.70|002200000006000300030001:,0022000000050003027fff
1.75|002300000006000300030001:,0023000000050003027fff
1.80|002400000006000300030001:,0024000000050003027fff
1.85|002500000006000300030001:,0025000000050003027fff
1.90|002600000006000300030001:,0026000000050003027f43
1.95|002700000006000300030001:,0027000000050003027f43
2.00|002800000006000300030001:,0028000000050003027fd3
2.05|002900000006000300030001:,0029000000050003027fd3
2.11|002a00000006000300030001:,002a000000050003027fff
2.16|002b00000006000300030001:,002b000000050003027fff
2.21|002c00000006000300030001:,002c000000050003027fff
2.26|002d00000006000300030001:,002d000000050003027fff
2.31|002e00000006000300030001:,002e000000050003027fff
2.36|002f00000006000300030001:,002f000000050003027fff
2.42|003000000006000300030001:,0030000000050003027f7c
2.47|003100000006000300030001:,0031000000050003027f7c
2.52|003200000006000300030001:,0032000000050003027fff
2.57|003300000006000300030001:,0033000000050003027fff
2.62|003400000006000300030001:,0034000000050003027fff
2.67|003500000006000300030001:,0035000000050003027fff
2.72|003600000006000300030001:,0036000000050003027fff
2.77|003700000006000300030001:,0037000000050003027fff
2.83|003800000006000300030001:,0038000000050003027fff
2.88|003900000006000300030001:,0039000000050003027fb8
2.93|003a00000006000300030001:,003a000000050003027fb8
2.98|003b00000006000300030001:,003b000000050003027ff8
3.03|003c00000006000300030001:,003c000000050003027ff8
3.08|003d00000006000300030001:,003d000000050003027fff
3.13|003e00000006000300030001:,003e000000050003027fff
3.18|003f00000006000300030001:,003f000000050003027fff
3.24|004000000006000300030001:,0040000000050003027fff
3.29|004100000006000300030001:,0041000000050003027fff
3.34|004200000006000300030001:,0042000000050003027fff
3.39|004300000006000300030001:,0043000000050003027fac
3.44|004400000006000300030001:,0044000000050003027fac
3.49|004500000006000300030001:,0045000000050003027fec
3.55|004600000006000300030001:,0046000000050003027fec
3.60|004700000006000300030001:,0047000000050003027fff
3.65|004800000006000300030001:,0048000000050003027fff
3.70|004900000006000300030001:,0049000000050003027fff
3.75|004a00000006000300030001:,004a000000050003027fff
3.80|004b00000006000300030001:,004b000000050003027fff
3.86|004c00000006000300030001:,004c000000050003027fff
3.91|004d00000006000300030001:,004d000000050003027f38
3.96|004e00000006000300030001:,004e000000050003027f38
4.01|004f00000006000300030001:,004f000000050003027fff
4.06|005000000006000300030001:,0050000000050003027fff
4.11|005100000006000300030001:,0051000000050003027fff
4.16|005200000006000300030001:,0052000000050003027fff
4.22|005300000006000300030001:,0053000000050003027fff
4.27|005400000006000300030001:,0054000000050003027fff
4.32|005500000006000300030001:,0055000000050003027fff
4.37|005600000006000300030001:,0056000000050003027fff
4.42|005700000006000300030001:,0057000000050003027f74
4.47|005800000006000300030001:,0058000000050003027f74
4.52|005900000006000300030001:,0059000000050003027fb4
4.58|005a00000006000300030001:,005a000000050003027fb4
4.63|005b00000006000300030001:,005b000000050003027fff
4.68|005c00000006000300030001:,005c000000050003027fff
4.73|005d00000006000300030001:,005d000000050003027fff
4.78|005e00000006000300030001:,005e000000050003027fff
4.84|005f00000006000300030001:,005f000000050003027fff
4.89|006000000006000300030001:,0060000000050003027fac
4.94|006100000006000300030001:,0061000000050003027fac
4.99|006200000006000300030001:,0062000000050003027fff
5.04|006300000006000300030001:,0063000000050003027fff
5.09|006400000006000300030001:,0064000000050003027fff
5.14|006500000006000300030001:,0065000000050003027fff
5.20|006600000006000300030001:,0066000000050003027fff
5.25|006700000006000300030001:,0067000000050003027fff
5.30|006800000006000300030001:,0068000000050003027fff
5.35|006900000006000300030001:,0069000000050003027fff
5.40|006a00000006000300030001:,006a000000050003027f38
5.45|006b00000006000300030001:,006b000000050003027f38
5.50|006c00000006000300030001:,006c000000050003027f78
5.55|006d00000006000300030001:,006d000000050003027f78
5.61|006e00000006000300030001:,006e000000050003027fff
5.66|006f00000006000300030001:,006f000000050003027fff
5.71|007000000006000300030001:,0070000000050003027fff
5.76|007100000006000300030001:,0071000000050003027fff
5.81|007200000006000300030001:,0072000000050003027fff
