source_text,target_text
017100000006000100000001,01710000000400010101
017200000006000300000003,017200000003008302
017300000006000300010002,017300000003008302
017400000006000102950001,017400000003008102
017500000006000100010001,01750000000400010101
01760000000f001000010004080006000600060000,017600000003009002
017700000006000300010002,017700000003008302
01780000000f001000010004080000000000080000,017800000003009002
017900000006000300000002,01790000000700030400000000
017a0000000d00100000000306000000080000,017a00000003009002
017b00000006000300000003,017b00000003008302
017c0000000f001000010004080008000800010008,017c00000003009002
017d0000000f001000010004080008000000000000,017d00000003009002
017e0000000b0010000000020400080000,017e00000006001000000002
017f00000006000300010003,017f00000003008302
018000000008000f000000020102,018000000006000f00000002
01810000000f001000010004080008000800080008,018100000003009002
018200000006000300000002,01820000000700030400080000
01830000000f001000010004080008000100010008,018300000003009002
0184000000060001540d0001,018400000003008102
018500000006000102950001,018500000003008102
018600000009001000000001020000,018600000006001000000001
018700000006000300000003,018700000003008302
018800000006000100010001,01880000000400010101
01890000000f001000010004080008000800020008,018900000003009002
018a00000006000300010003,018a00000003008302
018b0000000f001000010004080000000800020008,018b00000003009002
018c0000000d00100000000306000800080004,018c00000003009002
018d00000006000300010002,018d00000003008302
018e00000006000500000000,018e00000006000500000000
018f00000006000300010002,018f00000003008302
019000000006000300010001,0190000000050003020000
019100000006000300010003,019100000003008302
01920000000f001000010004080008000800080008,019200000003009002
01930000000f001000010004080008000800080008,019300000003009002
019400000006000300000003,019400000003008302
019500000006000300010003,019500000003008302
01960000000f001000010004080000000800000000,019600000003009002
01970000000b0010000000020400050005,019700000006001000000002
01980000000f001000010004080000000100000001,019800000003009002
019900000006000100000001,01990000000400010100
019a00000006000300010003,019a00000003008302
019b0000000f001000010004080002000800000000,019b00000003009002
019c00000006000300010003,019c00000003008302
019d00000006000300010001,019d000000050003020005
019e000000060006da198e59,019e00000003008602
019f0000000600050001ff00,019f0000000600050001ff00
01a000000006000100000001,01a00000000400010100
01a100000006000300010001,01a1000000050003020005
01a200000006000300000003,01a200000003008302
01a300000006000300010001,01a3000000050003020005
01a4000000060005ffff0000,01a400000003008502
01a50000000f001000010004080000000300080000,01a500000003009002
01a60000000600050001ff00,01a60000000600050001ff00
01a700000006000300010002,01a700000003008302
01a800000006000102950001,01a800000003008102
01a900000006000300010003,01a900000003008302
01aa00000008000f000000030106,01aa00000003008f02
01ab00000006000300010002,01ab00000003008302
01ac0000000f001000010004080000000000000008,01ac00000003009002
01ad0000000f001000010004080002000000000008,01ad00000003009002
01ae00000006000300010001,01ae000000050003020005
01af0000000f001000010004080004000800000008,01af00000003009002
01b00000000f001000010004080000000000080000,01b000000003009002
01b100000006000300010001,01b1000000050003020005
01b20000000f001000010004080003000300000003,01b200000003009002
01b300000006000300010001,01b3000000050003020005
01b40000000600050001ff00,01b40000000600050001ff00
01b500000006000300010001,01b5000000050003020005
01b60000000f001000010004080008000000000000,01b600000003009002
01b700000006000300010002,01b700000003008302
01b8000000060005ffffff00,01b800000003008502
01b90000000f001000010004080008000000000008,01b900000003009002
01ba0000000f001000010004080000000600060000,01ba00000003009002
01bb00000006000300010003,01bb00000003008302
01bc00000006000300010002,01bc00000003008302
01bd00000006000300000003,01bd00000003008302
01be0000000f001000010004080008000000010000,01be00000003009002
01bf00000008000f000000010101,01bf00000006000f00000001
01c000000006000300010002,01c000000003008302
01c1000000060005b9a2ff00,01c100000003008502
01c200000006000300010001,01c2000000050003020005
01c30000000f001000010004080003000300000008,01c300000003009002
01c40000000f001000010004080008000800080001,01c400000003009002
01c50000000f001000010004080000000000000000,01c500000003009002
01c60000000f001000010004080000000800080001,01c600000003009002
01c70000000d00100000000306000000080004,01c700000003009002
01c800000006000300010003,01c800000003008302
01c900000006000300010003,01c900000003008302
01ca000000060005ffffff00,01ca00000003008502
01cb0000000f001000010004080002000000000002,01cb00000003009002
01cc0000000600050295ff00,01cc00000003008502
01cd00000006000300010003,01cd00000003008302
01ce00000006000300000003,01ce00000003008302
01cf0000000f001000010004080006000600000008,01cf00000003009002
01d000000006000300010001,01d0000000050003020005
01d100000006000300010002,01d100000003008302
01d200000006000300010002,01d200000003008302
01d30000000f001000010004080008000800080000,01d300000003009002
01d40000000600050001ff00,01d40000000600050001ff00
01d500000006000300010002,01d500000003008302
01d60000000f001000010004080008000000010001,01d600000003009002
01d70000000f001000010004080000000600080006,01d700000003009002
01d800000006000300010002,01d800000003008302
01d90000000f001000010004080000000600000000,01d900000003009002
01da00000006000300000003,01da00000003008302
01db0000000f001000010004080008000000000000,01db00000003009002
01dc000000060001ffff0001,01dc00000003008102
01dd000000060001ffff0001,01dd00000003008102
01de0000000f001000010004080006000000000006,01de00000003009002
01df000000060001b9a20001,01df00000003008102
01e000000006000300000003,01e000000003008302
01e10000000f001000010004080008000800000008,01e100000003009002
01e200000006000100010001,01e20000000400010101
01e30000000f001000010004080000000800080000,01e300000003009002
01e40000000f001000010004080008000000080003,01e400000003009002
01e50000000f001000010004080008000100080000,01e500000003009002
01e600000006000300010003,01e600000003008302
01e700000006000100010001,01e70000000400010101
01e800000006000300000001,01e8000000050003020005
01e900000009001000000001020008,01e900000006001000000001
01ea0000000f001000010004080000000800080008,01ea00000003009002
01eb000000060001ffff0001,01eb00000003008102
01ec0000000d00100000000306000800000000,01ec00000003009002
01ed00000006000300010002,01ed00000003008302
01ee00000006000100010001,01ee0000000400010101
01ef00000006000300010003,01ef00000003008302
01f00000000f001000010004080008000000030000,01f000000003009002
01f100000006000300010001,01f1000000050003020005
01f200000006000300010002,01f200000003008302
01f300000006000300010002,01f300000003008302
01f40000000f001000010004080003000000030003,01f400000003009002
01f5000000060005ffffff00,01f500000003008502
01f60000000f001000010004080000000800080008,01f600000003009002
01f700000006000100010001,01f70000000400010101
01f800000006000100010001,01f80000000400010101
01f90000000f001000010004080001000000010008,01f900000003009002
01fa0000000d00100000000306000400040008,01fa00000003009002
01fb0000000d00100000000306000800040000,01fb00000003009002
01fc00000006000300010003,01fc00000003008302
01fd00000008000f000000020101,01fd00000006000f00000002
01fe00000006000300010001,01fe000000050003020005
01ff00000006000300010001,01ff000000050003020005
020000000006000300000003,020000000003008302
020100000006000300010001,0201000000050003020005
02020000000f001000010004080000000800000008,020200000003009002
020300000006000300010002,020300000003008302
02040000000600050001ff00,02040000000600050001ff00
020500000006000300000003,020500000003008302
020600000009001000000001020002,020600000006001000000001
0207000000060001ffff0001,020700000003008102
020800000006000300010003,020800000003008302
020900000008000f000000010100,020900000006000f00000001
020a0000000f001000010004080000000200020008,020a00000003009002
020b00000006000300010001,020b000000050003020005
020c00000006000300010001,020c000000050003020005
020d00000006000300010002,020d00000003008302
020e000000060001ffff0001,020e00000003008102
020f0000000600050001ff00,020f0000000600050001ff00
02100000000f001000010004080008000000080008,021000000003009002
02110000000f001000010004080002000000000002,021100000003009002
02120000000f001000010004080008000100000008,021200000003009002
021300000006000300010001,0213000000050003020005
021400000008000f000000010100,021400000006000f00000001
02150000000f001000010004080000000100010001,021500000003009002
021600000006000300010002,021600000003008302
021700000006000300000003,021700000003008302
021800000006000300010002,021800000003008302
02190000000b0010000000020400000000,021900000006001000000002
021a00000006000300010003,021a00000003008302
021b00000006000100000001,021b0000000400010100
021c0000000f001000010004080004000800080000,021c00000003009002
021d00000006000300010003,021d00000003008302
021e00000006000300010003,021e00000003008302
021f0000000f001000010004080000000000080006,021f00000003009002
022000000006000300010003,022000000003008302
022100000006000300000003,022100000003008302
02220000000f001000010004080001000000080000,022200000003009002
02230000000f001000010004080002000200020000,022300000003009002
02240000000600050001ff00,02240000000600050001ff00
022500000006000300000001,0225000000050003020000
02260000000d00100000000306000400080004,022600000003009002
022700000006000300010003,022700000003008302
022800000006000100000001,02280000000400010100
02290000000600050001ff00,02290000000600050001ff00
022a00000006000300010001,022a000000050003020000
022b00000006000300000003,022b00000003008302
022c0000000f001000010004080000000200020000,022c00000003009002
022d00000006000300010003,022d00000003008302
022e0000000f001000010004080000000400040000,022e00000003009002
022f0000000d00100000000306000000000000,022f00000003009002
023000000006000300010002,023000000003008302
023100000006000300010003,023100000003008302
023200000006000300010003,023200000003008302
023300000006000300010001,0233000000050003020000
0234000000060005b9a2ff00,023400000003008502
0235000000060005ffffff00,023500000003008502
02360000000f001000010004080002000000020000,023600000003009002
0237000000060001ffff0001,023700000003008102
023800000006000300010003,023800000003008302
02390000000f001000010004080002000800080002,023900000003009002
023a00000006000300010002,023a00000003008302
023b0000000f001000010004080004000400040004,023b00000003009002
023c00000006000300010002,023c00000003008302
023d000000060005b9a2ff00,023d00000003008502
023e00000006000300010002,023e00000003008302
023f0000000f001000010004080006000600080000,023f00000003009002
024000000006000300010003,024000000003008302
024100000006000300000001,0241000000050003020000
02420000000f001000010004080000000800080002,024200000003009002
0243000000060003ffff0001,024300000003008302
024400000006000300000003,024400000003008302
02450000000600050001ff00,02450000000600050001ff00
02460000000f001000010004080002000200020002,024600000003009002
02470000000f001000010004080008000800000000,024700000003009002
024800000006000300010001,0248000000050003020000
024900000006000300010002,024900000003008302
024a00000006000300010002,024a00000003008302
024b0000000f001000010004080008000800030003,024b00000003009002
024c0000000f001000010004080008000000040008,024c00000003009002
024d00000006000300010002,024d00000003008302
024e0000000f001000010004080000000800080004,024e00000003009002
024f00000008000f000000030101,024f00000003008f02
02500000000f001000010004080003000800000008,025000000003009002
02510000000f001000010004080008000000080008,025100000003009002
02520000000f001000010004080008000000080008,025200000003009002
02530000000600050001ff00,02530000000600050001ff00
0254000000060001ffff0001,025400000003008102
02550000000f001000010004080008000800040000,025500000003009002
02560000000f001000010004080008000000080006,025600000003009002
025700000006000300010002,025700000003008302
02580000000f001000010004080001000100080001,025800000003009002
02590000000f001000010004080000000300030000,025900000003009002
025a0000000f001000010004080001000100010008,025a00000003009002
025b0000000f001000010004080000000800000008,025b00000003009002
025c000000060005ffffff00,025c00000003008502
025d00000006000300000002,025d0000000700030400000000
025e000000060001b9a20001,025e00000003008102
025f0000000f001000010004080008000000020008,025f00000003009002
026000000006000300010002,026000000003008302
026100000006000300010003,026100000003008302
02620000000f001000010004080008000800080000,026200000003009002
026300000006000300010001,0263000000050003020000
02640000000f001000010004080008000400000004,026400000003009002
026500000006000300010002,026500000003008302
02660000000600050001ff00,02660000000600050001ff00
02670000000600050001ff00,02670000000600050001ff00
02680000000f001000010004080003000300000000,026800000003009002
02690000000f001000010004080008000000020002,026900000003009002
