source_text,target_text
02230000000f0010000100040800190019004e0019,022300000003009002
02240000000f001000010004080000000000190000,022400000003009002
0225000000060001ffff0001,022500000003008102
02260000000f00100001000408002a002a0000004e,022600000003009002
02270000000f001000010004080000003e004e003e,022700000003009002
022800000006000300010001,0228000000050003020000
02290000000600050001ff00,02290000000600050001ff00
022a00000006000300000003,022a00000003008302
022b0000000600059916ff00,022b00000003008502
022c0000000f00100001000408004e004e004e004e,022c00000003009002
022d0000000f001000010004080024002400240024,022d00000003009002
022e00000006000300010001,022e000000050003020000
022f0000000f00100001000408000300000000004e,022f00000003009002
02300000000f00100001000408004e001e001e0000,023000000003009002
023100000006000300010002,023100000003008302
02320000000f001000010004080000000000240024,023200000003009002
02330000000600050001ff00,02330000000600050001ff00
023400000006000300010002,023400000003008302
0235000000060005a5ab0000,023500000003008502
02360000000600050001ff00,02360000000600050001ff00
023700000006000300010002,023700000003008302
02380000000f00100001000408004e004e0000003a,023800000003009002
023900000006000300010002,023900000003008302
023a00000006000300010002,023a00000003008302
023b0000000f001000010004080000001d004e004e,023b00000003009002
023c00000006000300010003,023c00000003008302
023d00000006000100000001,023d0000000400010101
023e00000006000300010003,023e00000003008302
023f00000006000300010002,023f00000003008302
024000000006000300000003,024000000003008302
024100000006000100000001,02410000000400010101
0242000000060005ffffff00,024200000003008502
024300000006000300010002,024300000003008302
024400000006000300010003,024400000003008302
02450000000600056c20ff00,024500000003008502
024600000006000300010001,0246000000050003020000
02470000000f00100001000408003d0000003d0000,024700000003009002
024800000006000300010003,024800000003008302
02490000000f001000010004080009004e0009004e,024900000003009002
024a00000006000300010003,024a00000003008302
024b00000006000300010002,024b00000003008302
024c0000000f001000010004080003004e00000003,024c00000003009002
024d00000008000f000000030103,024d00000003008f02
024e00000006000300010003,024e00000003008302
024f00000006000300010001,024f000000050003020000
02500000000f001000010004080000004e000f0000,025000000003009002
02510000000f00100001000408004e00000000004e,025100000003009002
02520000000f0010000100040800000000004e001e,025200000003009002
025300000006000300010003,025300000003008302
025400000008000f000000030107,025400000003008f02
02550000000f00100001000408004e004e00000000,025500000003009002
025600000006000300010002,025600000003008302
025700000006000300010002,025700000003008302
025800000006000300010002,025800000003008302
02590000000f00100001000408004e0022004e004e,025900000003009002
025a00000008000f000000010100,025a00000006000f00000001
025b0000000f0010000100040800000000004e004e,025b00000003009002
025c0000000f00100001000408001b004e004e0000,025c00000003009002
025d00000006000300010002,025d00000003008302
025e00000006000300010001,025e000000050003020000
025f0000000f00100001000408004e001800180000,025f00000003009002
02600000000b001000000002040000000b,026000000006001000000002
026100000006000300010001,026100000005000302000b
026200000006000300000003,026200000003008302
02630000000f00100001000408004e004e00400040,026300000003009002
02640000000f001000010004080005004e00000005,026400000003009002
02650000000b0010000000020400050000,026500000006001000000002
0266000000060005ffffff00,026600000003008502
026700000006000100000001,02670000000400010100
026800000006000300010002,026800000003008302
0269000000060005ffffff00,026900000003008502
026a0000000f001000010004080009004e0000004e,026a00000003009002
026b0000000f001000010004080000000000000040,026b00000003009002
026c00000006000300010003,026c00000003008302
026d00000006000300010003,026d00000003008302
026e00000006000300000003,026e00000003008302
026f00000006000300010003,026f00000003008302
027000000006000100000001,02700000000400010100
027100000006000300010001,0271000000050003020000
02720000000600058531ff00,027200000003008502
027300000006000100000001,02730000000400010100
0274000000060005ffffff00,027400000003008502
02750000000f00100001000408004e0000004e004e,027500000003009002
02760000000600051a17ff00,027600000003008502
02770000000f00100001000408003d003d0000003d,027700000003009002
027800000006000100010001,02780000000400010101
027900000006000300010002,027900000003008302
027a0000000f00100001000408001d004e004e004e,027a00000003009002
027b00000006000300010003,027b00000003008302
027c0000000f001000010004080000000800000000,027c00000003009002
027d0000000d00100000000306004e00000001,027d00000003009002
027e0000000f00100001000408002400000000004e,027e00000003009002
027f0000000f00100001000408004e004e004e004e,027f00000003009002
02800000000f00100001000408004e004e002a002a,028000000003009002
02810000000f001000010004080000002a002a0000,028100000003009002
028200000006000300010001,0282000000050003020000
0283000000060005e32a0000,028300000003008502
02840000000f00100001000408004e000000240000,028400000003009002
028500000006000300000002,02850000000700030400050000
028600000006000300010002,028600000003008302
028700000006000300010003,028700000003008302
028800000006000300010002,028800000003008302
02890000000f00100001000408004e003d0000003d,028900000003009002
028a0000000d0010000000030600480000004e,028a00000003009002
028b00000006000300010001,028b000000050003020000
028c00000006000300010002,028c00000003008302
028d0000000f0010000100040800050005004e004e,028d00000003009002
028e0000000f001000010004080019001900000000,028e00000003009002
028f0000000600050001ff00,028f0000000600050001ff00
029000000006000300010002,029000000003008302
0291000000060003b3cd0001,029100000003008302
0292000000060001ffff0001,029200000003008102
02930000000f001000010004080000000f0000004e,029300000003009002
029400000006000100000001,02940000000400010100
029500000006000300010003,029500000003008302
029600000006000300010002,029600000003008302
02970000000f00100001000408000a0000000a0000,029700000003009002
02980000000f001000010004080019004e00190019,029800000003009002
02990000000f00100001000408004e002400240024,029900000003009002
029a00000006000100000001,029a0000000400010100
029b0000000f00100001000408000900000000004e,029b00000003009002
029c0000000f00100001000408000000000000004e,029c00000003009002
029d0000000f001000010004080000004e00390039,029d00000003009002
029e00000006000300010002,029e00000003008302
029f00000006000300010003,029f00000003008302
02a0000000060001c5150001,02a000000003008102
02a10000000f00100001000408003a004e003a0000,02a100000003009002
02a200000006000300000003,02a200000003008302
02a30000000f001000010004080000004e000a000a,02a300000003009002
02a40000000f00100001000408004e004e004e004e,02a400000003009002
02a500000006000300010001,02a5000000050003020000
02a600000006000300010001,02a6000000050003020000
02a700000006000300010003,02a700000003008302
02a800000006000300000003,02a800000003008302
02a900000006000300000003,02a900000003008302
02aa00000006000100010001,02aa0000000400010101
02ab0000000f001000010004080000000000050005,02ab00000003009002
02ac0000000f00100001000408002e004e004e0000,02ac00000003009002
02ad00000006000300010001,02ad000000050003020000
02ae00000006000300010003,02ae00000003008302
02af00000006000300010002,02af00000003008302
02b00000000f00100001000408004e004e00350035,02b000000003009002
02b100000006000300010002,02b100000003008302
02b200000006000300010001,02b2000000050003020000
02b300000006000300010001,02b3000000050003020000
02b400000006000300010003,02b400000003008302
02b50000000f00100001000408001e0000004e004e,02b500000003009002
02b600000006000300010003,02b600000003008302
02b70000000f0010000100040800390039004e0000,02b700000003009002
02b800000006000300010003,02b800000003008302
02b90000000f00100001000408004e004e004e0024,02b900000003009002
02ba00000006000300010003,02ba00000003008302
02bb0000000f00100001000408004e0000002e0000,02bb00000003009002
02bc0000000600050001ff00,02bc0000000600050001ff00
02bd00000006000300010003,02bd00000003008302
02be0000000f001000010004080022004e004e0022,02be00000003009002
02bf0000000f001000010004080000000900090009,02bf00000003009002
02c0000000060005d606ff00,02c000000003008502
02c100000006000300010003,02c100000003008302
02c200000006000300010003,02c200000003008302
02c30000000600050001ff00,02c30000000600050001ff00
02c4000000060001ffff0001,02c400000003008102
02c500000006000300010001,02c5000000050003020000
02c6000000060005ffffff00,02c600000003008502
02c70000000f001000010004080000004e00000000,02c700000003009002
02c800000006000100010001,02c80000000400010101
02c900000006000300010001,02c9000000050003020000
02ca00000006000300010003,02ca00000003008302
02cb0000000f001000010004080035003500000035,02cb00000003009002
02cc00000008000f000000030104,02cc00000003008f02
02cd0000000f00100001000408004e0000003d004e,02cd00000003009002
02ce0000000f0010000100040800000019004e0019,02ce00000003009002
02cf0000000f001000010004080000000000000000,02cf00000003009002
02d00000000600050001ff00,02d00000000600050001ff00
02d10000000f001000010004080000004e0000004e,02d100000003009002
02d200000006000300010003,02d200000003008302
02d300000006000100010001,02d30000000400010101
02d40000000600053ffbff00,02d400000003008502
02d50000000f00100001000408002e004e004e004e,02d500000003009002
02d60000000f00100001000408004e0000003a003a,02d600000003009002
02d70000000f0010000100040800030000004e004e,02d700000003009002
02d8000000060005ffffff00,02d800000003008502
02d9000000060001ffff0001,02d900000003008102
02da0000000f00100001000408004e001b001b001b,02da00000003009002
02db00000006000300000001,02db000000050003020005
02dc0000000f00100001000408003d0000003d003d,02dc00000003009002
02dd00000006000300010001,02dd000000050003020000
02de00000006000100010001,02de0000000400010101
02df00000006000100000001,02df0000000400010100
02e000000006000300000003,02e000000003008302
02e100000006000300010002,02e100000003008302
