source_text,target_text
000100000006000100000001:00010000000400010100|000200000006000400320001:,000200000003008402
000200000006000400320001:000200000003008402|00030000000600050000ff00:,00030000000600050000ff00
00030000000600050000ff00:00030000000600050000ff00|00040000001a00e62cb73da6817a053a8edda09342cc2992c2df6c61cd9122fb:,000400000003006601
00040000001a00e62cb73da6817a053a8edda09342cc2992c2df6c61cd9122fb:000400000003006601|000500000006000400000004:,00050000000b0004080000000000000000
000500000006000400000004:00050000000b0004080000000000000000|00060000000600060000001e:,00060000000600060000001e
00060000000600060000001e:00060000000600060000001e|000700000006000300000001:,000700000005000302001e
000700000006000300000001:000700000005000302001e|000800000006000600000013:,000800000006000600000013
000800000006000600000013:000800000006000600000013|000900000006000500000000:,000900000006000500000000
000900000006000500000000:000900000006000500000000|000a00000006000400000004:,000a0000000b0004080000000000000000
000a00000006000400000004:000a0000000b0004080000000000000000|000b0000001200a2270bf31d6112fd5b1b2d74da36d6abbe:,000b00000003002201
000b0000001200a2270bf31d6112fd5b1b2d74da36d6abbe:000b00000003002201|000c00000006000100000001:,000c0000000400010100
000c00000006000100000001:000c0000000400010100|000d00000006000400040001:,000d00000003008402
000d00000006000400040001:000d00000003008402|000e00000006000300000001:,000e000000050003020013
000e00000006000300000001:000e000000050003020013|000f00000006000500000000:,000f00000006000500000000
000f00000006000500000000:000f00000006000500000000|001000000006000400080001:,001000000003008402
001000000006000400080001:001000000003008402|001100000006000400000004:,00110000000b0004080000000000000000
001100000006000400000004:00110000000b0004080000000000000000|001200000006000600000023:,001200000006000600000023
001200000006000600000023:001200000006000600000023|001300000006000100000001:,00130000000400010100
001300000006000100000001:00130000000400010100|001400000006000300000001:,0014000000050003020023
001400000006000300000001:0014000000050003020023|00150000000a00f17fe2a1e73528f1af:,001500000003007101
00150000000a00f17fe2a1e73528f1af:001500000003007101|00160000000600060000001d:,00160000000600060000001d
00160000000600060000001d:00160000000600060000001d|00170000001200f8ccff8dbb0ad6edd84f034d6b9499d270:,001700000003007801
00170000001200f8ccff8dbb0ad6edd84f034d6b9499d270:001700000003007801|001800000006000500000000:,001800000006000500000000
001800000006000500000000:001800000006000500000000|001900000006000100000001:,00190000000400010100
001900000006000100000001:00190000000400010100|001a00000006000300000001:,001a00000005000302001d
001a00000006000300000001:001a00000005000302001d|001b000000060003001c0001:,001b00000003008302
001b000000060003001c0001:001b00000003008302|001c00000006000400000004:,001c0000000b0004080000000000000000
001c00000006000400000004:001c0000000b0004080000000000000000|001d00000006000100300001:,001d00000003008102
001d00000006000100300001:001d00000003008102|001e00000006000300000001:,001e00000005000302001d
001e00000006000300000001:001e00000005000302001d|001f00000006000400000004:,001f0000000b0004080000000000000000
001f00000006000400000004:001f0000000b0004080000000000000000|002000000006000600000010:,002000000006000600000010
002000000006000600000010:002000000006000600000010|00210000001a00c71270cf0403cd34e62026426e3797b59506e78a02e3849716:,002100000003004701
00210000001a00c71270cf0403cd34e62026426e3797b59506e78a02e3849716:002100000003004701|002200000006000500000000:,002200000006000500000000
002200000006000500000000:002200000006000500000000|002300000006000100000001:,00230000000400010100
002300000006000100000001:00230000000400010100|002400000006000500000000:,002400000006000500000000
002400000006000500000000:002400000006000500000000|00250000000600050012ff00:,002500000003008502
00250000000600050012ff00:002500000003008502|002600000006000400000004:,00260000000b0004080000000000000000
002600000006000400000004:00260000000b0004080000000000000000|00270000001200c78b430c66e2ef17e096532a018029bd9b:,002700000003004701
00270000001200c78b430c66e2ef17e096532a018029bd9b:002700000003004701|002800000006000100000001:,00280000000400010100
002800000006000100000001:00280000000400010100|002900000006000600000006:,002900000006000600000006
002900000006000600000006:002900000006000600000006|002a00000006000300000001:,002a000000050003020006
002a00000006000300000001:002a000000050003020006|002b0000000600050000ff00:,002b0000000600050000ff00
002b0000000600050000ff00:002b0000000600050000ff00|002c00000006000100000001:,002c0000000400010101
002c00000006000100000001:002c0000000400010101|002d00000006000400000004:,002d0000000b0004084ffd5f4e1c21c05b
002d00000006000400000004:002d0000000b0004084ffd5f4e1c21c05b|002e0000000a0031349420c81aa9228e:,002e0000000300b101
002e0000000a0031349420c81aa9228e:002e0000000300b101|002f00000006000300000001:,002f000000050003020006
002f00000006000300000001:002f000000050003020006|003000000006000600000011:,003000000006000600000011
003000000006000600000011:003000000006000600000011|003100000006000100200001:,003100000003008102
003100000006000100200001:003100000003008102|003200000006000100000001:,00320000000400010101
003200000006000100000001:00320000000400010101|003300000006000500000000:,003300000006000500000000
003300000006000500000000:003300000006000500000000|00340000000600060000000f:,00340000000600060000000f
00340000000600060000000f:00340000000600060000000f|003500000006000300000001:,003500000005000302000f
003500000006000300000001:003500000005000302000f|003600000006000500270000:,003600000003008502
003600000006000500270000:003600000003008502|003700000006000400000004:,00370000000b0004080000000000000000
003700000006000400000004:00370000000b0004080000000000000000|00380000000a00abca6a84a3b43c6c44:,003800000003002b01
00380000000a00abca6a84a3b43c6c44:003800000003002b01|003900000006000100000001:,00390000000400010100
003900000006000100000001:00390000000400010100|003a0000000600050001ff00:,003a00000003008502
003a0000000600050001ff00:003a00000003008502|003b00000006000600000006:,003b00000006000600000006
003b00000006000600000006:003b00000006000600000006|003c00000006000300000001:,003c000000050003020006
003c00000006000300000001:003c000000050003020006|003d0000000a00361a5740a3c8c36fc7:,003d0000000300b601
003d0000000a00361a5740a3c8c36fc7:003d0000000300b601|003e0000000600050000ff00:,003e0000000600050000ff00
