source_text,target_text
000100000006000500000000:000100000006000500000000|000200000006000400000004:00020000000b0004080000000000000000|0003000000060006002e000b:,000300000003008602
000200000006000400000004:00020000000b0004080000000000000000|0003000000060006002e000b:000300000003008602|00040000001a00a556d40a69bad91027fd5a34b9c922eb8722e594d11acb65f5:,000400000003002501
0003000000060006002e000b:000300000003008602|00040000001a00a556d40a69bad91027fd5a34b9c922eb8722e594d11acb65f5:000400000003002501|000500000006000100000001:,00050000000400010100
00040000001a00a556d40a69bad91027fd5a34b9c922eb8722e594d11acb65f5:000400000003002501|000500000006000100000001:00050000000400010100|000600000006000600000028:,000600000006000600000028
000500000006000100000001:00050000000400010100|000600000006000600000028:000600000006000600000028|000700000006000300000001:,0007000000050003020028
000600000006000600000028:000600000006000600000028|000700000006000300000001:0007000000050003020028|000800000006000400000004:,00080000000b0004080000000000000000
000700000006000300000001:0007000000050003020028|000800000006000400000004:00080000000b0004080000000000000000|000900000006000600000030:,000900000006000600000030
000800000006000400000004:00080000000b0004080000000000000000|000900000006000600000030:000900000006000600000030|000a00000006000300000001:,000a000000050003020030
000900000006000600000030:000900000006000600000030|000a00000006000300000001:000a000000050003020030|000b0000000a00aff35d16f0b41f349f:,000b00000003002f01
000a00000006000300000001:000a000000050003020030|000b0000000a00aff35d16f0b41f349f:000b00000003002f01|000c00000006000100000001:,000c0000000400010100
000b0000000a00aff35d16f0b41f349f:000b00000003002f01|000c00000006000100000001:000c0000000400010100|000d00000006000500000000:,000d00000006000500000000
000c00000006000100000001:000c0000000400010100|000d00000006000500000000:000d00000006000500000000|000e00000006000400160001:,000e00000003008402
000d00000006000500000000:000d00000006000500000000|000e00000006000400160001:000e00000003008402|000f00000006000600000031:,000f00000006000600000031
000e00000006000400160001:000e00000003008402|000f00000006000600000031:000f00000006000600000031|001000000006000300000001:,0010000000050003020031
000f00000006000600000031:000f00000006000600000031|001000000006000300000001:0010000000050003020031|001100000006000500000000:,001100000006000500000000
001000000006000300000001:0010000000050003020031|001100000006000500000000:001100000006000500000000|001200000006000400000004:,00120000000b0004080000000000000000
001100000006000500000000:001100000006000500000000|001200000006000400000004:00120000000b0004080000000000000000|00130000001200212a2414083cf454ecab83fbc77329a22d:,00130000000300a101
001200000006000400000004:00120000000b0004080000000000000000|00130000001200212a2414083cf454ecab83fbc77329a22d:00130000000300a101|001400000006000400120001:,001400000003008402
00130000001200212a2414083cf454ecab83fbc77329a22d:00130000000300a101|001400000006000400120001:001400000003008402|001500000006000100000001:,00150000000400010100
001400000006000400120001:001400000003008402|001500000006000100000001:00150000000400010100|00160000000600060000000a:,00160000000600060000000a
001500000006000100000001:00150000000400010100|00160000000600060000000a:00160000000600060000000a|0017000000060001001e0001:,001700000003008102
00160000000600060000000a:00160000000600060000000a|0017000000060001001e0001:001700000003008102|001800000006000400000004:,00180000000b0004080000000000000000
0017000000060001001e0001:001700000003008102|001800000006000400000004:00180000000b0004080000000000000000|001900000006000100000001:,00190000000400010100
001800000006000400000004:00180000000b0004080000000000000000|001900000006000100000001:00190000000400010100|001a00000006000300000001:,001a00000005000302000a
001900000006000100000001:00190000000400010100|001a00000006000300000001:001a00000005000302000a|001b00000006000500000000:,001b00000006000500000000
001a00000006000300000001:001a00000005000302000a|001b00000006000500000000:001b00000006000500000000|001c0000000a009a6894034acc9139d6:,001c00000003001a01
001b00000006000500000000:001b00000006000500000000|001c0000000a009a6894034acc9139d6:001c00000003001a01|001d0000000600050000ff00:,001d0000000600050000ff00
001c0000000a009a6894034acc9139d6:001c00000003001a01|001d0000000600050000ff00:001d0000000600050000ff00|001e0000001a009870b8422fcc3a03be202245ac6832a00202db8bbbc11207ad:,001e00000003001801
001d0000000600050000ff00:001d0000000600050000ff00|001e0000001a009870b8422fcc3a03be202245ac6832a00202db8bbbc11207ad:001e00000003001801|001f00000006000400000004:,001f0000000b0004086236f3f6d388c072
001e0000001a009870b8422fcc3a03be202245ac6832a00202db8bbbc11207ad:001e00000003001801|001f00000006000400000004:001f0000000b0004086236f3f6d388c072|002000000006000300000001:,002000000005000302000a
001f00000006000400000004:001f0000000b0004086236f3f6d388c072|002000000006000300000001:002000000005000302000a|002100000006000600000016:,002100000006000600000016
002000000006000300000001:002000000005000302000a|002100000006000600000016:002100000006000600000016|002200000006000100000001:,00220000000400010101
002100000006000600000016:002100000006000600000016|002200000006000100000001:00220000000400010101|00230000000600060019000b:,002300000003008602
002200000006000100000001:00220000000400010101|00230000000600060019000b:002300000003008602|002400000006000100000001:,00240000000400010101
00230000000600060019000b:002300000003008602|002400000006000100000001:00240000000400010101|0025000000060003002e0001:,002500000003008302
002400000006000100000001:00240000000400010101|0025000000060003002e0001:002500000003008302|002600000006000400000004:,00260000000b000408cde02731c7a3c096
0025000000060003002e0001:002500000003008302|002600000006000400000004:00260000000b000408cde02731c7a3c096|002700000006000300000001:,0027000000050003020016
002600000006000400000004:00260000000b000408cde02731c7a3c096|002700000006000300000001:0027000000050003020016|00280000000600050000ff00:,00280000000600050000ff00
002700000006000300000001:0027000000050003020016|00280000000600050000ff00:00280000000600050000ff00|00290000000a00f5e4a9fef5d55c689a:,002900000003007501
00280000000600050000ff00:00280000000600050000ff00|00290000000a00f5e4a9fef5d55c689a:002900000003007501|002a0000000600060000000f:,002a0000000600060000000f
