,source_text,target_text
605,04bb0000000b0010000000020400004120:04bb00000006001000000002|04bc00000006000400000002:,04bc0000000700040403055015
391,030f0000000b0010000000020400004000:030f00000006001000000002|031000000006000400000002:,031000000007000404000142c8
546,04450000000b00100000000204000040a0:044500000006001000000002|044600000006000400000002:,044600000007000404500847c3
1099,08970000000b0010000000020400004080:089700000006001000000002|089800000006000400000002:,0898000000070004044001461c
315,02770000000b00100000000204000040e0:027700000006001000000002|027800000006000400000002:,027800000007000404967d4b18
1358,0a9d0000000b0010000000020400004000:0a9d00000006001000000002|0a9e00000006000400000002:,0a9e00000007000404000142c8
1570,0c450000000b0010000000020400004110:0c4500000006001000000002|0c4600000006000400000002:,0c46000000070004046b344e6e
244,01e90000000b0010000000020400004120:01e900000006001000000002|01ea00000006000400000002:,01ea0000000700040403055015
1210,09750000000b00100000000204000040a0:097500000006001000000002|097600000006000400000002:,097600000007000404500847c3
44,00590000000b0010000000020400004120:005900000006001000000002|005a00000006000400000002:,005a0000000700040403055015
1094,088d0000000b0010000000020400004040:088d00000006001000000002|088e00000006000400000002:,088e000000070004040002447a
1029,080b0000000b00100000000204000040a0:080b00000006001000000002|080c00000006000400000002:,080c00000007000404500847c3
840,06910000000b0010000000020400004110:069100000006001000000002|069200000006000400000002:,0692000000070004046b344e6e
843,06970000000b0010000000020400004040:069700000006001000000002|069800000006000400000002:,0698000000070004040002447a
1594,0c750000000b0010000000020400003f80:0c7500000006001000000002|0c7600000006000400000002:,0c760000000700040400004120
5,000b0000000b0010000000020400004110:000b00000006001000000002|000c00000006000400000002:,000c000000070004046b344e6e
153,01330000000b00100000000204000040a0:013300000006001000000002|013400000006000400000002:,013400000007000404500847c3
8,00110000000b0010000000020400004110:001100000006001000000002|001200000006000400000002:,0012000000070004046b344e6e
487,03cf0000000b00100000000204000040a0:03cf00000006001000000002|03d000000006000400000002:,03d000000007000404500847c3
1583,0c5f0000000b0010000000020400004080:0c5f00000006001000000002|0c6000000006000400000002:,0c60000000070004044001461c
6,000d0000000b0010000000020400004080:000d00000006001000000002|000e00000006000400000002:,000e000000070004044001461c
1353,0a930000000b0010000000020400004000:0a9300000006001000000002|0a9400000006000400000002:,0a9400000007000404000142c8
976,07a10000000b0010000000020400003f80:07a100000006001000000002|07a200000006000400000002:,07a20000000700040400004120
1217,09830000000b00100000000204000040e0:098300000006001000000002|098400000006000400000002:,098400000007000404967d4b18
369,02e30000000b00100000000204000040c0:02e300000006001000000002|02e400000006000400000002:,02e40000000700040424034974
1329,0a630000000b0010000000020400003f80:0a6300000006001000000002|0a6400000006000400000002:,0a640000000700040400004120
922,07350000000b0010000000020400004100:073500000006001000000002|073600000006000400000002:,073600000007000404bc234cbe
446,037d0000000b00100000000204000040a0:037d00000006001000000002|037e00000006000400000002:,037e00000007000404500847c3
1519,0bdf0000000b0010000000020400004080:0bdf00000006001000000002|0be000000006000400000002:,0be0000000070004044001461c
1551,0c1f0000000b0010000000020400004000:0c1f00000006001000000002|0c2000000006000400000002:,0c2000000007000404000142c8
1313,0a430000000b00100000000204000040e0:0a4300000006001000000002|0a4400000006000400000002:,0a4400000007000404967d4b18
60,00790000000b0010000000020400004040:007900000006001000000002|007a00000006000400000002:,007a000000070004040002447a
1457,0b630000000b00100000000204000040c0:0b6300000006001000000002|0b6400000006000400000002:,0b640000000700040424034974
1350,0a8d0000000b0010000000020400000000:0a8d00000006001000000002|0a8e00000006000400000002:,0a8e0000000700040400003f80
137,01130000000b0010000000020400004110:011300000006001000000002|011400000006000400000002:,0114000000070004046b344e6e
848,06a10000000b0010000000020400004080:06a100000006001000000002|06a200000006000400000002:,06a2000000070004044001461c
307,02670000000b0010000000020400004040:026700000006001000000002|026800000006000400000002:,0268000000070004040002447a
996,07c90000000b0010000000020400000000:07c900000006001000000002|07ca00000006000400000002:,07ca0000000700040400003f80
1333,0a6b0000000b0010000000020400004110:0a6b00000006001000000002|0a6c00000006000400000002:,0a6c000000070004046b344e6e
887,06ef0000000b0010000000020400000000:06ef00000006001000000002|06f000000006000400000002:,06f00000000700040400003f80
1164,09190000000b00100000000204000040e0:091900000006001000000002|091a00000006000400000002:,091a00000007000404967d4b18
1515,0bd70000000b0010000000020400004080:0bd700000006001000000002|0bd800000006000400000002:,0bd8000000070004044001461c
313,02730000000b0010000000020400004120:027300000006001000000002|027400000006000400000002:,02740000000700040403055015
1500,0bb90000000b0010000000020400004110:0bb900000006001000000002|0bba00000006000400000002:,0bba000000070004046b344e6e
250,01f50000000b0010000000020400004000:01f500000006001000000002|01f600000006000400000002:,01f600000007000404000142c8
1065,08530000000b00100000000204000040a0:085300000006001000000002|085400000006000400000002:,085400000007000404500847c3
1557,0c2b0000000b0010000000020400003f80:0c2b00000006001000000002|0c2c00000006000400000002:,0c2c0000000700040400004120
966,078d0000000b0010000000020400004110:078d00000006001000000002|078e00000006000400000002:,078e000000070004046b344e6e
766,05fd0000000b0010000000020400000000:05fd00000006001000000002|05fe00000006000400000002:,05fe0000000700040400003f80
1301,0a2b0000000b0010000000020400004000:0a2b00000006001000000002|0a2c00000006000400000002:,0a2c00000007000404000142c8
620,04d90000000b0010000000020400003f80:04d900000006001000000002|04da00000006000400000002:,04da0000000700040400004120
219,01b70000000b00100000000204000040c0:01b700000006001000000002|01b800000006000400000002:,01b80000000700040424034974
507,03f70000000b00100000000204000040a0:03f700000006001000000002|03f800000006000400000002:,03f800000007000404500847c3
709,058b0000000b0010000000020400000000:058b00000006001000000002|058c00000006000400000002:,058c0000000700040400003f80
494,03dd0000000b0010000000020400004100:03dd00000006001000000002|03de00000006000400000002:,03de00000007000404bc234cbe
692,05690000000b0010000000020400004000:056900000006001000000002|056a00000006000400000002:,056a00000007000404000142c8
813,065b0000000b0010000000020400004100:065b00000006001000000002|065c00000006000400000002:,065c00000007000404bc234cbe
551,044f0000000b0010000000020400004110:044f00000006001000000002|045000000006000400000002:,0450000000070004046b344e6e
474,03b50000000b00100000000204000040e0:03b500000006001000000002|03b600000006000400000002:,03b600000007000404967d4b18
21,002b0000000b0010000000020400004080:002b00000006001000000002|002c00000006000400000002:,002c000000070004044001461c
818,06650000000b0010000000020400003f80:066500000006001000000002|066600000006000400000002:,06660000000700040400004120
199,018f0000000b0010000000020400000000:018f00000006001000000002|019000000006000400000002:,01900000000700040400003f80
39,004f0000000b0010000000020400004040:004f00000006001000000002|005000000006000400000002:,0050000000070004040002447a
1445,0b4b0000000b0010000000020400003f80:0b4b00000006001000000002|0b4c00000006000400000002:,0b4c0000000700040400004120
1347,0a870000000b0010000000020400004120:0a8700000006001000000002|0a8800000006000400000002:,0a880000000700040403055015
1273,09f30000000b0010000000020400000000:09f300000006001000000002|09f400000006000400000002:,09f40000000700040400003f80
1213,097b0000000b0010000000020400004040:097b00000006001000000002|097c00000006000400000002:,097c000000070004040002447a
1227,09970000000b0010000000020400004100:099700000006001000000002|099800000006000400000002:,099800000007000404bc234cbe
784,06210000000b0010000000020400004110:062100000006001000000002|062200000006000400000002:,0622000000070004046b344e6e
239,01df0000000b0010000000020400004000:01df00000006001000000002|01e000000006000400000002:,01e000000007000404000142c8
570,04750000000b0010000000020400003f80:047500000006001000000002|047600000006000400000002:,04760000000700040400004120
964,07890000000b00100000000204000040a0:078900000006001000000002|078a00000006000400000002:,078a00000007000404500847c3
116,00e90000000b0010000000020400003f80:00e900000006001000000002|00ea00000006000400000002:,00ea0000000700040400004120
810,06550000000b00100000000204000040c0:065500000006001000000002|065600000006000400000002:,06560000000700040424034974
522,04150000000b0010000000020400004100:041500000006001000000002|041600000006000400000002:,041600000007000404bc234cbe
99,00c70000000b0010000000020400004040:00c700000006001000000002|00c800000006000400000002:,00c8000000070004040002447a
839,068f0000000b0010000000020400004110:068f00000006001000000002|069000000006000400000002:,0690000000070004046b344e6e
1216,09810000000b00100000000204000040c0:098100000006001000000002|098200000006000400000002:,09820000000700040424034974
858,06b50000000b0010000000020400004000:06b500000006001000000002|06b600000006000400000002:,06b600000007000404000142c8
1486,0b9d0000000b0010000000020400004080:0b9d00000006001000000002|0b9e00000006000400000002:,0b9e000000070004044001461c
499,03e70000000b0010000000020400004100:03e700000006001000000002|03e800000006000400000002:,03e800000007000404bc234cbe
511,03ff0000000b0010000000020400004000:03ff00000006001000000002|040000000006000400000002:,040000000007000404000142c8
1034,08150000000b0010000000020400004120:081500000006001000000002|081600000006000400000002:,08160000000700040403055015
1264,09e10000000b0010000000020400004080:09e100000006001000000002|09e200000006000400000002:,09e2000000070004044001461c
1038,081d0000000b0010000000020400004000:081d00000006001000000002|081e00000006000400000002:,081e00000007000404000142c8
152,01310000000b0010000000020400004120:013100000006001000000002|013200000006000400000002:,01320000000700040403055015
1581,0c5b0000000b00100000000204000040c0:0c5b00000006001000000002|0c5c00000006000400000002:,0c5c0000000700040424034974
440,03710000000b00100000000204000040a0:037100000006001000000002|037200000006000400000002:,037200000007000404500847c3
1339,0a770000000b0010000000020400004120:0a7700000006001000000002|0a7800000006000400000002:,0a780000000700040403055015
939,07570000000b00100000000204000040a0:075700000006001000000002|075800000006000400000002:,075800000007000404500847c3
353,02c30000000b0010000000020400004110:02c300000006001000000002|02c400000006000400000002:,02c4000000070004046b344e6e
456,03910000000b0010000000020400004040:039100000006001000000002|039200000006000400000002:,0392000000070004040002447a
460,03990000000b0010000000020400004120:039900000006001000000002|039a00000006000400000002:,039a0000000700040403055015
409,03330000000b0010000000020400004110:033300000006001000000002|033400000006000400000002:,0334000000070004046b344e6e
1012,07e90000000b0010000000020400004040:07e900000006001000000002|07ea00000006000400000002:,07ea000000070004040002447a
708,05890000000b00100000000204000040e0:058900000006001000000002|058a00000006000400000002:,058a00000007000404967d4b18
289,02430000000b0010000000020400004000:024300000006001000000002|024400000006000400000002:,024400000007000404000142c8
1349,0a8b0000000b00100000000204000040c0:0a8b00000006001000000002|0a8c00000006000400000002:,0a8c0000000700040424034974
1330,0a650000000b0010000000020400004110:0a6500000006001000000002|0a6600000006000400000002:,0a66000000070004046b344e6e
506,03f50000000b00100000000204000040c0:03f500000006001000000002|03f600000006000400000002:,03f60000000700040424034974
741,05cb0000000b00100000000204000040a0:05cb00000006001000000002|05cc00000006000400000002:,05cc00000007000404500847c3
787,06270000000b0010000000020400004100:062700000006001000000002|062800000006000400000002:,062800000007000404bc234cbe
1300,0a290000000b00100000000204000040a0:0a2900000006001000000002|0a2a00000006000400000002:,0a2a00000007000404500847c3
1386,0ad50000000b0010000000020400004120:0ad500000006001000000002|0ad600000006000400000002:,0ad60000000700040403055015
1054,083d0000000b00100000000204000040e0:083d00000006001000000002|083e00000006000400000002:,083e00000007000404967d4b18
1575,0c4f0000000b0010000000020400004080:0c4f00000006001000000002|0c5000000006000400000002:,0c50000000070004044001461c
1284,0a090000000b00100000000204000040a0:0a0900000006001000000002|0a0a00000006000400000002:,0a0a00000007000404500847c3
254,01fd0000000b0010000000020400003f80:01fd00000006001000000002|01fe00000006000400000002:,01fe0000000700040400004120
50,00650000000b0010000000020400004110:006500000006001000000002|006600000006000400000002:,0066000000070004046b344e6e
234,01d50000000b00100000000204000040e0:01d500000006001000000002|01d600000006000400000002:,01d600000007000404967d4b18
915,07270000000b0010000000020400004040:072700000006001000000002|072800000006000400000002:,0728000000070004040002447a
1036,08190000000b00100000000204000040e0:081900000006001000000002|081a00000006000400000002:,081a00000007000404967d4b18
515,04070000000b0010000000020400004080:040700000006001000000002|040800000006000400000002:,0408000000070004044001461c
1374,0abd0000000b0010000000020400004000:0abd00000006001000000002|0abe00000006000400000002:,0abe00000007000404000142c8
284,02390000000b0010000000020400004040:023900000006001000000002|023a00000006000400000002:,023a000000070004040002447a
154,01350000000b0010000000020400004080:013500000006001000000002|013600000006000400000002:,0136000000070004044001461c
437,036b0000000b0010000000020400004110:036b00000006001000000002|036c00000006000400000002:,036c000000070004046b344e6e
29,003b0000000b0010000000020400004040:003b00000006001000000002|003c00000006000400000002:,003c000000070004040002447a
652,05190000000b0010000000020400004120:051900000006001000000002|051a00000006000400000002:,051a0000000700040403055015
