,source_text,target_text
366,016f00000006000300010001:016f000000050003020010|017000000006000300020001:0170000000050003020000|017100000006000600020022:017100000006000600020022|0172000000060003000f0001:017200000003008302|017300000006000300000001:,0173000000050003020001
328,014900000006000300020001:0149000000050003020004|014a00000006000400000004:014a0000000b0004080000000000000000|014b00000006000600030019:014b00000006000600030019|014c00000006000100000001:014c0000000400010100|014d0000001a00aa7d16a3b543ec9e6957a687ab3a3581f7fde3c5c2c5cdd4f7:,014d00000003002a01
1013,03f600000006000300020001:03f600000005000302006b|03f700000006000300030001:03f70000000500030200d3|03f800000006000300010001:03f8000000050003020026|03f900000006000300000001:03f9000000050003020027|03fa00000006000100000001:,03fa0000000400010100
1002,03eb000000060005001bff00:03eb00000003008502|03ec00000006000500000000:03ec00000006000500000000|03ed00000006000100000001:03ed0000000400010100|03ee0000000600060002006b:03ee0000000600060002006b|03ef00000006000300030001:,03ef000000050003020023
666,029b00000006000600030003:029b00000006000600030003|029c0000000600050029ff00:029c00000003008502|029d00000006000300030001:029d000000050003020003|029e00000006000600000000:029e00000006000600000000|029f00000006000600020001:,029f00000006000600020001
1027,040400000006000300010001:0404000000050003020062|040500000006000100000001:04050000000400010101|040600000006000600030003:040600000006000600030003|040700000006000400000004:04070000000b0004080000000000004044|040800000006000300030001:,0408000000050003020003
239,00f00000000600050000ff00:00f00000000600050000ff00|00f100000006000300010001:00f1000000050003020005|00f20000000a00a51fb522ed9440ccb5:00f200000003002501|00f300000006000400000004:00f30000000b000408999a999999993fa9|00f400000006000100170001:,00f400000003008102
1000,03e900000006000300030001:03e9000000050003020023|03ea00000006000600010026:03ea00000006000600010026|03eb000000060005001bff00:03eb00000003008502|03ec00000006000500000000:03ec00000006000500000000|03ed00000006000100000001:,03ed0000000400010100
315,013c0000000600060003000b:013c0000000600060003000b|013d00000006000300030001:013d00000005000302000b|013e00000006000300000001:013e000000050003020016|013f00000006000400000004:013f0000000b0004080000000000004036|014000000006000100000001:,01400000000400010101
1053,041e00000006000600000008:041e00000006000600000008|041f00000006000300000001:041f000000050003020008|042000000006000600030001:042000000006000600030001|042100000006000600010001:042100000006000600010001|04220000000600050000ff00:,04220000000600050000ff00
725,02d60000000600050000ff00:02d60000000600050000ff00|02d700000006000600000049:02d700000006000600000049|02d800000006000300020001:02d800000005000302004c|02d900000006000600020001:02d900000006000600020001|02da00000006000400000004:,02da0000000b0004080000000040004052
922,039b0000000600060001004e:039b0000000600060001004e|039c00000006000300020001:039c00000005000302003e|039d00000006000600020032:039d00000006000600020032|039e0000000600050004ff00:039e00000003008502|039f0000000600050000ff00:,039f0000000600050000ff00
324,01450000000a004d2bb410cf7985f5fb:01450000000300cd01|0146000000060004001e0001:014600000003008402|014700000006000600000015:014700000006000600000015|014800000006000500000000:014800000006000500000000|014900000006000300020001:,0149000000050003020004
882,037300000006000400000004:03730000000b000408000000000000402a|037400000006000600020004:037400000006000600020004|037500000006000300010001:0375000000050003020007|03760000000a00ae3a4b852f267e845d:037600000003002e01|037700000006000600000004:,037700000006000600000004
530,021300000006000100220001:021300000003008102|02140000001a008bc7edcedd81d73af8ae789394871ad94c81e963ff31d77c54:021400000003000b01|021500000006000600020000:021500000006000600020000|02160000001a00d8be30da200dd958f136a4f794163c2c89d4c4b2d7a37f4387:021600000003005801|02170000000600060002001a:,02170000000600060002001a
878,036f00000006000600030001:036f00000006000600030001|037000000006000300020001:037000000005000302004e|03710000000600050000ff00:03710000000600050000ff00|037200000006000600010007:037200000006000600010007|037300000006000400000004:,03730000000b000408000000000000402a
758,02f700000006000300030001:02f700000005000302006f|02f80000000600050000ff00:02f80000000600050000ff00|02f900000006000400000004:02f90000000b000408000000000000403a|02fa0000001a0048b00d0b090b2c52ee6b8d88b31f2ad64375232f3b501c9127:02fa0000000300c801|02fb00000006000600020081:,02fb00000006000600020081
1108,045500000006000100000001:04550000000400010101|045600000006000400050001:045600000003008402|045700000006000300030001:0457000000050003020062|045800000006000400000004:04580000000b000408000000000000404d|045900000006000600000007:,045900000006000600000007
93,005e00000006000100000001:005e0000000400010101|005f00000006000400000004:005f0000000b000408000000000000403d|00600000000600050007ff00:006000000003008502|006100000006000300000001:006100000005000302001d|006200000006000600020003:,006200000006000600020003
940,03ad00000006000600000003:03ad00000006000600000003|03ae00000006000600030004:03ae00000006000600030004|03af0000001a00ac020e705ea215a6c646efec71cf032cffe09279335bf3c0dc:03af00000003002c01|03b000000006000500000000:03b000000006000500000000|03b100000006000400000004:,03b10000000b0004080000000000000000
960,03c100000006000600030071:03c100000006000600030071|03c20000000600050000ff00:03c20000000600050000ff00|03c300000006000300030001:03c3000000050003020071|03c400000006000300010001:03c4000000050003020026|03c50000001a00576ed6d0289cb22d3366c18843739df3ecd046585df31b5225:,03c50000000300d701
