,source_text,target_text
1389,056e00000006000400000004:056e0000000b0004080000000000000000|056f0000000600060001001f:,056f0000000600060001001f
2645,0a560000000600060000001a:0a560000000600060000001a|0a5700000006000300020001:,0a57000000050003020019
382,017f00000006000600000003:017f00000006000600000003|018000000006000400000004:,01800000000b0004080000000000004008
3056,0bf100000006000300020001:0bf1000000050003020007|0bf20000000600060001000a:,0bf20000000600060001000a
916,039500000006000300020001:039500000005000302001a|039600000006000600000012:,039600000006000600000012
1117,045e0000001a001e941e2a6eca751d6286e50192ecc556805a0a77a9cb20e7e3:045e00000003009e01|045f00000006000300020001:,045f000000050003020024
1894,076700000006000100000001:07670000000400010101|076800000006000300030001:,0768000000050003020019
2170,087b00000006000400000004:087b0000000b000408000000000000402e|087c00000006000600020017:,087c00000006000600020017
2674,0a7300000006000300030001:0a7300000005000302002c|0a7400000006000300000001:,0a74000000050003020014
2412,096d00000006000100000001:096d0000000400010100|096e00000006000400000004:,096e0000000b0004080000000000000000
1045,04160000000600060002002f:04160000000600060002002f|041700000006000600000019:,041700000006000600000019
2042,07fb00000006000600010001:07fb00000006000600010001|07fc00000006000300000001:,07fc00000005000302002e
3391,0d4000000006000300020001:0d4000000005000302000b|0d4100000006000300030001:,0d4100000005000302000c
2325,09160000000600060003000a:09160000000600060003000a|091700000006000300000001:,0917000000050003020019
3366,0d2700000006000300010001:0d2700000005000302000e|0d2800000006000300010001:,0d2800000005000302000e
3097,0c1a0000000600060001002d:0c1a0000000600060001002d|0c1b0000000600060002001a:,0c1b0000000600060002001a
1725,06be00000006000600030029:06be00000006000600030029|06bf00000006000300030001:,06bf000000050003020029
1238,04d70000000600060000000b:04d70000000600060000000b|04d80000000600060003000c:,04d80000000600060003000c
2358,093700000006000600030026:093700000006000600030026|093800000006000600010006:,093800000006000600010006
3039,0be000000006000500000000:0be000000006000500000000|0be100000006000500010000:,0be100000003008502
3176,0c6900000006000500000000:0c6900000006000500000000|0c6a00000006000100000001:,0c6a0000000400010100
3035,0bdc0000000a00669c78503e8d95854d:0bdc0000000300e601|0bdd00000006000300010001:,0bdd000000050003020002
2456,099900000006000400000004:09990000000b0004080000000000000000|099a00000006000600000008:,099a00000006000600000008
2569,0a0a0000000600060001002b:0a0a0000000600060001002b|0a0b00000006000500000000:,0a0b00000006000500000000
1464,05b900000006000600010000:05b900000006000600010000|05ba0000001a00382c1514d3f376f5ff148c9ee9399a05784ca23beb4c01e23a:,05ba0000000300b801
1279,050000000006000600030013:050000000006000600030013|050100000006000600010000:,050100000006000600010000
3555,0de400000006000400000004:0de40000000b0004080000000000000000|0de500000006000500180000:,0de500000003008502
2226,08b300000006000600030013:08b300000006000600030013|08b400000006000100000001:,08b40000000400010100
202,00cb00000006000600000003:00cb00000006000600000003|00cc00000006000300020001:,00cc000000050003020016
1808,071100000006000300030001:0711000000050003020001|07120000000a00260b5e75d6931c798e:,07120000000300a601
2738,0ab300000006000600030012:0ab300000006000600030012|0ab400000006000600010029:,0ab400000006000600010029
2533,09e600000006000300010001:09e6000000050003020003|09e700000006000500000000:,09e700000006000500000000
117,007600000006000600030012:007600000006000600030012|007700000006000300020001:,0077000000050003020024
955,03bc0000001a00da09d530ba91ab9bfaccfd81433c61752a6e0529feea5c9f61:03bc00000003005a01|03bd00000006000100000001:,03bd0000000400010101
2609,0a3200000006000600010007:0a3200000006000600010007|0a3300000006000600020025:,0a3300000006000600020025
2025,07ea00000006000100250001:07ea00000003008102|07eb00000006000300010001:,07eb000000050003020012
1629,065e00000006000300020001:065e000000050003020020|065f00000006000600000021:,065f00000006000600000021
3048,0be900000006000600030027:0be900000006000600030027|0bea00000006000500000000:,0bea00000006000500000000
2590,0a1f00000006000300000001:0a1f00000005000302000a|0a200000000600060003000a:,0a200000000600060003000a
1434,059b0000000600060002002a:059b0000000600060002002a|059c00000006000400000004:,059c0000000b0004080000000000000000
1995,07cc0000000600060001001d:07cc0000000600060001001d|07cd00000006000300000001:,07cd000000050003020029
171,00ac00000006000300020001:00ac000000050003020011|00ad00000006000600020017:,00ad00000006000600020017
618,026b00000006000300000001:026b000000050003020011|026c00000006000500000000:,026c00000006000500000000
2739,0ab400000006000600010029:0ab400000006000600010029|0ab500000006000100140001:,0ab500000003008102
2031,07f000000006000600010012:07f000000006000600010012|07f100000012006c6e07c77a601e15c59c44dce84d8be497:,07f10000000300ec01
3136,0c410000001200590865105f41231938957e13beb507160b:0c410000000300d901|0c4200000006000600030021:,0c4200000006000600030021
2024,07e900000006000400000004:07e90000000b0004080000000000000000|07ea00000006000100250001:,07ea00000003008102
1554,061300000006000100000001:06130000000400010100|06140000000600060001002b:,06140000000600060001002b
2845,0b1e00000006000300010001:0b1e00000005000302001f|0b1f00000006000100000001:,0b1f0000000400010100
139,008c0000000600060002001a:008c0000000600060002001a|008d0000000600060001002c:,008d0000000600060001002c
2538,09eb00000006000300000001:09eb000000050003020004|09ec0000001a0020a53f68598a0f406180275189675d2520957e2933865d2dc0:,09ec0000000300a001
2559,0a0000000006000600010014:0a0000000006000600010014|0a0100000006000600030000:,0a0100000006000600030000
2997,0bb600000006000100000001:0bb60000000400010101|0bb70000000600060000001b:,0bb70000000600060000001b
3453,0d7e00000006000600020022:0d7e00000006000600020022|0d7f00000006000500000000:,0d7f00000006000500000000
3178,0c6b00000006000400000004:0c6b0000000b0004080000000000000000|0c6c00000006000300010001:,0c6c000000050003020014
3540,0dd50000000600060002000f:0dd50000000600060002000f|0dd600000006000400000004:,0dd60000000b0004080000000000000000
1667,0684000000060001001d0001:068400000003008102|068500000006000600020015:,068500000006000600020015
3102,0c1f00000006000600030005:0c1f00000006000600030005|0c2000000006000300010001:,0c2000000005000302002d
3403,0d4c00000006000600000009:0d4c00000006000600000009|0d4d00000006000100000001:,0d4d0000000400010101
2839,0b180000000600060001001f:0b180000000600060001001f|0b1900000006000300000001:,0b1900000005000302000e
1910,077700000006000300030001:0777000000050003020005|077800000006000100000001:,07780000000400010100
1170,049300000006000300010001:0493000000050003020027|049400000006000300020001:,0494000000050003020017
1298,051300000006000300000001:0513000000050003020017|051400000006000100000001:,05140000000400010101
356,016500000006000600030004:016500000006000600030004|016600000006000300010001:,016600000005000302000a
829,033e00000006000300030001:033e00000005000302002b|033f0000000600060000002d:,033f0000000600060000002d
3384,0d3900000006000300000001:0d39000000050003020000|0d3a0000000600050027ff00:,0d3a00000003008502
1838,072f00000006000500000000:072f00000006000500000000|07300000001a008ec38cf1bea16111e989cf81be875c0291e2ec38d84864de6d:,073000000003000e01
2197,089600000006000400000004:08960000000b0004080000000000004042|089700000006000300010001:,089700000005000302000d
2954,0b8b00000006000600030004:0b8b00000006000600030004|0b8c00000006000500040000:,0b8c00000003008502
2417,09720000000a00624b349b20233eb81e:09720000000300e201|097300000006000300020001:,097300000005000302001f
2403,096400000006000300020001:0964000000050003020011|09650000000600060001001d:,09650000000600060001001d
262,010700000006000600000005:010700000006000600000005|010800000006000600150018:,010800000003008602
1297,051200000006000300020001:051200000005000302000c|051300000006000300000001:,0513000000050003020017
2612,0a3500000006000300030001:0a35000000050003020003|0a3600000006000300020001:,0a36000000050003020025
3053,0bee00000006000400000004:0bee0000000b0004080000000000000000|0bef00000006000100000001:,0bef0000000400010100
232,00e90000000600060003002c:00e90000000600060003002c|00ea0000000600060000000c:,00ea0000000600060000000c
1104,045100000006000600010000:045100000006000600010000|04520000000600050000ff00:,04520000000600050000ff00
1707,06ac00000006000300010001:06ac00000005000302002e|06ad000000060006002d0007:,06ad00000003008602
602,025b00000006000400280001:025b00000003008402|025c00000006000300010001:,025c000000050003020028
2492,09bd0000000600060002002f:09bd0000000600060002002f|09be00000006000100000001:,09be0000000400010101
82,005300000006000300010001:005300000005000302000e|005400000006000600060023:,005400000003008602
3437,0d6e00000006000300000001:0d6e000000050003020031|0d6f00000006000300010001:,0d6f000000050003020003
2857,0b2a0000000600060003000f:0b2a0000000600060003000f|0b2b00000006000100000001:,0b2b0000000400010100
1456,05b100000006000300030001:05b100000005000302000d|05b200000006000400000004:,05b20000000b0004080000000000004031
2805,0af600000006000600240022:0af600000003008602|0af700000006000600020006:,0af700000006000600020006
2776,0ad90000001200c4b037a1a530aecf5ec583860171912467:0ad900000003004401|0ada00000006000300000001:,0ada000000050003020016
3487,0da0000000060006000e0000:0da000000003008602|0da100000006000300030001:,0da1000000050003020009
2285,08ee00000006000400000004:08ee0000000b0004080000000000000000|08ef0000000600060003000c:,08ef0000000600060003000c
753,02f200000006000600000018:02f200000006000600000018|02f300000006000100000001:,02f30000000400010100
421,01a600000006000600000000:01a600000006000600000000|01a700000006000300010001:,01a7000000050003020029
2565,0a060000000600050003ff00:0a0600000003008502|0a0700000006000300030001:,0a07000000050003020000
641,028200000006000100000001:02820000000400010101|028300000006000600020020:,028300000006000600020020
3291,0cdc00000006000600030006:0cdc00000006000600030006|0cdd00000006000600020025:,0cdd00000006000600020025
376,017900000006000100000001:01790000000400010101|017a00000006000300000001:,017a00000005000302001a
792,03190000000600060003002c:03190000000600060003002c|031a0000000600060002001b:,031a0000000600060002001b
2638,0a4f0000000600060001001b:0a4f0000000600060001001b|0a5000000006000600030020:,0a5000000006000600030020
2508,09cd0000000600060001002a:09cd0000000600060001002a|09ce00000006000300000001:,09ce000000050003020031
