,source_text,target_text
739,02e400000006000100000001:02e40000000400010101|02e500000006000100140001:02e500000003008102|02e600000006000600000023:,02e600000006000600000023
64,004100000006000600030008:004100000006000600030008|00420000000600060003002b:00420000000600060003002b|004300000006000300290001:,004300000003008302
853,03560000001200ac36e896a99f7abf248d27e166db1c5d00:035600000003002c01|03570000000600060003002b:03570000000600060003002b|035800000006000600010001:,035800000006000600010001
208,00d10000001a00a55458cec377cd2a86cca6020a833092bed7ec8ccb8311d5b6:00d100000003002501|00d2000000060001000f0001:00d200000003008102|00d300000006000300010001:,00d3000000050003020005
244,00f500000006000300020001:00f5000000050003020014|00f6000000060001002b0001:00f600000003008102|00f700000006000100000001:,00f70000000400010101
718,02cf00000006000100000001:02cf0000000400010100|02d000000006000600010012:02d000000006000600010012|02d10000001200b43dbbcf9d49d755e7a41a92f42ecceb51:,02d100000003003401
762,02fb00000006000300020001:02fb000000050003020015|02fc00000006000300030001:02fc000000050003020016|02fd0000000600060003000d:,02fd0000000600060003000d
1124,04650000000600050024ff00:046500000003008502|046600000006000600010029:046600000006000600010029|046700000006000600030009:,046700000006000600030009
580,024500000006000300030001:0245000000050003020010|02460000000600060000002d:02460000000600060000002d|024700000006000500000000:,024700000006000500000000
217,00da00000006000300000001:00da000000050003020011|00db0000000600060000000c:00db0000000600060000000c|00dc00000006000300020001:,00dc000000050003020011
387,018400000006000600030011:018400000006000600030011|018500000006000300000001:018500000005000302002e|01860000000600060000002e:,01860000000600060000002e
970,03cb00000006000600010012:03cb00000006000600010012|03cc00000006000400000004:03cc0000000b0004080000000000000000|03cd00000006000600030011:,03cd00000006000600030011
391,01880000000600050006ff00:018800000003008502|018900000006000300020001:0189000000050003020013|018a00000006000400000004:,018a0000000b0004080000000000000000
99,006400000006000600010026:006400000006000600010026|006500000006000600020018:006500000006000600020018|00660000000a008e1ba8b6d6df812d1c:,006600000003000e01
229,00e600000006000400000004:00e60000000b0004080000000000000000|00e700000006000600010018:00e700000006000600010018|00e800000006000300030001:,00e8000000050003020006
169,00aa00000006000300030001:00aa00000005000302002c|00ab0000000600060000002a:00ab0000000600060000002a|00ac00000006000400000004:,00ac0000000b0004080000000000000000
1023,040000000006000300000001:0400000000050003020027|040100000006000600020028:040100000006000600020028|04020000001200c520391297b7bb6773afca1223ba3d5c90:,040200000003004501
420,01a500000006000600030017:01a500000006000600030017|01a600000006000600010021:01a600000006000600010021|01a700000006000400000004:,01a70000000b0004080000000000000000
596,025500000006000300020001:025500000005000302001d|025600000006000600000025:025600000006000600000025|025700000006000300020001:,025700000005000302001d
297,012a00000006000100240001:012a00000003008102|012b00000006000300000001:012b00000005000302002f|012c00000006000600010019:,012c00000006000600010019
905,038a00000006000300020001:038a000000050003020003|038b00000006000300030001:038b000000050003020007|038c00000006000400000004:,038c0000000b0004080000000000000000
812,032d0000001a004034b1b2131153fcf2dae98c623ef275ae296772bc96bf976c:032d0000000300c001|032e00000006000600020010:032e00000006000600020010|032f00000006000600000002:,032f00000006000600000002
1110,045700000006000300010001:0457000000050003020030|045800000006000600010012:045800000006000600010012|045900000006000400000004:,04590000000b0004080000000000004033
421,01a600000006000600010021:01a600000006000600010021|01a700000006000400000004:01a70000000b0004080000000000000000|01a800000006000500000000:,01a800000006000500000000
763,02fc00000006000300030001:02fc000000050003020016|02fd0000000600060003000d:02fd0000000600060003000d|02fe00000006000300010001:,02fe000000050003020000
35,002400000006000300010001:0024000000050003020006|002500000006000600010012:002500000006000600010012|002600000006000300000001:,0026000000050003020029
486,01e700000006000100000001:01e70000000400010100|01e800000006000600030008:01e800000006000600030008|01e900000006000300010001:,01e9000000050003020018
923,039c0000000600060002002e:039c0000000600060002002e|039d00000006000600030022:039d00000006000600030022|039e00000006000100000001:,039e0000000400010101
1187,04a4000000060006002e0017:04a400000003008602|04a500000006000300020001:04a500000005000302002c|04a60000000600060003002c:,04a60000000600060003002c
742,02e700000006000100000001:02e70000000400010101|02e800000006000300030001:02e8000000050003020003|02e900000006000600030016:,02e900000006000600030016
1054,041f00000006000300030001:041f000000050003020021|04200000000600060001002e:04200000000600060001002e|042100000006000100000001:,04210000000400010101
995,03e400000006000600020010:03e400000006000600020010|03e500000006000100000001:03e50000000400010101|03e600000006000300000001:,03e6000000050003020003
754,02f30000000a00ae2cd3794255949e1e:02f300000003002e01|02f400000006000600020015:02f400000006000600020015|02f500000006000600010000:,02f500000006000600010000
225,00e200000006000100000001:00e20000000400010100|00e300000006000600030006:00e300000006000600030006|00e40000000a00b0895191d7aaf91837:,00e400000003003001
547,022400000006000300030001:0224000000050003020026|022500000006000300000001:022500000005000302002d|022600000006000300010001:,0226000000050003020005
872,036900000006000300000001:0369000000050003020012|036a0000000600050000ff00:036a0000000600050000ff00|036b00000006000100000001:,036b0000000400010101
512,020100000006000100300001:020100000003008102|02020000000600060003001e:02020000000600060003001e|020300000006000300000001:,0203000000050003020018
1144,047900000006000300030001:0479000000050003020017|047a00000006000300010001:047a000000050003020023|047b0000000600050000ff00:,047b0000000600050000ff00
752,02f100000006000600010012:02f100000006000600010012|02f200000006000300010001:02f2000000050003020012|02f30000000a00ae2cd3794255949e1e:,02f300000003002e01
148,0095000000060005000f0000:009500000003008502|009600000006000100000001:00960000000400010101|009700000006000600010016:,009700000006000600010016
639,028000000006000500000000:028000000006000500000000|028100000006000300010001:028100000005000302001b|028200000006000400000004:,02820000000b0004080000000000000000
833,03420000000600060002001c:03420000000600060002001c|034300000006000100000001:03430000000400010100|034400000006000400000004:,03440000000b0004080000000000000000
1087,044000000006000600010031:044000000006000600010031|04410000000600060003002b:04410000000600060003002b|04420000000600050000ff00:,04420000000600050000ff00
1191,04a800000006000300030001:04a800000005000302002c|04a90000000600050000ff00:04a90000000600050000ff00|04aa00000006000100000001:,04aa0000000400010101
642,028300000006000300000001:0283000000050003020031|02840000001200a9e352289936e9726ef9e1446a4153e816:028400000003002901|028500000006000300030001:,028500000005000302000e
416,01a100000006000300020001:01a1000000050003020010|01a20000000a00e503639b1a991010ca:01a200000003006501|01a300000006000400110001:,01a300000003008402
