,source_text,target_text
490,01eb00000006000600010017:01eb00000006000600010017|01ec00000006000500000000:01ec00000006000500000000|01ed00000006000400000004:01ed0000000b0004080000000000000000|01ee000000060004001d0001:01ee00000003008402|01ef00000012007deb97074cded76110778fc03efd9ca8e8:,01ef0000000300fd01
256,010100000006000300020001:010100000005000302002c|010200000006000400140001:010200000003008402|01030000000600060003000f:01030000000600060003000f|01040000001a00996d016232feaa60cd5bda6d5453659031b25ebffbd004364f:010400000003001901|010500000006000300030001:,010500000005000302000f
694,02b700000006000300020001:02b7000000050003020026|02b800000006000500000000:02b800000006000500000000|02b900000006000300000001:02b900000005000302002b|02ba00000006000400000004:02ba0000000b0004080000000000000000|02bb0000001a004f6d6e2b59f9dd087e209d2795801f5e6c8455f940654d21a7:,02bb0000000300cf01
735,02e00000000a000976a01806455322c3:02e000000003008901|02e100000006000400000004:02e10000000b0004080000000000004008|02e200000006000300020001:02e200000005000302000d|02e30000000600060002002f:02e30000000600060002002f|02e400000006000100000001:,02e40000000400010101
92,005d00000006000600000005:005d00000006000600000005|005e0000000600050000ff00:005e0000000600050000ff00|005f00000006000500150000:005f00000003008502|006000000006000300030001:0060000000050003020019|006100000006000300020001:,006100000005000302002b
282,011b00000006000300000001:011b000000050003020005|011c00000006000600010005:011c00000006000600010005|011d0000000600050000ff00:011d0000000600050000ff00|011e00000006000300020001:011e00000005000302000c|011f00000006000100000001:,011f0000000400010101
1187,04a4000000060006002e0017:04a400000003008602|04a500000006000300020001:04a500000005000302002c|04a60000000600060003002c:04a60000000600060003002c|04a70000000600060001000b:04a70000000600060001000b|04a800000006000300030001:,04a800000005000302002c
930,03a30000000600060000002e:03a30000000600060000002e|03a400000006000300000001:03a400000005000302002e|03a500000006000300010001:03a5000000050003020024|03a600000012002388d309e03867d1e444ce2817e0d6e1ff:03a60000000300a301|03a700000006000300020001:,03a700000005000302002e
675,02a400000006000100000001:02a40000000400010101|02a500000006000600000004:02a500000006000600000004|02a600000006000300000001:02a6000000050003020004|02a70000000600050000ff00:02a70000000600050000ff00|02a800000006000400000004:,02a80000000b0004080000000000004010
977,03d200000006000100000001:03d20000000400010100|03d300000006000600000010:03d300000006000600000010|03d400000012007052a56f143dcd13bab7a54a190fc3aa2f:03d40000000300f001|03d500000006000300010001:03d5000000050003020014|03d60000000600050000ff00:,03d60000000600050000ff00
671,02a000000006000300030001:02a0000000050003020001|02a100000006000300020001:02a100000005000302001e|02a200000006000300000001:02a2000000050003020005|02a300000006000300010001:02a3000000050003020013|02a400000006000100000001:,02a40000000400010101
786,031300000006000600000029:031300000006000600000029|031400000006000100000001:03140000000400010100|03150000000600060003001b:03150000000600060003001b|031600000006000300030001:031600000005000302001b|031700000006000300000001:,0317000000050003020029
1077,043600000006000300010001:043600000005000302000c|043700000006000500000000:043700000006000500000000|04380000001a0042729b71a54485c0deedbd2f760f3d8d827326836879262f8a:04380000000300c201|043900000006000600000027:043900000006000600000027|043a00000006000400000004:,043a0000000b0004080000000000000000
871,036800000006000300020001:036800000005000302002f|036900000006000300000001:0369000000050003020012|036a0000000600050000ff00:036a0000000600050000ff00|036b00000006000100000001:036b0000000400010101|036c0000000600060001001f:,036c0000000600060001001f
900,038500000006000500000000:038500000006000500000000|038600000006000600020003:038600000006000600020003|038700000006000100000001:03870000000400010100|038800000006000100240001:038800000003008102|038900000006000300010001:,0389000000050003020013
218,00db0000000600060000000c:00db0000000600060000000c|00dc00000006000300020001:00dc000000050003020011|00dd0000000600060002000e:00dd0000000600060002000e|00de00000006000500000000:00de00000006000500000000|00df0000000600060000000f:,00df0000000600060000000f
