,source_text,target_text
758,02f70000000600050000ff00:02f70000000600050000ff00|02f800000006000300000001:02f8000000050003020023|02f900000006000600000009:02f900000006000600000009|02fa00000006000400000004:02fa0000000b0004080000000000004022|02fb00000006000300020001:02fb000000050003020015|02fc00000006000300030001:02fc000000050003020016|02fd0000000600060003000d:,02fd0000000600060003000d
1051,041c0000000a002a9c0436dedebd7383:041c0000000300aa01|041d00000006000600010004:041d00000006000600010004|041e0000000600050000ff00:041e0000000600050000ff00|041f00000006000300030001:041f000000050003020021|04200000000600060001002e:04200000000600060001002e|042100000006000100000001:04210000000400010101|0422000000060006001a0027:,042200000003008602
38,002700000006000400000004:00270000000b0004080000000000000000|002800000006000600030015:002800000006000600030015|002900000006000300030001:0029000000050003020015|002a00000006000600000012:002a00000006000600000012|002b00000006000300000001:002b000000050003020012|002c00000006000300160001:002c00000003008302|002d00000006000400000004:,002d0000000b0004080000000000000000
199,00c800000006000100000001:00c80000000400010101|00c90000000a009c464f1ddc52186c21:00c900000003001c01|00ca00000006000400000004:00ca0000000b0004080000000000004031|00cb00000006000500000000:00cb00000006000500000000|00cc00000006000300010001:00cc000000050003020030|00cd00000006000300000001:00cd000000050003020011|00ce00000006000300030001:,00ce000000050003020009
1077,043600000006000300010001:043600000005000302000c|043700000006000500000000:043700000006000500000000|04380000001a0042729b71a54485c0deedbd2f760f3d8d827326836879262f8a:04380000000300c201|043900000006000600000027:043900000006000600000027|043a00000006000400000004:043a0000000b0004080000000000000000|043b00000006000600020011:043b00000006000600020011|043c00000006000300030001:,043c00000005000302000f
962,03c30000000600060002002c:03c30000000600060002002c|03c400000006000100000001:03c40000000400010101|03c500000006000600000000:03c500000006000600000000|03c600000006000500000000:03c600000006000500000000|03c7000000060006002d0025:03c700000003008602|03c800000006000300030001:03c800000005000302001b|03c900000006000300010001:,03c9000000050003020025
1095,04480000000600060002000c:04480000000600060002000c|044900000006000500000000:044900000006000500000000|044a0000000600050016ff00:044a00000003008502|044b0000000600060003001b:044b0000000600060003001b|044c00000006000300010001:044c000000050003020031|044d00000006000600000012:044d00000006000600000012|044e00000006000600010030:,044e00000006000600010030
769,030200000006000400000004:03020000000b0004080000000000000000|030300000006000600030011:030300000006000600030011|03040000001a004310702528eb05998dc6933022c37b21093da6567ae082a63a:03040000000300c301|030500000006000300000001:0305000000050003020009|030600000006000300230001:030600000003008302|03070000000600060000000f:03070000000600060000000f|03080000000600060001001c:,03080000000600060001001c
720,02d10000001200b43dbbcf9d49d755e7a41a92f42ecceb51:02d100000003003401|02d200000006000300160001:02d200000003008302|02d30000000600050000ff00:02d30000000600050000ff00|02d400000006000300030001:02d4000000050003020025|02d500000006000400000004:02d50000000b0004080000000000004045|02d600000006000300020001:02d600000005000302000d|02d700000006000600000003:,02d700000006000600000003
525,020e00000006000300000001:020e000000050003020000|020f00000006000600020018:020f00000006000600020018|021000000006000600030013:021000000006000600030013|02110000000600050000ff00:02110000000600050000ff00|021200000006000100000001:02120000000400010101|021300000006000300030001:0213000000050003020013|021400000006000300010001:,021400000005000302001f
821,033600000006000300020001:0336000000050003020010|033700000006000400000004:03370000000b0004080000000000000000|033800000006000500000000:033800000006000500000000|033900000006000300030001:0339000000050003020017|033a00000006000600020029:033a00000006000600020029|033b00000006000500160000:033b00000003008502|033c00000006000300000001:,033c000000050003020002
767,030000000006000300030001:030000000005000302000d|030100000006000500000000:030100000006000500000000|030200000006000400000004:03020000000b0004080000000000000000|030300000006000600030011:030300000006000600030011|03040000001a004310702528eb05998dc6933022c37b21093da6567ae082a63a:03040000000300c301|030500000006000300000001:0305000000050003020009|030600000006000300230001:,030600000003008302
249,00fa00000006000300010001:00fa00000005000302001b|00fb00000006000600010022:00fb00000006000600010022|00fc0000000600060002002c:00fc0000000600060002002c|00fd00000006000300030001:00fd00000005000302002a|00fe00000006000600000006:00fe00000006000600000006|00ff00000006000100000001:00ff0000000400010100|010000000006000400000004:,01000000000b0004080000000000000000
564,023500000006000400090001:023500000003008402|023600000006000300000001:0236000000050003020027|023700000006000300030001:023700000005000302001b|023800000006000300020001:0238000000050003020004|023900000006000600020017:023900000006000600020017|023a0000000600060003002b:023a0000000600060003002b|023b00000006000300010001:,023b00000005000302002f
215,00d800000006000600010028:00d800000006000600010028|00d900000006000500000000:00d900000006000500000000|00da00000006000300000001:00da000000050003020011|00db0000000600060000000c:00db0000000600060000000c|00dc00000006000300020001:00dc000000050003020011|00dd0000000600060002000e:00dd0000000600060002000e|00de00000006000500000000:,00de00000006000500000000
948,03b500000006000400000004:03b50000000b0004080000000000004018|03b600000006000300020001:03b6000000050003020008|03b700000006000300010001:03b7000000050003020014|03b800000006000100000001:03b80000000400010101|03b90000000600060000002e:03b90000000600060000002e|03ba0000000a000a4f75474abb601dbc:03ba00000003008a01|03bb00000006000600010025:,03bb00000006000600010025
267,010c00000006000300020001:010c00000005000302000e|010d00000006000300000001:010d000000050003020006|010e00000006000300010001:010e000000050003020016|010f0000000600060000000b:010f0000000600060000000b|011000000006000400000004:01100000000b0004080000000000000000|01110000000600050000ff00:01110000000600050000ff00|011200000006000400220001:,011200000003008402
419,01a400000006000300010001:01a4000000050003020028|01a500000006000600030017:01a500000006000600030017|01a600000006000600010021:01a600000006000600010021|01a700000006000400000004:01a70000000b0004080000000000000000|01a800000006000500000000:01a800000006000500000000|01a900000006000100000001:01a90000000400010100|01aa00000006000600000005:,01aa00000006000600000005
185,00ba00000006000300010001:00ba000000050003020024|00bb00000006000600020003:00bb00000006000600020003|00bc00000006000600010030:00bc00000006000600010030|00bd00000006000400000004:00bd0000000b0004080000000000004022|00be00000006000600030026:00be00000006000600030026|00bf00000006000300030001:00bf000000050003020026|00c000000006000300150001:,00c000000003008302
62,003f00000006000300030001:003f000000050003020015|004000000006000600020013:004000000006000600020013|004100000006000600030008:004100000006000600030008|00420000000600060003002b:00420000000600060003002b|004300000006000300290001:004300000003008302|004400000006000300000001:0044000000050003020030|004500000006000100000001:,00450000000400010100
560,0231000000120049c1792869a00eede90accce4fb9fae2c2:02310000000300c901|02320000000600060001002f:02320000000600060001002f|02330000000600050000ff00:02330000000600050000ff00|023400000006000600000027:023400000006000600000027|023500000006000400090001:023500000003008402|023600000006000300000001:0236000000050003020027|023700000006000300030001:,023700000005000302001b
97,006200000006000300000001:0062000000050003020005|006300000006000600030020:006300000006000600030020|006400000006000600010026:006400000006000600010026|006500000006000600020018:006500000006000600020018|00660000000a008e1ba8b6d6df812d1c:006600000003000e01|006700000006000100000001:00670000000400010101|006800000006000400000004:,00680000000b0004080000000000004014
667,029c00000006000600030001:029c00000006000600030001|029d000000060003000d0001:029d00000003008302|029e00000006000600000005:029e00000006000600000005|029f0000001200434816018815030e4f6e376aede3e23e7d:029f0000000300c301|02a000000006000300030001:02a0000000050003020001|02a100000006000300020001:02a100000005000302001e|02a200000006000300000001:,02a2000000050003020005
1126,046700000006000600030009:046700000006000600030009|04680000000600060000001c:04680000000600060000001c|046900000006000500000000:046900000006000500000000|046a00000006000600020010:046a00000006000600020010|046b00000006000300000001:046b00000005000302001c|046c00000006000300010001:046c000000050003020029|046d00000006000500000000:,046d00000006000500000000
137,008a00000006000300000001:008a00000005000302001e|008b00000012008f64bf2616a6ef7be91cf2a197f5ab4cb7:008b00000003000f01|008c00000006000400000004:008c0000000b000408000000000000403e|008d00000006000100000001:008d0000000400010101|008e0000000600060000001b:008e0000000600060000001b|008f00000006000300060001:008f00000003008302|00900000000600060003000d:,00900000000600060003000d
56,003900000006000600000030:003900000006000600000030|003a00000006000400000004:003a0000000b0004080000000000000000|003b00000006000300000001:003b000000050003020030|003c00000006000300020001:003c000000050003020004|003d00000006000600010015:003d00000006000600010015|003e00000006000500000000:003e00000006000500000000|003f00000006000300030001:,003f000000050003020015
665,029a00000006000400000004:029a0000000b000408000000000000402c|029b00000006000600010013:029b00000006000600010013|029c00000006000600030001:029c00000006000600030001|029d000000060003000d0001:029d00000003008302|029e00000006000600000005:029e00000006000600000005|029f0000001200434816018815030e4f6e376aede3e23e7d:029f0000000300c301|02a000000006000300030001:,02a0000000050003020001
933,03a600000012002388d309e03867d1e444ce2817e0d6e1ff:03a60000000300a301|03a700000006000300020001:03a700000005000302002e|03a800000006000300030001:03a8000000050003020022|03a900000006000100000001:03a90000000400010101|03aa0000000600060003002a:03aa0000000600060003002a|03ab00000006000300030001:03ab00000005000302002a|03ac00000006000400270001:,03ac00000003008402
1166,048f00000006000300030001:048f000000050003020001|049000000006000300000001:0490000000050003020016|049100000006000600000013:049100000006000600000013|049200000006000300010001:0492000000050003020008|049300000006000600000007:049300000006000600000007|049400000006000400000004:04940000000b0004080000000000000000|049500000006000600010004:,049500000006000600010004
236,00ed0000000600060003002a:00ed0000000600060003002a|00ee0000000600050000ff00:00ee0000000600050000ff00|00ef0000001200d9bcd902b2572c8b98033fb2bc2d1b09a7:00ef00000003005901|00f000000006000600020014:00f000000006000600020014|00f100000006000300000001:00f1000000050003020001|00f200000006000300010001:00f2000000050003020018|00f30000000600060001001b:,00f30000000600060001001b
638,027f000000060006001e0022:027f00000003008602|028000000006000500000000:028000000006000500000000|028100000006000300010001:028100000005000302001b|028200000006000400000004:02820000000b0004080000000000000000|028300000006000300000001:0283000000050003020031|02840000001200a9e352289936e9726ef9e1446a4153e816:028400000003002901|028500000006000300030001:,028500000005000302000e
812,032d0000001a004034b1b2131153fcf2dae98c623ef275ae296772bc96bf976c:032d0000000300c001|032e00000006000600020010:032e00000006000600020010|032f00000006000600000002:032f00000006000600000002|033000000006000400000004:03300000000b0004080000000000000000|033100000006000300000001:0331000000050003020002|033200000006000600010029:033200000006000600010029|033300000006000600030017:,033300000006000600030017
553,022a00000006000500000000:022a00000006000500000000|022b00000006000600010010:022b00000006000600010010|022c00000006000400000004:022c0000000b0004080000000000000000|022d0000000600060003001b:022d0000000600060003001b|022e00000006000400090001:022e00000003008402|022f00000006000300020001:022f000000050003020004|023000000006000400000004:,02300000000b0004080000000000000000
1026,040300000006000300020001:0403000000050003020028|040400000006000400060001:040400000003008402|04050000000600060002001e:04050000000600060002001e|040600000006000300020001:040600000005000302001e|040700000006000300030001:0407000000050003020014|04080000000600060003002b:04080000000600060003002b|040900000006000600010026:,040900000006000600010026
848,035100000006000300000001:0351000000050003020008|035200000006000300030001:0352000000050003020002|035300000006000600310009:035300000003008602|035400000006000300010001:0354000000050003020012|035500000006000100000001:03550000000400010100|03560000001200ac36e896a99f7abf248d27e166db1c5d00:035600000003002c01|03570000000600060003002b:,03570000000600060003002b
