,source_text,target_text
401,03230000001700100000000810eb7fffff0b260000f609fffff0c6ffff:032300000006001000000008|032400000006000400000004:,03240000000b00040800000000000036ed
661,052b0000001700100000000810f0c5fffff60efffff609ffff05de0000:052b00000006001000000008|052c00000006000400000004:,052c0000000b0004080000c000fec17fff
1681,0d230000001700100000000810fb51fffff60efffff609fffff0c6ffff:0d2300000006001000000008|0d2400000006000400000004:,0d240000000b0004080000c000fec17fff
1782,0ded0000001700100000000810fb51fffffb54ffff0b2100000b240000:0ded00000006001000000008|0dee00000006000400000004:,0dee0000000b00040800008000ff6a7fff
350,02bd0000001700100000000810eb7fffff05e00000fb4fffff0b240000:02bd00000006001000000008|02be00000006000400000004:,02be0000000b00040800000000000036de
1230,099d0000001700100000000810f60bfffffb54fffff0c3ffff0b240000:099d00000006001000000008|099e00000006000400000004:,099e0000000b00040800008000ff6a7fff
1187,09470000001700100000000810f60bfffff60effff00950000fb52ffff:094700000006001000000008|094800000006000400000004:,09480000000b0004080000c000fec17fff
1574,0c4d0000001700100000000810fb51ffffeb82ffff009500000b240000:0c4d00000006001000000008|0c4e00000006000400000004:,0c4e0000000b00040800004000fd707fff
462,039d0000001700100000000810eb7fffff106c0000f0c3ffff0b240000:039d00000006001000000008|039e00000006000400000004:,039e0000000b00040800000000000036f5
817,06630000001700100000000810f0c5ffff009a00000b210000f0c6ffff:066300000006001000000008|066400000006000400000004:,06640000000b000408000000000000b6ec
1460,0b690000001700100000000810f60bffff0b2600000b21000000980000:0b6900000006001000000008|0b6a00000006000400000004:,0b6a0000000b000408000000000000b6ec
395,03170000001700100000000810eb7fffff0b260000f0c3fffffb52ffff:031700000006001000000008|031800000006000400000004:,03180000000b00040800000000000036ed
1525,0beb0000001700100000000810f60bffff106c00000b21000005de0000:0beb00000006001000000008|0bec00000006000400000004:,0bec0000000b000408000000000000b6ec
409,03330000001700100000000810eb7fffff0b260000fb4ffffff0c6ffff:033300000006001000000008|033400000006000400000004:,03340000000b00040800000000000036ed
1441,0b430000001700100000000810f60bffff0b26000000950000f0c6ffff:0b4300000006001000000008|0b4400000006000400000004:,0b440000000b000408000000000000b6a0
108,00d90000001700100000000810eb7ffffff0c8ffff05db000000980000:00d900000006001000000008|00da00000006000400000004:,00da0000000b00040800000000fe197fff
551,044f0000001700100000000810f0c5ffffeb82ffff00950000106a0000:044f00000006001000000008|045000000006000400000004:,04500000000b00040800004000fd707fff
1349,0a8b0000001700100000000810f60bffff05e00000eb7dffff05de0000:0a8b00000006001000000008|0a8c00000006000400000004:,0a8c0000000b00040800000000000036de
761,05f30000001700100000000810f0c5fffffb54ffff10670000f0c6ffff:05f300000006001000000008|05f400000006000400000004:,05f40000000b00040800008000ff6a7fff
1049,08330000001700100000000810f60bffffeb82fffffb4ffffff0c6ffff:083300000006001000000008|083400000006000400000004:,08340000000b00040800004000fd707fff
1382,0acd0000001700100000000810f60bffff05e00000009500000b240000:0acd00000006001000000008|0ace00000006000400000004:,0ace0000000b000408000000000000b6a0
478,03bd0000001700100000000810eb7fffff106c0000fb4fffff0b240000:03bd00000006001000000008|03be00000006000400000004:,03be0000000b00040800000000000036f5
563,04670000001700100000000810f0c5ffffeb82ffff0b210000fb52ffff:046700000006001000000008|046800000006000400000004:,04680000000b00040800004000fd707fff
559,045f0000001700100000000810f0c5ffffeb82ffff05db0000106a0000:045f00000006001000000008|046000000006000400000004:,04600000000b00040800004000fd707fff
161,01430000001700100000000810eb7ffffff60effff00950000f0c6ffff:014300000006001000000008|014400000006000400000004:,01440000000b0004080000c000fec17fff
54,006d0000001700100000000810eb7fffffeb82ffff0b2100000b240000:006d00000006001000000008|006e00000006000400000004:,006e0000000b00040800004000fd707fff
2024,0fd10000001700100000000810fb51ffff106c000005db0000eb80ffff:0fd100000006001000000008|0fd200000006000400000004:,0fd20000000b000408000000000000b6de
2015,0fbf0000001700100000000810fb51ffff106c0000fb4fffff106a0000:0fbf00000006001000000008|0fc000000006000400000004:,0fc00000000b00040800000000000036f5
50,00650000001700100000000810eb7fffffeb82ffff0b210000f60cffff:006500000006001000000008|006600000006000400000004:,00660000000b00040800004000fd707fff
810,06550000001700100000000810f0c5ffff009a000005db0000f60cffff:065500000006001000000008|065600000006000400000004:,06560000000b000408000000000000b6de
740,05c90000001700100000000810f0c5fffffb54ffff0095000000980000:05c900000006001000000008|05ca00000006000400000004:,05ca0000000b00040800008000ff6a7fff
460,03990000001700100000000810eb7fffff106c0000f0c3ffff00980000:039900000006001000000008|039a00000006000400000004:,039a0000000b00040800000000000036f5
29,003b0000001700100000000810eb7fffffeb82fffffb4fffff05de0000:003b00000006001000000008|003c00000006000400000004:,003c0000000b00040800004000fd707fff
252,01f90000001700100000000810eb7ffffffb54ffff1067000000980000:01f900000006001000000008|01fa00000006000400000004:,01fa0000000b00040800008000ff6a7fff
1890,0ec50000001700100000000810fb51ffff05e0000000950000f60cffff:0ec500000006001000000008|0ec600000006000400000004:,0ec60000000b000408000000000000b6a0
754,05e50000001700100000000810f0c5fffffb54ffff0b210000f60cffff:05e500000006001000000008|05e600000006000400000004:,05e60000000b00040800008000ff6a7fff
165,014b0000001700100000000810eb7ffffff60effff0095000005de0000:014b00000006001000000008|014c00000006000400000004:,014c0000000b0004080000c000fec17fff
868,06c90000001700100000000810f0c5ffff05e000000095000000980000:06c900000006001000000008|06ca00000006000400000004:,06ca0000000b000408000000000000b6a0
1170,09250000001700100000000810f60bfffff60efffff609fffff60cffff:092500000006001000000008|092600000006000400000004:,09260000000b0004080000c000fec17fff
1247,09bf0000001700100000000810f60bfffffb54fffffb4fffff106a0000:09bf00000006001000000008|09c000000006000400000004:,09c00000000b00040800008000ff6a7fff
594,04a50000001700100000000810f0c5fffff0c8fffff609fffff60cffff:04a500000006001000000008|04a600000006000400000004:,04a60000000b00040800000000fe197fff
1398,0aed0000001700100000000810f60bffff05e000000b2100000b240000:0aed00000006001000000008|0aee00000006000400000004:,0aee0000000b000408000000000000b6ec
163,01470000001700100000000810eb7ffffff60effff00950000fb52ffff:014700000006001000000008|014800000006000400000004:,01480000000b0004080000c000fec17fff
1414,0b0d0000001700100000000810f60bffff0b260000eb7dffff0b240000:0b0d00000006001000000008|0b0e00000006000400000004:,0b0e0000000b00040800000000000036ed
185,01730000001700100000000810eb7ffffff60effff10670000f0c6ffff:017300000006001000000008|017400000006000400000004:,01740000000b0004080000c000fec17fff
1553,0c230000001700100000000810fb51ffffeb82fffff609fffff0c6ffff:0c2300000006001000000008|0c2400000006000400000004:,0c240000000b00040800004000fd707fff
1288,0a110000001700100000000810f60bffff009a0000f0c3ffffeb80ffff:0a1100000006001000000008|0a1200000006000400000004:,0a120000000b00040800000000000036b0
651,05170000001700100000000810f0c5fffff60efffff0c3fffffb52ffff:051700000006001000000008|051800000006000400000004:,05180000000b0004080000c000fec17fff
932,07490000001700100000000810f0c5ffff0b2600000095000000980000:074900000006001000000008|074a00000006000400000004:,074a0000000b000408000000000000b6a0
