,source_text,target_text
1150,08fd0000000b001000000002046726c152:08fd00000006001000000002|08fe00000006000400000004:,08fe0000000b0004080000c0004f60c12c
2945,17030000000b0010000000020467264152:170300000006001000000002|170400000006000400000004:,17040000000b0004080000800020a6c113
243,01e70000000b001000000002048438c1d3:01e700000006001000000002|01e800000006000400000004:,01e80000000b000408000040006245c12c
3722,1d150000000b00100000000204474441c4:1d1500000006001000000002|1d1600000006000400000004:,1d160000000b0004080000e000420ac113
1835,0e570000000b001000000002044474c047:0e5700000006001000000002|0e5800000006000400000004:,0e580000000b000408000040002846c12c
451,03870000000b0010000000020422b2c1bb:038700000006001000000002|038800000006000400000004:,03880000000b000408000080005ec1c12c
1694,0d3d0000000b00100000000204be5cc0a5:0d3d00000006001000000002|0d3e00000006000400000004:,0d3e0000000b00040800008000360ac12c
1353,0a930000000b00100000000204d02dc122:0a9300000006001000000002|0a9400000006000400000004:,0a940000000b000408000020004859c12c
1498,0bb50000000b00100000000204d20dc100:0bb500000006001000000002|0bb600000006000400000004:,0bb60000000b00040800006000435ec12c
3883,1e570000000b00100000000204267241d7:1e5700000006001000000002|1e5800000006000400000004:,1e580000000b00040800008000479bc113
3345,1a230000000b0010000000020416814198:1a2300000006001000000002|1a2400000006000400000004:,1a240000000b000408000080003527c113
931,07470000000b00100000000204df2ec182:074700000006001000000002|074800000006000400000004:,07480000000b000408000060005668c12c
3634,1c650000000b00100000000204f69f41b9:1c6500000006001000000002|1c6600000006000400000004:,1c660000000b000408000000003ed2c113
2237,117b0000000b00100000000204b31b4031:117b00000006001000000002|117c00000006000400000004:,117c0000000b0004080000c000cbffc112
553,04530000000b001000000002042df3c1af:045300000006001000000002|045400000006000400000004:,04540000000b0004080000a0005cffc12c
3099,18370000000b0010000000020481684176:183700000006001000000002|183800000006000400000004:,18380000000b000408000000002b32c113
1752,0db10000000b001000000002048ca9c08a:0db100000006001000000002|0db200000006000400000004:,0db20000000b000408000040003216c12c
1984,0f810000000b001000000002042ee3bf6e:0f8100000006001000000002|0f8200000006000400000004:,0f820000000b00040800006000087ec12c
