,source_text,target_text
578,02440000000b0010000000020400250003:024400000006001000000002|02450000000600050000ff00:02450000000600050000ff00|024600000012008c71711678e11e55fa2d10ec116429626e:,024600000003000c01
895,03830000000a00af74511ee0fe21e3a9:038300000003002f01|03840000000600050000ff00:03840000000600050000ff00|038500000006000500000000:,038500000006000500000000
2296,08fc0000000b00100000000204000b0028:08fc00000006001000000002|08fd0000000600060002000d:08fd0000000600060002000d|08fe00000006000300020001:,08fe00000005000302000d
2250,08ce00000006000100000001:08ce0000000400010101|08cf00000006000600020014:08cf00000006000600020014|08d000000006000500000000:,08d000000006000500000000
855,035b0000000600060002002f:035b0000000600060002002f|035c00000006000300000002:035c00000007000304000c0004|035d00000006000500220000:,035d00000003008502
1036,041000000006000300020001:0410000000050003020028|041100000006000600020008:041100000006000600020008|041200000006000300000002:,0412000000070003040011001f
1924,07880000000600050000ff00:07880000000600050000ff00|078900000006000400300001:078900000003008402|078a00000006000300000002:,078a0000000700030400280030
1505,05e50000000b001000000002040030001b:05e500000006001000000002|05e600000006000600180024:05e600000003008602|05e700000012006dc0d15efec01b7cb92f19febc473f09a6:,05e70000000300ed01
941,03b100000006000300000002:03b10000000700030400200021|03b200000006000300000002:03b20000000700030400200021|03b30000000b0010000000020400270027:,03b300000006001000000002
871,036b0000000600050000ff00:036b0000000600050000ff00|036c0000000b0010000000020400160012:036c00000006001000000002|036d00000006000300000002:,036d0000000700030400160012
1850,073e00000006000600020007:073e00000006000600020007|073f0000001a004ecd0ff42c7cdfa87abacaeb3fc583f495cbbcca0c9aa6ad16:073f0000000300ce01|074000000006000300000002:,07400000000700030400280029
925,03a100000006000100000001:03a10000000400010100|03a200000006000300000002:03a20000000700030400110010|03a30000000b00100000000204002c001f:,03a300000006001000000002
374,01770000000600050014ff00:017700000003008502|017800000006000300000002:017800000007000304001e0016|017900000006000500000000:,017900000006000500000000
510,01ff00000006000300000002:01ff00000007000304001e0004|02000000001a008195947a5a0a9466ec809ff1cf3066a5fe323130250f46757d:020000000003000101|020100000006000500010000:,020100000003008502
2166,087a00000006000300000002:087a0000000700030400250000|087b0000000a0087413b9bcbfd513bc8:087b00000003000701|087c0000000b00100000000204000d000c:,087c00000006001000000002
654,029000000006000500000000:029000000006000500000000|029100000006000100000001:02910000000400010100|029200000006000300020001:,0292000000050003020011
873,036d00000006000300000002:036d0000000700030400160012|036e00000006000600020031:036e00000006000600020031|036f0000001a00273c70d4b5058c4d0d6a66ac1b1406c667b71efc75d70ec4d6:,036f0000000300a701
1799,070b00000006000100000001:070b0000000400010100|070c000000060005000cff00:070c00000003008502|070d0000000600050000ff00:,070d0000000600050000ff00
1076,04380000000600060023001c:043800000003008602|0439000000120085d45b1c64c8f9a15eeca8971f1f618568:043900000003000501|043a0000000b00100000000204001f002e:,043a00000006001000000002
845,035100000006000600020023:035100000006000600020023|035200000006000400000004:03520000000b00040842af4fca852ac080|035300000006000300020001:,0353000000050003020023
829,034100000006000300000002:034100000007000304001c0022|03420000000b00100000000204001e0024:034200000006001000000002|034300000006000300020001:,0343000000050003020031
1246,04e200000006000600020001:04e200000006000600020001|04e300000006000300020001:04e3000000050003020001|04e400000006000100000001:,04e40000000400010101
595,025500000006000600020003:025500000006000600020003|0256000000060004000b0001:025600000003008402|025700000006000100000001:,02570000000400010101
7,000800000006000100000001:00080000000400010100|000900000012001b1cc91fae2d5d97c7dbf5e079664f6bd2:000900000003009b01|000a00000006000100050001:,000a00000003008102
129,008200000006000400000004:00820000000b0004080000000000000000|00830000000600050000ff00:00830000000600050000ff00|00840000000b001000000002040002001e:,008400000006001000000002
432,01b10000000a00cdc9d0abd3e3be28db:01b100000003004d01|01b200000006000400000004:01b20000000b0004080000000000000000|01b300000006000100000001:,01b30000000400010100
1983,07c3000000060001002c0001:07c300000003008102|07c40000000b00100000000204001d0002:07c400000006001000000002|07c500000012005d8aa099b9abbac4fb393c9114c0b39bae:,07c50000000300dd01
2266,08de00000006000100000001:08de0000000400010101|08df00000006000400000004:08df0000000b0004081af544bb9ef5c044|08e000000006000300020001:,08e000000005000302000f
874,036e00000006000600020031:036e00000006000600020031|036f0000001a00273c70d4b5058c4d0d6a66ac1b1406c667b71efc75d70ec4d6:036f0000000300a701|037000000006000400180001:,037000000003008402
2328,091c0000001a00664881eeb27bf2b1cb14777a056dbcf78f4f526f94c1cc87b5:091c0000000300e601|091d0000000600060027002f:091d00000003008602|091e00000006000100000001:,091e0000000400010101
1937,07950000000b001000000002040002002c:079500000006001000000002|07960000000a00ed7d416d1aac7681dd:079600000003006d01|079700000006000100000001:,07970000000400010101
2314,090e00000006000300020001:090e000000050003020003|090f0000000600050000ff00:090f0000000600050000ff00|091000000006000400000004:,09100000000b0004087bf69d627f2ac050
738,02e600000006000300000002:02e60000000700030400010014|02e700000006000500000000:02e700000006000500000000|02e800000006000600020023:,02e800000006000600020023
1865,074d00000006000300000002:074d00000007000304002d0006|074e0000000600060002001c:074e0000000600060002001c|074f0000000b00100000000204002e0012:,074f00000006001000000002
1857,0745000000060005001cff00:074500000003008502|074600000006000300020001:0746000000050003020030|07470000000b00100000000204002d0006:,074700000006001000000002
1549,061100000006000300020001:061100000005000302001c|06120000001a0095e973d3f03af341bd87570e2a4602c8953b0fdeaa4c73eccf:061200000003001501|061300000006000100000001:,06130000000400010101
344,0159000000060006001c0027:015900000003008602|015a00000006000100000001:015a0000000400010100|015b00000006000300020001:,015b000000050003020003
128,00810000000a009b4616a50df71ca09b:008100000003001b01|008200000006000400000004:00820000000b0004080000000000000000|00830000000600050000ff00:,00830000000600050000ff00
