,source_text,target_text
734,02e200000006000100000001:02e20000000400010100|02e300000006000100000001:02e30000000400010100|02e400000006000400000004:02e40000000b0004080000000000000000|02e500000006000100140001:02e500000003008102|02e600000006000300000002:,02e60000000700030400010014
183,00b80000001a00fd383734488979d53f3ba8d5d57daaa078a636888e8845d93e:00b800000003007d01|00b900000006000300020001:00b9000000050003020031|00ba000000060004002b0001:00ba00000003008402|00bb0000000600050000ff00:00bb0000000600050000ff00|00bc00000006000400000004:,00bc0000000b00040807188e973cb9c089
725,02d80000000b0010000000020400140017:02d800000006001000000002|02d90000001a0066b54a35489de5a3c824828c9fd0561ef18703b49451c0a5d4:02d90000000300e601|02da0000000b0010000000020400010014:02da00000006001000000002|02db0000000600060002002a:02db0000000600060002002a|02dc000000060004002e0001:,02dc00000003008402
1126,046a0000000b0010000000020400150020:046a00000006001000000002|046b00000006000500300000:046b00000003008502|046c0000000a00ed151344be66f66009:046c00000003006d01|046d00000006000100000001:046d0000000400010101|046e0000000600050000ff00:,046e0000000600050000ff00
2032,07f400000006000600020014:07f400000006000600020014|07f500000006000500000000:07f500000006000500000000|07f600000006000100000001:07f60000000400010100|07f70000001a009a93034d8ae9b47d15d1172a218905988f59739607261f610f:07f700000003001a01|07f800000006000300020001:,07f8000000050003020014
2233,08bd00000006000300020001:08bd00000005000302001d|08be0000001200a2e66627462e17479d75111e9b0cde746c:08be00000003002201|08bf0000000b00100000000204001e0023:08bf00000006001000000002|08c00000000600050011ff00:08c000000003008502|08c100000006000300000002:,08c100000007000304001e0023
2079,08230000000a00e8c49c04fa5000be94:082300000003006801|082400000006000600020023:082400000006000600020023|082500000006000500000000:082500000006000500000000|082600000006000400190001:082600000003008402|082700000006000400000004:,08270000000b0004080000000000000000
1743,06d30000000b0010000000020400070014:06d300000006001000000002|06d400000006000400000004:06d40000000b0004080000000000000000|06d500000006000300000002:06d50000000700030400070014|06d60000000600050000ff00:06d60000000600050000ff00|06d700000006000100000001:,06d70000000400010101
2234,08be0000001200a2e66627462e17479d75111e9b0cde746c:08be00000003002201|08bf0000000b00100000000204001e0023:08bf00000006001000000002|08c00000000600050011ff00:08c000000003008502|08c100000006000300000002:08c100000007000304001e0023|08c200000006000100000001:,08c20000000400010101
2339,092700000006000500000000:092700000006000500000000|092800000006000300000002:0928000000070003040016000b|09290000000b00100000000204000d001f:092900000006001000000002|092a00000012003f45d7cacfde0598c21e29765295273ac2:092a0000000300bf01|092b00000006000100000001:,092b0000000400010100
1313,052500000006000400000004:05250000000b0004088eb526aa0e88c05d|05260000000a00ed7d0e22d1cbad9361:052600000003006d01|052700000006000300000002:0527000000070003040014000b|052800000006000300020001:0528000000050003020001|052900000006000100000001:,05290000000400010101
1303,051b0000001200a54ae2a9e78a0f9c6825e42b15012c799d:051b00000003002501|051c0000000600050000ff00:051c0000000600050000ff00|051d00000006000300000002:051d0000000700030400140018|051e00000006000400000004:051e0000000b00040834ad05297eddc076|051f00000006000300040001:,051f00000003008302
106,006b00000006000300020001:006b000000050003020020|006c00000006000100170001:006c00000003008102|006d00000006000300020001:006d000000050003020020|006e00000006000300000002:006e0000000700030400260002|006f0000000b0010000000020400180007:,006f00000006001000000002
2072,081c00000006000500000000:081c00000006000500000000|081d0000000600060002002c:081d0000000600060002002c|081e00000006000500020000:081e00000003008502|081f00000006000400000004:081f0000000b0004080000000000000000|082000000006000300020001:,082000000005000302002c
414,019f00000006000100000001:019f0000000400010101|01a000000006000300020001:01a0000000050003020027|01a100000006000400000004:01a10000000b000408f45ea415cf194051|01a200000006000500000000:01a200000006000500000000|01a300000006000600020005:,01a300000006000600020005
1056,042400000012004966a38191672ad06adf71cd51ffaaa1e2:04240000000300c901|042500000006000300000002:04250000000700030400060004|042600000006000300020001:042600000005000302001d|042700000006000300020001:042700000005000302001d|04280000000a00db8ffbeef4766a2eab:,042800000003005b01
756,02f800000006000300090001:02f800000003008302|02f90000000b00100000000204002a000d:02f900000006001000000002|02fa00000006000600020030:02fa00000006000600020030|02fb0000001a0048eafa9161ca00bcbaaa6790ac81474fd0c469415d626f34c4:02fb0000000300c801|02fc0000000600050000ff00:,02fc0000000600050000ff00
1180,04a000000006000300000002:04a000000007000304000f0019|04a100000006000100000001:04a10000000400010100|04a20000001a00d4e6b559b68024b15c2ec166426a974e610dd2be9f9e8fdccb:04a200000003005401|04a30000000600060011002e:04a300000003008602|04a40000000b001000000002040002002a:,04a400000006001000000002
1807,0713000000120067fa0b5fc02ddcfecabcc3f448199cdb74:07130000000300e701|071400000006000300000002:07140000000700030400190007|07150000000b0010000000020400130026:071500000006001000000002|071600000006000300280001:071600000003008302|071700000006000400000004:,07170000000b0004080000000000000000
1205,04b900000006000100000001:04b90000000400010100|04ba00000006000600020030:04ba00000006000600020030|04bb0000001a001e01fd848c7daffb9eec0d9f9c06c77be8ff3ac8ad0ee80832:04bb00000003009e01|04bc0000000b001000000002040001000a:04bc00000006001000000002|04bd0000000600050000ff00:,04bd0000000600050000ff00
1135,04730000000600060002002f:04730000000600060002002f|047400000006000300020001:047400000005000302002f|047500000006000400000004:04750000000b000408c4727c5afb0ac072|047600000006000100000001:04760000000400010101|047700000006000500000000:,047700000006000500000000
1574,062a00000006000300020001:062a000000050003020029|062b00000006000300000002:062b000000070003040007001a|062c0000000600050000ff00:062c0000000600050000ff00|062d0000000a00f1312dcd3f96d9b4f9:062d00000003007101|062e00000006000400000004:,062e0000000b000408312fe996d697c07b
672,02a200000006000400000004:02a20000000b000408704c03ea0ac9c088|02a300000006000100080001:02a300000003008102|02a400000006000400000004:02a40000000b000408704c03ea0ac9c088|02a500000006000600020026:02a500000006000600020026|02a600000006000300000002:,02a6000000070003040003002a
1230,04d20000000600050000ff00:04d20000000600050000ff00|04d300000006000300000002:04d3000000070003040020001d|04d4000000060004001e0001:04d400000003008402|04d50000000600060002001e:04d50000000600060002001e|04d600000006000100000001:,04d60000000400010101
199,00c8000000060003002d0001:00c800000003008302|00c900000006000500000000:00c900000006000500000000|00ca0000000b0010000000020400090012:00ca00000006001000000002|00cb00000006000300020001:00cb000000050003020023|00cc00000006000300000002:,00cc0000000700030400090012
1991,07cb00000006000300020001:07cb000000050003020014|07cc0000000600050000ff00:07cc0000000600050000ff00|07cd0000000b0010000000020400060023:07cd00000006001000000002|07ce0000001a008fa1652aa5dcadbc82ba05a8bde568a351d33e3fec7756cf7d:07ce00000003000f01|07cf00000006000300020001:,07cf000000050003020014
1782,06fa00000006000100000001:06fa0000000400010100|06fb00000006000400000004:06fb0000000b0004080000000000000000|06fc0000000600050000ff00:06fc0000000600050000ff00|06fd0000000600060002002f:06fd0000000600060002002f|06fe00000006000300270001:,06fe00000003008302
2374,094a0000000600050000ff00:094a0000000600050000ff00|094b0000000600060002002c:094b0000000600060002002c|094c00000006000400000004:094c0000000b0004084e67c5975ec4c058|094d00000006000300070001:094d00000003008302|094e00000006000300020001:,094e00000005000302002c
