,source_text,target_text
207,00d000000006000400000004:00d00000000b0004080000000000000000|00d100000006000600020010:00d100000006000600020010|00d200000006000100000001:00d20000000400010100|00d300000006000300000002:00d30000000700030400040017|00d40000000b00100000000204000f0021:00d400000006001000000002|00d5000000060003001c0001:00d500000003008302|00d60000001a007957e3ad6d349ad053882cba40225eba74a776d46b64f2fdc6:,00d60000000300f901
1946,079c00000006000100000001:079c0000000400010101|079d0000000600050000ff00:079d0000000600050000ff00|079e0000000a00aac4ee4a2023486766:079e00000003002a01|079f00000006000400000004:079f0000000b00040834ad05297eddc076|07a000000006000300020001:07a0000000050003020018|07a100000006000300000002:07a10000000700030400110018|07a200000006000400100001:,07a200000003008402
1361,05530000000b0010000000020400260012:055300000006001000000002|05540000001200397a7e781ff9ae4236bd94a3f685fa11c8:05540000000300b901|0555000000060001001f0001:055500000003008102|055600000006000300000002:05560000000700030400260012|05570000000600060002001c:05570000000600060002001c|055800000006000400000004:05580000000b000408a86ee718ee6fc06e|055900000006000600020009:,055900000006000600020009
1299,051500000006000600040014:051500000003008602|051600000006000400000004:05160000000b0004080000000000000000|05170000001a004f327627fe15f130e06cf80f46411a153d4624bcc8c483589c:05170000000300cf01|051800000006000600020024:051800000006000600020024|051900000006000100000001:05190000000400010100|051a0000000a00b6de553fa0db7e7942:051a00000003003601|051b0000000600060002002c:,051b0000000600060002002c
2639,0a5200000006000300000002:0a520000000700030400180017|0a5300000006000100000001:0a530000000400010100|0a5400000006000400000004:0a540000000b0004080000000000000000|0a550000001a006366da221ff07d84a260219698fc91c9966c9a0c31731ceb51:0a550000000300e301|0a560000000b00100000000204000c0031:0a5600000006001000000002|0a5700000006000300000002:0a5700000007000304000c0031|0a5800000006000400000004:,0a580000000b0004080000000000000000
1017,03fb00000006000100000001:03fb0000000400010101|03fc00000006000400000004:03fc0000000b000408152316c68682c07d|03fd00000006000300020001:03fd000000050003020019|03fe00000006000300000002:03fe00000007000304001c001e|03ff0000000600050000ff00:03ff0000000600050000ff00|0400000000120028caa41ac8e2dd86eea51ec868c88d3715:04000000000300a801|040100000006000600020015:,040100000006000600020015
953,03bb00000006000400000004:03bb0000000b0004080000000000000000|03bc0000000b00100000000204000d0021:03bc00000006001000000002|03bd00000006000100000001:03bd0000000400010100|03be0000001a0075860f4df4df10485dfb02c67b87c8fcfe5543283cef854bfa:03be0000000300f501|03bf00000006000500000000:03bf00000006000500000000|03c00000000600060002000f:03c00000000600060002000f|03c100000006000300020001:,03c100000005000302000f
1914,077c000000120036964dbcf7971a725f08a41262749b4cca:077c0000000300b601|077d00000006000300020001:077d000000050003020015|077e00000006000100000001:077e0000000400010101|077f000000060005001bff00:077f00000003008502|078000000006000500000000:078000000006000500000000|07810000000b0010000000020400310004:078100000006001000000002|078200000006000400000004:,07820000000b0004080000000000000000
3503,0db200000006000400000004:0db20000000b0004080000000000000000|0db300000006000300000002:0db30000000700030400100012|0db40000000b00100000000204002f001a:0db400000006001000000002|0db5000000060001002c0001:0db500000003008102|0db60000000600060002000e:0db60000000600060002000e|0db700000006000300000002:0db700000007000304002f001a|0db80000000600060002002d:,0db80000000600060002002d
2715,0a9e00000006000100000001:0a9e0000000400010100|0a9f00000006000500000000:0a9f00000006000500000000|0aa000000006000400000004:0aa00000000b0004080000000000000000|0aa100000006000600020026:0aa100000006000600020026|0aa200000006000300020001:0aa2000000050003020026|0aa30000000b0010000000020400100025:0aa300000006001000000002|0aa400000006000300000002:,0aa40000000700030400100025
1376,056200000006000600020004:056200000006000600020004|056300000006000400000004:05630000000b0004085312892260dec086|056400000006000100000001:05640000000400010101|056500000006000300020001:0565000000050003020004|056600000006000600290031:056600000003008602|05670000000b001000000002040003001b:056700000006001000000002|056800000006000300000002:,0568000000070003040003001b
3369,0d2c00000006000300020001:0d2c000000050003020015|0d2d00000006000300000002:0d2d000000070003040007000a|0d2e000000060003002f0001:0d2e00000003008302|0d2f00000006000100000001:0d2f0000000400010100|0d3000000006000400000004:0d300000000b0004080000000000000000|0d31000000060005002a0000:0d3100000003008502|0d3200000006000100000001:,0d320000000400010100
3542,0dd90000000b001000000002040017001b:0dd900000006001000000002|0dda00000006000500000000:0dda00000006000500000000|0ddb00000006000400000004:0ddb0000000b0004080000000000000000|0ddc000000060006000e0001:0ddc00000003008602|0ddd00000006000300020001:0ddd000000050003020020|0dde00000006000600020025:0dde00000006000600020025|0ddf0000000b0010000000020400230006:,0ddf00000006001000000002
2571,0a0e000000060006001c001a:0a0e00000003008602|0a0f00000006000100000001:0a0f0000000400010101|0a100000001a002f15a89da4ee6a684d965b4a527ad322055608a2c2a8f89492:0a100000000300af01|0a110000000b0010000000020400260001:0a1100000006001000000002|0a1200000006000300020001:0a1200000005000302001f|0a1300000006000500000000:0a1300000006000500000000|0a1400000006000600020018:,0a1400000006000600020018
1627,065d00000006000300020001:065d000000050003020013|065e0000000a00b5c616cbddb973f890:065e00000003003501|065f00000006000100000001:065f0000000400010101|066000000006000300000002:0660000000070003040024001b|066100000006000400000004:06610000000b000408a4e88df702afc07a|06620000000b00100000000204001a0028:066200000006001000000002|066300000006000300020001:,0663000000050003020013
2212,08a600000006000500050000:08a600000003008502|08a700000006000600020006:08a700000006000600020006|08a80000000a0036a06f33e614118146:08a80000000300b601|08a900000006000300020001:08a9000000050003020006|08aa00000006000400290001:08aa00000003008402|08ab0000000600050000ff00:08ab0000000600050000ff00|08ac00000006000400000004:,08ac0000000b00040834ad05297edd4056
446,01bf00000006000300000002:01bf000000070003040027002e|01c00000000600050000ff00:01c00000000600050000ff00|01c100000006000400000004:01c10000000b0004088b30cd8922c7c088|01c200000006000300020001:01c200000005000302000e|01c300000006000600280012:01c300000003008602|01c400000006000400000004:01c40000000b0004088b30cd8922c7c088|01c50000000a007cc8a2dfee125303a7:,01c50000000300fc01
233,00ea00000006000300020001:00ea000000050003020009|00eb00000006000100000001:00eb0000000400010101|00ec00000006000500000000:00ec00000006000500000000|00ed0000000b00100000000204000c002c:00ed00000006001000000002|00ee00000006000400000004:00ee0000000b0004080000000000000000|00ef0000000600060002001f:00ef0000000600060002001f|00f0000000060003002a0001:,00f000000003008302
547,0224000000060001000f0001:022400000003008102|022500000006000400000004:02250000000b0004089b9906e1fe7c400d|022600000006000400000004:02260000000b0004089b9906e1fe7c400d|02270000000600060002002a:02270000000600060002002a|022800000006000300020001:022800000005000302002a|02290000001a00cef58b595b45ce7a8b2ca00d9b16573538723084ffa46b12ed:022900000003004e01|022a0000000600050000ff00:,022a0000000600050000ff00
972,03ce00000006000300020001:03ce000000050003020021|03cf00000006000400000004:03cf0000000b0004080000000000000000|03d000000006000600020018:03d000000006000600020018|03d100000006000300000002:03d100000007000304002f001c|03d200000012003b73360759d62ded437d2d1f7b78d67aaf:03d20000000300bb01|03d300000006000600030030:03d300000003008602|03d400000006000100000001:,03d40000000400010100
