,source_text,target_text
1977,0f730000000b00100000000204ef1f42b1:0f7300000006001000000002|0f7400000006000400000004:,0f740000000b000408000060008776c113
849,06a30000000b00100000000204e10e4290:06a300000006001000000002|06a400000006000400000004:,06a40000000b0004080000c0007dcbc113
1228,09990000000b00100000000204fc40429b:099900000006001000000002|099a00000006000400000004:,099a0000000b0004080000a0008104c113
3626,1c550000000b0010000000020441a442e2:1c5500000006001000000002|1c5600000006000400000004:,1c560000000b0004080000a00095d0c113
2701,151b0000000b00100000000204267242c7:151b00000006001000000002|151c00000006000400000004:,151c0000000b000408000000008de8c113
2334,123d0000000b00100000000204654642bc:123d00000006001000000002|123e00000006000400000004:,123e0000000b000408000020008aafc113
3568,1be10000000b001000000002048e8942e0:1be100000006001000000002|1be200000006000400000004:,1be20000000b0004080000a000953ac113
3916,1e990000000b00100000000204c12c42ea:1e9900000006001000000002|1e9a00000006000400000004:,1e9a0000000b000408000080009828c113
3555,1bc70000000b001000000002042d0342e0:1bc700000006001000000002|1bc800000006000400000004:,1bc80000000b0004080000a000953ac113
2909,16bb0000000b001000000002043ed442cd:16bb00000006001000000002|16bc00000006000400000004:,16bc0000000b0004080000e0008fa9c113
2999,176f0000000b00100000000204e1fe42cf:176f00000006001000000002|177000000006000400000004:,17700000000b0004080000e000903fc113
3084,18190000000b001000000002045fa642d2:181900000006001000000002|181a00000006000400000004:,181a0000000b0004080000e0009120c113
2126,109d0000000b001000000002044ce542b6:109d00000006001000000002|109e00000006000400000004:,109e0000000b0004080000400088edc113
455,038f0000000b0010000000020455554285:038f00000006001000000002|039000000006000400000004:,03900000000b000408000000007a93c113
3862,1e2d0000000b001000000002042c1342e9:1e2d00000006001000000002|1e2e00000006000400000004:,1e2e0000000b0004080000800097ddc113
1938,0f250000000b00100000000204ca8d42b0:0f2500000006001000000002|0f2600000006000400000004:,0f260000000b00040800006000872bc113
2361,12730000000b001000000002042fd342bd:127300000006001000000002|127400000006000400000004:,12740000000b000408000020008afac113
2432,13010000000b00100000000204447442bf:130100000006001000000002|130200000006000400000004:,13020000000b000408000020008b90c113
188,01790000000b0010000000020404b0427b:017900000006001000000002|017a00000006000400000004:,017a0000000b0004080000200077a5c113
2595,14470000000b001000000002040b4142c4:144700000006001000000002|144800000006000400000004:,14480000000b000408000000008d07c113
2677,14eb0000000b00100000000204726742c6:14eb00000006001000000002|14ec00000006000400000004:,14ec0000000b000408000000008d9dc113
2716,15390000000b0010000000020496f942c7:153900000006001000000002|153a00000006000400000004:,153a0000000b000408000000008de8c113
3554,1bc50000000b00100000000204258242e0:1bc500000006001000000002|1bc600000006000400000004:,1bc60000000b0004080000a000953ac113
2220,11590000000b001000000002040e1142b9:115900000006001000000002|115a00000006000400000004:,115a0000000b0004080000400089cec113
469,03ab0000000b00100000000204be5c4285:03ab00000006001000000002|03ac00000006000400000004:,03ac0000000b000408000000007a93c113
511,03ff0000000b00100000000204f9704286:03ff00000006001000000002|040000000006000400000004:,04000000000b000408000000007adec113
2790,15cd0000000b00100000000204c21c42c9:15cd00000006001000000002|15ce00000006000400000004:,15ce0000000b000408000000008e7ec113
1172,09290000000b001000000002045826429a:092900000006001000000002|092a00000006000400000004:,092a0000000b0004080000a00080b9c113
2028,0fd90000000b001000000002046db742b3:0fd900000006001000000002|0fda00000006000400000004:,0fda0000000b00040800004000880cc113
1370,0ab50000000b00100000000204258242a0:0ab500000006001000000002|0ab600000006000400000004:,0ab60000000b0004080000a000827bc113
871,06cf0000000b0010000000020486184291:06cf00000006001000000002|06d000000006000400000004:,06d00000000b0004080000c0007e16c113
880,06e10000000b00100000000204c99d4291:06e100000006001000000002|06e200000006000400000004:,06e20000000b0004080000c0007e16c113
2869,166b0000000b0010000000020412c142cc:166b00000006001000000002|166c00000006000400000004:,166c0000000b0004080000e0008f5ec113
3185,18e30000000b00100000000204555542d5:18e300000006001000000002|18e400000006000400000004:,18e40000000b0004080000c0009201c113
3650,1c850000000b00100000000204f5af42e2:1c8500000006001000000002|1c8600000006000400000004:,1c860000000b0004080000a00095d0c113
21,002b0000000b001000000002043b144271:002b00000006001000000002|002c00000006000400000004:,002c0000000b0004080000400074b7c113
3474,1b250000000b00100000000204cd5d42dd:1b2500000006001000000002|1b2600000006000400000004:,1b260000000b0004080000a0009459c113
3175,18cf0000000b001000000002040a5142d5:18cf00000006001000000002|18d000000006000400000004:,18d00000000b0004080000c0009201c113
598,04ad0000000b0010000000020486184289:04ad00000006001000000002|04ae00000006000400000004:,04ae0000000b0004080000e0007bbec113
3323,19f70000000b00100000000204609642d9:19f700000006001000000002|19f800000006000400000004:,19f80000000b0004080000c000932dc113
3020,17990000000b001000000002047f8842d0:179900000006001000000002|179a00000006000400000004:,179a0000000b0004080000e000908ac113
164,01490000000b001000000002049c9a4279:014900000006001000000002|014a00000006000400000004:,014a0000000b00040800002000770fc113
1647,0cdf0000000b00100000000204438442a8:0cdf00000006001000000002|0ce000000006000400000004:,0ce00000000b0004080000800084d3c113
2207,113f0000000b00100000000204ac8b42b8:113f00000006001000000002|114000000006000400000004:,11400000000b000408000040008983c113
4048,1fa10000000b001000000002049f6a42ee:1fa100000006001000000002|1fa200000006000400000004:,1fa20000000b000408000060009954c113
1609,0c930000000b00100000000204267242a7:0c9300000006001000000002|0c9400000006000400000004:,0c940000000b000408000080008488c113
316,02790000000b0010000000020442944281:027900000006001000000002|027a00000006000400000004:,027a0000000b000408000000007967c113
2638,149d0000000b001000000002044dd542c5:149d00000006001000000002|149e00000006000400000004:,149e0000000b000408000000008d52c113
3000,17710000000b00100000000204e97f42cf:177100000006001000000002|177200000006000400000004:,17720000000b0004080000e000903fc113
2654,14bd0000000b00100000000204c5dc42c5:14bd00000006001000000002|14be00000006000400000004:,14be0000000b000408000000008d52c113
2706,15250000000b001000000002044bf542c7:152500000006001000000002|152600000006000400000004:,15260000000b000408000000008de8c113
3108,18490000000b0010000000020413b142d3:184900000006001000000002|184a00000006000400000004:,184a0000000b0004080000c000916bc113
2837,162b0000000b0010000000020422b242cb:162b00000006001000000002|162c00000006000400000004:,162c0000000b0004080000e0008f13c113
432,03610000000b00100000000204a8cb4284:036100000006001000000002|036200000006000400000004:,03620000000b000408000000007a48c113
2545,13e30000000b00100000000204942942c2:13e300000006001000000002|13e400000006000400000004:,13e40000000b000408000020008c71c113
796,06390000000b001000000002045375428f:063900000006001000000002|063a00000006000400000004:,063a0000000b0004080000e0007d80c113
2643,14a70000000b00100000000204735742c5:14a700000006001000000002|14a800000006000400000004:,14a80000000b000408000000008d52c113
3373,1a5b0000000b00100000000204d7ad42da:1a5b00000006001000000002|1a5c00000006000400000004:,1a5c0000000b0004080000c0009378c113
3385,1a730000000b0010000000020431b342db:1a7300000006001000000002|1a7400000006000400000004:,1a740000000b0004080000c00093c3c113
714,05950000000b00100000000204ec4f428c:059500000006001000000002|059600000006000400000004:,05960000000b0004080000e0007c9fc113
577,04830000000b00100000000204e88f4288:048300000006001000000002|048400000006000400000004:,04840000000b0004080000e0007b73c113
2199,112f0000000b00100000000204708742b8:112f00000006001000000002|113000000006000400000004:,11300000000b000408000040008983c113
3758,1d5d0000000b001000000002041fe242e6:1d5d00000006001000000002|1d5e00000006000400000004:,1d5e0000000b0004080000800096fcc113
290,02450000000b001000000002047f884280:024500000006001000000002|024600000006000400000004:,02460000000b00040800000000791cc113
580,04890000000b00100000000204ff104288:048900000006001000000002|048a00000006000400000004:,048a0000000b0004080000e0007b73c113
2418,12e50000000b00100000000204db6e42be:12e500000006001000000002|12e600000006000400000004:,12e60000000b000408000020008b45c113
2394,12b50000000b00100000000204276242be:12b500000006001000000002|12b600000006000400000004:,12b60000000b000408000020008b45c113
851,06a70000000b00100000000204f00f4290:06a700000006001000000002|06a800000006000400000004:,06a80000000b0004080000c0007dcbc113
2321,12230000000b0010000000020403c042bc:122300000006001000000002|122400000006000400000004:,12240000000b000408000020008aafc113
3444,1ae90000000b00100000000204ec4f42dc:1ae900000006001000000002|1aea00000006000400000004:,1aea0000000b0004080000a000940ec113
187,01770000000b00100000000204f5af427a:017700000006001000000002|017800000006000400000004:,01780000000b00040800002000775ac113
2579,14270000000b00100000000204933942c3:142700000006001000000002|142800000006000400000004:,14280000000b000408000000008cbcc113
801,06430000000b0010000000020478f8428f:064300000006001000000002|064400000006000400000004:,06440000000b0004080000e0007d80c113
673,05430000000b00100000000204b8bc428b:054300000006001000000002|054400000006000400000004:,05440000000b0004080000e0007c54c113
3471,1b1f0000000b00100000000204b6db42dd:1b1f00000006001000000002|1b2000000006000400000004:,1b200000000b0004080000a0009459c113
2908,16b90000000b00100000000204375342cd:16b900000006001000000002|16ba00000006000400000004:,16ba0000000b0004080000e0008fa9c113
951,076f0000000b00100000000204de3e4293:076f00000006001000000002|077000000006000400000004:,07700000000b0004080000c0007eacc113
1629,0cbb0000000b00100000000204bc7c42a7:0cbb00000006001000000002|0cbc00000006000400000004:,0cbc0000000b000408000080008488c113
3889,1e630000000b00100000000204f69f42e9:1e6300000006001000000002|1e6400000006000400000004:,1e640000000b0004080000800097ddc113
2166,10ed0000000b0010000000020478f842b7:10ed00000006001000000002|10ee00000006000400000004:,10ee0000000b000408000040008938c113
2564,14090000000b0010000000020422b242c3:140900000006001000000002|140a00000006000400000004:,140a0000000b000408000000008cbcc113
2912,16c10000000b00100000000204555542cd:16c100000006001000000002|16c200000006000400000004:,16c20000000b0004080000e0008fa9c113
1711,0d5f0000000b0010000000020423a242aa:0d5f00000006001000000002|0d6000000006000400000004:,0d600000000b000408000060008569c113
3481,1b330000000b0010000000020401e042de:1b3300000006001000000002|1b3400000006000400000004:,1b340000000b0004080000a00094a4c113
221,01bb0000000b00100000000204f3cf427c:01bb00000006001000000002|01bc00000006000400000004:,01bc0000000b0004080000200077f0c113
2503,138f0000000b00100000000204591642c1:138f00000006001000000002|139000000006000400000004:,13900000000b000408000020008c26c113
1602,0c850000000b00100000000204f1ef42a6:0c8500000006001000000002|0c8600000006000400000004:,0c860000000b00040800008000843dc113
2062,101d0000000b001000000002046cc742b4:101d00000006001000000002|101e00000006000400000004:,101e0000000b000408000040008857c113
3218,19250000000b001000000002044ce542d6:192500000006001000000002|192600000006000400000004:,19260000000b0004080000c000924cc113
708,05890000000b00100000000204bf4c428c:058900000006001000000002|058a00000006000400000004:,058a0000000b0004080000e0007c9fc113
456,03910000000b001000000002045cd64285:039100000006001000000002|039200000006000400000004:,03920000000b000408000000007a93c113
2780,15b90000000b00100000000204771742c9:15b900000006001000000002|15ba00000006000400000004:,15ba0000000b000408000000008e7ec113
857,06b30000000b001000000002041d124291:06b300000006001000000002|06b400000006000400000004:,06b40000000b0004080000c0007e16c113
2348,12590000000b00100000000204ce4d42bc:125900000006001000000002|125a00000006000400000004:,125a0000000b000408000020008aafc113
940,07590000000b001000000002048bb94293:075900000006001000000002|075a00000006000400000004:,075a0000000b0004080000c0007eacc113
1612,0c990000000b001000000002043cf442a7:0c9900000006001000000002|0c9a00000006000400000004:,0c9a0000000b000408000080008488c113
2538,13d50000000b001000000002045fa642c2:13d500000006001000000002|13d600000006000400000004:,13d60000000b000408000020008c71c113
1646,0cdd0000000b001000000002043c0442a8:0cdd00000006001000000002|0cde00000006000400000004:,0cde0000000b0004080000800084d3c113
2183,110f0000000b00100000000204f88042b7:110f00000006001000000002|111000000006000400000004:,11100000000b000408000040008938c113
2512,13a10000000b001000000002049c9a42c1:13a100000006001000000002|13a200000006000400000004:,13a20000000b000408000020008c26c113
262,020d0000000b001000000002045af6427f:020d00000006001000000002|020e00000006000400000004:,020e0000000b0004080000000078d1c113
3501,1b5b0000000b0010000000020497e942de:1b5b00000006001000000002|1b5c00000006000400000004:,1b5c0000000b0004080000a00094a4c113
2122,10950000000b001000000002042ee342b6:109500000006001000000002|109600000006000400000004:,10960000000b0004080000400088edc113
199,018f0000000b00100000000204a9bb427b:018f00000006001000000002|019000000006000400000004:,01900000000b0004080000200077a5c113
648,05110000000b00100000000204fd30428a:051100000006001000000002|051200000006000400000004:,05120000000b0004080000e0007c09c113
2717,153b0000000b001000000002049e7a42c7:153b00000006001000000002|153c00000006000400000004:,153c0000000b000408000000008de8c113
3384,1a710000000b001000000002042a3342db:1a7100000006001000000002|1a7200000006000400000004:,1a720000000b0004080000c00093c3c113
68,00890000000b00100000000204fc404273:008900000006001000000002|008a00000006000400000004:,008a0000000b00040800004000754dc113
429,035b0000000b0010000000020492494284:035b00000006001000000002|035c00000006000400000004:,035c0000000b000408000000007a48c113
192,01810000000b0010000000020440b4427b:018100000006001000000002|018200000006000400000004:,01820000000b0004080000200077a5c113
2031,0fdf0000000b00100000000204843842b3:0fdf00000006001000000002|0fe000000006000400000004:,0fe00000000b00040800004000880cc113
4002,1f450000000b00100000000204465442ed:1f4500000006001000000002|1f4600000006000400000004:,1f460000000b000408000060009909c113
3539,1ba70000000b00100000000204b4fb42df:1ba700000006001000000002|1ba800000006000400000004:,1ba80000000b0004080000a00094efc113
2661,14cb0000000b00100000000204fa6042c5:14cb00000006001000000002|14cc00000006000400000004:,14cc0000000b000408000000008d52c113
1849,0e730000000b001000000002042ee342ae:0e7300000006001000000002|0e7400000006000400000004:,0e740000000b000408000060008695c113
3494,1b4d0000000b00100000000204636642de:1b4d00000006001000000002|1b4e00000006000400000004:,1b4e0000000b0004080000a00094a4c113
2516,13a90000000b00100000000204ba9c42c1:13a900000006001000000002|13aa00000006000400000004:,13aa0000000b000408000020008c26c113
2330,12350000000b00100000000204474442bc:123500000006001000000002|123600000006000400000004:,12360000000b000408000020008aafc113
1776,0de10000000b001000000002040b4142ac:0de100000006001000000002|0de200000006000400000004:,0de20000000b0004080000600085ffc113
3101,183b0000000b00100000000204df2e42d2:183b00000006001000000002|183c00000006000400000004:,183c0000000b0004080000e0009120c113
1623,0caf0000000b001000000002048f7942a7:0caf00000006001000000002|0cb000000006000400000004:,0cb00000000b000408000080008488c113
925,073b0000000b001000000002041b324293:073b00000006001000000002|073c00000006000400000004:,073c0000000b0004080000c0007eacc113
3053,17db0000000b00100000000204771742d1:17db00000006001000000002|17dc00000006000400000004:,17dc0000000b0004080000e00090d5c113
1464,0b710000000b00100000000204e6ae42a2:0b7100000006001000000002|0b7200000006000400000004:,0b720000000b000408000080008311c113
2519,13af0000000b00100000000204d11d42c1:13af00000006001000000002|13b000000006000400000004:,13b00000000b000408000020008c26c113
2233,11730000000b001000000002046f9742b9:117300000006001000000002|117400000006000400000004:,11740000000b0004080000400089cec113
1825,0e430000000b001000000002047ad842ad:0e4300000006001000000002|0e4400000006000400000004:,0e440000000b00040800006000864ac113
877,06db0000000b00100000000204b31b4291:06db00000006001000000002|06dc00000006000400000004:,06dc0000000b0004080000c0007e16c113
814,065d0000000b00100000000204da7e428f:065d00000006001000000002|065e00000006000400000004:,065e0000000b0004080000e0007d80c113
387,03070000000b0010000000020457354283:030700000006001000000002|030800000006000400000004:,03080000000b0004080000000079fdc113
169,01530000000b00100000000204e79e4279:015300000006001000000002|015400000006000400000004:,01540000000b00040800002000770fc113
1099,08970000000b0010000000020434834298:089700000006001000000002|089800000006000400000004:,08980000000b0004080000a0008023c113
3252,19690000000b001000000002044bf542d7:196900000006001000000002|196a00000006000400000004:,196a0000000b0004080000c0009297c113
810,06550000000b00100000000204bc7c428f:065500000006001000000002|065600000006000400000004:,06560000000b0004080000e0007d80c113
3531,1b970000000b0010000000020478f842df:1b9700000006001000000002|1b9800000006000400000004:,1b980000000b0004080000a00094efc113
4071,1fcf0000000b001000000002044bf542ef:1fcf00000006001000000002|1fd000000006000400000004:,1fd00000000b00040800006000999fc113
2021,0fcb0000000b00100000000204393442b3:0fcb00000006001000000002|0fcc00000006000400000004:,0fcc0000000b00040800004000880cc113
2386,12a50000000b00100000000204eb5f42bd:12a500000006001000000002|12a600000006000400000004:,12a60000000b000408000020008afac113
3172,18c90000000b00100000000204f3cf42d4:18c900000006001000000002|18ca00000006000400000004:,18ca0000000b0004080000c00091b6c113
823,066f0000000b001000000002041e024290:066f00000006001000000002|067000000006000400000004:,06700000000b0004080000c0007dcbc113
3041,17c30000000b001000000002041d1242d1:17c300000006001000000002|17c400000006000400000004:,17c40000000b0004080000e00090d5c113
2965,172b0000000b00100000000204e2ee42ce:172b00000006001000000002|172c00000006000400000004:,172c0000000b0004080000e0008ff4c113
2430,12fd0000000b00100000000204357342bf:12fd00000006001000000002|12fe00000006000400000004:,12fe0000000b000408000020008b90c113
1402,0af50000000b00100000000204159142a1:0af500000006001000000002|0af600000006000400000004:,0af60000000b0004080000800082c6c113
3527,1b8f0000000b001000000002045af642df:1b8f00000006001000000002|1b9000000006000400000004:,1b900000000b0004080000a00094efc113
238,01dd0000000b00100000000204f2df427d:01dd00000006001000000002|01de00000006000400000004:,01de0000000b00040800002000783bc113
3755,1d570000000b00100000000204096142e6:1d5700000006001000000002|1d5800000006000400000004:,1d580000000b0004080000800096fcc113
3346,1a250000000b001000000002040d2142da:1a2500000006001000000002|1a2600000006000400000004:,1a260000000b0004080000c0009378c113
4055,1faf0000000b00100000000204d3ed42ee:1faf00000006001000000002|1fb000000006000400000004:,1fb00000000b000408000060009954c113
728,05b10000000b001000000002045555428d:05b100000006001000000002|05b200000006000400000004:,05b20000000b0004080000e0007ceac113
371,02e70000000b00100000000204df2e4282:02e700000006001000000002|02e800000006000400000004:,02e80000000b0004080000000079b2c113
2615,146f0000000b00100000000204a14a42c4:146f00000006001000000002|147000000006000400000004:,14700000000b000408000000008d07c113
3867,1e370000000b00100000000204519542e9:1e3700000006001000000002|1e3800000006000400000004:,1e380000000b0004080000800097ddc113
555,04570000000b0010000000020443844288:045700000006001000000002|045800000006000400000004:,04580000000b0004080000e0007b73c113
210,01a50000000b001000000002044ec5427c:01a500000006001000000002|01a600000006000400000004:,01a60000000b0004080000200077f0c113
288,02410000000b0010000000020470874280:024100000006001000000002|024200000006000400000004:,02420000000b00040800000000791cc113
458,03950000000b001000000002046bd74285:039500000006001000000002|039600000006000400000004:,03960000000b000408000000007a93c113
1046,082d0000000b00100000000204a6ea4296:082d00000006001000000002|082e00000006000400000004:,082e0000000b0004080000c0007f8dc113
2560,14010000000b0010000000020404b042c3:140100000006001000000002|140200000006000400000004:,14020000000b000408000000008cbcc113
4084,1fe90000000b00100000000204ad7b42ef:1fe900000006001000000002|1fea00000006000400000004:,1fea0000000b00040800006000999fc113
3998,1f3d0000000b00100000000204285342ed:1f3d00000006001000000002|1f3e00000006000400000004:,1f3e0000000b000408000060009909c113
2035,0fe70000000b00100000000204a23a42b3:0fe700000006001000000002|0fe800000006000400000004:,0fe80000000b00040800004000880cc113
1663,0cff0000000b00100000000204bb8c42a8:0cff00000006001000000002|0d0000000006000400000004:,0d000000000b0004080000800084d3c113
457,03930000000b0010000000020464564285:039300000006001000000002|039400000006000400000004:,03940000000b000408000000007a93c113
1683,0d270000000b00100000000204519542a9:0d2700000006001000000002|0d2800000006000400000004:,0d280000000b00040800006000851ec113
1649,0ce30000000b00100000000204528542a8:0ce300000006001000000002|0ce400000006000400000004:,0ce40000000b0004080000800084d3c113
3725,1d1b0000000b00100000000204285342e5:1d1b00000006001000000002|1d1c00000006000400000004:,1d1c0000000b0004080000800096b1c113
1718,0d6d0000000b00100000000204582642aa:0d6d00000006001000000002|0d6e00000006000400000004:,0d6e0000000b000408000060008569c113
1419,0b170000000b00100000000204951942a1:0b1700000006001000000002|0b1800000006000400000004:,0b180000000b0004080000800082c6c113
1356,0a990000000b00100000000204bc7c429f:0a9900000006001000000002|0a9a00000006000400000004:,0a9a0000000b0004080000a0008230c113
854,06ad0000000b0010000000020406904291:06ad00000006001000000002|06ae00000006000400000004:,06ae0000000b0004080000c0007e16c113
392,03110000000b001000000002047cb84283:031100000006001000000002|031200000006000400000004:,03120000000b0004080000000079fdc113
1067,08570000000b0010000000020444744297:085700000006001000000002|085800000006000400000004:,08580000000b0004080000c0007fd8c113
723,05a70000000b001000000002042fd3428d:05a700000006001000000002|05a800000006000400000004:,05a80000000b0004080000e0007ceac113
1488,0ba10000000b001000000002049aba42a3:0ba100000006001000000002|0ba200000006000400000004:,0ba20000000b00040800008000835cc113
212,01a90000000b001000000002046cc7427c:01a900000006001000000002|01aa00000006000400000004:,01aa0000000b0004080000200077f0c113
2224,11610000000b001000000002042c1342b9:116100000006001000000002|116200000006000400000004:,11620000000b0004080000400089cec113
2154,10d50000000b001000000002041ef242b7:10d500000006001000000002|10d600000006000400000004:,10d60000000b000408000040008938c113
1889,0ec30000000b001000000002045af642af:0ec300000006001000000002|0ec400000006000400000004:,0ec40000000b0004080000600086e0c113
1261,09db0000000b00100000000204f3cf429c:09db00000006001000000002|09dc00000006000400000004:,09dc0000000b0004080000a000814fc113
2254,119d0000000b001000000002040d2142ba:119d00000006001000000002|119e00000006000400000004:,119e0000000b000408000020008a19c113
2200,11310000000b00100000000204780842b8:113100000006001000000002|113200000006000400000004:,11320000000b000408000040008983c113
2818,16050000000b00100000000204942942ca:160500000006001000000002|160600000006000400000004:,16060000000b000408000000008ec9c113
2976,17410000000b00100000000204357342cf:174100000006001000000002|174200000006000400000004:,17420000000b0004080000e000903fc113
4024,1f710000000b00100000000204eb5f42ed:1f7100000006001000000002|1f7200000006000400000004:,1f720000000b000408000060009909c113
1813,0e2b0000000b0010000000020420d242ad:0e2b00000006001000000002|0e2c00000006000400000004:,0e2c0000000b00040800006000864ac113
3114,18550000000b0010000000020440b442d3:185500000006001000000002|185600000006000400000004:,18560000000b0004080000c000916bc113
896,07010000000b0010000000020441a44292:070100000006001000000002|070200000006000400000004:,07020000000b0004080000c0007e61c113
2778,15b50000000b00100000000204681742c9:15b500000006001000000002|15b600000006000400000004:,15b60000000b000408000000008e7ec113
3024,17a10000000b001000000002049d8a42d0:17a100000006001000000002|17a200000006000400000004:,17a20000000b0004080000e000908ac113
2014,0fbd0000000b0010000000020404b042b3:0fbd00000006001000000002|0fbe00000006000400000004:,0fbe0000000b00040800004000880cc113
116,00e90000000b00100000000204cc6d4276:00e900000006001000000002|00ea00000006000400000004:,00ea0000000b00040800004000762ec113
3709,1cfb0000000b00100000000204b04b42e4:1cfb00000006001000000002|1cfc00000006000400000004:,1cfc0000000b000408000080009666c113
1028,08090000000b001000000002041fe24296:080900000006001000000002|080a00000006000400000004:,080a0000000b0004080000c0007f8dc113
3316,19e90000000b001000000002042c1342d9:19e900000006001000000002|19ea00000006000400000004:,19ea0000000b0004080000c000932dc113
2057,10130000000b00100000000204474442b4:101300000006001000000002|101400000006000400000004:,10140000000b000408000040008857c113
1910,0eed0000000b00100000000204f88042af:0eed00000006001000000002|0eee00000006000400000004:,0eee0000000b0004080000600086e0c113
3703,1cef0000000b00100000000204834842e4:1cef00000006001000000002|1cf000000006000400000004:,1cf00000000b000408000080009666c113
14,001d0000000b00100000000204d20d4270:001d00000006001000000002|001e00000006000400000004:,001e0000000b00040800004000746cc113
738,05c50000000b00100000000204a05a428d:05c500000006001000000002|05c600000006000400000004:,05c60000000b0004080000e0007ceac113
4016,1f610000000b00100000000204af5b42ed:1f6100000006001000000002|1f6200000006000400000004:,1f620000000b000408000060009909c113
163,01470000000b001000000002048d994279:014700000006001000000002|014800000006000400000004:,01480000000b00040800002000770fc113
961,07830000000b0010000000020429434294:078300000006001000000002|078400000006000400000004:,07840000000b0004080000c0007ef7c113
1175,092f0000000b001000000002046ea7429a:092f00000006001000000002|093000000006000400000004:,09300000000b0004080000a00080b9c113
2501,138b0000000b001000000002044a1542c1:138b00000006001000000002|138c00000006000400000004:,138c0000000b000408000020008c26c113
3671,1caf0000000b00100000000204933942e3:1caf00000006001000000002|1cb000000006000400000004:,1cb00000000b0004080000a000961bc113
1001,07d30000000b0010000000020455554295:07d300000006001000000002|07d400000006000400000004:,07d40000000b0004080000c0007f42c113
1543,0c0f0000000b00100000000204375342a5:0c0f00000006001000000002|0c1000000006000400000004:,0c100000000b0004080000800083f2c113
476,03b90000000b00100000000204f2df4285:03b900000006001000000002|03ba00000006000400000004:,03ba0000000b000408000000007a93c113
3134,187d0000000b00100000000204d6bd42d3:187d00000006001000000002|187e00000006000400000004:,187e0000000b0004080000c000916bc113
2405,12cb0000000b0010000000020479e842be:12cb00000006001000000002|12cc00000006000400000004:,12cc0000000b000408000020008b45c113
3947,1ed70000000b00100000000204a9bb42eb:1ed700000006001000000002|1ed800000006000400000004:,1ed80000000b000408000080009873c113
250,01f50000000b00100000000204a6ea427e:01f500000006001000000002|01f600000006000400000004:,01f60000000b000408000020007886c113
1761,0dc30000000b001000000002049aba42ab:0dc300000006001000000002|0dc400000006000400000004:,0dc40000000b0004080000600085b4c113
