,source_text,target_text
4119,101800000006000300050003,101800000009000306000900040003
949,03b60000000d00100000000306000200020000,03b600000006001000000003
2572,0a0d00000006000300020003,0a0d00000009000306000200090000
4087,0ff800000006000300050003,0ff800000009000306000400040000
396,018d0000000b0010000500020400010000,018d00000006001000050002
6228,18550000000d00100009000306000000000007,185500000006001000090003
529,021200000006000300070002,02120000000700030400020009
1356,054d00000006000300000003,054d00000009000306000900080009
2354,093300000006000300020003,093300000009000306000500050009
4982,137700000006000300060003,137700000009000306000300090000
7183,1c100000000d0010000a000306000900050001,1c10000000060010000a0003
2280,08e900000006000300020003,08e900000009000306000300040001
2727,0aa800000006000300030003,0aa800000009000306000700010009
5698,164300000006000300080003,164300000009000306000200010000
2822,0b070000000d00100003000306000300030009,0b0700000006001000030003
2186,088b00000006000300020003,088b00000009000306000700020009
3472,0d9100000006000300040003,0d9100000009000306000100040009
7733,1e36000000060003000b0003,1e3600000009000306000000050009
431,01b000000006000300050002,01b00000000700030400060009
554,022b0000000b0010000700020400070000,022b00000006001000070002
7302,1c87000000060003000a0003,1c8700000009000306000900070000
1216,04c100000006000300000003,04c100000009000306000600060008
625,02720000000b0010000800020400080009,027200000006001000080002
1327,05300000000d00100000000306000500080000,053000000006001000000003
3098,0c1b0000000d00100003000306000900070009,0c1b00000006001000030003
3469,0d8e0000000d00100004000306000100040001,0d8e00000006001000040003
2315,090c0000000d00100002000306000900040008,090c00000006001000020003
3986,0f930000000d00100005000306000700020006,0f9300000006001000050003
2453,09960000000d00100002000306000200070008,099600000006001000020003
7263,1c600000000d0010000a000306000200070009,1c60000000060010000a0003
5541,15a600000006000300070003,15a600000009000306000600080000
2455,09980000000d00100002000306000200070009,099800000006001000020003
3077,0c0600000006000300030003,0c0600000009000306000600070000
182,00b70000000b0010000100020400060000,00b700000006001000010002
964,03c500000006000300000003,03c500000009000306000400020005
1442,05a30000000d00100001000306000400000000,05a300000006001000010003
2314,090b00000006000300020003,090b00000009000306000900040000
7538,1d730000000d0010000b000306000800010003,1d73000000060010000b0003
2503,09c80000000d00100002000306000000080009,09c800000006001000020003
4407,113800000006000300050003,113800000009000306000700090002
5470,155f0000000d00100007000306000400070001,155f00000006001000070003
2306,090300000006000300020003,090300000009000306000700040009
1317,05260000000d00100000000306000300080005,052600000006001000000003
1009,03f20000000d00100000000306000200030000,03f200000006001000000003
306,01330000000b0010000300020400060007,013300000006001000030002
58,003b00000006000300080001,003b000000050003020000
7107,1bc40000000d0010000a000306000600040009,1bc4000000060010000a0003
6240,18610000000d00100009000306000200000003,186100000006001000090003
5268,14950000000d00100007000306000000040009,149500000006001000070003
6900,1af5000000060003000a0003,1af500000009000306000200010000
491,01ec0000000b0010000600020400060009,01ec00000006001000060002
3441,0d720000000d00100004000306000600030009,0d7200000006001000040003
2577,0a120000000d00100002000306000300090000,0a1200000006001000020003
5713,16520000000d00100008000306000400010009,165200000006001000080003
2769,0ad200000006000300030003,0ad200000009000306000400020009
1122,046300000006000300000003,046300000009000306000000050009
1831,072800000006000300010003,072800000009000306000800060009
7482,1d3b0000000d0010000b000306000900000000,1d3b000000060010000b0003
2297,08fa0000000d00100002000306000600040002,08fa00000006001000020003
6667,1a0c00000006000300090003,1a0c00000009000306000300070007
5773,168e0000000d00100008000306000400020009,168e00000006001000080003
2166,087700000006000300020003,087700000009000306000400020007
2743,0ab800000006000300030003,0ab800000009000306000000020008
722,02d3000000060003000a0002,02d30000000700030400040008
3759,0eb00000000d00100004000306000900080009,0eb000000006001000040003
12,000d00000009001000010001020009,000d00000006001000010001
7005,1b5e0000000d0010000a000306000900020009,1b5e000000060010000a0003
5538,15a30000000d00100007000306000500080009,15a300000006001000070003
1596,063d0000000d00100001000306000900020009,063d00000006001000010003
6648,19f90000000d00100009000306000000070007,19f900000006001000090003
6048,17a100000006000300080003,17a100000009000306000000070008
6086,17c700000006000300080003,17c700000009000306000600070009
1165,048e0000000d00100000000306000800050000,048e00000006001000000003
4941,134e0000000d00100006000306000600080004,134e00000006001000060003
2213,08a60000000d00100002000306000200030006,08a600000006001000020003
6934,1b17000000060003000a0003,1b1700000009000306000700010009
6706,1a330000000d00100009000306000000080000,1a3300000006001000090003
5724,165d00000006000300080003,165d00000009000306000600010007
2137,085a0000000d00100002000306000900010009,085a00000006001000020003
3814,0ee700000006000300040003,0ee700000009000306000800090009
7592,1da90000000d0010000b000306000700020006,1da9000000060010000b0003
4735,12800000000d00100006000306000200050000,128000000006001000060003
6968,1b39000000060003000a0003,1b3900000009000306000300020002
2364,093d00000006000300020003,093d00000009000306000700050006
664,02990000000b0010000900020400050000,029900000006001000090002
88,005900000006000300000002,00590000000700030400000002
5079,13d800000006000300070003,13d800000009000306000900000000
6965,1b360000000d0010000a000306000300020000,1b36000000060010000a0003
3864,0f190000000d00100005000306000700000000,0f1900000006001000050003
5245,147e00000006000300070003,147e00000009000306000600030009
3012,0bc50000000d00100003000306000500060008,0bc500000006001000030003
7786,1e6b0000000d0010000b000306000900050009,1e6b000000060010000b0003
2005,07d600000006000300010003,07d600000009000306000700090009
2407,09680000000d00100002000306000400060009,096800000006001000020003
2037,07f60000000d00100002000306000300000000,07f600000006001000020003
7427,1d04000000060003000b0003,1d0400000009000306000900090000
5140,14150000000d00100007000306000900010005,141500000006001000070003
5049,13ba00000006000300070003,13ba00000009000306000400000000
761,02fa000000060003000b0002,02fa0000000700030400000009
2242,08c300000006000300020003,08c300000009000306000700030000
4432,115100000006000300060003,115100000009000306000100000003
4763,129c0000000d00100006000306000600050009,129c00000006001000060003
7655,1de8000000060003000b0003,1de800000009000306000700030009
6672,1a110000000d00100009000306000400070005,1a1100000006001000090003
7080,1ba9000000060003000a0003,1ba900000009000306000200040000
6423,191800000006000300090003,191800000009000306000200030009
3369,0d2a0000000d00100004000306000400020009,0d2a00000006001000040003
1835,072c00000006000300010003,072c00000009000306000900060005
5088,13e10000000d00100007000306000000010009,13e100000006001000070003
7036,1b7d000000060003000a0003,1b7d00000009000306000400030009
1833,072a00000006000300010003,072a00000009000306000900060000
2225,08b20000000d00100002000306000400030002,08b200000006001000020003
3715,0e840000000d00100004000306000200080005,0e8400000006001000040003
2302,08ff00000006000300020003,08ff00000009000306000700040000
5348,14e50000000d00100007000306000400050000,14e500000006001000070003
5356,14ed0000000d00100007000306000500050004,14ed00000006001000070003
4783,12b00000000d00100006000306000000060000,12b000000006001000060003
1269,04f60000000d00100000000306000500070001,04f600000006001000000003
4396,112d0000000d00100005000306000500090009,112d00000006001000050003
5249,148200000006000300070003,148200000009000306000700030008
7027,1b740000000d0010000a000306000300030005,1b74000000060010000a0003
2803,0af400000006000300030003,0af400000009000306000000030002
540,021d0000000b0010000700020400040009,021d00000006001000070002
6867,1ad40000000d0010000a000306000600000009,1ad4000000060010000a0003
5604,15e50000000d00100007000306000600090009,15e500000006001000070003
6671,1a1000000006000300090003,1a1000000009000306000400070000
4479,11800000000d00100006000306000900000006,118000000006001000060003
3185,0c7200000006000300030003,0c7200000009000306000400090000
2076,081d00000006000300020003,081d00000009000306000900000004
2393,095a0000000d00100002000306000200060005,095a00000006001000020003
7008,1b61000000060003000a0003,1b6100000009000306000000030000
3210,0c8b0000000d00100003000306000800090008,0c8b00000006001000030003
3904,0f410000000d00100005000306000300010009,0f4100000006001000050003
7470,1d2f0000000d0010000b000306000700000000,1d2f000000060010000b0003
7415,1cf80000000d0010000a000306000800090000,1cf8000000060010000a0003
448,01c10000000b0010000500020400090009,01c100000006001000050002
4690,125300000006000300060003,125300000009000306000400040004
4393,112a00000006000300050003,112a00000009000306000500090000
4830,12df00000006000300060003,12df00000009000306000700060009
3552,0de100000006000300040003,0de100000009000306000500050000
3149,0c4e00000006000300030003,0c4e00000009000306000800080000
1190,04a700000006000300000003,04a700000009000306000200060000
5836,16cd00000006000300080003,16cd00000009000306000500030000
2580,0a1500000006000300020003,0a1500000009000306000300090008
2474,09ab00000006000300020003,09ab00000009000306000500070009
6436,19250000000d00100009000306000500030000,192500000006001000090003
7114,1bcb000000060003000a0003,1bcb00000009000306000700040009
7214,1c2f000000060003000a0003,1c2f00000009000306000400060003
1370,055b00000006000300000003,055b00000009000306000200090000
3916,0f4d0000000d00100005000306000500010009,0f4d00000006001000050003
1802,070b0000000d00100001000306000400060000,070b00000006001000010003
6798,1a8f0000000d00100009000306000500090004,1a8f00000006001000090003
2173,087e0000000d00100002000306000500020009,087e00000006001000020003
4687,12500000000d00100006000306000400040000,125000000006001000060003
2949,0b8600000006000300030003,0b8600000009000306000400050009
5231,147000000006000300070003,147000000009000306000400030006
1797,070600000006000300010003,070600000009000306000300060000
4897,13220000000d00100006000306000900070000,132200000006001000060003
3425,0d620000000d00100004000306000400030000,0d6200000006001000040003
5583,15d000000006000300070003,15d000000009000306000300090000
6079,17c00000000d00100008000306000500070009,17c000000006001000080003
2322,091300000006000300020003,091300000009000306000000050003
7156,1bf5000000060003000a0003,1bf500000009000306000400050009
5558,15b70000000d00100007000306000900080000,15b700000006001000070003
3457,0d820000000d00100004000306000900030006,0d8200000006001000040003
2984,0ba90000000d00100003000306000000060009,0ba900000006001000030003
6889,1aea0000000d0010000a000306000000010002,1aea000000060010000a0003
3247,0cb00000000d00100004000306000400000005,0cb000000006001000040003
7133,1bde0000000d0010000a000306000100050000,1bde000000060010000a0003
5264,14910000000d00100007000306000000040000,149100000006001000070003
2238,08bf00000006000300020003,08bf00000009000306000600030006
4658,123300000006000300060003,123300000009000306000900030000
5136,14110000000d00100007000306000800010009,141100000006001000070003
3339,0d0c0000000d00100004000306000900010009,0d0c00000006001000040003
4469,11760000000d00100006000306000700000009,117600000006001000060003
7442,1d130000000d0010000b000306000200000008,1d13000000060010000b0003
5913,171a0000000d00100008000306000800040000,171a00000006001000080003
5988,176500000006000300080003,176500000009000306000000060005
7103,1bc00000000d0010000a000306000600040000,1bc0000000060010000a0003
5916,171d00000006000300080003,171d00000009000306000800040005
6911,1b000000000d0010000a000306000400010000,1b00000000060010000a0003
1469,05be00000006000300010003,05be00000009000306000800000003
4305,10d200000006000300050003,10d200000009000306000000080006
7190,1c17000000060003000a0003,1c1700000009000306000000060003
5350,14e70000000d00100007000306000400050007,14e700000006001000070003
1733,06c600000006000300010003,06c600000009000306000200050006
3484,0d9d00000006000300040003,0d9d00000009000306000300040009
6342,18c70000000d00100009000306000900010003,18c700000006001000090003
5841,16d20000000d00100008000306000600030000,16d200000006001000080003
2139,085c0000000d00100002000306000000020000,085c00000006001000020003
5501,157e00000006000300070003,157e00000009000306000900070006
4869,13060000000d00100006000306000400070004,130600000006001000060003
1909,077600000006000300010003,077600000009000306000100080009
4800,12c100000006000300060003,12c100000009000306000200060009
2350,092f00000006000300020003,092f00000009000306000500050000
3581,0dfe0000000d00100004000306000000060000,0dfe00000006001000040003
1587,063400000006000300010003,063400000009000306000800020000
25,001a00000006000300030001,001a000000050003020006
6163,18140000000d00100008000306000900080009,181400000006001000080003
1137,04720000000d00100000000306000300050002,047200000006001000000003
5284,14a50000000d00100007000306000300040001,14a500000006001000070003
3365,0d260000000d00100004000306000400020000,0d2600000006001000040003
6906,1afb000000060003000a0003,1afb00000009000306000300010000
1139,04740000000d00100000000306000300050009,047400000006001000000003
118,007700000006000300000002,00770000000700030400050005
7606,1db70000000d0010000b000306000900020009,1db7000000060010000b0003
3690,0e6b00000006000300040003,0e6b00000009000306000800070000
855,03580000000d00100000000306000600000005,035800000006001000000003
5791,16a00000000d00100008000306000700020009,16a000000006001000080003
390,01870000000b0010000500020400000000,018700000006001000050002
7585,1da2000000060003000b0003,1da200000009000306000600020000
419,01a400000006000300050002,01a40000000700030400040009
1637,066600000006000300010003,066600000009000306000600030005
