,source_text,target_text
504,05af0000000d00100029000306fffd2f582f58,05af00000003009002
404,054b000000060003fffd0003,054b00000003008302
829,06f400000006000300260002,06f40000000700030400000000
169,046000000006000512bdff00,046000000003008502
638,06350000000b00100009000204000076ea,063500000006001000090002
2031,0ba600000008000f000000020101,0ba600000006000f00000002
3018,0f810000000d00100026000306000000009ac5,0f8100000003009002
2983,0f5e0000000d0010001b000306766c0000fffd,0f5e000000060010001b0003
2227,0c6a0000000d0010001800030600004135fffd,0c6a00000006001000180003
947,076a0000000600050029ff00,076a00000003008502
465,0588000000060003fffd0002,058800000003008302
1379,091a00000006000300030001,091a000000050003020000
2508,0d8300000006000135530002,0d8300000003008102
844,070300000006000100290001,070300000003008102
576,05f700000008000f000000030105,05f700000006000f00000003
1309,08d400000006000100000002,08d40000000400010103
2330,0cd1000000060001fffe0001,0cd100000003008102
1019,07b20000000600050029ff00,07b200000003008502
401,05480000000d00100af80003060000fffd2f58,054800000003009002
2460,0d5300000006000135530002,0d5300000003008102
81,040800000006000300260002,04080000000700030400000000
1912,0b2f0000000d0010fffd0003060b3800000b38,0b2f00000003009002
98,0419000000060001fffe0001,041900000003008102
564,05eb00000006000100270001,05eb0000000400010100
798,06d50000000d001000260003060000fffd085a,06d500000003009002
1349,08fc00000006000100260002,08fc0000000400010100
1100,080300000006000300290002,080300000003008302
16,03c700000006000300050002,03c7000000070003043f48fffd
1683,0a4a000000060005fffdff00,0a4a00000003008502
1020,07b30000000600014ba70002,07b300000003008102
1729,0a780000000600059bddff00,0a7800000003008502
807,06de00000006000300260002,06de0000000700030400000000
1315,08da00000006000100000002,08da0000000400010102
1367,090e0000000b0010000000020443a10000,090e00000006001000000002
2617,0df00000000d0010002900030600001b67fffd,0df000000003009002
571,05f200000006000100000002,05f20000000400010102
222,0495000000060001f37c0002,049500000003008102
116,042b000000060001fffe0001,042b00000003008102
555,05e200000006000100180001,05e20000000400010101
348,0513000000060003fffe0002,051300000003008302
1389,092400000006000300030001,0924000000050003023062
2222,0c6500000006000300180002,0c650000000700030400000000
27,03d20000000d00100005000306fffd3f480000,03d200000006001000050003
380,05330000000d00100af800030600002f582f58,053300000003009002
1354,090100000008000f002600030105,090100000003008f02
2231,0c6e0000000d001000180003060000fffd4135,0c6e00000006001000180003
2825,0ec000000008000f002000030105,0ec000000006000f00200003
246,04ad000000060001f37c0002,04ad00000003008102
2223,0c660000000d00100018000306000041350000,0c6600000006001000180003
386,05390000000600030af80002,053900000003008302
1465,097000000006000300000002,097000000007000304fffd5f15
1905,0b280000000d0010fffd0003060b3800000000,0b2800000003009002
1953,0b58000000060003fffd0002,0b5800000003008302
1139,082a000000060003fffd0002,082a00000003008302
1486,098500000006000300010002,0985000000070003040000fffd
94,041500000006000100290001,041500000003008102
2923,0f2200000006000300000002,0f22000000070003040000fffd
2336,0cd7000000060001fffe0001,0cd700000003008102
3047,0f9e00000006000300260002,0f9e0000000700030400000000
538,05d100000006000100000001,05d10000000400010101
1756,0a9300000006000100290002,0a9300000003008102
1904,0b27000000060003fffd0002,0b2700000003008302
1269,08ac0000000d00100029000306fffdfffdeeff,08ac00000003009002
2806,0ead00000008000f000000030101,0ead00000006000f00000003
1817,0ad00000000b00100029000204fffe0000,0ad000000003009002
1274,08b1000000060003fffd0003,08b100000003008302
8,03bf00000006000300050002,03bf000000070003043f480000
689,066800000006000300000002,0668000000070003040000fffd
1533,09b400000006000300260002,09b40000000700030400000000
1568,09d70000000d00100026000306fffd0000fffd,09d700000003009002
1025,07b80000000600050029ff00,07b800000003008502
2651,0e1200000006000300290002,0e1200000003008302
658,064900000006000300270001,0649000000050003020000
415,05560000000d00100af80003062f5800000000,055600000003009002
2098,0be900000008000f002600030105,0be900000003008f02
1422,09450000000d0010000000030600000000fffd,094500000006001000000003
291,04da0000000b0010fffe00020400000000,04da00000003009002
1554,09c90000000d001000260003068b258b258b25,09c900000003009002
2656,0e170000000d0010fffd0003061b6700001b67,0e1700000003009002
1418,09410000000d00100000000306000000000000,094100000006001000000003
2930,0f290000000d0010000000030630ee30ee0000,0f2900000006001000000003
592,060700000006000100190002,06070000000400010101
2695,0e3e00000006000350200002,0e3e00000003008302
1278,08b50000000d00102da5000306fffdfffdfffd,08b500000003009002
236,04a3000000060001fffd0002,04a300000003008102
2752,0e770000000d00105020000306fffdfffd0000,0e7700000003009002
1844,0aeb00000006000300290002,0aeb00000003008302
2685,0e34000000060003fffd0003,0e3400000003008302
2934,0f2d0000000d0010000000030630ee30eefffd,0f2d00000006001000000003
989,07940000000600050029ff00,079400000003008502
502,05ad000000060003fffd0003,05ad00000003008302
912,0747000000060001af7b0001,074700000003008102
2801,0ea800000006000100000002,0ea80000000400010100
218,0491000000060001fffd0002,049100000003008102
2568,0dbf0000000b00100029000204fffe497c,0dbf00000003009002
2569,0dc00000000600032aa30001,0dc000000003008302
42,03e10000000d00100026000306000000001a13,03e100000003009002
166,045d00000006000100290001,045d00000003008102
885,072c000000060005fffeff00,072c00000003008502
2220,0c6300000006000300180002,0c630000000700030400000000
1081,07f00000000600035f9d0001,07f000000003008302
2813,0eb400000006000100000001,0eb40000000400010101
2382,0d05000000060001e1aa0001,0d0500000003008102
1013,07ac0000000600050029ff00,07ac00000003008502
2069,0bcc00000006000100000001,0bcc0000000400010101
21,03cc0000000d00100005000306fffd00000000,03cc00000006001000050003
1989,0b7c0000000d0010fffd000306fffd0b380000,0b7c00000003009002
223,0496000000060005f37cff00,049600000003008502
2989,0f640000000d0010001b000306766c766cfffd,0f64000000060010001b0003
2178,0c390000000d001000000003060000fffdfffd,0c3900000006001000000003
1096,07ff0000000d00102da5000306000000000000,07ff00000003009002
342,050d00000006000300290001,050d00000003008302
1620,0a0b000000060001d78a0001,0a0b00000003008102
1582,09e500000006000100290001,09e500000003008102
795,06d200000006000300260002,06d20000000700030400000000
2218,0c6100000006000300180002,0c610000000700030400000000
2909,0f1400000006000300000002,0f140000000700030400000000
3069,0fb400000006000300260003,0fb400000003008302
2156,0c2300000006000300270001,0c23000000050003020000
2519,0d8e0000000b0010002900020400000000,0d8e00000003009002
990,07950000000600014ba70002,079500000003008102
2360,0cef000000060001fffe0001,0cef00000003008102
2020,0b9b0000000d00100029000306fffdfffdfffd,0b9b00000003009002
2595,0dda00000006000300290002,0dda00000003008302
31,03d60000000d00100005000306fffd3f48fffd,03d600000006001000050003
366,05250000000d00100af800030600000000fffd,052500000003009002
3182,1025000000060001fffd0002,102500000003008102
920,074f000000060001fffe0001,074f00000003008102
702,06750000000d00100000000306e383e383fffd,067500000006001000000003
2316,0cc30000000d00100026000306fffd57655765,0cc300000003009002
630,062d00000006000300000001,062d00000005000302fffe
424,055f0000000d0010fffd0003062f5800002f58,055f00000003009002
889,0730000000060005af7bff00,073000000003008502
532,05cb0000000d00100029000306fffdfffdfffd,05cb00000003009002
2166,0c2d0000000d0010000000030600000000fffd,0c2d00000006001000000003
776,06bf00000006000300210002,06bf00000007000304fffd5c99
1946,0b51000000060003fffd0002,0b5100000003008302
2639,0e0600000006000350200002,0e0600000003008302
931,075a000000060005af7bff00,075a00000003008502
1144,082f0000000600032da50002,082f00000003008302
1571,09da00000006000300260002,09da0000000700030400000000
1152,08370000000d00102da50003060000fffdfffd,083700000003009002
620,062300000006000300000001,0623000000050003020000
1672,0a3f00000006000100290001,0a3f00000003008102
3013,0f7c0000000d0010001b000306fffdfffdfffd,0f7c000000060010001b0003
3015,0f7e00000006000300260002,0f7e0000000700030400000000
1138,08290000000d00102da50003060000fffd0000,082900000003009002
1444,095b0000000d001000000003065f155f155f15,095b00000006001000000003
645,063c00000006000300090001,063c0000000500030276ea
1141,082c000000060003fffd0003,082c00000003008302
2838,0ecd00000008000f002600030106,0ecd00000003008f02
3045,0f9c00000006000300260002,0f9c0000000700030400000000
1480,097f00000006000300010002,097f000000070003040000c59d
2883,0efa00000006000300140001,0efa00000005000302fffe
3145,100000000006000524eeff00,100000000003008502
1273,08b00000000d0010fffd000306fffdfffdeeff,08b000000003009002
2102,0bed00000008000f002600030107,0bed00000003008f02
653,064400000006000300090002,064400000007000304fffefffe
2017,0b980000000d0010fffd000306fffdfffd0b38,0b9800000003009002
