,source_text,target_text
93,00c800000006000300000002,00c800000007000304454a454a
89,00c400000006000300000002,00c400000007000304454a0000
69,00b000000006000300000002,00b00000000700030400000000
62,00a900000006000300270001,00a9000000050003020000
52,009f00000006000300270001,009f000000050003020000
156,010700000006000300070002,0107000000070003040810fffd
169,01140000000d00100007000306fffdfffd0000,011400000006001000070003
105,00d400000006000300000002,00d400000007000304fffd0000
3,006e00000006000300280001,006e00000003008302
58,00a500000006000300270001,00a5000000050003020000
92,00c70000000d00100000000306454a454a454a,00c700000006001000000003
152,010300000006000300070002,0103000000070003040810fffd
22,008100000006000300000001,008100000005000302fffe
134,00f100000006000300070002,00f1000000070003040000fffd
117,00e000000006000300000002,00e000000007000304fffdfffd
141,00f80000000d00100007000306081000000810,00f800000006001000070003
43,009600000006000300190001,009600000005000302fffe
44,00970000000b00100019000204fffefffe,009700000006001000190002
21,00800000000b00100000000204fffe0000,008000000006001000000002
24,008300000006000300000001,008300000005000302fffe
130,00ed00000006000300070002,00ed0000000700030400000810
193,012c00000006000300260002,012c0000000700030400000000
177,011c00000006000300260002,011c0000000700030400000000
94,00c90000000d00100000000306454a454afffd,00c900000006001000000003
47,009a0000000b0010002700020400000000,009a00000003009002
149,01000000000d0010000700030608100810fffd,010000000006001000070003
49,009c0000000b00100027000204000000a3,009c00000003009002
153,01040000000d001000070003060810fffd0810,010400000006001000070003
32,008b0000000b001000190002040000fffe,008b00000006001000190002
83,00be00000006000300000002,00be000000070003040000fffd
78,00b90000000d001000000003060000fffd0000,00b900000006001000000003
54,00a100000006000300270001,00a1000000050003020000
55,00a20000000b0010002700020400a300a3,00a200000003009002
197,013000000006000300260002,01300000000700030400000000
158,010900000006000300070002,010900000007000304fffd0000
66,00ad0000000d00100000000306000000000000,00ad00000006001000000003
182,01210000000d00100026000306000075290000,012100000003009002
70,00b10000000d0010000000030600000000fffd,00b100000006001000000003
33,008c00000006000300190001,008c000000050003020000
186,01250000000d0010002600030600007529fffd,012500000003009002
73,00b400000006000300000002,00b4000000070003040000454a
16,007b00000006000300000001,007b000000050003028f7b
110,00d90000000d00100000000306fffd454a454a,00d900000006001000000003
34,008d0000000b00100019000204da4a0000,008d00000006001000190002
103,00d200000006000300000002,00d200000007000304fffd0000
64,00ab00000006000300270002,00ab00000003008302
165,01100000000d00100007000306fffd08100810,011000000006001000070003
45,009800000006000300190002,009800000007000304fffefffe
87,00c200000006000300000002,00c200000007000304454a0000
1,006c00000006000300280001,006c00000003008302
187,012600000006000300260002,01260000000700030400000000
27,008600000006000300190001,0086000000050003020000
11,00760000000b0010000000020400008f7b,007600000006001000000002
139,00f60000000d00100007000306081000000000,00f600000006001000070003
148,00ff00000006000300070002,00ff0000000700030408100810
51,009e0000000b001000270002040000fffe,009e00000003009002
138,00f500000006000300070002,00f5000000070003040000fffd
159,010a0000000d00100007000306fffd00000810,010a00000006001000070003
146,00fd00000006000300070002,00fd0000000700030408100810
