,source_text,target_text
806,03270000000d001000000003066a0affffffff,032700000006001000000003
779,030c000000060003c34e0001,030c00000005000302ffff
1510,05e70000000b0010c350000204ffff0000,05e700000003009002
380,017d00000006000300000002,017d0000000700030400000000
590,024f000000060005c350ff00,024f00000003008502
1511,05e8000000060006c350043f,05e800000003008602
1346,05430000000b0010000000020474f574f5,054300000006001000000002
95,0060000000060003c34d0002,006000000007000304ffffffff
1352,0549000000060003c34d0002,0549000000070003040000ffff
931,03a4000000060003c3500002,03a400000003008302
26,001b0000000b0010c34e000204ffff0000,001b000000060010c34e0002
810,032b000000060003c3500001,032b00000003008302
955,03bc000000060005fffeff00,03bc00000003008502
1448,05a9000000060005c34f0000,05a9000000060005c34f0000
1564,061d0000000d0010c350000306fdf6ffff0000,061d00000003009002
1417,058a000000060005c350ff00,058a00000003008502
70,0047000000060003c3500001,004700000003008302
123,007c000000060003c3500002,007c00000003008302
254,00ff0000000d0010c3500003066448ffffffff,00ff00000003009002
1110,0457000000060005c350ff00,045700000003008502
1211,04bc000000060001f9260002,04bc00000003008102
222,00df000000060003c3500001,00df00000003008302
871,03680000000d0010fffd000306644800000000,036800000003009002
18,0013000000060003333b0001,0013000000050003020000
537,021a000000060005eb79ff00,021a00000003008502
692,02b5000000060005fffeff00,02b500000003008502
1322,052b00000008000fc34d00030107,052b00000006000fc34d0003
401,019200000006000300000002,019200000007000304b46fffff
1475,05c4000000060003c3500002,05c400000003008302
1367,05580000000d0010fffd0003060000fdf60000,055800000003009002
759,02f800000008000fb3bf00030102,02f800000006000fb3bf0003
1015,03f80000000b0010cfa60002040000e1ed,03f800000003009002
428,01ad000000060003fffd0002,01ad00000003008302
989,03de000000060003c3500002,03de00000003008302
1318,05270000000600035b3e0002,0527000000070003040d340d34
897,0382000000060003c34d0002,038200000007000304ffff0000
148,0095000000060005fffdff00,009500000003008502
211,00d4000000060003c3500001,00d400000003008302
1584,063100000006000100000001,06310000000400010100
1327,05300000000d0010c350000306000064486448,053000000003009002
1076,0435000000060005957a0000,0435000000060005957a0000
398,018f00000008000fc34e00020102,018f00000006000fc34e0002
826,033b000000060001c3500001,033b00000003008102
1226,04cb0000000600035b3e0002,04cb000000070003040d340d34
132,008500000008000fc34d00030103,008500000006000fc34d0003
30,001f0000000d0010c34d0003060000ffffffff,001f000000060010c34d0003
118,007700000008000fc34d00030107,007700000006000fc34d0003
1247,04e00000000d0010d12d0003060000ffff0000,04e000000003009002
1225,04ca0000000d0010c350000306644864480000,04ca00000003009002
929,03a200000005002b0e0103,03a200000008002b0e0183000000
400,0191000000060001fffe0001,019100000003008102
536,0219000000060001ae460002,02190000000400010103
528,0211000000060003fffe0001,021100000003008302
772,03050000000d00100000000306000000000000,030500000006001000000003
1313,0522000000060003c3500002,052200000003008302
179,00b40000000d00108677000306ffffffffffff,00b400000006001086770003
45,002e0000000600012c390001,002e0000000400010100
2,0003000000060003e3a10002,000300000003008302
920,03990000000b0010c994000204ffffffff,039900000003009002
789,0316000000060005c350ff00,031600000003008502
454,01c700000008000f000000030107,01c700000006000f00000003
905,038a0000000d0010cec10003060000ffff0000,038a00000003009002
1298,0513000000060006ffffa310,051300000003008602
25,001a0000000b00100000000204ffffb46f,001a00000006001000000002
886,037700000008000f000000020103,037700000006000f00000002
587,024c0000000d0010fffd000306fdf60000fdf6,024c00000003009002
1026,0403000000060005c8c9ff00,040300000003008502
688,02b10000000b00105ffe000204ffff0000,02b10000000600105ffe0002
1020,03fd0000000d0010fffd000306fffffdf60000,03fd00000003009002
549,02260000000d00108100000306ffff00002839,022600000006001081000003
640,02810000000d0010fffd000306fffffdf6ffff,028100000003009002
283,011c0000000d0010fffd000306fdf6fdf6fdf6,011c00000003009002
357,0166000000060001c3500002,016600000003008102
1428,05950000000600017bf10001,05950000000400010100
274,01130000000d00100000000306ffff2c092c09,011300000006001000000003
632,02790000000b0010dc11000204094f0000,027900000003009002
1059,0424000000060001f9260002,042400000003008102
1393,0572000000060005f926ff00,057200000003008502
97,0062000000060005e04cff00,006200000003008502
1099,044c0000000d0010810000030600000000ffff,044c00000006001081000003
613,0266000000060003cec10002,026600000003008302
852,0355000000060005eb79ff00,035500000003008502
1372,055d000000060001fffd0002,055d00000003008102
735,02e00000000d0010cec10003062e440000ffff,02e000000003009002
1548,060d0000000600035ffe0001,060d000000050003020000
314,013b0000000d0010c34d000306dfa6dfa60000,013b000000060010c34d0003
1499,05dc00000006000300000001,05dc000000050003022c09
279,0118000000060001c3500002,011800000003008102
557,022e00000006000386770002,022e000000070003041ceeffff
1100,044d000000060001f9260002,044d00000003008102
874,036b0000000d0010000000030600006a0affff,036b00000006001000000003
1146,047b000000060003cec10002,047b00000003008302
38,0027000000060003c3500002,002700000003008302
343,0158000000060003e3a10002,015800000003008302
1574,06270000000d00100000000306069306930000,062700000006001000000003
1241,04da000000060001fffe0001,04da00000003008102
478,01df0000000b0010c350000204e1ede1ed,01df00000003009002
298,012b000000060003e3a10002,012b00000003008302
290,0123000000060001c3500001,012300000003008102
31,00200000000d0010867700030600001ceeffff,002000000006001086770003
900,0385000000060005fffdff00,038500000003008502
354,0163000000060001e35c0001,016300000003008102
1336,053900000006000381000002,05390000000700030428392839
1121,04620000000d001000000003060000ffff6a0a,046200000006001000000003
915,0394000000060003cec10002,039400000003008302
1331,0534000000060005c350ff00,053400000003008502
1126,0467000000060005fffeff00,046700000003008502
1572,06250000000d0010c34d00030600000000dfa6,0625000000060010c34d0003
1217,04c200000005002b0e0100,04c200000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
291,0124000000060003d12d0002,012400000003008302
413,019e0000000d00108100000306283900002839,019e00000006001081000003
1410,0583000000060005fffdff00,058300000003008502
791,03180000000d0010c34d0003060000ffff01c0,0318000000060010c34d0003
1203,04b40000000d0010c34d000306ffff0000ffff,04b4000000060010c34d0003
441,01ba0000000d0010c350000306fffffdf6ffff,01ba00000003009002
143,0090000000060001c3500001,009000000003008102
762,02fb0000000d0010fffd0003066448ffff0000,02fb00000003009002
276,01150000000b0010c350000204ffffe1ed,011500000003009002
995,03e4000000060003fffd0002,03e400000003008302
1094,044700000006000386770002,0447000000070003041cee1cee
1591,0638000000060001c3500002,063800000003008102
24,001900000005002b0e0101,00190000001b002b0e018300000201073735302d383831020830332e30312e3032
1549,060e000000060005daffff00,060e00000003008502
833,0342000000060003cfa60001,034200000003008302
943,03b00000000d0010c34d000306ffffffffc4f0,03b0000000060010c34d0003
142,008f000000060003e3a10002,008f00000003008302
894,037f0000000d0010fffd000306ffff2e442e44,037f00000003009002
1341,053e000000060001c3500002,053e00000003008102
753,02f20000000d00100000000306ffff00006a0a,02f200000006001000000003
634,027b000000060003c34d0002,027b00000007000304c4f0ffff
631,0278000000060003c34d0002,027800000007000304c4f0ffff
389,01860000000b0010c35000020408040804,018600000003009002
1411,05840000000600055d820000,05840000000600055d820000
670,029f000000060001c34d0002,029f0000000400010100
656,0291000000060001c3500001,029100000003008102
1377,0562000000060001c34d0002,05620000000400010103
1254,04e7000000060001c3500002,04e700000003008102
1142,0477000000060001fffd0002,047700000003008102
727,02d8000000060001daff0002,02d800000003008102
175,00b000000005002b0e0103,00b000000008002b0e0183000000
1005,03ee0000000d0010c34d000306ffff01c00000,03ee000000060010c34d0003
1356,054d000000060003fffd0002,054d00000003008302
822,033700000006000100000001,03370000000400010101
926,039f000000060003e3a10002,039f00000003008302
210,00d30000000d00100000000306ffffffff2c09,00d300000006001000000003
1137,0472000000060003c3500002,047200000003008302
1522,05f30000000b0010c34e000204ffff6318,05f3000000060010c34e0002
281,011a0000000b00100000000204ffff0000,011a00000006001000000002
1528,05f9000000060005fffdff00,05f900000003008502
414,019f0000000d0010c350000306000000000000,019f00000003009002
949,03b6000000060005fffeff00,03b600000003008502
572,023d000000060005c8c9ff00,023d00000003008502
570,023b0000000d0010cec1000306000000002e44,023b00000003009002
726,02d7000000060006ffff127a,02d700000003008602
584,0249000000060003c34e0001,0249000000050003020000
965,03c600000005002b0e0102,03c600000012002b0e0183000001020830332e30312e3032
954,03bb0000000d0010c350000306ffff0000fdf6,03bb00000003009002
183,00b8000000060005c350ff00,00b800000003008502
842,034b000000060005fffdff00,034b00000003008502
1139,0474000000060003d12d0002,047400000003008302
530,0213000000060003c34e0001,0213000000050003020000
1089,044200000006000386770002,0442000000070003041cee1cee
532,0215000000060003c3500002,021500000003008302
927,03a0000000060001ae460002,03a00000000400010100
888,0379000000060001fffd0002,037900000003008102
