,source_text,target_text
2842,0e850000000b001000270002040000a1c9,0e8500000003009002
243,045e000000060001fffe0001,045e00000003008102
1940,0aff000000060001fffe0001,0aff00000003008102
351,04ca00000006000300260002,04ca0000000700030400000000
3182,0fd9000000060003fffe0001,0fd900000003008302
1657,09e400000006000300290002,09e400000003008302
2880,0eab00000006000300260002,0eab0000000700030400000000
956,072700000008000f002700020101,072700000003008f02
1487,093a00000006000100000002,093a0000000400010102
230,04510000000600053a1cff00,045100000003008502
1341,08a800000006000100290001,08a800000003008102
2471,0d120000000d00100000000306fffdfffdfffd,0d1200000006001000000003
894,06e900000006000100100001,06e90000000400010101
1277,08680000000600050029ff00,086800000003008502
1848,0aa30000000b0010001e000204fffe0000,0aa3000000060010001e0002
2946,0eed00000006000300290002,0eed00000003008302
2657,0dcc00000006000300260002,0dcc0000000700030400000000
2255,0c3a0000000d001000000003060000fffd0000,0c3a00000006001000000003
1432,0903000000060003e1630002,090300000003008302
801,068c000000060003e6f50002,068c00000003008302
2922,0ed50000000d001000260003060000fffdfffd,0ed500000003009002
1775,0a5a00000008000f000000020100,0a5a00000006000f00000002
1790,0a69000000060003fffd0002,0a6900000003008302
2023,0b5200000006000300000001,0b5200000005000302fffd
2488,0d23000000060003fffe0002,0d2300000003008302
2937,0ee400000008000f001000030106,0ee400000006000f00100003
1048,07830000000d0010000f000306fffdaa4faa4f,0783000000060010000f0003
1518,095900000006000100290001,095900000003008102
1875,0abe0000000b0010272800020400004ff8,0abe00000003009002
2941,0ee8000000060005fffdff00,0ee800000003008502
250,04650000000d0010454100030634c734c70000,046500000003009002
890,06e500000006000300290001,06e500000003008302
1352,08b300000006000300160002,08b300000007000304fffe0000
164,040f00000006000300290002,040f00000003008302
2563,0d6e000000060003fffd0003,0d6e00000003008302
1373,08c8000000060003f0690002,08c800000003008302
30,038900000006000100260002,03890000000400010100
1556,097f0000000d0010000000030600000000a794,097f00000006001000000003
3090,0f7d000000060001001b0001,0f7d0000000400010101
2354,0c9d00000006000129cb0001,0c9d00000003008102
472,05430000000b00107ba6000204fffe0000,054300000003009002
2460,0d07000000060003fffd0003,0d0700000003008302
1844,0a9f00000006000100290001,0a9f00000003008102
2700,0df700000006000300260002,0df70000000700030400000000
280,0483000000060003001d0001,0483000000050003025b8d
2470,0d110000000d0010fffd0003060000757afffd,0d1100000003009002
2660,0dcf000000060005bb1dff00,0dcf00000003008502
1563,09860000000d0010fffd000306181c00000000,098600000003009002
2029,0b58000000060005703eff00,0b5800000003008502
2665,0dd400000008000f000000030103,0dd400000006000f00000003
630,05e1000000060003fffd0003,05e100000003008302
2645,0dc000000006000300150001,0dc000000005000302d6ea
2085,0b9000000006000300290001,0b9000000003008302
3041,0f4c0000000600050029ff00,0f4c00000003008502
647,05f200000006000100260001,05f20000000400010100
1405,08e800000008000f002600030106,08e800000003008f02
2656,0dcb0000000d0010e163000306000000000000,0dcb00000003009002
2674,0ddd0000000d00100023000306fffd2e5bfffd,0ddd00000006001000230003
185,042400000006000300260002,04240000000700030400000000
3138,0fad00000006000300140002,0fad00000007000304fffd0000
1607,09b200000006000100260002,09b20000000400010100
450,052d00000006000300000002,052d00000007000304b409fffd
2983,0f120000000d00100000000306065ffffd065f,0f1200000006001000000003
519,0572000000060005fffeff00,057200000003008502
2417,0cdc00000006000100290002,0cdc00000003008102
485,0550000000060003f0690002,055000000003008302
613,05d0000000060001fffd0002,05d000000003008102
1876,0abf00000006000100000002,0abf0000000400010100
1168,07fb0000000d0010f069000306fffdfffd2b00,07fb00000003009002
360,04d30000000b00100000000204fffe0000,04d300000006001000000002
2727,0e1200000006000300090002,0e120000000700030400000000
1902,0ad9000000060001703e0002,0ad900000003008102
2653,0dc800000006000300260003,0dc800000003008302
1598,09a900000006000300000002,09a9000000070003040000fffd
439,052200000006000169a00001,052200000003008102
1740,0a370000000d0010fffd0003068e2b8e2b8e2b,0a3700000003009002
290,048d0000000d00100000000306fffdc509fffd,048d00000006001000000003
2253,0c3800000006000100270001,0c380000000400010100
2976,0f0b0000000d00100026000306518900000000,0f0b00000003009002
171,041600000006000300290002,041600000003008302
2669,0dd800000006000100290002,0dd800000003008102
888,06e300000008000f002600030105,06e300000003008f02
1070,079900000006000100290001,079900000003008102
713,063400000006000100290001,063400000003008102
2722,0e0d00000006000341010002,0e0d00000003008302
2343,0c9200000006000100000001,0c920000000400010100
2823,0e72000000060005fffdff00,0e7200000003008502
1308,08870000000600050029ff00,088700000003008502
1952,0b0b00000006000300000002,0b0b000000070003040dfe0dfe
2824,0e7300000008000f002600030101,0e7300000003008f02
2940,0ee70000000b00100000000204fffe9331,0ee700000006001000000002
196,042f00000006000300000002,042f00000007000304fffdb409
1113,07c400000006000300000002,07c4000000070003045a050000
1063,0792000000060003fffd0003,079200000003008302
3044,0f4f0000000d00100009000306f839fffdfffd,0f4f00000006001000090003
934,071100000006000300140002,071100000007000304fffdfffd
492,05570000000d00100029000306fffdfffd3de2,055700000003009002
349,04c8000000060001fffe0001,04c800000003008102
765,06680000000600050029ff00,066800000003008502
84,03bf0000000d0010002300030600000000fffd,03bf00000006001000230003
703,062a00000006000100290002,062a00000003008102
905,06f40000000b001000270002048ee18ee1,06f400000003009002
2637,0db80000000d00100026000306fffd00005189,0db800000003009002
1639,09d20000000600031dfa0002,09d200000003008302
563,059e000000060003f0690002,059e00000003008302
1357,08b80000000d001000290003060000fffdfffd,08b800000003009002
2187,0bf6000000060001fffd0002,0bf600000003008102
475,0546000000060001fffe0001,054600000003008102
620,05d7000000060001fffd0002,05d700000003008102
1283,086e0000000600050029ff00,086e00000003008502
585,05b400000006000300290002,05b400000003008302
1915,0ae600000006000529cbff00,0ae600000003008502
1037,0778000000060005bb1dff00,077800000003008502
3065,0f640000000600050029ff00,0f6400000003008502
1588,099f000000060003354a0001,099f00000003008302
970,0735000000060003f0690002,073500000003008302
1321,089400000006000300290002,089400000003008302
670,06090000000d0010fffd000306fffdfffdfffd,060900000003009002
1481,09340000000d0010fffd00030600000000d4b1,093400000003009002
1540,096f000000060003fffd0003,096f00000003008302
2361,0ca4000000060005170cff00,0ca400000003008502
2482,0d1d00000006000300290001,0d1d00000003008302
1477,09300000000d0010000b000306fffd44e70000,0930000000060010000b0003
2286,0c5900000006000300290002,0c5900000003008302
493,0558000000060001fffd0002,055800000003008102
3062,0f6100000006000345410002,0f6100000003008302
1340,08a7000000060001f1a90001,08a700000003008102
2485,0d200000000d00100026000306ac6aac6a0000,0d2000000003009002
1324,089700000006000300260002,08970000000700030400000000
2664,0dd3000000060003e6f50002,0dd300000003008302
1837,0a9800000006000300290002,0a9800000003008302
2005,0b400000000600013a1c0002,0b4000000003008102
436,051f00000006000300000002,051f00000007000304a8eafffe
2901,0ec0000000060001fffe0001,0ec000000003008102
343,04c200000006000100100001,04c20000000400010100
959,072a00000006000300200002,072a0000000700030451e1fffd
168,0413000000060005fffdff00,041300000003008502
1996,0b37000000060003fffd0002,0b3700000003008302
1845,0aa0000000060005fffdff00,0aa000000003008502
1783,0a6200000006000300160002,0a6200000007000304d6ead045
1229,083800000006000300140002,0838000000070003040000bf28
541,05880000000d0010002900030600000000fffd,058800000003009002
842,06b500000006000300290002,06b500000003008302
2643,0dbe0000000d0010002000030651e1000051e1,0dbe00000006001000200003
2151,0bd2000000060003f0690002,0bd200000003008302
270,04790000000b001000180002040000fffe,047900000006001000180002
1871,0aba0000000d0010fffd000306000000003de2,0aba00000003009002
3051,0f56000000060001fffd0002,0f5600000003008102
1957,0b1000000006000300000002,0b10000000070003040dfe0dfe
2368,0cab000000060001fffe0001,0cab00000003008102
2391,0cc2000000060003fffe0001,0cc200000003008302
919,07020000000d00100000000306c5090000fffd,070200000006001000000003
1015,07620000000600050029ff00,076200000003008502
3067,0f66000000060005fffeff00,0f6600000003008502
2012,0b47000000060003e6f50002,0b4700000003008302
483,054e000000060003fffd0002,054e00000003008302
438,052100000006000300000002,0521000000070003040000fffe
1232,083b00000006000529cbff00,083b00000003008502
2959,0efa0000000d00100010000306fffd00000000,0efa00000006001000100003
2025,0b5400000006000300200002,0b540000000700030451e1fffd
1689,0a040000000d00100026000306fffdfffdfffd,0a0400000003009002
236,04570000000d0010fffd0003062b00fffd0000,045700000003009002
369,04dc0000000600031dfa0002,04dc00000003008302
723,063e00000006000300290001,063e00000003008302
1024,076b0000000b0010001e000204cf33cf33,076b000000060010001e0002
547,058e0000000600053a1cff00,058e00000003008502
2260,0c3f0000000d0010000000030600000000fffd,0c3f00000006001000000003
2179,0bee00000008000f002600030105,0bee00000003008f02
1166,07f9000000060005170cff00,07f900000003008502
1760,0a4b00000006000327280001,0a4b00000003008302
2803,0e5e000000060005f02cff00,0e5e00000003008502
41,039400000006000100290001,039400000003008102
1675,09f6000000060001703e0002,09f600000003008102
2274,0c4d0000000d0010fffd0003060000fffd34c7,0c4d00000003009002
1176,080300000006000345410002,080300000003008302
457,05340000000600031dfa0002,053400000003008302
1843,0a9e000000060003000e0002,0a9e0000000700030440f30000
2829,0e780000000d0010fffd000306fffd0000fffd,0e7800000003009002
869,06d00000000d0010e1630003060000181c0000,06d000000003009002
1998,0b39000000060003fffd0002,0b3900000003008302
742,065100000006000129cb0001,065100000003008102
851,06be000000060001fffe0001,06be00000003008102
711,063200000006000100290001,063200000003008102
852,06bf000000060003fffd0002,06bf00000003008302
431,051a0000000600050029ff00,051a00000003008502
2598,0d91000000060003fffe0002,0d9100000003008302
2662,0dd10000000600050029ff00,0dd100000003008502
3183,0fda0000000b00100029000204fffefffe,0fda00000003009002
2735,0e1a00000006000300270001,0e1a000000050003020000
1027,076e0000000d00100009000306fffdf839f839,076e00000006001000090003
2016,0b4b000000060003fffd0002,0b4b00000003008302
981,074000000006000100260002,07400000000400010100
2848,0e8b00000006000100290001,0e8b00000003008102
505,056400000006000339310002,056400000003008302
1995,0b3600000006000300000002,0b3600000007000304fffdfffd
1025,076c0000000b0010002900020400000000,076c00000003009002
1480,0933000000060005170cff00,093300000003008502
2536,0d5300000008000f000e00030107,0d5300000006000f000e0003
1904,0adb00000006000300000002,0adb0000000700030400000000
3012,0f2f0000000b00100000000204fffefffe,0f2f00000006001000000002
130,03ed00000006000300180001,03ed00000005000302fffd
2270,0c4900000006000100270001,0c490000000400010100
1509,0950000000060003fffd0002,095000000003008302
863,06ca000000060001000e0002,06ca0000000400010103
325,04b000000006000300290002,04b000000003008302
1988,0b2f00000008000f000000020100,0b2f00000006000f00000002
3077,0f7000000006000100260002,0f700000000400010100
2502,0d310000000b00100000000204fffede26,0d3100000006001000000002
2049,0b6c00000006000339310002,0b6c00000003008302
2099,0b9e0000000d001000260003060000fffdfffd,0b9e00000003009002
1382,08d10000000d00100026000306000072910000,08d100000003009002
2410,0cd500000006000300290002,0cd500000003008302
1502,094900000006000300000002,094900000007000304fffd065f
823,06a20000000d00100029000306fea90000fffd,06a200000003009002
2027,0b560000000d001000ed00030600003de2fffd,0b5600000003009002
382,04e90000000d00100000000306fffdfffdc793,04e900000006001000000003
279,04820000000b00100027000204fffefffe,048200000003009002
1954,0b0d0000000d00100026000306000000000000,0b0d00000003009002
1307,088600000006000300290001,088600000003008302
2063,0b7a000000060003000b0002,0b7a0000000700030444e70000
402,04fd00000006000300290002,04fd00000003008302
338,04bd0000000d001000000003060000caeffffd,04bd00000006001000000003
658,05fd000000060005fffeff00,05fd00000003008502
1533,096800000008000f000000030104,096800000006000f00000003
2708,0dff0000000d0010000e0003060000000040f3,0dff000000060010000e0003
2743,0e2200000006000300290002,0e2200000003008302
