,source_text,target_text
4657,12320000000b0010fffe0002040000bacf,123200000003009002
2369,09420000000600059766ff00,094200000003008502
3099,0c1c0000000b00100022000204fffefffe,0c1c00000006001000220002
3088,0c110000000600050028ff00,0c1100000003008502
5185,1442000000060003fffe0001,144200000003008302
4545,11c20000000d0010000c00030600007770fffd,11c2000000060010000c0003
1227,04cc000000060005fffdff00,04cc00000003008502
1173,04960000000600050028ff00,049600000003008502
1527,05f8000000060001fffd0002,05f800000003008102
2327,0918000000060005fffeff00,091800000003008502
783,031000000006000100260001,03100000000400010101
3877,0f26000000060003001d0001,0f26000000050003028987
1514,05eb00000006000300000002,05eb000000070003044a94fffd
1414,0587000000060005fffdff00,058700000003008502
3678,0e5f00000006000300260001,0e5f000000050003023d0a
845,034e0000000600050028ff00,034e00000003008502
3701,0e7600000006000300000002,0e7600000007000304fffe93ff
5235,1474000000060003001a0002,1474000000070003040000fffd
5847,16d800000006000300250002,16d800000007000304fffdd41d
3478,0d97000000060001fffd0002,0d9700000003008102
5280,14a10000000b001000260002040000fffe,14a100000006001000260002
2124,084d00000006000300000002,084d0000000700030400007e9c
1951,07a00000000d001000280003060806fffdfffd,07a000000003009002
1690,069b00000006000513cdff00,069b00000003008502
173,00ae000000060003fffd0002,00ae00000003008302
1526,05f7000000060003bc550002,05f700000003008302
5707,164c00000006000100000002,164c0000000400010102
1790,06ff000000060005fffeff00,06ff00000003008502
3921,0f520000000d00105a70000306fffdfffd62d2,0f5200000003009002
1059,04240000000d00102ae8000306e2780000fffd,042400000003009002
1417,058a00000006000100280002,058a00000003008102
4907,132c00000006000383730002,132c00000003008302
2150,08670000000b0010002600020400000000,086700000006001000260002
969,03ca00000006000100280002,03ca00000003008102
1663,06800000000d001000170003060000fffd0000,068000000006001000170003
2446,098f00000006000383730002,098f00000003008302
4466,11730000000d00100000000306cd8b0000fffd,117300000006001000000003
6346,18cb00000006000300250002,18cb00000007000304fffdf4bf
5884,16fd0000000d001000250003063b6f00000000,16fd00000006001000250003
5856,16e100000005002b0e0103,16e100000008002b0e0183000000
5556,15b5000000060005fffdff00,15b500000003008502
5444,15450000000600053659ff00,154500000003008502
4236,108d00000008000f000000030102,108d00000006000f00000003
2463,09a000000006000100000001,09a00000000400010100
2208,08a100000008000f002500030105,08a100000006000f00250003
6104,17d90000000d0010bc55000306fffdfffdefe5,17d900000003009002
5171,1434000000060003bc550002,143400000003008302
2991,0bb000000006000300260001,0bb00000000500030232d6
5088,13e1000000060005fffdff00,13e100000003008502
4609,12020000000d0010bc55000306efe5efe5efe5,120200000003009002
3234,0ca300000006000100250002,0ca30000000400010102
4276,10b50000000d00100028000306fffd0000fffd,10b500000003009002
5108,13f5000000060005fffeff00,13f500000003008502
5458,15530000000d00100028000306fffd0000fffd,155300000003009002
6288,189100000008000f002600020103,189100000006000f00260002
3391,0d400000000d001000250003060000fffd0000,0d4000000006001000250003
3822,0eef0000000d00100025000306fffdfffd0000,0eef00000006001000250003
35,0024000000060005eb66ff00,002400000003008502
4783,12b00000000600050028ff00,12b000000003008502
5921,1722000000060003fffd0002,172200000003008302
740,02e5000000060001fffe0001,02e500000003008102
3671,0e580000000d0010fffd000306fffdfffdfffd,0e5800000003009002
466,01d300000008000f000000020102,01d300000006000f00000002
5537,15a20000000d00100028000306fffdefe5efe5,15a200000003009002
2409,096a000000060003000c0002,096a000000070003040000fffd
5767,16880000000d0010001a0003069b739b73fffd,1688000000060010001a0003
5773,168e00000008000f002500030102,168e00000006000f00250003
225,00e2000000060001eab50002,00e200000003008102
1818,071b00000006000300000002,071b00000007000304fffd0b37
2219,08ac00000006000100280001,08ac00000003008102
2873,0b3a00000006000300260001,0b3a000000050003020000
4701,125e00000006000300120002,125e00000007000304fffd8cd8
1391,05700000000d001000000003060000fffdfffd,057000000006001000000003
2379,094c00000006000100100002,094c0000000400010101
3109,0c260000000d00100025000306d41dfffdfffd,0c2600000006001000250003
5468,155d00000006000542fcff00,155d00000003008502
4443,115c00000006000300280002,115c00000003008302
5863,16e80000000600050028ff00,16e800000003008502
5403,151c000000060003dbeb0002,151c00000003008302
4621,120e0000000d0010002800030600000000efe5,120e00000003009002
5083,13dc0000000d00100000000306756100000000,13dc00000006001000000003
934,03a700000008000f000000020100,03a700000006000f00000002
920,03990000000b0010fffe000204fffe4588,039900000003009002
928,03a100000006000303550002,03a100000003008302
1584,06310000000b00106176000204ae9f0000,063100000003009002
918,03970000000d00100000000306fffdcd8bcd8b,039700000006001000000003
4965,136600000006000100250002,13660000000400010103
2032,07f100000006000300000001,07f100000005000302fffd
5455,155000000006000131c20001,155000000003008102
5110,13f7000000060005fffdff00,13f700000003008502
480,01e10000000b00100028000204fffefffe,01e100000003009002
694,02b70000000d001000000003060000fffdfffd,02b700000006001000000003
5578,15cb000000060003fffe0001,15cb00000003008302
6186,182b0000000600050028ff00,182b00000003008502
4703,12600000000600050028ff00,126000000003008502
5733,166600000006000100060002,16660000000400010103
342,01570000000b0010fffe000204fffef65a,015700000003009002
2437,09860000000d0010fffd00030600000000fffd,098600000003009002
1664,068100000006000100000002,06810000000400010102
5904,17110000000b001000000002045bf1fffe,171100000006001000000002
