,source_text,target_text
561,02d00000000b00100028000204fffe0000,02d000000003009002
409,0238000000060001fffe0001,023800000003008102
626,031100000006000100250002,03110000000400010103
468,0273000000060001c5c30001,027300000003008102
339,01f200000006000300230002,01f20000000700030400000000
338,01f10000000b00107ca200020400000000,01f100000003009002
32,00bf00000006000300230002,00bf000000070003040000e3c6
621,030c0000000d00100021000306fffd53e80000,030c00000006001000210003
285,01bc000000060003cae90002,01bc00000003008302
213,01740000000600050028ff00,017400000003008502
62,00dd000000060003fffd0002,00dd00000003008302
209,017000000006000300260001,017000000005000302fffd
107,010a0000000d00100000000306000086950000,010a00000006001000000003
451,02620000000b0010001400020420270000,026200000006001000140002
672,033f00000006000118020001,033f00000003008102
197,016400000006000300250002,0164000000070003042816fffd
20,00b300000006000100280002,00b300000003008102
369,02100000000d00106c1f000306fffd0000fffd,021000000003009002
463,026e00000008000f002500030100,026e00000006000f00250003
684,034b0000000d001000280003060000fffd0000,034b00000003009002
595,02f2000000060003fffd0003,02f200000003008302
777,03a800000006000100280002,03a800000003008102
361,020800000006000100120001,02080000000400010100
603,02fa00000006000300230002,02fa000000070003040000e3c6
277,01b40000000600037ca20001,01b400000003008302
229,01840000000b00100012000204fffe0000,018400000006001000120002
67,00e2000000060001fffd0002,00e200000003008102
470,027500000006000100280001,027500000003008102
211,0172000000060005bd2eff00,017200000003008502
177,015000000006000300280002,015000000003008302
427,024a000000060003b89f0001,024a00000003008302
564,02d300000006000100000001,02d30000000400010100
785,03b000000008000f002000020102,03b000000006000f00200002
469,027400000006000100280002,027400000003008102
522,02a90000000d00100025000306fffdfffd2816,02a900000006001000250003
117,011400000006000118020001,011400000003008102
122,01190000000b0010fffe0002049e3e9e3e,011900000003009002
198,016500000006000118020001,016500000003008102
641,0320000000060005fffdff00,032000000003008502
312,01d70000000d0010000000030653525352fffd,01d700000006001000000003
205,016c0000000b001000020002040000fffe,016c00000006001000020002
587,02ea000000060005fffeff00,02ea00000003008502
623,030e0000000b001000120002045fcc5fcc,030e00000006001000120002
692,035300000006000300210002,03530000000700030453e853e8
592,02ef00000006000300250002,02ef00000007000304fffdfffd
712,036700000006000100280001,036700000003008102
181,0154000000060003216b0002,015400000003008302
614,0305000000060005fffeff00,030500000003008502
527,02ae0000000d0010000a0003068d5afffdfffd,02ae000000060010000a0003
761,0398000000060001c5c30001,039800000003008102
233,018800000006000300270001,018800000005000302fffd
541,02bc0000000600050028ff00,02bc00000003008502
137,012800000006000300250002,0128000000070003041ed11ed1
584,02e700000006000100270001,02e70000000400010101
73,00e800000006000300140001,00e8000000050003020000
670,033d0000000d0010cae900030629aa00000000,033d00000003009002
752,038f00000006000100200002,038f0000000400010102
39,00c600000006000100280002,00c600000003008102
158,013d00000006000300000002,013d00000007000304fffe0000
155,013a000000060003000a0002,013a0000000700030400000000
399,022e000000060003fffd0003,022e00000003008302
232,018700000006000100250001,01870000000400010100
464,026f000000060003fffd0003,026f00000003008302
374,02150000000d0010002500030600008f708f70,021500000006001000250003
1,00a000000008000f000c00020103,00a000000006000f000c0002
317,01dc0000000b0010000000020400000000,01dc00000006001000000002
791,03b60000000d0010fffd000306000097009700,03b600000003009002
665,0338000000060005bd2eff00,033800000003008502
183,015600000006000300250002,0156000000070003042816fffd
538,02b90000000d0010fffd00030629aa0000fffd,02b900000003009002
224,017f00000006000600000000,017f00000006000600000000
411,023a000000060005fffdff00,023a00000003008502
798,03bd00000006000100280001,03bd00000003008102
600,02f7000000060001fffd0002,02f700000003008102
796,03bb000000060003fffd0002,03bb00000003008302
547,02c20000000d001000280003060000000029aa,02c200000003009002
75,00ea00000008000f000000030105,00ea00000006000f00000003
162,0141000000060003fffd0003,014100000003008302
391,022600000008000f002500030104,022600000006000f00250003
269,01ac0000000d00100028000306fffd97009700,01ac00000003009002
422,02450000000b001000260002040000e7ce,024500000006001000260002
390,02250000000b0010002800020400001ba1,022500000003009002
241,01900000000600050028ff00,019000000003008502
520,02a7000000060003216b0002,02a700000003008302
593,02f0000000060005fffdff00,02f000000003008502
445,025c0000000d00100021000306000053e80000,025c00000006001000210003
698,035900000006000100000001,03590000000400010101
242,01910000000d001000250003061ed100001ed1,019100000006001000250003
116,01130000000b00100000000204fffefffe,011300000006001000000002
649,032800000008000f000d00030107,032800000006000f000d0003
406,0235000000060003fffd0003,023500000003008302
456,02670000000b0010002600020456440000,026700000006001000260002
377,0218000000060005f3daff00,021800000003008502
246,0195000000060001fffd0002,019500000003008102
743,0386000000060003216b0002,038600000003008302
264,01a7000000060003fffd0002,01a700000003008302
446,025d0000000b0010001400020400002027,025d00000006001000140002
298,01c90000000d0010fffd000306fffd00000000,01c900000003009002
646,03250000000b0010000000020400009b61,032500000006001000000002
657,03300000000d00100025000306fffdfffd1ed1,033000000006001000250003
634,031900000006000118020001,031900000003008102
395,022a00000006000600169093,022a00000006000600169093
278,01b50000000d0010fffd000306000000000000,01b500000003009002
52,00d300000006000300020002,00d30000000700030416670000
148,0133000000060003216b0002,013300000003008302
497,0290000000060001fffd0002,029000000003008102
677,03440000000600051802ff00,034400000003008502
408,023700000006000300210002,02370000000700030453e8fffd
6,00a5000000060003fffd0002,00a500000003008302
234,01890000000d00100025000306fffd28160000,018900000006001000250003
704,035f00000006000100280001,035f00000003008102
532,02b300000006000100280002,02b300000003008102
22,00b5000000060003fffd0003,00b500000003008302
707,036200000006000300120001,0362000000050003025fcc
703,035e0000000d00100000000306fffd00005352,035e00000006001000000003
36,00c3000000060005fffdff00,00c300000003008502
51,00d20000000d00100021000306fffdfffdfffd,00d200000006001000210003
354,020100000006000300000002,02010000000700030439a30000
328,01e70000000d0010002800030629aa000029aa,01e700000003009002
313,01d80000000600050028ff00,01d800000003008502
797,03bc00000006000300120001,03bc000000050003025fcc
356,020300000006000300250002,0203000000070003040000fffd
625,0310000000060001f3da0002,031000000003008102
349,01fc00000008000f002500030107,01fc00000006000f00250003
648,032700000006000600160000,032700000006000600160000
449,0260000000060003fffd0002,026000000003008302
86,00f5000000060005f3daff00,00f500000003008502
321,01e000000006000300230002,01e00000000700030453e8e3c6
94,00fd00000008000f000300030103,00fd00000006000f00030003
