,source_text,target_text
3826,1de50000000b001000000002048fc54079:1de500000006001000000002|1de600000006000400000002:,1de600000007000404e8e73ca0
1318,0a4d0000000b001000000002046042bf75:0a4d00000006001000000002|0a4e00000006000400000002:,0a4e00000007000404e0d93e29
492,03d90000000b001000000002040a3dc033:03d900000006001000000002|03da00000006000400000002:,03da00000007000404b8e43d13
2016,0fc10000000b0010000000020435a8be0d:0fc100000006001000000002|0fc200000006000400000002:,0fc200000007000404eeed3e9f
1009,07e30000000b001000000002046042bfad:07e300000006001000000002|07e400000006000400000002:,07e400000007000404f92c3de5
1324,0a590000000b00100000000204ca58bf72:0a5900000006001000000002|0a5a00000006000400000002:,0a5a0000000700040499ce3e2b
1198,095d0000000b00100000000204d9e8bf8c:095d00000006001000000002|095e00000006000400000002:,095e000000070004046dff3e13
2001,0fa30000000b00100000000204ab9fbe2d:0fa300000006001000000002|0fa400000006000400000002:,0fa4000000070004046afc3e9e
2307,12070000000b0010000000020468733ed1:120700000006001000000002|120800000006000400000002:,1208000000070004049e793e8b
1123,08c70000000b001000000002044745bf9a:08c700000006001000000002|08c800000006000400000002:,08c800000007000404e4383e04
2946,17050000000b0010000000020461e53f91:170500000006001000000002|170600000006000400000002:,17060000000700040455573e0e
2864,16610000000b00100000000204680a3f82:166100000006001000000002|166200000006000400000002:,166200000007000404f0853e1f
2782,15bd0000000b0010000000020480343f67:15bd00000006001000000002|15be00000006000400000002:,15be00000007000404505a3e33
2278,11cd0000000b00100000000204f9db3ebe:11cd00000006001000000002|11ce00000006000400000002:,11ce0000000700040411cd3e8f
2180,11090000000b00100000000204ab9f3e8d:110900000006001000000002|110a00000006000400000002:,110a00000007000404625e3e97
934,074d0000000b0010000000020467a1bfbb:074d00000006001000000002|074e00000006000400000002:,074e000000070004045fbf3dcf
2786,15c50000000b00100000000204e8a73f68:15c500000006001000000002|15c600000006000400000002:,15c60000000700040455c33e32
2865,16630000000b00100000000204daba3f82:166300000006001000000002|166400000006000400000002:,166400000007000404617e3e1f
3806,1dbd0000000b0010000000020443fe406e:1dbd00000006001000000002|1dbe00000006000400000002:,1dbe000000070004047a453caf
107,00d70000000b001000000002043a93c0cf:00d700000006001000000002|00d800000006000400000002:,00d800000007000404ebd63bf2
3442,1ae50000000b00100000000204ba5e4005:1ae500000006001000000002|1ae600000006000400000002:,1ae600000007000404f92b3d72
1293,0a1b0000000b001000000002040dedbf7e:0a1b00000006001000000002|0a1c00000006000400000002:,0a1c0000000700040437cd3e24
