,source_text,target_text
83,00a70000000b00100000000204096cc106:00a700000006001000000002|00a800000006000400000002:,00a80000000700040489763b92
507,03f70000000b001000000002043958bdb4:03f700000006001000000002|03f800000006000400000002:,03f800000007000404b8e83ea1
483,03c70000000b00100000000204a4a9bf0e:03c700000006001000000002|03c800000006000400000002:,03c800000007000404ba073e78
646,050d0000000b0010000000020449ba4028:050d00000006001000000002|050e00000006000400000002:,050e00000007000404bd743d24
1008,07e10000000b001000000002044ea5411b:07e100000006001000000002|07e200000006000400000002:,07e20000000700040414593b5b
988,07b90000000b001000000002040d1b4115:07b900000006001000000002|07ba00000006000400000002:,07ba00000007000404a45e3b6d
443,03770000000b001000000002046ae8bfab:037700000006001000000002|037800000006000400000002:,0378000000070004045dc63de9
88,00b10000000b00100000000204793ec104:00b100000006001000000002|00b200000006000400000002:,00b200000007000404f7353b95
314,02750000000b001000000002041de7c077:027500000006001000000002|027600000006000400000002:,027600000007000404e8843ca3
71,008f0000000b00100000000204ca58c109:008f00000006001000000002|009000000006000400000002:,009000000007000404c4493b8a
18,00250000000b001000000002045e9ec11a:002500000006001000000002|002600000006000400000002:,002600000007000404b8723b5d
10,00150000000b00100000000204df3bc11c:001500000006001000000002|001600000006000400000002:,001600000007000404c6843b56
53,006b0000000b001000000002046bbac10f:006b00000006001000000002|006c00000006000400000002:,006c00000007000404376e3b80
456,03910000000b00100000000204e148bf8a:039100000006001000000002|039200000006000400000002:,039200000007000404b5663e15
444,03790000000b00100000000204e8a7bfa8:037900000006001000000002|037a00000006000400000002:,037a00000007000404cd753ded
461,039b0000000b00100000000204bfb1bf7c:039b00000006001000000002|039c00000006000400000002:,039c000000070004040ebd3e25
187,01770000000b0010000000020402dec0cb:017700000006001000000002|017800000006000400000002:,017800000007000404df513bfc
38,004d0000000b001000000002041d15c114:004d00000006001000000002|004e00000006000400000002:,004e00000007000404a01b3b70
515,04070000000b00100000000204154d3d8c:040700000006001000000002|040800000006000400000002:,04080000000700040437393ea2
907,07170000000b001000000002046e2f40f7:071700000006001000000002|071800000006000400000002:,07180000000700040496d53bab
410,03350000000b0010000000020400d2bffe:033500000006001000000002|033600000006000400000002:,033600000007000404055b3d84
360,02d10000000b001000000002048fc5c03d:02d100000006001000000002|02d200000006000400000002:,02d20000000700040468fd3d05
915,07270000000b001000000002046f6940fc:072700000006001000000002|072800000006000400000002:,072800000007000404f5953ba4
65,00830000000b00100000000204aacec10b:008300000006001000000002|008400000006000400000002:,0084000000070004041c423b87
856,06b10000000b0010000000020485f040d7:06b100000006001000000002|06b200000006000400000002:,06b200000007000404fa9e3be0
804,06490000000b00100000000204fdf440b6:064900000006001000000002|064a00000006000400000002:,064a00000007000404bf673c1a
853,06ab0000000b00100000000204a51240d5:06ab00000006001000000002|06ac00000006000400000002:,06ac00000007000404dd813be4
1001,07d30000000b001000000002041e4f4119:07d300000006001000000002|07d400000006000400000002:,07d40000000700040451cf3b61
912,07210000000b001000000002048e8a40fa:072100000006001000000002|072200000006000400000002:,07220000000700040466f03ba7
919,072f0000000b00100000000204f00740fe:072f00000006001000000002|073000000006000400000002:,073000000007000404c9693ba1
712,05910000000b00100000000204de01407a:059100000006001000000002|059200000006000400000002:,05920000000700040457633c9f
784,06210000000b001000000002047ae140aa:062100000006001000000002|062200000006000400000002:,0622000000070004047e983c31
254,01fd0000000b00100000000204182bc0a1:01fd00000006001000000002|01fe00000006000400000002:,01fe00000007000404f8a03c45
143,011f0000000b0010000000020489a0c0e6:011f00000006001000000002|012000000006000400000002:,0120000000070004042a163bc5
