,source_text,target_text
1201,09630000000f00100000000408ffe1ffff00030000:096300000006001000000004|096400000006000400000004:,09640000000b00040800002000fffcffff
3959,1eef0000000f00100000000408000c000000090000:1eef00000006001000000004|1ef000000006000400000004:,1ef00000000b00040888cfded20be03653
3210,19150000000f0010000000040800010000ffdcffff:191500000006001000000004|191600000006000400000004:,19160000000b00040800008000fffbffff
305,02630000000f00100000000408ffd3ffff00030000:026300000006001000000004|026400000006000400000004:,02640000000b00040800006000fffaffff
2925,16db0000000f00100000000408fffcffffffffffff:16db00000006001000000004|16dc00000006000400000004:,16dc0000000b00040800008000ffffffff
1414,0b0d0000000f00100000000408ffe5ffffffd8ffff:0b0d00000006001000000004|0b0e00000006000400000004:,0b0e0000000b0004080000a000fffcffff
1653,0ceb0000000f00100000000408ffe8ffff00070000:0ceb00000006001000000004|0cec00000006000400000004:,0cec0000000b00040800000000fffdffff
2241,11830000000f00100000000408fff2ffffffd3ffff:118300000006001000000004|118400000006000400000004:,11840000000b00040800004000fffeffff
2360,12710000000f00100000000408fff3ffff000a0000:127100000006001000000004|127200000006000400000004:,12720000000b00040800006000fffeffff
30,003d0000000f00100000000408ffcffffffff0ffff:003d00000006001000000004|003e00000006000400000004:,003e0000000b0004080000e000fff9ffff
248,01f10000000f00100000000408ffd2ffff000a0000:01f100000006001000000004|01f200000006000400000004:,01f20000000b00040800004000fffaffff
835,06870000000f00100000000408ffdcffffffd5ffff:068700000006001000000004|068800000006000400000004:,06880000000b00040800008000fffbffff
3819,1dd70000000f00100000000408000a0000fffdffff:1dd700000006001000000004|1dd800000006000400000004:,1dd80000000b0004080000a000ffffffff
354,02c50000000f00100000000408ffd4fffffff4ffff:02c500000006001000000004|02c600000006000400000004:,02c60000000b00040800008000fffaffff
2656,14c10000000f00100000000408fff8fffffff2ffff:14c100000006001000000004|14c200000006000400000004:,14c20000000b00040800000000ffffffff
3308,19d90000000f0010000000040800020000fffeffff:19d900000006001000000004|19da00000006000400000004:,19da0000000b0004080000c000ffffffff
1042,08250000000f00100000000408ffdfffffffe4ffff:082500000006001000000004|082600000006000400000004:,08260000000b0004080000e000fffbffff
3465,1b130000000f0010000000040800050000ffdbffff:1b1300000006001000000004|1b1400000006000400000004:,1b140000000b00040800006000fffbffff
314,02750000000f00100000000408ffd3ffff000c0000:027500000006001000000004|027600000006000400000004:,02760000000b00040800006000fffaffff
52,00690000000f00100000000408ffcfffff00060000:006900000006001000000004|006a00000006000400000004:,006a0000000b0004080000e000fff9ffff
2706,15250000000f00100000000408fff9ffffffe4ffff:152500000006001000000004|152600000006000400000004:,15260000000b00040800002000ffffffff
2415,12df0000000f00100000000408fff4ffff00010000:12df00000006001000000004|12e000000006000400000004:,12e00000000b00040800008000fffeffff
526,041d0000000f00100000000408ffd7ffffffe0ffff:041d00000006001000000004|041e00000006000400000004:,041e0000000b0004080000e000fffaffff
