,source_text,target_text
1152,048300000006000300020002:048300000007000304002c0031|0484000000120040993c800b9df6a82891d0703babeb7494:04840000000300c001|048500000006000300000002:048500000007000304001f0025|048600000006000400000004:04860000000b00040800000000d40040a7|04870000000b0010000200020400090030:048700000006001000020002|048800000006000100000001:04880000000400010101|048900000006000500000000:,048900000006000500000000
936,03aa0000000b00100002000204002e0015:03aa00000006001000020002|03ab00000006000100000001:03ab0000000400010101|03ac0000000b00100000000204002b0009:03ac00000006001000000002|03ad0000000a0089a3efb0598dc9537d:03ad00000003000901|03ae00000006000500000000:03ae00000006000500000000|03af00000006000300160001:03af00000003008302|03b000000006000300000002:,03b000000007000304002b0009
163,00a40000001a00cd6f7a89b3fb2a4d46ad079e4b77326f99cd65ea1b6fd9e3e1:00a400000003004d01|00a50000000600050000ff00:00a50000000600050000ff00|00a600000006000400000004:00a60000000b00040800000000680040a0|00a70000000b0010000000020400250022:00a700000006001000000002|00a800000006000100000001:00a80000000400010101|00a90000000b00100002000204001b0031:00a900000006001000020002|00aa00000006000300000002:,00aa0000000700030400250022
743,02e900000006000300000002:02e9000000070003040019000a|02ea0000000a007eabc4cbda8c336bac:02ea0000000300fe01|02eb00000006000500100000:02eb00000003008502|02ec0000001200f8593cd864cbb30c3d6088a76af65b42b1:02ec00000003007801|02ed00000006000100000001:02ed0000000400010100|02ee0000000b00100002000204000b0012:02ee00000006001000020002|02ef00000006000400190001:,02ef00000003008402
362,016b00000006000300000002:016b000000070003040007001c|016c0000000b0010001e00020400200006:016c00000003009002|016d0000000600050000ff00:016d0000000600050000ff00|016e0000001a003991ab39e6f19ca5aa38408996d92236abecc3041016762a07:016e0000000300b901|016f00000006000400000004:016f0000000b00040800000000f20040b2|017000000006000100000001:01700000000400010101|017100000006000300020002:,0171000000070003040028000d
322,014300000006000400000004:01430000000b0004080000000000000000|014400000006000500000000:014400000006000500000000|014500000006000300020002:01450000000700030400060003|01460000000600050000ff00:01460000000600050000ff00|014700000006000100000001:01470000000400010101|014800000006000400300001:014800000003008402|014900000006000400000004:,01490000000b00040800000000040040b0
1187,04a600000006000100000001:04a60000000400010101|04a7000000060005002f0000:04a700000003008502|04a800000006000300020002:04a800000007000304002c0011|04a900000006000400000004:04a90000000b000408000000002a0040b2|04aa0000000600050000ff00:04aa0000000600050000ff00|04ab0000000b00100002000204001b002f:04ab00000006001000020002|04ac000000120075bc6f63e1280c0549c4c982ed8cb1ce5e:,04ac0000000300f501
1063,042a00000006000100000001:042a0000000400010100|042b0000001a008d50c937f32bad81cbca27ff685f2f7b2e7cb48c479188342e:042b00000003000d01|042c00000006000300000002:042c00000007000304002f000d|042d00000006000300020002:042d0000000700030400190024|042e0000000b00100000000204000d001d:042e00000006001000000002|042f0000000600050000ff00:042f0000000600050000ff00|043000000006000400000004:,04300000000b00040800000000e80040ac
815,03310000000b00100000000204000d0001:033100000006001000000002|03320000000600050000ff00:03320000000600050000ff00|033300000006000100000001:03330000000400010101|03340000000b0010000000020400140005:033400000006001000000002|033500000006000300000002:03350000000700030400140005|03360000000a008541b51fc88c87536c:033600000003000501|03370000000600050000ff00:,03370000000600050000ff00
1168,04930000000b001000020002040011002b:049300000006001000020002|04940000000600050000ff00:04940000000600050000ff00|049500000006000100000001:04950000000400010101|04960000000a00526f245101f02d8101:04960000000300d201|049700000006000400090001:049700000003008402|049800000006000300020002:0498000000070003040011002b|049900000006000300000002:,049900000007000304001c000a
302,012f0000000b00100002000204000c002b:012f00000006001000020002|013000000006000300020002:013000000007000304000c002b|01310000000600050000ff00:01310000000600050000ff00|013200000006000100000001:01320000000400010101|013300000006000100000001:01330000000400010101|01340000000b00100000000204000f0020:013400000006001000000002|01350000000b00100002000204001c0007:,013500000006001000020002
373,01760000001a003ee2b633994244a339e450a56be843cc2ad8046cf30798e104:01760000000300be01|017700000006000100000001:01770000000400010101|017800000006000400000004:01780000000b00040800000000040040b0|017900000006000500000000:017900000006000500000000|017a00000006000300000002:017a0000000700030400270008|017b00000006000300020002:017b0000000700030400090003|017c00000006000400000004:,017c0000000b0004080000000000000000
842,034c00000006000400000004:034c0000000b00040800000000e00040a5|034d0000000a003c34decb5bd710bc4f:034d0000000300bc01|034e00000006000100000001:034e0000000400010101|034f0000000600050000ff00:034f0000000600050000ff00|03500000000b00100002000204001b000d:035000000006001000020002|03510000000a00730572fdce289c6e41:03510000000300f301|035200000006000300020002:,035200000007000304001b000d
419,01a400000006000100140001:01a400000003008102|01a500000012003797b9e2f6435e2c72cdf716d3dc7606f1:01a50000000300b701|01a600000006000300020002:01a60000000700030400000026|01a700000006000100000001:01a70000000400010101|01a80000000600050000ff00:01a80000000600050000ff00|01a900000006000300190001:01a900000003008302|01aa00000006000400000004:,01aa0000000b000408000000005c0040a2
1,00020000000a002d2bf230db8a0b470f:00020000000300ad01|000300000006000100000001:00030000000400010101|00040000000b0010000000020400180030:000400000006001000000002|000500000006000300220001:000500000003008302|00060000000600050000ff00:00060000000600050000ff00|000700000006000300000002:00070000000700030400180030|00080000000b00100002000204002e0008:,000800000006001000020002
492,01ed00000006000300000002:01ed00000007000304000b0024|01ee00000006000400000004:01ee0000000b0004080000000000000000|01ef0000000b00100002000204002a001e:01ef00000006001000020002|01f000000006000100000001:01f00000000400010100|01f100000012004a2d867fc791d3e3dc81c86e67974412c1:01f10000000300ca01|01f20000000600050022ff00:01f200000003008502|01f30000000b0010000000020400070027:,01f300000006001000000002
1034,040d00000006000300000002:040d00000007000304002b002e|040e000000060005001c0000:040e00000003008502|040f00000006000100000001:040f0000000400010100|041000000006000500000000:041000000006000500000000|04110000000a00f584a9ce0012eadfbe:041100000003007501|041200000006000400000004:04120000000b0004080000000000000000|041300000006000300020002:,041300000007000304000f0011
468,01d500000006000300020002:01d500000007000304001b0004|01d600000006000400000004:01d60000000b00040800000000a40040af|01d70000000b00100000000204000d001d:01d700000006001000000002|01d80000000a00ba9ab37954896ff545:01d800000003003a01|01d90000000600050000ff00:01d90000000600050000ff00|01da0000000b00100002000204001e0008:01da00000006001000020002|01db00000006000100000001:,01db0000000400010101
392,01890000000b0010000200020400210000:018900000006001000020002|018a0000000600050000ff00:018a0000000600050000ff00|018b0000001a0091f8226bf8bd51da9ab1ce4a04eab14d6976aef59d8a91f86d:018b00000003001101|018c00000006000300000002:018c0000000700030400080021|018d00000006000300020002:018d0000000700030400210000|018e00000006000100000001:018e0000000400010101|018f0000000b0010000200020400140030:,018f00000006001000020002
130,00830000000b0010000000020400070004:008300000006001000000002|008400000006000300080001:008400000003008302|008500000006000100000001:00850000000400010101|008600000006000300020002:008600000007000304000a0005|00870000000b00100002000204002f0018:008700000006001000020002|00880000000b0010000000020400150029:008800000006001000000002|008900000012007757a54ef931f8d1cdfe839eb5a308b568:,00890000000300f701
223,00e000000006000300200001:00e000000003008302|00e10000000b00100000000204001f0002:00e100000006001000000002|00e200000006000100000001:00e20000000400010101|00e300000006000400000004:00e30000000b00040800000000640040a9|00e40000000b0010000000020400210021:00e400000006001000000002|00e500000006000300020002:00e50000000700030400080014|00e60000000600050000ff00:,00e60000000600050000ff00
704,02c20000001a00d0eb72e0cd9939ce6b2ea71b84b1b146441d7942ec067de05d:02c200000003005001|02c300000006000300020002:02c300000007000304000e002c|02c40000000b0010000000020400090014:02c400000006001000000002|02c500000006000400000004:02c50000000b0004080000000000000000|02c600000006000100000001:02c60000000400010100|02c7000000060003001c0001:02c700000003008302|02c80000000b00100000000204002b001a:,02c800000006001000000002
614,02670000000a008326c17ce64192178a:026700000003000301|026800000006000400000004:02680000000b000408000000009a0040b0|026900000006000300020002:02690000000700030400210000|026a00000006000100000001:026a0000000400010101|026b000000060004002b0001:026b00000003008402|026c0000000b0010000200020400290029:026c00000006001000020002|026d00000006000300000002:,026d0000000700030400290019
960,03c200000006000100000001:03c20000000400010101|03c300000006000400000004:03c30000000b000408000000007c0040b5|03c400000006000300000002:03c400000007000304001e0013|03c5000000060004001a0001:03c500000003008402|03c60000000b0010000200020400280026:03c600000006001000020002|03c70000000b0010000000020400270019:03c700000006001000000002|03c800000006000400000004:,03c80000000b00040800000000200040ac
645,028600000006000100000001:02860000000400010100|028700000006000300000002:02870000000700030400130014|028800000006000400280001:028800000003008402|02890000000b00100000000204001f0016:028900000006001000000002|028a00000006000300000002:028a00000007000304001f0016|028b00000006000400000004:028b0000000b0004080000000000000000|028c00000006000100000001:,028c0000000400010100
1131,046e00000006000300000002:046e000000070003040007002d|046f0000001200bf954c66cdc215eb42fe505a8a686be907:046f00000003003f01|04700000000b001000020002040019002d:047000000006001000020002|04710000000600050000ff00:04710000000600050000ff00|047200000006000400000004:04720000000b00040800000000640040a9|047300000006000100000001:04730000000400010101|04740000000b00100000000204000e0008:,047400000006001000000002
827,033d00000006000300000002:033d0000000700030400140005|033e0000000a004e60ef9d4a6be5cfbc:033e0000000300ce01|033f00000006000400000004:033f0000000b000408000000005c0040b2|03400000000b0010000000020400260008:034000000006001000000002|03410000000b00100002000204002c0020:034100000006001000020002|0342000000060005001cff00:034200000003008502|034300000006000500000000:,034300000006000500000000
667,029c00000006000300000002:029c00000007000304002f0030|029d00000006000300020002:029d0000000700030400270008|029e00000006000500000000:029e00000006000500000000|029f00000006000100000001:029f0000000400010100|02a000000006000400000004:02a00000000b0004080000000000000000|02a10000001200ccecb48271388fd0702a199120843d8f16:02a100000003004c01|02a20000000b001000020002040002002a:,02a200000006001000020002
999,03e900000006000400000004:03e90000000b00040800000000e80040ac|03ea0000000a00e6d23bcafaadedebfb:03ea00000003006601|03eb00000006000300020002:03eb000000070003040028000b|03ec0000000b0010000200020400040022:03ec00000006001000020002|03ed000000060001002c0001:03ed00000003008102|03ee0000000600050000ff00:03ee0000000600050000ff00|03ef00000006000300000002:,03ef00000007000304002e0028
1089,0444000000060004002f0001:044400000003008402|044500000006000100000001:04450000000400010101|04460000000b0010000000020400190015:044600000006001000000002|044700000006000300020002:0447000000070003040024000a|04480000001200ecac1d32bbbe593a007d1a1f576fc6c010:044800000003006c01|044900000006000500000000:044900000006000500000000|044a00000006000400000004:,044a0000000b0004080000000000000000
1113,045c0000000b00100002000204000f0028:045c00000006001000020002|045d00000006000100000001:045d0000000400010100|045e00000006000500090000:045e00000003008502|045f00000006000500000000:045f00000006000500000000|04600000000b00100002000204002f0007:046000000006001000020002|04610000000a00e792b4f61f4241e5b1:046100000003006701|04620000000b001000000002040012001d:,046200000006001000000002
742,02e800000006000400000004:02e80000000b0004080000000000000000|02e900000006000300000002:02e9000000070003040019000a|02ea0000000a007eabc4cbda8c336bac:02ea0000000300fe01|02eb00000006000500100000:02eb00000003008502|02ec0000001200f8593cd864cbb30c3d6088a76af65b42b1:02ec00000003007801|02ed00000006000100000001:02ed0000000400010100|02ee0000000b00100002000204000b0012:,02ee00000006001000020002
78,004f0000000b001000020002040027002e:004f00000006001000020002|005000000006000400000004:00500000000b00040800000000000040a9|005100000006000300020002:0051000000070003040027002e|00520000000600050000ff00:00520000000600050000ff00|00530000000b0010000200020400210004:005300000006001000020002|00540000000b0010000000020400150020:005400000006001000000002|005500000006000300000002:,00550000000700030400150020
734,02e000000006000300020002:02e00000000700030400060018|02e10000000b0010000200020400310009:02e100000006001000020002|02e20000001200b6ad11c446d0ba8a734c8df57654193771:02e200000003003601|02e30000000b001000000002040019000a:02e300000006001000000002|02e400000006000100000001:02e40000000400010100|02e500000006000300020002:02e50000000700030400310009|02e60000000b001000020002040008001d:,02e600000006001000020002
402,019300000006000300000002:01930000000700030400040028|019400000006000400000004:01940000000b00040800000000380040a8|019500000006000500000000:019500000006000500000000|019600000006000500110000:019600000003008502|01970000001a007fd4dcc71c33e5070b8831821e239e41bb42c988a3df374227:01970000000300ff01|019800000006000300020002:01980000000700030400140030|019900000006000100000001:,01990000000400010100
1039,041200000006000400000004:04120000000b0004080000000000000000|041300000006000300020002:041300000007000304000f0011|04140000000b001000020002040016000d:041400000006001000020002|041500000006000500000000:041500000006000500000000|041600000006000300020002:0416000000070003040016000d|04170000000b00100002000204001b0024:041700000006001000020002|041800000006000400000004:,04180000000b0004080000000000000000
205,00ce0000000b0010000000020400260004:00ce00000006001000000002|00cf00000006000300020002:00cf0000000700030400270009|00d00000000b00100016000204002d0031:00d000000003009002|00d10000000a004c0feb11da2c07f5e0:00d10000000300cc01|00d200000006000100000001:00d20000000400010101|00d30000000600050000ff00:00d30000000600050000ff00|00d400000006000300020002:,00d40000000700030400270009
1102,045100000006000300020002:0451000000070003040020000b|04520000001a00a1137a68fde80d1955a64e19cd73d61ee0372d1810ea4bbcef:045200000003002101|04530000000b0010000c00020400070020:045300000003009002|045400000006000400000004:04540000000b0004080000000000000000|045500000006000100090001:045500000003008102|045600000012008fd720038541f576ba8d5b2675e94b6221:045600000003000f01|04570000000b001000000002040023000b:,045700000006001000000002
371,01740000000b0010000000020400270008:017400000006001000000002|017500000006000300020002:01750000000700030400090003|01760000001a003ee2b633994244a339e450a56be843cc2ad8046cf30798e104:01760000000300be01|017700000006000100000001:01770000000400010101|017800000006000400000004:01780000000b00040800000000040040b0|017900000006000500000000:017900000006000500000000|017a00000006000300000002:,017a0000000700030400270008
