,source_text,target_text
714,02cb0000001200d54aed1092a73a3af36857c577f774952b:02cb00000003005501|02cc00000006000100000001:02cc0000000400010101|02cd00000006000300020002:02cd0000000700030400100026|02ce00000006000500000000:02ce00000006000500000000|02cf000000060003000e0001:02cf00000003008302|02d000000006000400000004:02d00000000b0004080000000000000000|02d10000000b0010000200020400090000:02d100000006001000020002|02d20000001a0028e9a5bc4549833799a19d36a7e921072d45f7dacb403be45a:02d20000000300a801|02d300000006000100000001:,02d30000000400010100
2145,086200000006000400000004:08620000000b0004080000000000000000|08630000000b0010000000020400080028:086300000006001000000002|086400000006000100120001:086400000003008102|086500000006000300000002:08650000000700030400080028|086600000006000100000001:08660000000400010100|086700000006000500000000:086700000006000500000000|086800000006000400000004:08680000000b0004080000000000000000|08690000000b00100000000204000c0020:086900000006001000000002|086a0000000600050000ff00:,086a0000000600050000ff00
402,019300000006000500000000:019300000006000500000000|019400000006000100000001:01940000000400010100|01950000000b0010000000020400310001:019500000006001000000002|019600000006000500000000:019600000006000500000000|019700000006000400000004:01970000000b0004080000000000000000|01980000000b0010000200020400200001:019800000006001000020002|019900000006000300000002:01990000000700030400310001|019a0000001a004468f41e0b1cf0d4a2591d548cabc8d45b26f617bcb808c1bc:019a0000000300c401|019b000000060005000fff00:,019b00000003008502
1561,061a00000006000500000000:061a00000006000500000000|061b00000006000300000002:061b0000000700030400110024|061c00000006000300020002:061c00000007000304000b000e|061d00000006000400000004:061d0000000b0004080000000000000000|061e0000000b0010000200020400270003:061e00000006001000020002|061f0000000b0010000000020400300023:061f00000006001000000002|06200000000600050000ff00:06200000000600050000ff00|062100000006000300020002:06210000000700030400270003|062200000006000400000004:,06220000000b000408cd364e3b91d13fbc
2240,08c10000001200c935eacab2df4aa6672af3d1e135ce201c:08c100000003004901|08c200000006000300180001:08c200000003008302|08c300000006000300000002:08c300000007000304001e0023|08c400000006000400000004:08c40000000b0004080000000000000000|08c500000006000500000000:08c500000006000500000000|08c60000000b00100002000204001e002c:08c600000006001000020002|08c70000001200562efb0255e3647319ba34f5a1390db6b5:08c70000000300d601|08c800000006000300020002:08c800000007000304001e002c|08c90000000b0010000000020400270008:,08c900000006001000000002
591,025000000006000400000004:02500000000b0004080000000000000000|025100000006000300000002:025100000007000304001a0010|0252000000120032e36daa27b26c4d30d5b788e01e561fe0:02520000000300b201|02530000000b001000000002040007002e:025300000006001000000002|025400000006000500220000:025400000003008502|02550000000b0010000200020400250019:025500000006001000020002|025600000006000300000002:0256000000070003040007002e|025700000006000100000001:02570000000400010100|0258000000120066f014f9fb6d673b6bdb7a6cb5bc95a710:,02580000000300e601
836,034500000006000300000002:03450000000700030400230000|03460000000b0010000000020400020025:034600000006001000000002|034700000006000100000001:03470000000400010100|03480000000600050000ff00:03480000000600050000ff00|03490000000b0010000200020400210012:034900000006001000020002|034a00000006000400000004:034a0000000b000408bc6b937462184089|034b0000001a00120d1f669f7cf3a92c6b665e93c49ed67287f8e32befd1ed8e:034b00000003009201|034c00000006000300020002:034c0000000700030400210012|034d000000060004001e0001:,034d00000003008402
826,033b00000006000300000002:033b00000007000304001a0023|033c00000006000300020002:033c00000007000304000c0018|033d00000006000100000001:033d0000000400010100|033e00000012007179e8decf7ace6170d67e25655347c212:033e0000000300f101|033f00000006000500000000:033f00000006000500000000|034000000006000500280000:034000000003008502|03410000000b0010000200020400300018:034100000006001000020002|034200000006000300020002:03420000000700030400300018|03430000000b0010000000020400230000:,034300000006001000000002
1995,07cc0000000b0010000200020400270012:07cc00000006001000020002|07cd00000006000100040001:07cd00000003008102|07ce00000006000300020002:07ce0000000700030400270012|07cf00000006000300000002:07cf00000007000304000b000c|07d00000000600050000ff00:07d00000000600050000ff00|07d10000000b00100000000204001d001c:07d100000006001000000002|07d20000000b0010000200020400030012:07d200000006001000020002|07d300000006000300070001:07d300000003008302|07d400000006000300020002:,07d40000000700030400030012
1983,07c000000006000100000001:07c00000000400010100|07c1000000120051e41a5594b21f0b6e8eebe21985dd8b10:07c10000000300d101|07c20000000600050000ff00:07c20000000600050000ff00|07c300000006000300000002:07c30000000700030400220005|07c400000006000400000004:07c40000000b000408bee09c0ea2333fd4|07c500000006000300020002:07c50000000700030400080001|07c600000006000100000001:07c60000000400010101|07c700000006000400000004:07c70000000b000408bee09c0ea2333fd4|07c80000000600050000ff00:,07c80000000600050000ff00
