,source_text,target_text
4233,21130000000b001000000002041965401e:211300000006001000000002|211400000006000400000002:,21140000000700040491a040be
4470,22ed0000000b0010000000020491684029:22ed00000006001000000002|22ee00000006000400000002:,22ee000000070004047b7d40e3
2977,17430000000b00100000000204bc6a3f94:174300000006001000000002|174400000006000400000002:,17440000000700040496643fe0
4011,1f570000000b0010000000020467a14013:1f5700000006001000000002|1f5800000006000400000002:,1f5800000007000404b28b40a1
3929,1eb30000000b0010000000020422d1400f:1eb300000006001000000002|1eb400000006000400000002:,1eb4000000070004047a3e4097
513,04030000000b001000000002044c30c02a:040300000006001000000002|040400000006000400000002:,040400000007000404109540e6
774,060d0000000b001000000002041bdac01c:060d00000006001000000002|060e00000006000400000002:,060e00000007000404d14a40b8
4793,25730000000b00100000000204a4404037:257300000006001000000002|257400000006000400000002:,2574000000070004047723410d
4943,269f0000000b00100000000204cfab403d:269f00000006001000000002|26a000000006000400000002:,26a000000007000404b1a8411b
4013,1f5b0000000b0010000000020473194013:1f5b00000006001000000002|1f5c00000006000400000002:,1f5c00000007000404cef540a1
146,01250000000b001000000002048c7ec039:012500000006001000000002|012600000006000400000002:,012600000007000404b7a94111
3017,17930000000b00100000000204a5123f9d:179300000006001000000002|179400000006000400000002:,179400000007000404fc733fed
1129,08d30000000b00100000000204e076c008:08d300000006001000000002|08d400000006000400000002:,08d400000007000404b3034089
4346,21f50000000b0010000000020418fc4023:21f500000006001000000002|21f600000006000400000002:,21f600000007000404d65d40cd
3416,1ab10000000b0010000000020496bc3fe0:1ab100000006001000000002|1ab200000006000400000002:,1ab2000000070004048815403e
2232,11710000000b00100000000204e9e2bf45:117100000006001000000002|117200000006000400000002:,11720000000700040432013fa8
4691,24a70000000b00100000000204851f4033:24a700000006001000000002|24a800000006000400000002:,24a800000007000404b35f4104
3535,1b9f0000000b0010000000020486c23fef:1b9f00000006001000000002|1ba000000006000400000002:,1ba000000007000404d2354054
3273,19930000000b0010000000020447ae3fc9:199300000006001000000002|199400000006000400000002:,199400000007000404d6ad4020
2323,12270000000b00100000000204068ebf10:122700000006001000000002|122800000006000400000002:,122800000007000404cc153f94
1574,0c4d0000000b001000000002042fecbfdb:0c4d00000006001000000002|0c4e00000006000400000002:,0c4e0000000700040420304037
2483,13670000000b00100000000204fdf43bd4:136700000006001000000002|136800000006000400000002:,13680000000700040400b13f80
4620,24190000000b0010000000020467384030:241900000006001000000002|241a00000006000400000002:,241a00000007000404e15a40fc
3620,1c490000000b001000000002047b4a3ffb:1c4900000006001000000002|1c4a00000006000400000002:,1c4a00000007000404bc2c4068
201,01930000000b001000000002046ae8c037:019300000006001000000002|019400000006000400000002:,019400000007000404f96c410c
2141,10bb0000000b0010000000020497f6bf6d:10bb00000006001000000002|10bc00000006000400000002:,10bc00000007000404333c3fbb
2699,15170000000b0010000000020427523f30:151700000006001000000002|151800000006000400000002:,151800000007000404847b3f9f
2553,13f30000000b001000000002045cfb3ead:13f300000006001000000002|13f400000006000400000002:,13f40000000700040468713f87
4629,242b0000000b00100000000204013b4031:242b00000006001000000002|242c00000006000400000002:,242c000000070004043fde40ff
3475,1b270000000b0010000000020476603fe7:1b2700000006001000000002|1b2800000006000400000002:,1b280000000700040472b34048
4214,20ed0000000b001000000002043261401d:20ed00000006001000000002|20ee00000006000400000002:,20ee00000007000404f05740bb
2635,14970000000b00100000000204ac713f0b:149700000006001000000002|149800000006000400000002:,149800000007000404875f3f93
1884,0eb90000000b0010000000020472b0bfa8:0eb900000006001000000002|0eba00000006000400000002:,0eba00000007000404c9aa3fff
3441,1ae30000000b00100000000204c6a83fe3:1ae300000006001000000002|1ae400000006000400000002:,1ae4000000070004040f474043
878,06dd0000000b001000000002042ca5c017:06dd00000006001000000002|06de00000006000400000002:,06de0000000700040451a940ab
2176,11010000000b001000000002042de0bf60:110100000006001000000002|110200000006000400000002:,1102000000070004044bc83fb4
1777,0de30000000b0010000000020440b8bfba:0de300000006001000000002|0de400000006000400000002:,0de40000000700040495d34010
3259,19770000000b0010000000020490973fc7:197700000006001000000002|197800000006000400000002:,197800000007000404e02e401e
536,04310000000b0010000000020421ffc029:043100000006001000000002|043200000006000400000002:,043200000007000404f4c640e1
228,01c90000000b001000000002044745c036:01c900000006001000000002|01ca00000006000400000002:,01ca0000000700040480dc410a
2960,17210000000b0010000000020464c33f92:172100000006001000000002|172200000006000400000002:,1722000000070004043f6f3fdd
