,source_text,target_text
2872,0b3900000006000500000000:0b3900000006000500000000|0b3a00000006000300030001:,0b3a000000050003020014
1023,040000000006000300020001:0400000000050003020015|040100000006000600010014:,040100000006000600010014
406,019700000006000300000001:0197000000050003020005|019800000006000500000000:,019800000006000500000000
2861,0b2e00000006000300010001:0b2e000000050003020003|0b2f0000000600060000000a:,0b2f0000000600060000000a
3545,0ddb00000006000100000001:0ddb0000000400010101|0ddc00000006000300020001:,0ddc00000005000302000c
2220,08ad00000006000600030019:08ad00000006000600030019|08ae00000006000600000020:,08ae00000006000600000020
1915,077c00000006000500000000:077c00000006000500000000|077d00000006000300020001:,077d00000005000302001c
1420,058d00000006000500000000:058d00000006000500000000|058e00000006000300020001:,058e00000005000302001a
67,004400000006000100000001:00440000000400010100|0045000000060003001d0001:,004500000003008302
1500,05dd0000000600050024ff00:05dd00000003008502|05de00000006000300000001:,05de000000050003020004
1593,063a0000000600060001000f:063a0000000600060001000f|063b00000006000400000004:,063b0000000b000408000000009a0040b0
3358,0d1f000000060005000bff00:0d1f00000003008502|0d200000000600060002002c:,0d200000000600060002002c
785,031200000006000600020031:031200000006000600020031|031300000006000300020001:,0313000000050003020031
3057,0bf200000006000300020001:0bf200000005000302001b|0bf300000006000600020005:,0bf300000006000600020005
3255,0cb80000000600060001001b:0cb80000000600060001001b|0cb900000006000300020001:,0cb9000000050003020025
80,00510000001a000ec5becc3b72a4fe2c741ffb60f214a89b319d9aab2eb54934:005100000003008e01|005200000006000100000001:,00520000000400010101
238,00ef00000006000100000001:00ef0000000400010100|00f000000006000600010022:,00f000000006000600010022
1040,041100000006000300000001:0411000000050003020023|041200000006000600000022:,041200000006000600000022
2838,0b170000000600050000ff00:0b170000000600050000ff00|0b1800000006000300000001:,0b18000000050003020003
2082,082300000006000400250001:082300000003008402|082400000006000300020001:,0824000000050003020007
61,003e00000006000600000031:003e00000006000600000031|003f00000006000600010024:,003f00000006000600010024
1991,07c80000000600060000002e:07c80000000600060000002e|07c900000006000300010001:,07c9000000050003020026
3357,0d1e00000006000400000004:0d1e0000000b00040800000000e80040ac|0d1f000000060005000bff00:,0d1f00000003008502
574,023f00000006000300020001:023f00000005000302001a|024000000006000500000000:,024000000006000500000000
1058,042300000006000500000000:042300000006000500000000|042400000006000300000001:,0424000000050003020022
2168,087900000006000300020001:0879000000050003020011|087a00000006000300030001:,087a000000050003020020
502,01f700000006000500000000:01f700000006000500000000|01f80000001200ccb2b1a984f9cb34ac68a0651173151be9:,01f800000003004c01
2123,084c00000006000300010001:084c000000050003020028|084d00000006000300020001:,084d000000050003020005
3495,0da800000006000300000001:0da800000005000302002e|0da900000006000300010001:,0da9000000050003020016
561,023200000006000300010001:0232000000050003020018|023300000006000300000001:,0233000000050003020021
244,00f5000000060003000c0001:00f500000003008302|00f600000012004e240ff9e38e446aec11f497cd0988ffc4:,00f60000000300ce01
3233,0ca20000000600060001000d:0ca20000000600060001000d|0ca30000000600050030ff00:,0ca300000003008502
1488,05d100000006000100000001:05d10000000400010101|05d200000006000600020026:,05d200000006000600020026
698,02bb00000006000300010001:02bb000000050003020018|02bc00000006000300030001:,02bc000000050003020017
1524,05f500000006000600010000:05f500000006000600010000|05f600000006000400000004:,05f60000000b00040800000000200040ac
1038,040f00000006000600000023:040f00000006000600000023|041000000006000400000004:,04100000000b0004080000000000000000
