,source_text,target_text
1620,0ca90000001700100000000810fff9ffffffe0ffffffe9ffff00080000:0ca900000006001000000008|0caa00000006000400000004:,0caa0000000b000408000000009a0040b0
2544,13e10000001700100000000810000700000034000000210000ffd0ffff:13e100000006001000000008|13e200000006000400000004:,13e20000000b00040800000000fffaffff
461,039b0000001700100000000810ffcfffff00340000ffdbffff00160000:039b00000006001000000008|039c00000006000400000004:,039c0000000b000408000000009a0040b0
3109,184b000000170010000000081000230000ffd2ffff0005000000160000:184b00000006001000000008|184c00000006000400000004:,184c0000000b000408000000009a0040b0
869,06cb0000001700100000000810ffddffff001800000005000000160000:06cb00000006001000000008|06cc00000006000400000004:,06cc0000000b000408000000009a0040b0
2725,154b000000170010000000081000150000ffeeffff0005000000160000:154b00000006001000000008|154c00000006000400000004:,154c0000000b000408000000009a0040b0
2427,12f700000017001000000008100007000000180000002f0000fffaffff:12f700000006001000000008|12f800000006000400000004:,12f80000000b00040800004000ffffffff
951,076f0000001700100000000810ffddffff002600000021000000320000:076f00000006001000000008|077000000006000400000004:,07700000000b000408000000009a0040b0
1744,0da10000001700100000000810fff9fffffffcffffffe9ffffffd0ffff:0da100000006001000000008|0da200000006000400000004:,0da20000000b00040800000000fffaffff
1538,0c050000001700100000000810fff9ffffffd2ffffffcdffffffecffff:0c0500000006001000000008|0c0600000006000400000004:,0c060000000b00040800008000fffdffff
2856,1651000000170010000000081000150000000a000000130000ffd0ffff:165100000006001000000008|165200000006000400000004:,16520000000b00040800000000fffaffff
1121,08c30000001700100000000810ffebffffffe0ffff00050000ffdeffff:08c300000006001000000008|08c400000006000400000004:,08c40000000b0004080000c000fffbffff
463,039f0000001700100000000810ffcfffff00340000ffdbffff00320000:039f00000006001000000008|03a000000006000400000004:,03a00000000b000408000000009a0040b0
2230,116d000000170010000000081000070000ffeeffff0021000000240000:116d00000006001000000008|116e00000006000400000004:,116e0000000b000408000000009a0040b0
2309,120b000000170010000000081000070000000a0000ffcdffff00160000:120b00000006001000000008|120c00000006000400000004:,120c0000000b000408000000009a0040b0
1629,0cbb0000001700100000000810fff9ffffffe0fffffff7ffff00160000:0cbb00000006001000000008|0cbc00000006000400000004:,0cbc0000000b000408000000009a0040b0
324,02890000001700100000000810ffcfffff00180000ffcdffff00080000:028900000006001000000008|028a00000006000400000004:,028a0000000b000408000000009a0040b0
3675,1cb7000000170010000000081000310000ffe0fffffff7fffffffaffff:1cb700000006001000000008|1cb800000006000400000004:,1cb80000000b00040800004000ffffffff
3636,1c69000000170010000000081000310000ffd2ffff0021000000080000:1c6900000006001000000008|1c6a00000006000400000004:,1c6a0000000b000408000000009a0040b0
3296,19c1000000170010000000081000230000fffcffff00050000ffd0ffff:19c100000006001000000008|19c200000006000400000004:,19c20000000b00040800000000fffaffff
1787,0df70000001700100000000810fff9fffffffcffff002f0000fffaffff:0df700000006001000000008|0df800000006000400000004:,0df80000000b00040800004000ffffffff
520,04110000001700100000000810ffddffffffd2ffffffdbffffffd0ffff:041100000006001000000008|041200000006000400000004:,04120000000b00040800000000fffaffff
342,02ad0000001700100000000810ffcfffff00180000ffe9ffff00240000:02ad00000006001000000008|02ae00000006000400000004:,02ae0000000b000408000000009a0040b0
3571,1be70000001700100000000810002300000034000000210000fffaffff:1be700000006001000000008|1be800000006000400000004:,1be80000000b00040800004000ffffffff
2322,1225000000170010000000081000070000000a0000ffe9ffffffecffff:122500000006001000000008|122600000006000400000004:,12260000000b00040800008000fffdffff
2210,1145000000170010000000081000070000ffeeffff00050000ffecffff:114500000006001000000008|114600000006000400000004:,11460000000b00040800008000fffdffff
1004,07d90000001700100000000810ffddffff003400000013000000080000:07d900000006001000000008|07da00000006000400000004:,07da0000000b000408000000009a0040b0
2410,12d50000001700100000000810000700000018000000130000ffecffff:12d500000006001000000008|12d600000006000400000004:,12d60000000b00040800008000fffdffff
3309,19db000000170010000000081000230000fffcffff0013000000160000:19db00000006001000000008|19dc00000006000400000004:,19dc0000000b000408000000009a0040b0
1984,0f810000001700100000000810fff9ffff00340000ffcdffffffd0ffff:0f8100000006001000000008|0f8200000006000400000004:,0f820000000b00040800000000fffaffff
929,07430000001700100000000810ffddffff0026000000050000ffdeffff:074300000006001000000008|074400000006000400000004:,07440000000b0004080000c000fffbffff
949,076b0000001700100000000810ffddffff002600000021000000160000:076b00000006001000000008|076c00000006000400000004:,076c0000000b000408000000009a0040b0
807,064f0000001700100000000810ffddffff000a00000005000000320000:064f00000006001000000008|065000000006000400000004:,06500000000b000408000000009a0040b0
368,02e10000001700100000000810ffcfffff0018000000210000ffd0ffff:02e100000006001000000008|02e200000006000400000004:,02e20000000b00040800000000fffaffff
1754,0db50000001700100000000810fff9fffffffcfffffff7ffffffecffff:0db500000006001000000008|0db600000006000400000004:,0db60000000b00040800008000fffdffff
3922,1ea500000017001000000008100031000000180000ffe9ffffffecffff:1ea500000006001000000008|1ea600000006000400000004:,1ea60000000b00040800008000fffdffff
2267,11b7000000170010000000081000070000fffcfffffff7fffffffaffff:11b700000006001000000008|11b800000006000400000004:,11b80000000b00040800004000ffffffff
1289,0a130000001700100000000810ffebffff000a0000ffdbffffffdeffff:0a1300000006001000000008|0a1400000006000400000004:,0a140000000b0004080000c000fffbffff
1571,0c470000001700100000000810fff9ffffffd2ffff00050000fffaffff:0c4700000006001000000008|0c4800000006000400000004:,0c480000000b00040800004000ffffffff
1233,09a30000001700100000000810ffebfffffffcffffffe9ffffffdeffff:09a300000006001000000008|09a400000006000400000004:,09a40000000b0004080000c000fffbffff
2215,114f000000170010000000081000070000ffeeffff0005000000320000:114f00000006001000000008|115000000006000400000004:,11500000000b000408000000009a0040b0
2908,16b900000017001000000008100015000000180000fff7ffff00080000:16b900000006001000000008|16ba00000006000400000004:,16ba0000000b000408000000009a0040b0
366,02dd0000001700100000000810ffcfffff001800000013000000240000:02dd00000006001000000008|02de00000006000400000004:,02de0000000b000408000000009a0040b0
111,00df0000001700100000000810ffcfffffffe0ffff0013000000320000:00df00000006001000000008|00e000000006000400000004:,00e00000000b000408000000009a0040b0
3054,17dd000000170010000000081000150000003400000013000000240000:17dd00000006001000000008|17de00000006000400000004:,17de0000000b000408000000009a0040b0
3809,1dc3000000170010000000081000310000fffcffff00050000ffdeffff:1dc300000006001000000008|1dc400000006000400000004:,1dc40000000b0004080000c000fffbffff
1392,0ae10000001700100000000810ffebffff0018000000210000ffd0ffff:0ae100000006001000000008|0ae200000006000400000004:,0ae20000000b00040800000000fffaffff
3906,1e8500000017001000000008100031000000180000ffcdffffffecffff:1e8500000006001000000008|1e8600000006000400000004:,1e860000000b00040800008000fffdffff
152,01310000001700100000000810ffcfffffffeefffffff7ffffffd0ffff:013100000006001000000008|013200000006000400000004:,01320000000b00040800000000fffaffff
2346,1255000000170010000000081000070000000a000000130000ffecffff:125500000006001000000008|125600000006000400000004:,12560000000b00040800008000fffdffff
2428,12f900000017001000000008100007000000180000002f000000080000:12f900000006001000000008|12fa00000006000400000004:,12fa0000000b000408000000009a0040b0
4032,1f8100000017001000000008100031000000340000ffcdffffffd0ffff:1f8100000006001000000008|1f8200000006000400000004:,1f820000000b00040800000000fffaffff
2549,13eb000000170010000000081000070000003400000021000000160000:13eb00000006001000000008|13ec00000006000400000004:,13ec0000000b000408000000009a0040b0
3972,1f0900000017001000000008100031000000260000ffcdffff00080000:1f0900000006001000000008|1f0a00000006000400000004:,1f0a0000000b000408000000009a0040b0
2154,10d5000000170010000000081000070000ffe0ffff00130000ffecffff:10d500000006001000000008|10d600000006000400000004:,10d60000000b00040800008000fffdffff
1508,0bc90000001700100000000810ffebffff003400000005000000080000:0bc900000006001000000008|0bca00000006000400000004:,0bca0000000b000408000000009a0040b0
3391,1a7f000000170010000000081000230000000a0000002f000000320000:1a7f00000006001000000008|1a8000000006000400000004:,1a800000000b000408000000009a0040b0
399,031f0000001700100000000810ffcfffff00260000ffdbffff00320000:031f00000006001000000008|032000000006000400000004:,03200000000b000408000000009a0040b0
1284,0a090000001700100000000810ffebffff000a0000ffcdffff00080000:0a0900000006001000000008|0a0a00000006000400000004:,0a0a0000000b000408000000009a0040b0
369,02e30000001700100000000810ffcfffff0018000000210000ffdeffff:02e300000006001000000008|02e400000006000400000004:,02e40000000b0004080000c000fffbffff
3527,1b8f00000017001000000008100023000000340000ffcdffff00320000:1b8f00000006001000000008|1b9000000006000400000004:,1b900000000b000408000000009a0040b0
834,06850000001700100000000810ffddffff00180000ffcdffffffecffff:068500000006001000000008|068600000006000400000004:,06860000000b00040800008000fffdffff
651,05170000001700100000000810ffddffffffeeffffffdbfffffffaffff:051700000006001000000008|051800000006000400000004:,05180000000b00040800004000ffffffff
2247,118f000000170010000000081000070000fffcffffffcdffff00320000:118f00000006001000000008|119000000006000400000004:,11900000000b000408000000009a0040b0
3676,1cb9000000170010000000081000310000ffe0fffffff7ffff00080000:1cb900000006001000000008|1cba00000006000400000004:,1cba0000000b000408000000009a0040b0
3699,1ce7000000170010000000081000310000ffe0ffff00210000fffaffff:1ce700000006001000000008|1ce800000006000400000004:,1ce80000000b00040800004000ffffffff
3504,1b610000001700100000000810002300000026000000210000ffd0ffff:1b6100000006001000000008|1b6200000006000400000004:,1b620000000b00040800000000fffaffff
3020,179900000017001000000008100015000000340000ffdbffff00080000:179900000006001000000008|179a00000006000400000004:,179a0000000b000408000000009a0040b0
1073,08630000001700100000000810ffebffffffd2ffff00210000ffdeffff:086300000006001000000008|086400000006000400000004:,08640000000b0004080000c000fffbffff
4074,1fd50000001700100000000810003100000034000000130000ffecffff:1fd500000006001000000008|1fd600000006000400000004:,1fd60000000b00040800008000fffdffff
771,06070000001700100000000810ffddffff000a0000ffcdfffffffaffff:060700000006001000000008|060800000006000400000004:,06080000000b00040800004000ffffffff
3937,1ec30000001700100000000810003100000018000000050000ffdeffff:1ec300000006001000000008|1ec400000006000400000004:,1ec40000000b0004080000c000fffbffff
3274,1995000000170010000000081000230000fffcffffffdbffffffecffff:199500000006001000000008|199600000006000400000004:,19960000000b00040800008000fffdffff
1988,0f890000001700100000000810fff9ffff00340000ffcdffff00080000:0f8900000006001000000008|0f8a00000006000400000004:,0f8a0000000b000408000000009a0040b0
3800,1db1000000170010000000081000310000fffcfffffff7ffffffd0ffff:1db100000006001000000008|1db200000006000400000004:,1db20000000b00040800000000fffaffff
328,02910000001700100000000810ffcfffff00180000ffdbffffffd0ffff:029100000006001000000008|029200000006000400000004:,02920000000b00040800000000fffaffff
2354,1265000000170010000000081000070000000a000000210000ffecffff:126500000006001000000008|126600000006000400000004:,12660000000b00040800008000fffdffff
171,01570000001700100000000810ffcfffffffeeffff00130000fffaffff:015700000006001000000008|015800000006000400000004:,01580000000b00040800004000ffffffff
132,01090000001700100000000810ffcfffffffeeffffffcdffff00080000:010900000006001000000008|010a00000006000400000004:,010a0000000b000408000000009a0040b0
1135,08df0000001700100000000810ffebffffffe0ffff0013000000320000:08df00000006001000000008|08e000000006000400000004:,08e00000000b000408000000009a0040b0
3682,1cc5000000170010000000081000310000ffe0ffff00050000ffecffff:1cc500000006001000000008|1cc600000006000400000004:,1cc60000000b00040800008000fffdffff
3035,17b700000017001000000008100015000000340000fff7fffffffaffff:17b700000006001000000008|17b800000006000400000004:,17b80000000b00040800004000ffffffff
283,02370000001700100000000810ffcfffff000a0000fff7fffffffaffff:023700000006001000000008|023800000006000400000004:,02380000000b00040800004000ffffffff
3453,1afb00000017001000000008100023000000180000002f000000160000:1afb00000006001000000008|1afc00000006000400000004:,1afc0000000b000408000000009a0040b0
1830,0e4d0000001700100000000810fff9ffff000a00000005000000240000:0e4d00000006001000000008|0e4e00000006000400000004:,0e4e0000000b000408000000009a0040b0
3186,18e5000000170010000000081000230000ffe0ffff00210000ffecffff:18e500000006001000000008|18e600000006000400000004:,18e60000000b00040800008000fffdffff
3248,1961000000170010000000081000230000ffeeffff00210000ffd0ffff:196100000006001000000008|196200000006000400000004:,19620000000b00040800000000fffaffff
448,03810000001700100000000810ffcfffff00340000ffcdffffffd0ffff:038100000006001000000008|038200000006000400000004:,03820000000b00040800000000fffaffff
2331,1237000000170010000000081000070000000a0000fff7fffffffaffff:123700000006001000000008|123800000006000400000004:,12380000000b00040800004000ffffffff
3319,19ef000000170010000000081000230000fffcffff0021000000320000:19ef00000006001000000008|19f000000006000400000004:,19f00000000b000408000000009a0040b0
2565,140b000000170010000000081000150000ffd2ffffffcdffff00160000:140b00000006001000000008|140c00000006000400000004:,140c0000000b000408000000009a0040b0
1332,0a690000001700100000000810ffebffff000a00000021000000080000:0a6900000006001000000008|0a6a00000006000400000004:,0a6a0000000b000408000000009a0040b0
1260,09d90000001700100000000810ffebfffffffcffff0013000000080000:09d900000006001000000008|09da00000006000400000004:,09da0000000b000408000000009a0040b0
936,07510000001700100000000810ffddffff0026000000130000ffd0ffff:075100000006001000000008|075200000006000400000004:,07520000000b00040800000000fffaffff
