,source_text,target_text
2193,08920000000600050000ff00:08920000000600050000ff00|089300000006000300020001:0893000000050003020020|089400000006000400000004:,08940000000b00040800000000700040a7
1046,041700000006000600030005:041700000006000600030005|041800000006000300160001:041800000003008302|04190000000600050000ff00:,04190000000600050000ff00
1578,062b00000006000300030001:062b000000050003020000|062c00000006000600000022:062c00000006000600000022|062d00000006000300000001:,062d000000050003020022
1472,05c10000000600050000ff00:05c10000000600050000ff00|05c200000006000300000001:05c200000005000302002b|05c300000006000600000021:,05c300000006000600000021
2629,0a4600000006000500000000:0a4600000006000500000000|0a4700000006000300030001:0a47000000050003020018|0a48000000060005000e0000:,0a4800000003008502
247,00f800000006000100000001:00f80000000400010100|00f900000006000300020001:00f9000000050003020020|00fa00000006000300000001:,00fa00000005000302000c
2038,07f700000006000300000001:07f7000000050003020019|07f800000006000600020024:07f800000006000600020024|07f900000006000600010024:,07f900000006000600010024
2051,080400000006000100000001:08040000000400010101|080500000006000300000001:0805000000050003020023|080600000006000600020026:,080600000006000600020026
2901,0b5600000006000300030001:0b5600000005000302000b|0b570000001a005185aff8ebd3a1f4f4dd5fb3ada3b0446d4697d4bd566a0118:0b570000000300d101|0b5800000006000300010001:,0b58000000050003020001
664,0299000000060006000c0022:029900000003008602|029a00000006000600010007:029a00000006000600010007|029b00000006000400000004:,029b0000000b00040800000000cc0040a0
907,038c00000006000300000001:038c000000050003020021|038d00000006000400000004:038d0000000b00040800000000140040ae|038e0000000600060001000b:,038e0000000600060001000b
564,023500000006000300020001:0235000000050003020028|023600000006000600020004:023600000006000600020004|02370000000600050000ff00:,02370000000600050000ff00
1430,059700000006000300010001:059700000005000302000c|059800000006000400000004:05980000000b0004080000000000000000|05990000000600060000001f:,05990000000600060000001f
340,015500000006000300030001:0155000000050003020005|0156000000120061848275e06a0a0069abfdfa77fc469b05:01560000000300e101|015700000006000300020001:,0157000000050003020020
1373,055e00000006000600020016:055e00000006000600020016|055f00000006000500000000:055f00000006000500000000|0560000000060006001d001c:,056000000003008602
3540,0dd600000006000600010023:0dd600000006000600010023|0dd70000000600060002000c:0dd70000000600060002000c|0dd800000006000300010001:,0dd8000000050003020023
1902,076f00000006000600010030:076f00000006000600010030|07700000000600060002001c:07700000000600060002001c|07710000000600050000ff00:,07710000000600050000ff00
191,00c00000000600060002002f:00c00000000600060002002f|00c10000000600060000001f:00c10000000600060000001f|00c200000006000400000004:,00c20000000b00040800000000b40040b4
706,02c300000006000600020009:02c300000006000600020009|02c400000006000400000004:02c40000000b0004080000000000000000|02c500000006000300020001:,02c5000000050003020009
824,033900000006000400000004:03390000000b0004080000000000000000|033a00000006000600020025:033a00000006000600020025|033b0000001a00f93bab0d9cc0e1ee82a5f58cac7bc44884020a71db2d27ba5f:,033b00000003007901
1140,047500000006000300000001:047500000005000302001a|047600000006000600000001:047600000006000600000001|0477000000060005001a0000:,047700000003008502
1796,070500000006000600010011:070500000006000600010011|070600000006000400000004:07060000000b0004080000000000000000|070700000006000300020001:,0707000000050003020008
2780,0add0000000600060000000b:0add0000000600060000000b|0ade00000006000300030001:0ade000000050003020005|0adf00000006000400000004:,0adf0000000b00040800000000820040b4
1432,05990000000600060000001f:05990000000600060000001f|059a00000006000100000001:059a0000000400010100|059b0000000600060002000e:,059b0000000600060002000e
2909,0b5e00000006000600000001:0b5e00000006000600000001|0b5f00000006000400000004:0b5f0000000b0004080000000000000000|0b6000000006000300180001:,0b6000000003008302
349,015e00000006000400000004:015e0000000b0004080000000000000000|015f00000006000100000001:015f0000000400010100|016000000006000300000001:,0160000000050003020030
1780,06f5000000060005002fff00:06f500000003008502|06f600000006000300020001:06f600000005000302000f|06f700000006000600030013:,06f700000006000600030013
259,010400000006000600000008:010400000006000600000008|010500000006000300000001:0105000000050003020008|010600000006000100000001:,01060000000400010100
3106,0c2300000006000600000016:0c2300000006000600000016|0c2400000006000500000000:0c2400000006000500000000|0c2500000006000300030001:,0c25000000050003020000
684,02ad00000006000600000026:02ad00000006000600000026|02ae00000006000400000004:02ae0000000b0004080000000000000000|02af00000006000600010018:,02af00000006000600010018
