,source_text,target_text
909,038f00000006000300020001:038f00000005000302000d|039000000006000300000001:0390000000050003020009|03910000001200199a75734810a6b1438703e036f739284c:039100000003009901|03920000000600060001001c:03920000000600060001001c|039300000006000600020026:,039300000006000600020026
767,030100000006000600020028:030100000006000600020028|030200000006000300010001:030200000005000302001e|03030000000600060000001d:03030000000600060000001d|030400000006000300020001:0304000000050003020028|0305000000120029e8d68690896aefdeb069edc1ebcb9e7a:,03050000000300a901
928,03a200000006000300030001:03a2000000050003020021|03a300000006000500020000:03a300000003008502|03a40000000600060001000e:03a40000000600060001000e|03a50000000600060003002d:03a50000000600060003002d|03a600000006000100000001:,03a60000000400010101
742,02e800000006000300030001:02e8000000050003020008|02e90000000600050000ff00:02e90000000600050000ff00|02ea0000000600060000002c:02ea0000000600060000002c|02eb00000006000300000001:02eb00000005000302002c|02ec00000006000400000004:,02ec0000000b00040800000000140040ae
1035,040d00000006000300000001:040d000000050003020018|040e00000006000300010001:040e000000050003020025|040f00000006000100000001:040f0000000400010100|04100000000600060003001b:04100000000600060003001b|04110000001a00fb681071d056ca59623983833b78308722d1ec7ebff92d6d8d:,041100000003007b01
106,006b0000001a0062188a85512cd06f82429f98fbbc25360be6cd492725904000:006b0000000300e201|006c0000000600060002000c:006c0000000600060002000c|006d0000000600050000ff00:006d0000000600050000ff00|006e00000006000400000004:006e0000000b000408000000008e0040b2|006f00000006000300000001:,006f00000005000302000b
775,030900000006000100000001:03090000000400010101|030a00000006000600030008:030a00000006000600030008|030b00000006000300030001:030b000000050003020008|030c0000000600050000ff00:030c0000000600050000ff00|030d0000001a00438f2da79d27db9b141c7183830b882d46c326fdf88d619d3d:,030d0000000300c301
807,032900000006000300020001:032900000005000302000d|032a0000000600060000000c:032a0000000600060000000c|032b00000006000300030001:032b000000050003020008|032c00000006000600020003:032c00000006000600020003|032d0000000600060003002e:,032d0000000600060003002e
118,007700000006000600020006:007700000006000600020006|007800000006000300000001:007800000005000302000c|007900000006000500300000:007900000003008502|007a00000006000400000004:007a0000000b0004080000000000000000|007b0000000600060003001c:,007b0000000600060003001c
88,005900000006000100000001:00590000000400010101|005a0000000a00332ba2eb390ade14e0:005a0000000300b301|005b00000006000300030001:005b000000050003020015|005c00000006000300010001:005c000000050003020029|005d00000006000300000001:,005d000000050003020002
762,02fc00000006000500260000:02fc00000003008502|02fd00000006000300020001:02fd00000005000302000f|02fe00000006000600030024:02fe00000006000600030024|02ff00000006000100000001:02ff0000000400010101|030000000006000400000004:,03000000000b00040800000000e80040ac
181,00b600000006000300030001:00b600000005000302002f|00b700000006000300020001:00b7000000050003020025|00b800000006000400000004:00b80000000b000408000000009c0040a8|00b90000000a00335c0c0a3c3f756a84:00b90000000300b301|00ba00000006000600020015:,00ba00000006000600020015
853,035700000006000600000001:035700000006000600000001|035800000006000500000000:035800000006000500000000|03590000000600060002002e:03590000000600060002002e|035a00000006000400000004:035a0000000b0004080000000000000000|035b0000000600050000ff00:,035b0000000600050000ff00
369,01720000000600060001002e:01720000000600060001002e|017300000006000600020017:017300000006000600020017|017400000006000100000001:01740000000400010101|017500000006000300010001:017500000005000302002e|01760000000600050000ff00:,01760000000600050000ff00
1084,043e00000006000300030001:043e00000005000302002d|043f00000006000300020001:043f000000050003020029|04400000000600060000000e:04400000000600060000000e|044100000006000400000004:04410000000b0004080000000000000000|044200000006000300010001:,0442000000050003020030
794,031c00000006000300020001:031c00000005000302000d|031d00000006000300000001:031d00000005000302000d|031e00000006000400000004:031e0000000b00040800000000400040af|031f0000001200c6e4de0c0a4a4808c869fa701987605b48:031f00000003004601|032000000006000600000011:,032000000006000600000011
1152,048200000006000600000021:048200000006000600000021|048300000006000300030001:0483000000050003020019|048400000006000300020001:048400000005000302000c|04850000000600060002002c:04850000000600060002002c|04860000000600060002002b:,04860000000600060002002b
23,001800000006000100000001:00180000000400010101|001900000006000300000001:0019000000050003020003|001a00000006000600000024:001a00000006000600000024|001b0000001a00adb11ed0951a792e813ac50f60602da31e857d55d2015d412b:001b00000003002d01|001c00000006000500000000:,001c00000006000500000000
704,02c2000000060004000a0001:02c200000003008402|02c300000006000100000001:02c30000000400010101|02c400000006000300000001:02c4000000050003020022|02c50000000600060002001a:02c50000000600060002001a|02c600000006000600030007:,02c600000006000600030007
473,01da00000006000300000001:01da000000050003020005|01db00000006000300030001:01db000000050003020027|01dc00000006000600020027:01dc00000006000600020027|01dd00000006000600030026:01dd00000006000600030026|01de000000060005001eff00:,01de00000003008502
276,011500000006000100000001:01150000000400010100|011600000006000300030001:0116000000050003020001|01170000000a00a11de5fb12cdb7a816:011700000003002101|011800000006000400000004:01180000000b0004080000000000000000|011900000006000600020024:,011900000006000600020024
714,02cc000000120086f53e0bbc21c730c4aa26265704ead021:02cc00000003000601|02cd00000006000600000005:02cd00000006000600000005|02ce00000006000600020013:02ce00000006000600020013|02cf00000006000300000001:02cf000000050003020005|02d000000006000300020001:,02d0000000050003020013
1117,045f00000006000300030001:045f000000050003020018|046000000006000100000001:04600000000400010101|046100000006000600020017:046100000006000600020017|046200000006000600030010:046200000006000600030010|046300000006000300020001:,0463000000050003020017
1083,043d00000006000600010030:043d00000006000600010030|043e00000006000300030001:043e00000005000302002d|043f00000006000300020001:043f000000050003020029|04400000000600060000000e:04400000000600060000000e|044100000006000400000004:,04410000000b0004080000000000000000
1115,045d00000006000300000001:045d000000050003020026|045e0000001a004772935fa9f297c0f64c3c8381914730cf22b4130e35618aaa:045e0000000300c701|045f00000006000300030001:045f000000050003020018|046000000006000100000001:04600000000400010101|046100000006000600020017:,046100000006000600020017
849,035300000006000600050025:035300000003008602|0354000000120081645bd7b0fd42839b4596890930448322:035400000003000101|035500000006000300020001:0355000000050003020016|035600000006000100000001:03560000000400010100|035700000006000600000001:,035700000006000600000001
882,037400000006000600030023:037400000006000600030023|037500000006000300260001:037500000003008302|037600000006000100000001:03760000000400010101|037700000006000300020001:0377000000050003020008|037800000006000300030001:,0378000000050003020023
452,01c50000000600060003000d:01c50000000600060003000d|01c600000006000400000004:01c60000000b0004080000000000000000|01c700000006000600010012:01c700000006000600010012|01c80000000600050000ff00:01c80000000600050000ff00|01c900000006000100000001:,01c90000000400010101
652,028e0000000600050000ff00:028e0000000600050000ff00|028f00000006000100000001:028f0000000400010101|029000000006000600020014:029000000006000600020014|029100000006000600030025:029100000006000600030025|029200000006000300020001:,0292000000050003020014
836,034600000006000300020001:0346000000050003020016|034700000006000100000001:03470000000400010100|034800000006000300030001:0348000000050003020007|034900000006000400000004:03490000000b0004080000000000000000|034a0000000a00cb2466ed1e97c9c254:,034a00000003004b01
