,source_text,target_text
6061,17ae0000000d0010003e000306000200020001:17ae000000060010003e0003|17af000000060003003e0003:17af00000009000306000200020001|17b00000000d0010003e000306000200020002:,17b0000000060010003e0003
621,026e00000009001000580001020002:026e00000006001000580001|026f00000006000300580001:026f000000050003020002|027000000006000300590001:,0270000000050003020000
4151,10380000000d0010001c000306000000010002:1038000000060010001c0003|1039000000060003001c0003:103900000009000306000000010002|103a0000000d0010001c000306000000020000:,103a000000060010001c0003
5379,15040000000d00100032000306000100010002:150400000006001000320003|150500000006000300320003:150500000009000306000100010002|15060000000d00100032000306000100020000:,150600000006001000320003
2010,07db00000006000300440002:07db0000000700030400020002|07dc00000006000300450002:07dc0000000700030400020002|07dd0000000b0010004500020400000000:,07dd00000006001000450002
3181,0c6e0000000d0010000a000306000100020000:0c6e000000060010000a0003|0c6f000000060003000a0003:0c6f00000009000306000100020000|0c700000000d0010000a000306000100020001:,0c70000000060010000a0003
7463,1d280000000d00100058000306000100000002:1d2800000006001000580003|1d2900000006000300580003:1d2900000009000306000100000002|1d2a0000000d00100058000306000100010000:,1d2a00000006001000580003
6864,1ad10000000d0010004d000306000100010002:1ad1000000060010004d0003|1ad2000000060003004d0003:1ad200000009000306000100010002|1ad30000000d0010004d000306000100020000:,1ad3000000060010004d0003
3506,0db300000006000300100003:0db300000009000306000100010000|0db40000000d00100010000306000100010001:0db400000006001000100003|0db500000006000300100003:,0db500000009000306000100010001
252,00fd00000006000300240001:00fd000000050003020000|00fe00000009001000240001020000:00fe00000006001000240001|00ff00000006000300240001:,00ff000000050003020000
4675,124400000006000300250003:124400000009000306000200000001|12450000000d00100025000306000200000002:124500000006001000250003|124600000006000300250003:,124600000009000306000200000002
3968,0f8100000006000300180003:0f8100000009000306000200010002|0f820000000d00100018000306000200020000:0f8200000006001000180003|0f8300000006000300180003:,0f8300000009000306000200020000
4183,10580000000d0010001c000306000200010000:1058000000060010001c0003|1059000000060003001c0003:105900000009000306000200010000|105a0000000d0010001c000306000200010001:,105a000000060010001c0003
563,023400000009001000500001020001:023400000006001000500001|023500000006000300500001:0235000000050003020001|023600000009001000500001020002:,023600000006001000500001
5476,156500000006000300340003:156500000009000306000000020001|15660000000d00100034000306000000020002:156600000006001000340003|156700000006000300340003:,156700000009000306000000020002
1362,055300000006000300220002:05530000000700030400020001|05540000000b0010002200020400020002:055400000006001000220002|055500000006000300220002:,05550000000700030400020002
7562,1d8b000000060003005a0003:1d8b00000009000306000000010002|1d8c0000000d0010005a000306000000020000:1d8c000000060010005a0003|1d8d000000060003005a0003:,1d8d00000009000306000000020000
545,0222000000060003004d0001:0222000000050003020002|0223000000060003004e0001:0223000000050003020000|0224000000090010004e0001020000:,0224000000060010004e0001
5665,162200000006000300370003:162200000009000306000200000001|16230000000d00100037000306000200000002:162300000006001000370003|162400000006000300370003:,162400000009000306000200000002
53,003600000006000300070001:0036000000050003020001|003700000009001000070001020002:003700000006001000070001|003800000006000300070001:,0038000000050003020002
68,004500000009001000090001020002:004500000006001000090001|004600000006000300090001:0046000000050003020002|0047000000060003000a0001:,0047000000050003020000
943,03b00000000b0010000c00020400020001:03b0000000060010000c0002|03b1000000060003000c0002:03b10000000700030400020001|03b20000000b0010000c00020400020002:,03b2000000060010000c0002
7150,1bef00000006000300520003:1bef00000009000306000200000001|1bf00000000d00100052000306000200000002:1bf000000006001000520003|1bf100000006000300520003:,1bf100000009000306000200000002
5425,153200000006000300330003:153200000009000306000100000000|15330000000d00100033000306000100000001:153300000006001000330003|153400000006000300330003:,153400000009000306000100000001
2819,0b0400000006000300030003:0b0400000009000306000200020002|0b0500000006000300040003:0b0500000009000306000200020002|0b060000000d00100004000306000000000000:,0b0600000006001000040003
1541,06060000000b0010002c00020400000002:0606000000060010002c0002|0607000000060003002c0002:06070000000700030400000002|06080000000b0010002c00020400010000:,0608000000060010002c0002
6450,193300000006000300460003:193300000009000306000200020002|19340000000d00100046000306000000000000:193400000006001000460003|193500000006000300460003:,193500000009000306000000000000
