,source_text,target_text
1209,04ba00000008000f000000020103,04ba00000006000f00000002
2695,0a880000000b0010000e000204ffff0000,0a88000000060010000e0002
1900,076d00000006000100280002,076d00000003008102
243,00f400000005002b0e0103,00f400000008002b0e0183000000
2841,0b1a00000005002b0e0101,0b1a0000001b002b0e018300000201073735302d383831020830332e30312e3032
2679,0a7800000005002b0e0101,0a780000001b002b0e018300000201073735302d383831020830332e30312e3032
2524,09dd00000005002b0e0103,09dd00000008002b0e0183000000
212,00d500000005002b0e0102,00d500000012002b0e0183000001020830332e30312e3032
2216,08a90000000600058d6cff00,08a900000003008502
1795,07040000000600051d0fff00,070400000003008502
1167,049000000005002b0e0102,049000000012002b0e0183000001020830332e30312e3032
238,00ef00000005002b0e0101,00ef0000001b002b0e018300000201073735302d383831020830332e30312e3032
257,010200000006000100000001,01020000000400010101
1913,077a00000005002b0e0103,077a00000008002b0e0183000000
874,036b00000005002b0e0101,036b0000001b002b0e018300000201073735302d383831020830332e30312e3032
1722,06bb00000005002b0e0101,06bb0000001b002b0e018300000201073735302d383831020830332e30312e3032
2146,08630000000b00100028000204a907ffff,086300000003009002
2329,091a0000000b0010fffc000204ffffffff,091a00000003009002
395,018c00000005002b0e0102,018c00000012002b0e0183000001020830332e30312e3032
2211,08a400000006000300160001,08a400000005000302ffff
1538,060300000005002b0e0100,060300000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
3012,0bc500000005002b0e0101,0bc50000001b002b0e018300000201073735302d383831020830332e30312e3032
533,021600000005002b0e0100,021600000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
1753,06da00000005002b0e0101,06da0000001b002b0e018300000201073735302d383831020830332e30312e3032
132,00850000000b001000280002040000ed76,008500000003009002
1605,0646000000090010fffd000102ffff,064600000003009002
2130,085300000008000f002500020101,085300000006000f00250002
2928,0b7100000005002b0e0103,0b7100000008002b0e0183000000
2453,099600000005002b0e0102,099600000012002b0e0183000001020830332e30312e3032
356,016500000005002b0e0102,016500000012002b0e0183000001020830332e30312e3032
1845,0736000000060005fffdff00,073600000003008502
