,source_text,target_text
644,aad8404a,7ac044b7
579,dd4e401d,6bb44392
1438,04c1c092,689537e5
338,b78b4068,39454587
888,09f9403c,cb754458
232,7402c05c,5c3c39bc
965,d658404c,60a844c6
702,f473405b,dfa8452a
1083,24dd4023,0cb643b1
24,880f4078,ddb745ee
664,05194056,050e450a
789,d9d2bfb5,78a43d1b
475,40f94051,8aa544e8
164,0862bf33,9f593e4c
752,225f4093,c6d8471a
1341,c257400f,4b2d4330
1242,409b408a,5f1c46a3
479,55984061,5cab454f
109,b7db408c,16d846c3
1349,d4ffc021,060e3b42
1236,5bc93f81,f5574123
126,a565bfae,fc443d30
1314,615a3ed1,1b454024
1093,81774025,c04843c0
616,594ebfe6,f4373c81
72,a96fc000,fc183c1f
108,fe28407a,7ddd4602
394,7f33bfc2,acef3cf7
1450,3c8fc066,78cb3984
896,2abd4090,09e546fa
461,f57d4071,905845bc
333,aba0bfed,d5ae3c63
936,07ee402b,243243eb
837,cf82c079,02f23903
1464,aaa9bd98,9f913f57
1211,604fc038,70003aac
199,20964000,eb0342c8
169,964fbf5b,14e03e0e
6,2ba8bed7,8af13ec2
747,501b404d,cd2d44c9
924,8e41bfcc,ae1b3cce
1495,ee77c04f,c7313a13
45,05b9c04f,b1183a18
347,d318bf48,337d3e28
536,f2acc028,33113b16
1137,6693408d,e8bc46cc
889,0316bf92,1e783d94
1537,7d213fb3,ff6141c9
665,93c24041,4c4e4484
1072,f94cc00a,cad53bdc
447,12223fc6,1663420d
1304,47af4090,14ca46fc
1074,1c65bfac,3e603d39
1078,92ce3faf,428341bc
860,7e66bd72,605f3f5f
1261,e8f4bff4,039e3c48
1248,d1c34086,39fd467f
610,1b40bee2,34d23eb9
73,a0303f2a,79e64094
1250,b1f8bebf,346c3ed8
611,f37c4053,1ea84500
1419,61d7be9c,6acb3efd
1536,78d7403f,4bc84475
477,9d62bf56,94893e14
842,586fc055,3f3839f3
1553,ea663e8e,697b3ff3
312,261bc037,38f83ab4
761,d2ab3f81,55714125
32,d6a1bf78,6d253dda
781,ab263f86,646e4134
865,9f97bf9c,c2723d74
1202,0f8cbf92,fd473d93
406,ec2f404f,aaaf44dd
1067,1a443fb1,82a441c1
855,4dfa3ecb,aee7401f
1136,414e4088,8072468d
1366,27684049,c19344ad
1496,2f59c076,44033915
1076,5710c089,2e7b3856
834,acf7c084,cd263895
1303,50214096,8dfb4742
1497,0dc2c072,2f55392d
362,6fbdbfb4,7a4b3d1f
399,fdb04000,426042cf
558,15d6c077,82103910
167,9781c016,5cd83b91
1022,add4bf03,a37b3e9c
1117,b3b9401c,6c63438c
716,51773e5a,20ab3fd1
593,787fc039,c7833aa5
52,85c4c01c,dd0c3b6a
234,c0543f6f,3ea3410a
1289,6cdbc08a,18213846
1386,7ca13ea7,ed114007
841,1febc04e,b4213a1d
231,a3a8c092,633937db
907,f643be96,d5cf3f01
861,68583e01,3b5b3fab
36,4d423f3d,a27640af
625,fe73bed1,1ff83ec7
1008,a1a4c04e,dac73a1a
193,0996c07e,0edd38e1
547,fdbd3ff8,4f0242b0
64,0ffe4076,900f45da
635,0ec74069,e4454588
223,56c3c07c,3d8b38ef
448,c224c004,0f923c0a
416,680fbeb7,6a8b3ee0
871,0410c05b,5b5439c6
1403,19334017,91a84365
228,c5e9c07f,6f2638d3
58,157abfba,126d3d10
680,dcdd408e,a42c46e3
1416,0094c020,39e63b4f
27,f0523f92,f2464160
271,5a7a3e8e,cc223ff2
1377,f716bfc2,99093cf5
1024,eb263fb7,c0bb41da
294,2528c058,f05939db
1262,d5793f35,398940a4
342,353ac015,c88d3b98
549,c18d3edb,f212402b
1460,1003c085,b03f3891
703,94824076,abd645de
538,499c3fa5,755a419c
913,dc873f54,170f40d9
581,afb04082,9190463d
1162,ffcc3fc0,c9094200
1339,a4fbc08c,db8e3828
1075,bca1c018,91073b86
878,472f4098,1aa14760
1362,b0f34074,0aad45d0
1091,9faebfdc,cc6d3c9a
1547,b317c030,4a113ae3
505,0a92c092,08aa37e5
641,449bc07a,df863900
793,b560408f,ecc046f1
774,c2404009,1021430e
1431,d04fc059,1fc639cf
1251,ff9c408a,61d746ac
989,9ebbc056,581b39e8
882,5062be99,78153f00
651,a1613fb3,834541ca
209,9d2f4054,364a4503
472,e6c83f68,fc064101
1325,ab823f4f,2fa840cf
656,efc2c047,078b3a45
306,af9e4080,28094624
1344,87c2c06a,05133963
573,37d3c046,98873a51
225,e71d3eb0,ce38400d
659,d0f2bf6e,07ef3def
144,9dc03da7,8b6b3f9a
1125,56133e52,68573fcd
810,b3e03fec,5764428d
967,ede84011,9c28433e
764,8e32be4d,403d3f21
1256,ee6b4094,246f4730
1309,5161c034,8bc13ac7
256,c627400f,63594330
727,c6e43f3a,b0e040ab
14,cbf43f29,5f864093
639,29e1bf4e,50913e20
567,fb39402d,bcab4402
88,b6ebc091,7b9f37ea
392,7830bfcf,202f3cc4
183,36df3fe5,0e924277
34,4e843f24,45cd408c
162,43b7bd9c,c0bb3f56
121,7280c084,48943898
322,5687c001,23ce3c1c
588,11e6c067,8f183980
1205,8cd2c016,94bf3b91
997,fe21bda0,9d413f55
441,a678be77,b0143f12
1161,dceb405b,4f39452a
207,3ad8402d,7fd243fe
555,0aa3bfaa,44fa3d40
1176,46084099,beef4770
990,90ffbd4d,0fdd3f64
1047,337ec08a,506e3849
264,0897c00c,885b3bd4
805,c6ad3ffc,bb2142bc
1415,3e21c005,ad0a3c07
482,33613ff0,85764296
13,79eabf2b,03763e5b
146,604cc04d,02233a22
1383,12b2409a,0051477f
53,0e3c4002,5a1d42d7
212,3380c096,c95a37a9
1106,71fb3ee9,dd214036
373,a5dec07f,637338d4
1181,f15d4083,81e4464f
249,4ee9bf61,f4893e06
433,6781c082,660a38b0
1526,7c253f59,4eef40e2
1277,52983f61,d68240f2
1115,10eb4070,266445b0
1521,8d9ebf82,9b3f3dc3
987,4dbc404a,182044b5
439,4ff5403e,45a5446b
912,f8393f87,aa084138
570,6ea24025,3dde43c0
377,825f3f5f,e8c840ee
1226,a0e83f0f,ee914068
722,a656c089,76473851
994,3d64bee8,2ae43eb4
159,b2dbbf82,18643dc3
517,53e33ec5,72bb401b
1292,164f4023,b01743b0
1549,7b6f3fe3,7a34426f
1191,784e407f,4c684619
1247,5e4c4082,47ec4639
324,02323ff0,00844296
92,0ee63f77,a2b74113
1382,d5073f53,16ec40d7
1265,a16a3d86,eb0a3f94
268,2bc0bfab,671d3d3c
154,e095bec6,55423ed1
1298,6f93c04a,16063a34
602,c729c017,4a2d3b8b
1073,e1854015,baec435b
1023,e143bfec,18fb3c67
155,f1a73ff0,8c1e4298
110,f8c73e49,948d3fc9
261,8539406f,b9b745ac
356,bad14048,1fe344ab
94,2f78bfd1,2a0b3cbe
852,8664bfe6,8afc3c81
205,52bf404e,458b44d1
463,31e5bee6,d5053eb5
1509,e2813fe7,9b804281
713,23164032,d2244417
54,bb7d3dd7,22a53fa3
640,a9cd3f6d,ac304107
133,06d5bf82,77c63dc5
969,61d6bfce,ffe83cc7
1569,24073fc9,19194215
698,fa55404a,8a6b44b9
926,56a03f56,fe4240db
853,9f573f9c,e03f4185
683,ce34beb1,240c3ee6
33,28cd4023,25ca43b1
565,b062c049,fd913a38
308,cb013f1e,7c5e4085
956,43d7401f,fcd24399
647,6c32c086,1b223884
1599,e3a2402a,f1e743e9
303,c81cbff3,1d843c4c
867,4d174099,394f4771
1307,6485bf80,5bc73dcb
289,91154075,b2f745d6
883,0c014003,2bc242df
777,8f1fbf8e,9c7b3d9d
270,2737bfb4,4ae03d20
5,a7dec08e,1b293812
222,ec9f401b,8c734388
1579,0624c066,7d2b3985
1544,7dc43d62,615e3f91
838,1843bfc2,793a3cf9
998,d9c44045,4936449a
495,3d5fc096,50f037a9
1014,fba2c019,aab13b80
1126,0edebe15,18353f37
380,49a2c094,d9b937c2
1376,8e2a3f3d,091d40b0
1050,cbb9405a,e4fb4523
379,a97a4054,705f4503
1215,8c794083,b4994649
795,00e7408f,f58146e5
470,a158bf33,86943e4b
614,459cc01f,be583b54
1132,1e2cc02b,eb683b0a
1207,4dd8c08e,d9ae3815
875,47f6bfcd,00233ccc
1315,a00cc021,790e3b43
973,ffecbf3b,c45b3e3c
1369,e2753fe9,5ad94286
1401,eae3bf13,5a4f3e87
1312,a56e405f,247e4543
1187,55024032,e3ca4418
336,75a4c00a,ea6c3be0
1559,34f3c04f,ae843a17
590,c959c027,9bcb3b1c
1356,6e9ac080,4bbe38cb
1254,85113ffd,45dd42bf
609,4844bf25,8fb23e67
667,e3193d58,98f93f90
1428,e4233f1e,9a8e4085
