,source_text,target_text
1692,069d00000006000300000002:069d0000000700030400004000|069e0000000b0010000000020400004000:,069e00000006001000000002
2072,081900000006000400000002:081900000007000404000142c8|081a0000000b00100000000204000040e0:,081a00000006001000000002
1618,065300000006000400000002:065300000007000404967d4b18|06540000000b0010000000020400004080:,065400000006001000000002
2087,08280000000b00100000000204000040e0:082800000006001000000002|082900000006000300000002:,082900000007000304000040e0
627,02740000000b0010000000020400004040:027400000006001000000002|027500000006000400000002:,0275000000070004040002447a
1391,057000000006000400000002:057000000007000404500847c3|057100000006000300000002:,057100000007000304000040a0
241,00f200000006000300000002:00f200000007000304000040c0|00f300000006000400000002:,00f30000000700040424034974
729,02da00000006000400000002:02da00000007000404967d4b18|02db00000006000300000002:,02db00000007000304000040e0
757,02f600000006000300000002:02f60000000700030400004080|02f70000000b0010000000020400004040:,02f700000006001000000002
2128,08510000000b0010000000020400004100:085100000006001000000002|085200000006000400000002:,085200000007000404bc234cbe
794,031b00000006000300000002:031b00000007000304000040a0|031c00000006000300000002:,031c00000007000304000040a0
658,029300000006000300000002:02930000000700030400004100|02940000000b0010000000020400004110:,029400000006001000000002
667,029c0000000b0010000000020400004100:029c00000006001000000002|029d00000006000300000002:,029d0000000700030400004100
116,007500000006000400000002:007500000007000404500847c3|007600000006000300000002:,007600000007000304000040a0
1322,052b0000000b0010000000020400004040:052b00000006001000000002|052c0000000b0010000000020400004100:,052c00000006001000000002
1331,053400000006000300000002:05340000000700030400000000|053500000006000400000002:,05350000000700040400003f80
1869,074e00000006000400000002:074e0000000700040400004120|074f0000000b0010000000020400004110:,074f00000006001000000002
938,03ab00000006000300000002:03ab0000000700030400004120|03ac00000006000300000002:,03ac0000000700030400004120
750,02ef00000006000400000002:02ef0000000700040400003f80|02f00000000b0010000000020400004080:,02f000000006001000000002
1238,04d700000006000400000002:04d70000000700040400004120|04d80000000b00100000000204000040c0:,04d800000006001000000002
