,source_text,target_text
3188,0c7a00000006000400000002:0c7a0000000700040400007f80|0c7b00000006000300000001:0c7b00000005000302002e|0c7c0000000a00dceacc5745b339366e:,0c7c00000003005c01
1916,07800000001a00f89dc18a7d76760223b20f93bd3fe1561e637f6ced48e2bacc:078000000003007801|078100000006000600000000:078100000006000600000000|078200000006000200100001:,078200000003008202
612,02650000000600060000000d:02650000000600060000000d|0266000000120028405774e99db497f673e01e2eae54e2b7:02660000000300a801|026700000006000400000002:,02670000000700040484f05511
2970,0ba000000006000400000002:0ba0000000070004048f2b6fa1|0ba10000001200e8df11bacd0fd8997c37c4d66664b92a23:0ba100000003006801|0ba200000006000300000001:,0ba200000005000302001d
1046,041800000006000400000002:04180000000700040443b651ba|041900000006000600000000:041900000006000600000000|041a00000008000f001c0004010d:,041a00000003008f02
1907,077700000006000200030001:077700000003008202|077800000006000400000002:0778000000070004048f2b6fa1|077900000006000300000001:,077900000005000302001d
537,021a00000006000100030001:021a00000003008102|021b0000000600060000000a:021b0000000600060000000a|021c0000001200f299e71941ef6d9b2a90946e1ca3bc8cdb:,021c00000003007201
3586,0e0800000006000400000002:0e080000000700040400007f80|0e0900000012008d7350de9f5044bd6c9ffba2de093b3584:0e0900000003000d01|0e0a00000008000f000f00040102:,0e0a00000003008f02
3559,0ded00000006000300000001:0ded000000050003020014|0dee00000006000300000001:0dee000000050003020014|0def0000000a005afd10d0db7ff2bff8:,0def0000000300da01
151,0098000000060004001c0001:009800000003008402|009900000006000400000002:00990000000700040400007f80|009a00000006000600000015:,009a00000006000600000015
1210,04bc00000006000400000002:04bc00000007000404c2266753|04bd0000001a00b5a8544ed7bb9b020ff520d3404bb8648861ff70f9aac4329b:04bd00000003003501|04be00000006000300000001:,04be000000050003020018
1282,050500000006000400000002:050500000007000404bdbe7cf0|050600000006000300000001:0506000000050003020025|050700000006000400100001:,050700000003008402
691,02b500000006000600000025:02b500000006000600000025|02b600000006000300000001:02b6000000050003020025|02b70000001a007107d55674b566e7172b78c12fc35ebbbe63f287be736f7cac:,02b70000000300f101
1182,04a000000006000600000018:04a000000006000600000018|04a100000006000300000001:04a1000000050003020018|04a2000000060003002c0001:,04a200000003008302
489,01ea0000000a0030db869978f99a0770:01ea0000000300b001|01eb0000000600060000001c:01eb0000000600060000001c|01ec0000001a0046d4edd14e54cc4a19016c448bc609829507e6be16b89cd9c3:,01ec0000000300c601
1780,06f80000000a004f23b6094fc5f4eec3:06f80000000300cf01|06f900000006000600260007:06f900000003008602|06fa00000006000200310001:,06fa00000003008202
40,002900000006000600000027:002900000006000600000027|002a0000001a007b00cf07a249a3201a314789ef689fc39548c5b5a53c977a59:002a0000000300fb01|002b00000006000400000002:,002b0000000700040400007f80
2039,07fb0000000600050016ff00:07fb00000003008502|07fc00000006000300000001:07fc00000005000302002c|07fd00000006000600000021:,07fd00000006000600000021
2653,0a6100000006000300000001:0a6100000005000302001b|0a63000000060002002d0001:0a6300000003008202|0a6400000006000600000006:,0a6400000006000600000006
140,008d00000006000300000001:008d00000005000302000b|008e00000006000400000002:008e0000000700040443b651ba|008f0000000f001000240004080008000000060004:,008f00000003009002
2126,08520000000600060000000f:08520000000600060000000f|085300000006000300000001:085300000005000302000f|08540000000a0054469733ef6c2ce771:,08540000000300d401
2130,0856000000060002000f0001:085600000003008202|08570000000600060000001e:08570000000600060000001e|0858000000060001001d0001:,085800000003008102
3340,0d120000000a00cc947836b7a3e474bc:0d1200000003004c01|0d130000000f001000300004080009000900070003:0d1300000003009002|0d1400000006000600000013:,0d1400000006000600000013
378,017b00000006000600000010:017b00000006000600000010|017c0000000a00d04216a4d889595fde:017c00000003005001|017d00000006000300000001:,017d000000050003020010
2210,08a600000006000300000001:08a600000005000302001c|08a700000006000400300001:08a700000003008402|08a800000006000400000002:,08a8000000070004043f316e01
318,013f0000000600060000002f:013f0000000600060000002f|01400000000600060031000b:014000000003008602|014100000006000400000002:,01410000000700040400007f80
3401,0d4f00000006000600000017:0d4f00000006000600000017|0d5000000006000200140001:0d5000000003008202|0d5100000006000300000001:,0d51000000050003020017
2320,09140000000a00235334b593a1c509d0:09140000000300a301|091500000006000400000002:0915000000070004046b344e6e|0916000000120034661fbef810db395a1423b16d537b225a:,09160000000300b401
325,01460000000a00cef65a8826cff799c6:014600000003004e01|01470000000600060000002e:01470000000600060000002e|014800000006000300000001:,014800000005000302002e
1543,060a0000000600060000001e:060a0000000600060000001e|060b0000000a00bdc7dbfe6192ad1556:060b00000003003d01|060c0000000f001000160004080009000500070003:,060c00000003009002
2440,098c00000006000400000002:098c000000070004046b344e6e|098d0000000600050014ff00:098d00000003008502|098e0000000600060000002e:,098e0000000600060000002e
1326,053100000006000400000002:053100000007000404000142c8|053200000006000600000025:053200000006000600000025|053300000006000300000001:,0533000000050003020025
53,003600000012001ec72c126f5cd49a4839e5a6e4d340aa8b:003600000003009e01|003700000006000400000002:00370000000700040400007f80|003800000006000400000002:,00380000000700040400007f80
3197,0c8300000006000600000003:0c8300000006000600000003|0c840000000600060013001d:0c8400000003008602|0c8500000006000400000002:,0c85000000070004040002447a
2449,099500000006000400000002:09950000000700040400007f80|09960000000a00cf063beb3add95d37f:099600000003004f01|099700000006000600000010:,099700000006000600000010
918,039800000006000300000001:0398000000050003020023|03990000001a0066548e2bea328625269dfa0b5da316bc5191e72185d1585697:03990000000300e601|039a00000006000600000032:,039a00000006000600000032
2355,093700000006000400000002:0937000000070004046b344e6e|093800000006000300000001:0938000000050003020009|093900000006000400000002:,0939000000070004046b344e6e
410,019b00000006000600000022:019b00000006000600000022|019c00000006000400000002:019c00000007000404850077f6|019d00000006000200130001:,019d00000003008202
1081,043b000000120045838408f49a3cdc5c29582cf34494623a:043b0000000300c501|043c00000006000600000017:043c00000006000600000017|043d00000006000600200001:,043d00000003008602
946,03b400000006000300000001:03b4000000050003020007|03b50000001200c36f20a85191e740e5d5e544191c4ffbae:03b500000003004301|03b600000006000600000013:,03b600000006000600000013
2131,08570000000600060000001e:08570000000600060000001e|0858000000060001001d0001:085800000003008102|085900000006000600000000:,085900000006000600000000
1123,046500000006000400170001:046500000003008402|046600000006000600000012:046600000006000600000012|046700000006000300000001:,0467000000050003020012
2546,09f60000001a00fa4a3834d425f80d98913acb94deb799741a0da5397bd412e3:09f600000003007a01|09f700000006000400000002:09f7000000070004046fc472fc|09f800000006000300000001:,09f800000005000302001f
