,source_text,target_text
2736,9.0955,8915.2845
3433,9.8295,18572.7741
417,2.6403,14.0168
4573,10.7772,47916.4568
4878,10.9762,58464.7604
2372,8.6268,5579.2695
1485,7.1019,1214.2666
2422,8.6996,6000.3125
4179,10.4686,35192.1836
37,-4.9098,0.0074
3898,10.2463,28178.6486
1104,6.036,418.1977
1868,7.869,2615.073
2662,8.998,8086.7017
15,-6.9898,0.0009
2973,9.3849,11907.6225
2276,8.496,4895.347
1000,5.6616,287.5959
3408,9.8108,18228.9203
811,4.8493,127.6472
278,1.3362,3.8046
1848,7.8367,2531.7479
12,-8.15,0.0003
58,-3.288,0.0373
2330,8.5643,5241.0286
4286,10.5527,38281.3384
1801,7.73,2275.6683
107,-1.4705,0.2298
4930,11.0273,61533.1234
3423,9.8204,18404.7862
183,0.1701,1.1854
551,3.6072,36.8614
1451,7.0372,1138.1961
3715,10.0853,23988.6781
2435,8.7087,6055.4865
2416,8.6913,5951.1224
715,4.4479,85.4515
4839,10.9502,56966.715
1266,6.5131,673.9435
4610,10.7956,48804.2301
1375,6.8508,944.6033
3005,9.4085,12191.4614
3047,9.451,12720.4708
1917,7.9688,2889.2503
810,4.8447,127.0624
1767,7.6807,2166.2016
2409,8.6714,5833.3987
4784,10.917,55102.6112
3311,9.7168,16594.6045
1753,7.6583,2118.1093
3101,9.5157,13570.6524
1316,6.6381,763.6532
2824,9.2009,9905.789
4489,10.7203,45263.5841
4152,10.4544,34698.4257
4669,10.8374,50889.7447
2659,8.9936,8051.1901
3074,9.4843,13151.941
801,4.7982,121.2938
3744,10.1076,24528.0302
694,4.3933,80.9063
3079,9.4892,13216.0762
2291,8.5121,4974.7188
1374,6.8435,937.742
3689,10.0627,23451.8202
1926,7.9748,2906.9053
1300,6.6066,739.9425
1106,6.0366,418.4875
3077,9.4872,13190.4581
2348,8.5893,5373.8515
3969,10.3041,29854.6499
4227,10.4992,36284.6569
3260,9.6718,15864.3028
673,4.3017,73.8249
1519,7.1746,1305.8816
3354,9.7555,17248.3577
4855,10.9595,57495.7678
43,-4.5211,0.0109
625,4.0387,56.7534
4859,10.9607,57564.8034
2488,8.7646,6403.7118
1547,7.2341,1385.9486
2328,8.5621,5229.574
4605,10.7943,48744.5916
3939,10.2805,29157.7775
4876,10.9745,58369.2937
4433,10.6719,43125.3122
2528,8.8141,6728.3768
3944,10.2819,29198.1365
2808,9.1846,9745.6621
397,2.4739,11.8681
3368,9.7661,17433.2797
3925,10.2739,28967.1971
4491,10.7209,45292.443
2666,9.003,8127.7653
4181,10.4693,35217.97
641,4.1399,62.7983
4628,10.8089,49457.5784
4650,10.8245,50234.3653
1538,7.216,1361.0363
4032,10.3549,31409.5912
2745,9.1048,8998.4983
4446,10.6894,43889.8341
2562,8.8629,7064.8098
436,2.7584,15.7751
2202,8.3706,4318.2019
2748,9.1064,9013.1989
940,5.3941,220.111
4976,11.0626,63741.9274
3531,9.9306,20550.1374
1127,6.106,448.5487
1593,7.3449,1548.2235
1651,7.4622,1740.9826
