,source_text,target_text
1767,0dcf0000000b00100000000204a9fc4005:0dcf00000006001000000002|0dd000000006000400000002:,0dd000000007000404349442f5
4202,20d50000000b00100000000204f3b64035:20d500000006001000000002|20d600000006000400000002:,20d6000000070004042818442e
4260,21490000000b00100000000204c0834036:214900000006001000000002|214a00000006000400000002:,214a000000070004043dfa4433
206,019d0000000b00100000000204c9863dd4:019d00000006001000000002|019e00000006000400000002:,019e0000000700040498963fa2
1242,09b50000000b001000000002042f1b3fe5:09b500000006001000000002|09b600000006000400000002:,09b600000007000404ec144276
1657,0cf30000000b001000000002041e4f4002:0cf300000006001000000002|0cf400000006000400000002:,0cf400000007000404d6c842d7
3793,1da30000000b001000000002048ef3402f:1da300000006001000000002|1da400000006000400000002:,1da4000000070004045e91440a
4127,203f0000000b00100000000204ff974034:203f00000006001000000002|204000000006000400000002:,204000000007000404486d4428
3214,191d0000000b001000000002048db94026:191d00000006001000000002|191e00000006000400000002:,191e00000007000404281b43c8
2325,122b0000000b00100000000204a71e4014:122b00000006001000000002|122c00000006000400000002:,122c000000070004043b8d4352
3569,1be30000000b001000000002043127402c:1be300000006001000000002|1be400000006000400000002:,1be4000000070004042bee43f5
1947,0f370000000b0010000000020474bc400b:0f3700000006001000000002|0f3800000006000400000002:,0f3800000007000404020a4317
107,00d70000000b001000000002048b44becc:00d700000006001000000002|00d800000006000400000002:,00d80000000700040410d03ecc
2584,14310000000b0010000000020464c3401a:143100000006001000000002|143200000006000400000002:,1432000000070004043b624381
3973,1f0b0000000b00100000000204a1624032:1f0b00000006001000000002|1f0c00000006000400000002:,1f0c000000070004048a2a441a
3508,1b690000000b001000000002045c29402b:1b6900000006001000000002|1b6a00000006000400000002:,1b6a00000007000404f10043ed
2962,17250000000b00100000000204c91d4021:172500000006001000000002|172600000006000400000002:,1726000000070004049ad743a8
3019,17970000000b00100000000204f9db4022:179700000006001000000002|179800000006000400000002:,179800000007000404fb9443af
1633,0cc30000000b0010000000020485f04001:0cc300000006001000000002|0cc400000006000400000002:,0cc400000007000404442542d3
4586,23d50000000b00100000000204f694403a:23d500000006001000000002|23d600000006000400000002:,23d60000000700040490794450
4401,22630000000b001000000002046a7f4038:226300000006001000000002|226400000006000400000002:,2264000000070004044cf2443e
3922,1ea50000000b001000000002047f634031:1ea500000006001000000002|1ea600000006000400000002:,1ea6000000070004045e324414
2220,11590000000b00100000000204fd8b4011:115900000006001000000002|115a00000006000400000002:,115a000000070004040784433f
1323,0a570000000b00100000000204bfb13fec:0a5700000006001000000002|0a5800000006000400000002:,0a58000000070004047576428d
248,01f10000000b001000000002047f633e99:01f100000006001000000002|01f200000006000400000002:,01f20000000700040446a83fff
3830,1ded0000000b0010000000020448174030:1ded00000006001000000002|1dee00000006000400000002:,1dee000000070004040453440e
4928,26810000000b0010000000020422d1403f:268100000006001000000002|268200000006000400000002:,268200000007000404592b4472
533,042b0000000b00100000000204f27c3f80:042b00000006001000000002|042c00000006000400000002:,042c00000007000404bfe94122
3677,1cbb0000000b001000000002049ce0402d:1cbb00000006001000000002|1cbc00000006000400000002:,1cbc0000000700040403d24401
725,05ab0000000b00100000000204d5673fa7:05ab00000006001000000002|05ac00000006000400000002:,05ac00000007000404ca8041a3
273,02230000000b001000000002043afb3ed0:022300000006001000000002|022400000006000400000002:,02240000000700040442944023
3782,1d8d0000000b001000000002046944402f:1d8d00000006001000000002|1d8e00000006000400000002:,1d8e00000007000404a3744409
3674,1cb50000000b0010000000020494af402d:1cb500000006001000000002|1cb600000006000400000002:,1cb600000007000404ddd34400
454,038d0000000b001000000002044f763f5e:038d00000006001000000002|038e00000006000400000002:,038e0000000700040458d140ec
985,07b30000000b001000000002041cac3fca:07b300000006001000000002|07b400000006000400000002:,07b400000007000404b9dc4217
470,03ad0000000b00100000000204e9793f66:03ad00000006001000000002|03ae00000006000400000002:,03ae000000070004045bb940ff
4381,223b0000000b0010000000020436114038:223b00000006001000000002|223c00000006000400000002:,223c00000007000404e74b443c
3990,1f2d0000000b00100000000204daba4032:1f2d00000006001000000002|1f2e00000006000400000002:,1f2e00000007000404ca49441b
1506,0bc50000000b00100000000204511a3ffa:0bc500000006001000000002|0bc600000006000400000002:,0bc600000007000404904242b4
759,05ef0000000b0010000000020460423fad:05ef00000006001000000002|05f000000006000400000002:,05f000000007000404f68e41b4
3827,1de70000000b0010000000020431274030:1de700000006001000000002|1de800000006000400000002:,1de8000000070004048f52440d
2313,12130000000b001000000002046dc64014:121300000006001000000002|121400000006000400000002:,1214000000070004048b8f4350
1882,0eb50000000b0010000000020472474009:0eb500000006001000000002|0eb600000006000400000002:,0eb60000000700040479ad430c
1534,0bfd0000000b001000000002045d643ffc:0bfd00000006001000000002|0bfe00000006000400000002:,0bfe0000000700040456fc42bb
2604,14590000000b00100000000204cf42401a:145900000006001000000002|145a00000006000400000002:,145a000000070004042e444383
3713,1d030000000b0010000000020443fe402e:1d0300000006001000000002|1d0400000006000400000002:,1d040000000700040414b34404
1094,088d0000000b00100000000204b8523fd6:088d00000006001000000002|088e00000006000400000002:,088e000000070004045a66423e
4473,22f30000000b0010000000020477324039:22f300000006001000000002|22f400000006000400000002:,22f4000000070004049fce4445
3611,1c370000000b00100000000204cb29402c:1c3700000006001000000002|1c3800000006000400000002:,1c3800000007000404892d43fa
2817,16030000000b001000000002043333401f:160300000006001000000002|160400000006000400000002:,160400000007000404a0ba4399
2540,13d90000000b00100000000204b7174019:13d900000006001000000002|13da00000006000400000002:,13da000000070004043b5c437c
4322,21c50000000b0010000000020497244037:21c500000006001000000002|21c600000006000400000002:,21c600000007000404bb284438
4609,24030000000b00100000000204404f403b:240300000006001000000002|240400000006000400000002:,240400000007000404bc964452
1042,08250000000b001000000002042d773fd1:082500000006001000000002|082600000006000400000002:,0826000000070004044a3c422c
4076,1fd90000000b0010000000020439584034:1fd900000006001000000002|1fda00000006000400000002:,1fda00000007000404a8b94423
4960,26c10000000b001000000002049581403f:26c100000006001000000002|26c200000006000400000002:,26c20000000700040449414476
958,077d0000000b00100000000204f34d3fc6:077d00000006001000000002|077e00000006000400000002:,077e00000007000404566a420f
1098,08950000000b00100000000204f6943fd6:089500000006001000000002|089600000006000400000002:,089600000007000404300f423f
1255,09cf0000000b001000000002042b023fe7:09cf00000006001000000002|09d000000006000400000002:,09d000000007000404e4da427f
4376,22310000000b001000000002042f834038:223100000006001000000002|223200000006000400000002:,223200000007000404bac3443c
3986,1f250000000b00100000000204cd9f4032:1f2500000006001000000002|1f2600000006000400000002:,1f260000000700040480e4441b
726,05ad0000000b00100000000204e5c93fa7:05ad00000006001000000002|05ae00000006000400000002:,05ae00000007000404facb41a3
803,06470000000b0010000000020453f83fb3:064700000006001000000002|064800000006000400000002:,0648000000070004046a0841c9
2848,16410000000b00100000000204ced9401f:164100000006001000000002|164200000006000400000002:,1642000000070004040684439d
4963,26c70000000b001000000002049db2403f:26c700000006001000000002|26c800000006000400000002:,26c80000000700040491e64476
3718,1d0d0000000b00100000000204511a402e:1d0d00000006001000000002|1d0e00000006000400000002:,1d0e00000007000404530e4404
1414,0b0d0000000b00100000000204afb83ff3:0b0d00000006001000000002|0b0e00000006000400000002:,0b0e00000007000404430742a0
40,00510000000b00100000000204bfb1bfac:005100000006001000000002|005200000006000400000002:,00520000000700040421553d37
4097,20030000000b001000000002047c854034:200300000006001000000002|200400000006000400000002:,200400000007000404361f4425
1630,0cbd0000000b0010000000020472474001:0cbd00000006001000000002|0cbe00000006000400000002:,0cbe00000007000404aee742d2
2823,160f0000000b001000000002044a23401f:160f00000006001000000002|161000000006000400000002:,1610000000070004041fb9439a
3202,19050000000b00100000000204680a4026:190500000006001000000002|190600000006000400000002:,190600000007000404197843c7
202,01950000000b001000000002049e843dcd:019500000006001000000002|019600000006000400000002:,0196000000070004044a7b3fa1
423,034f0000000b00100000000204703b3f4e:034f00000006001000000002|035000000006000400000002:,035000000007000404e75e40cc
4968,26d10000000b00100000000204a92a403f:26d100000006001000000002|26d200000006000400000002:,26d200000007000404f7b74476
3764,1d690000000b00100000000204295f402f:1d6900000006001000000002|1d6a00000006000400000002:,1d6a0000000700040468774408
995,07c70000000b00100000000204295f3fcb:07c700000006001000000002|07c800000006000400000002:,07c8000000070004049e37421a
856,06b10000000b00100000000204de013fba:06b100000006001000000002|06b200000006000400000002:,06b200000007000404ab6041e6
3029,17ab0000000b0010000000020426184023:17ab00000006001000000002|17ac00000006000400000002:,17ac00000007000404148943b1
1174,092d0000000b0010000000020417c23fde:092d00000006001000000002|092e00000006000400000002:,092e0000000700040459a54259
704,05810000000b00100000000204bcd33fa3:058100000006001000000002|058200000006000400000002:,05820000000700040428034198
4629,242b0000000b001000000002046e2f403b:242b00000006001000000002|242c00000006000400000002:,242c0000000700040419884454
527,041f0000000b00100000000204bfb13f7c:041f00000006001000000002|042000000006000400000002:,042000000007000404638d411b
27,00370000000b00100000000204a8c1bfe4:003700000006001000000002|003800000006000400000002:,003800000007000404f6ee3c85
1271,09ef0000000b00100000000204d8ae3fe7:09ef00000006001000000002|09f000000006000400000002:,09f00000000700040484994281
4305,21a30000000b0010000000020450b14037:21a300000006001000000002|21a400000006000400000002:,21a400000007000404e93c4436
548,04490000000b00100000000204cd363f83:044900000006001000000002|044a00000006000400000002:,044a000000070004045320412b
3076,18090000000b001000000002043e424024:180900000006001000000002|180a00000006000400000002:,180a00000007000404310f43b8
3621,1c4b0000000b00100000000204ea4b402c:1c4b00000006001000000002|1c4c00000006000400000002:,1c4c00000007000404a26c43fb
4824,25b10000000b00100000000204e9e2403d:25b100000006001000000002|25b200000006000400000002:,25b200000007000404ebc74467
1844,0e690000000b001000000002046a7f4008:0e6900000006001000000002|0e6a00000006000400000002:,0e6a000000070004045cf14307
2994,17650000000b00100000000204680a4022:176500000006001000000002|176600000006000400000002:,17660000000700040469bb43ac
4625,24230000000b001000000002046944403b:242300000006001000000002|242400000006000400000002:,242400000007000404f4014453
1078,086d0000000b00100000000204bc6a3fd4:086d00000006001000000002|086e00000006000400000002:,086e00000007000404ade04237
2311,120f0000000b0010000000020467384014:120f00000006001000000002|121000000006000400000002:,1210000000070004045a664350
1282,0a050000000b001000000002040ff93fe9:0a0500000006001000000002|0a0600000006000400000002:,0a060000000700040461df4284
2096,10610000000b00100000000204404f400f:106100000006001000000002|106200000006000400000002:,10620000000700040419e7432d
4429,229b0000000b00100000000204ea4b4038:229b00000006001000000002|229c00000006000400000002:,229c00000007000404bfd64441
1329,0a630000000b0010000000020421ff3fed:0a6300000006001000000002|0a6400000006000400000002:,0a64000000070004047078428e
4141,205b0000000b001000000002042d774035:205b00000006001000000002|205c00000006000400000002:,205c000000070004045f144429
699,05770000000b00100000000204daba3fa2:057700000006001000000002|057800000006000400000002:,057800000007000404c20b4195
3390,1a7d0000000b001000000002047a784029:1a7d00000006001000000002|1a7e00000006000400000002:,1a7e000000070004045de843de
1994,0f950000000b001000000002047e28400c:0f9500000006001000000002|0f9600000006000400000002:,0f9600000007000404bf4b431c
4661,246b0000000b00100000000204c6a8403b:246b00000006001000000002|246c00000006000400000002:,246c00000007000404c0e24456
3690,1cd50000000b00100000000204d14e402d:1cd500000006001000000002|1cd600000006000400000002:,1cd600000007000404f8134401
4851,25e70000000b0010000000020436e3403e:25e700000006001000000002|25e800000006000400000002:,25e80000000700040471ce446a
1605,0c8b0000000b00100000000204adac4000:0c8b00000006001000000002|0c8c00000006000400000002:,0c8c00000007000404f10942cc
2971,17370000000b00100000000204ff2e4021:173700000006001000000002|173800000006000400000002:,173800000007000404e40f43a9
2269,11bb0000000b0010000000020452544013:11bb00000006001000000002|11bc00000006000400000002:,11bc0000000700040466ab4348
2239,117f0000000b00100000000204b6ae4012:117f00000006001000000002|118000000006000400000002:,118000000007000404109d4344
842,06950000000b00100000000204f27c3fb8:069500000006001000000002|069600000006000400000002:,069600000007000404d6a341de
2122,10950000000b00100000000204cd36400f:109500000006001000000002|109600000006000400000002:,109600000007000404902e4330
142,011d0000000b001000000002040069be2f:011d00000006001000000002|011e00000006000400000002:,011e00000007000404b80c3f2c
1931,0f170000000b001000000002040553400b:0f1700000006001000000002|0f1800000006000400000002:,0f1800000007000404a9774314
3746,1d450000000b00100000000204d5d0402e:1d4500000006001000000002|1d4600000006000400000002:,1d4600000007000404d0ca4406
3384,1a710000000b00100000000204652c4029:1a7100000006001000000002|1a7200000006000400000002:,1a7200000007000404b3c643dd
3532,1b990000000b00100000000204aace402b:1b9900000006001000000002|1b9a00000006000400000002:,1b9a0000000700040495fb43f0
2038,0fed0000000b00100000000204a36e400d:0fed00000006001000000002|0fee00000006000400000002:,0fee0000000700040457c14323
241,01e30000000b00100000000204b1c43e8e:01e300000006001000000002|01e400000006000400000002:,01e4000000070004042b853ff3
2938,16f50000000b001000000002044c984021:16f500000006001000000002|16f600000006000400000002:,16f600000007000404ae1043a5
3877,1e4b0000000b00100000000204d8454030:1e4b00000006001000000002|1e4c00000006000400000002:,1e4c00000007000404ec884410
314,02750000000b00100000000204de6a3f01:027500000006001000000002|027600000006000400000002:,027600000007000404d100404d
3117,185b0000000b00100000000204e0764024:185b00000006001000000002|185c00000006000400000002:,185c00000007000404705043bc
1161,09130000000b001000000002042bd43fdd:091300000006001000000002|091400000006000400000002:,091400000007000404c6cc4255
2223,115f0000000b0010000000020412d74012:115f00000006001000000002|116000000006000400000002:,1160000000070004049a1b433f
4580,23c90000000b00100000000204dfa4403a:23c900000006001000000002|23ca00000006000400000002:,23ca00000007000404e49f444f
3451,1af70000000b001000000002048241402a:1af700000006001000000002|1af800000006000400000002:,1af800000007000404c3da43e6
551,044f0000000b001000000002042f833f84:044f00000006001000000002|045000000006000400000002:,0450000000070004048324412c
4925,267b0000000b001000000002041aa0403f:267b00000006001000000002|267c00000006000400000002:,267c0000000700040411cb4472
2958,171d0000000b00100000000204b08a4021:171d00000006001000000002|171e00000006000400000002:,171e00000007000404060643a8
3984,1f210000000b00100000000204c7114032:1f2100000006001000000002|1f2200000006000400000002:,1f22000000070004045c3b441b
756,05e90000000b00100000000204119d3fad:05e900000006001000000002|05ea00000006000400000002:,05ea00000007000404f73f41b3
660,05290000000b0010000000020446dc3f9b:052900000006001000000002|052a00000006000400000002:,052a00000007000404ac9a4182
1297,0a230000000b0010000000020447453fea:0a2300000006001000000002|0a2400000006000400000002:,0a24000000070004044f5c4287
3930,1eb50000000b00100000000204cac14031:1eb500000006001000000002|1eb600000006000400000002:,1eb600000007000404f2a44415
2712,15310000000b001000000002041687401d:153100000006001000000002|153200000006000400000002:,153200000007000404630d438e
2968,17310000000b00100000000204dcc64021:173100000006001000000002|173200000006000400000002:,173200000007000404124143a9
4983,26ef0000000b00100000000204d220403f:26ef00000006001000000002|26f000000006000400000002:,26f00000000700040464b54478
424,03510000000b00100000000204bee03f4e:035100000006001000000002|035200000006000400000002:,035200000007000404788340cd
2784,15c10000000b0010000000020471de401e:15c100000006001000000002|15c200000006000400000002:,15c20000000700040482864395
850,06a50000000b00100000000204680a3fba:06a500000006001000000002|06a600000006000400000002:,06a600000007000404c3e741e4
781,061b0000000b0010000000020475f73fb0:061b00000006001000000002|061c00000006000400000002:,061c0000000700040449fc41bf
620,04d90000000b0010000000020422d13f93:04d900000006001000000002|04da00000006000400000002:,04da00000007000404befa4161
4837,25cb0000000b001000000002040aa6403e:25cb00000006001000000002|25cc00000006000400000002:,25cc00000007000404fdce4468
2190,111d0000000b0010000000020470a44011:111d00000006001000000002|111e00000006000400000002:,111e0000000700040448a6433b
167,014f0000000b001000000002049e84bd4d:014f00000006001000000002|015000000006000400000002:,0150000000070004040e213f64
2219,11570000000b00100000000204f55a4011:115700000006001000000002|115800000006000400000002:,115800000007000404cf41433e
2464,13410000000b0010000000020400004018:134100000006001000000002|134200000006000400000002:,134200000007000404232f436d
476,03b90000000b0010000000020444673f69:03b900000006001000000002|03ba00000006000400000002:,03ba0000000700040469a84102
4477,22fb0000000b001000000002047a784039:22fb00000006001000000002|22fc00000006000400000002:,22fc00000007000404b7174445
1611,0c970000000b00100000000204ea4b4000:0c9700000006001000000002|0c9800000006000400000002:,0c9800000007000404b1ee42ce
4712,24d10000000b001000000002046a7f403c:24d100000006001000000002|24d200000006000400000002:,24d200000007000404c171445b
2243,11870000000b00100000000204cbfb4012:118700000006001000000002|118800000006000400000002:,118800000007000404a7184344
2531,13c70000000b001000000002048e224019:13c700000006001000000002|13c800000006000400000002:,13c800000007000404c8c2437a
2791,15cf0000000b00100000000204978d401e:15cf00000006001000000002|15d000000006000400000002:,15d0000000070004044dc64396
3993,1f330000000b00100000000204ee634032:1f3300000006001000000002|1f3400000006000400000002:,1f340000000700040438a0441c
234,01d50000000b00100000000204c7113e7a:01d500000006001000000002|01d600000006000400000002:,01d600000007000404f6613fe0
1166,091d0000000b0010000000020491683fdd:091d00000006001000000002|091e00000006000400000002:,091e000000070004044ed34257
1771,0dd70000000b00100000000204cc644005:0dd700000006001000000002|0dd800000006000400000002:,0dd80000000700040464dc42f6
3375,1a5f0000000b0010000000020447ae4029:1a5f00000006001000000002|1a6000000006000400000002:,1a6000000007000404c90743dc
653,051b0000000b00100000000204cb293f98:051b00000006001000000002|051c00000006000400000002:,051c00000007000404ee4f4179
4699,24b70000000b001000000002043127403c:24b700000006001000000002|24b800000006000400000002:,24b800000007000404fde24459
2445,131b0000000b00100000000204851f4017:131b00000006001000000002|131c00000006000400000002:,131c0000000700040413cb4369
2777,15b30000000b00100000000204594b401e:15b300000006001000000002|15b400000006000400000002:,15b400000007000404fe954394
762,05f50000000b00100000000204c91d3fad:05f500000006001000000002|05f600000006000400000002:,05f6000000070004044d2841b6
1168,09210000000b00100000000204c28f3fdd:092100000006001000000002|092200000006000400000002:,0922000000070004040d884258
791,062f0000000b001000000002045e9e3fb1:062f00000006001000000002|063000000006000400000002:,063000000007000404712441c2
2939,16f70000000b0010000000020451834021:16f700000006001000000002|16f800000006000400000002:,16f800000007000404cb6643a5
1347,0a870000000b0010000000020494463fee:0a8700000006001000000002|0a8800000006000400000002:,0a880000000700040431b14292
4221,20fb0000000b0010000000020440b84036:20fb00000006001000000002|20fc00000006000400000002:,20fc000000070004040d3d4430
308,02690000000b0010000000020422d13efb:026900000006001000000002|026a00000006000400000002:,026a0000000700040401ba4046
2422,12ed0000000b001000000002040be14017:12ed00000006001000000002|12ee00000006000400000002:,12ee0000000700040423bd4365
1600,0c810000000b001000000002047c854000:0c8100000006001000000002|0c8200000006000400000002:,0c820000000700040487e342cb
4797,257b0000000b0010000000020485f0403d:257b00000006001000000002|257c00000006000400000002:,257c00000007000404afa94464
3976,1f110000000b00100000000204b0214032:1f1100000006001000000002|1f1200000006000400000002:,1f1200000007000404dc3c441a
1625,0cb30000000b00100000000204652c4001:0cb300000006001000000002|0cb400000006000400000002:,0cb4000000070004044bab42d2
1643,0cd70000000b00100000000204cc644001:0cd700000006001000000002|0cd800000006000400000002:,0cd8000000070004045e4b42d5
2075,10370000000b00100000000204b852400e:103700000006001000000002|103800000006000400000002:,103800000007000404d3094329
4615,240f0000000b001000000002044a23403b:240f00000006001000000002|241000000006000400000002:,24100000000700040407294453
