,source_text,target_text
3580,1bf90000000b00100000000204b4a2400f:1bf900000006001000000002|1bfa00000006000400000002:,1bfa00000007000404f451432f
98,00c50000000b00100000000204cf42c036:00c500000006001000000002|00c600000006000400000002:,00c6000000070004046f8c3ab6
1722,0d750000000b001000000002042c3dbef4:0d7500000006001000000002|0d7600000006000400000002:,0d7600000007000404c0ed3eaa
3712,1d010000000b00100000000204154d401c:1d0100000006001000000002|1d0200000006000400000002:,1d020000000700040454dc4389
4069,1fcb0000000b001000000002048fc5403d:1fcb00000006001000000002|1fcc00000006000400000002:,1fcc00000007000404009e4465
327,028f0000000b00100000000204566dc021:028f00000006001000000002|029000000006000400000002:,029000000007000404817d3b45
3613,1c3b0000000b00100000000204cd9f4012:1c3b00000006001000000002|1c3c00000006000400000002:,1c3c00000007000404b2b74344
3651,1c870000000b001000000002045e354016:1c8700000006001000000002|1c8800000006000400000002:,1c88000000070004049d4f435f
3251,19670000000b00100000000204b7173fe1:196700000006001000000002|196800000006000400000002:,196800000007000404fc2c4267
2074,10350000000b00100000000204ecc03d1e:103500000006001000000002|103600000006000400000002:,103600000007000404f6423f8b
439,036f0000000b00100000000204d5d0c016:036f00000006001000000002|037000000006000400000002:,03700000000700040418643b90
789,062b0000000b001000000002040831bfec:062b00000006001000000002|062c00000006000400000002:,062c00000007000404a6503c6a
2669,14db0000000b001000000002041d153f69:14db00000006001000000002|14dc00000006000400000002:,14dc000000070004043b924102
2352,12610000000b0010000000020474543ee4:126100000006001000000002|126200000006000400000002:,126200000007000404ce1d4032
26,00350000000b001000000002048fc5c03d:003500000006001000000002|003600000006000400000002:,00360000000700040417173a8f
3001,17730000000b00100000000204d42c3fb2:177300000006001000000002|177400000006000400000002:,1774000000070004049d1041c7
3719,1d0f0000000b00100000000204be0e401c:1d0f00000006001000000002|1d1000000006000400000002:,1d1000000007000404a09f438c
2015,0fbf0000000b00100000000204f838bd42:0fbf00000006001000000002|0fc000000006000400000002:,0fc0000000070004046cb23f65
283,02370000000b00100000000204758ec025:023700000006001000000002|023800000006000400000002:,02380000000700040449513b2a
1889,0ec30000000b00100000000204c5d6be6d:0ec300000006001000000002|0ec400000006000400000002:,0ec400000007000404fb773f15
2429,12fb0000000b001000000002041aa03f0f:12fb00000006001000000002|12fc00000006000400000002:,12fc00000007000404d5e64067
1508,0bc90000000b001000000002045e35bf4a:0bc900000006001000000002|0bca00000006000400000002:,0bca00000007000404e1dc3e25
1264,09e10000000b00100000000204f1aabf92:09e100000006001000000002|09e200000006000400000002:,09e200000007000404a8113d91
2688,15010000000b0010000000020441893f70:150100000006001000000002|150200000006000400000002:,150200000007000404dfab410a
2795,15d70000000b001000000002042f833f8c:15d700000006001000000002|15d800000006000400000002:,15d80000000700040436ca4147
838,068d0000000b00100000000204d773bfe2:068d00000006001000000002|068e00000006000400000002:,068e000000070004046acb3c8a
497,03e30000000b00100000000204652cc011:03e300000006001000000002|03e400000006000400000002:,03e4000000070004043f2a3baf
1352,0a910000000b001000000002046e98bf82:0a9100000006001000000002|0a9200000006000400000002:,0a920000000700040408863dc4
243,01e70000000b00100000000204374cc029:01e700000006001000000002|01e800000006000400000002:,01e800000007000404c2023b14
2535,13cf0000000b00100000000204dc5d3f36:13cf00000006001000000002|13d000000006000400000002:,13d000000007000404bfa740a5
47,005f0000000b001000000002049724c03b:005f00000006001000000002|006000000006000400000002:,0060000000070004049b4e3a99
2588,14390000000b00100000000204b9f53f4a:143900000006001000000002|143a00000006000400000002:,143a000000070004042ced40c6
643,05070000000b00100000000204b4a2c003:050700000006001000000002|050800000006000400000002:,05080000000700040463f13c0f
2596,14490000000b00100000000204bf483f4d:144900000006001000000002|144a00000006000400000002:,144a00000007000404a24440cb
1454,0b5d0000000b001000000002049e1bbf5e:0b5d00000006001000000002|0b5e00000006000400000002:,0b5e0000000700040442d73e0a
3152,18a10000000b0010000000020424743fcf:18a100000006001000000002|18a200000006000400000002:,18a20000000700040418a94226
3073,18030000000b0010000000020455323fc0:180300000006001000000002|180400000006000400000002:,180400000007000404805541fe
2443,13170000000b001000000002045a1d3f14:131700000006001000000002|131800000006000400000002:,1318000000070004040a8f4073
485,03cb0000000b001000000002048588c012:03cb00000006001000000002|03cc00000006000400000002:,03cc0000000700040449643ba8
3622,1c4d0000000b00100000000204a5e34013:1c4d00000006001000000002|1c4e00000006000400000002:,1c4e00000007000404c4ac434a
3235,19470000000b00100000000204b50b3fde:194700000006001000000002|194800000006000400000002:,194800000007000404c40b425b
1452,0b590000000b001000000002045c29bf5f:0b5900000006001000000002|0b5a00000006000400000002:,0b5a0000000700040457463e09
798,063d0000000b0010000000020457a8bfea:063d00000006001000000002|063e00000006000400000002:,063e00000007000404e4203c71
2631,148f0000000b00100000000204daba3f5a:148f00000006001000000002|149000000006000400000002:,1490000000070004041cf640e5
2817,16030000000b0010000000020451ec3f90:160300000006001000000002|160400000006000400000002:,16040000000700040498624156
3195,18f70000000b0010000000020434d73fd7:18f700000006001000000002|18f800000006000400000002:,18f80000000700040406a84240
2769,15a30000000b001000000002044f0e3f87:15a300000006001000000002|15a400000006000400000002:,15a4000000070004047b664136
802,06450000000b001000000002049653bfe9:064500000006001000000002|064600000006000400000002:,064600000007000404331c3c75
1087,087f0000000b001000000002042268bfb4:087f00000006001000000002|088000000006000400000002:,08800000000700040458c03d20
2657,14c30000000b001000000002049ba63f64:14c300000006001000000002|14c400000006000400000002:,14c4000000070004041ef540fa
1971,0f670000000b0010000000020494afbde5:0f6700000006001000000002|0f6800000006000400000002:,0f6800000007000404c2bc3f45
2036,0fe90000000b00100000000204a027bc89:0fe900000006001000000002|0fea00000006000400000002:,0fea0000000700040449403f76
2813,15fb0000000b0010000000020490973f8f:15fb00000006001000000002|15fc00000006000400000002:,15fc00000007000404b31a4153
4062,1fbd0000000b00100000000204e704403c:1fbd00000006001000000002|1fbe00000006000400000002:,1fbe00000007000404a29b445f
946,07650000000b001000000002049446bfce:076500000006001000000002|076600000006000400000002:,0766000000070004044ac53cc7
1903,0edf0000000b00100000000204c7e3be58:0edf00000006001000000002|0ee000000006000400000002:,0ee0000000070004043b4d3f1d
286,023d0000000b001000000002042f1bc025:023d00000006001000000002|023e00000006000400000002:,023e00000007000404fb143b2b
3049,17d30000000b00100000000204d3c33fbb:17d300000006001000000002|17d400000006000400000002:,17d400000007000404afff41ea
820,06690000000b00100000000204353fbfe6:066900000006001000000002|066a00000006000400000002:,066a00000007000404489f3c82
2589,143b0000000b001000000002041c433f4b:143b00000006001000000002|143c00000006000400000002:,143c00000007000404dc7640c6
2961,17230000000b0010000000020453f83fab:172300000006001000000002|172400000006000400000002:,1724000000070004046ae141ae
410,03350000000b001000000002048e22c019:033500000006001000000002|033600000006000400000002:,033600000007000404a9813b82
3257,19730000000b00100000000204d7733fe2:197300000006001000000002|197400000006000400000002:,197400000007000404bbd0426c
4088,1ff10000000b00100000000204573f403f:1ff100000006001000000002|1ff200000006000400000002:,1ff20000000700040424034474
924,07390000000b00100000000204b6aebfd2:073900000006001000000002|073a00000006000400000002:,073a0000000700040401fe3cb9
1787,0df70000000b001000000002046e2fbec3:0df700000006001000000002|0df800000006000400000002:,0df8000000070004049a703ed4
2984,17510000000b00100000000204a4403faf:175100000006001000000002|175200000006000400000002:,1752000000070004047da241bc
1776,0de10000000b00100000000204ac71becb:0de100000006001000000002|0de200000006000400000002:,0de200000007000404ddb43ecc
914,07250000000b001000000002049518bfd4:072500000006001000000002|072600000006000400000002:,072600000007000404e43f3cb2
785,06230000000b00100000000204c63fbfec:062300000006001000000002|062400000006000400000002:,06240000000700040489653c67
565,046b0000000b001000000002040553c00b:046b00000006001000000002|046c00000006000400000002:,046c000000070004046b653bdc
3638,1c6d0000000b0010000000020425464015:1c6d00000006001000000002|1c6e00000006000400000002:,1c6e00000007000404fe444355
3837,1dfb0000000b00100000000204ced94027:1dfb00000006001000000002|1dfc00000006000400000002:,1dfc00000007000404659643d1
293,024b0000000b001000000002048659c024:024b00000006001000000002|024c00000006000400000002:,024c000000070004041bbf3b30
1313,0a430000000b00100000000204c0ecbf89:0a4300000006001000000002|0a4400000006000400000002:,0a4400000007000404d79d3dab
3610,1c350000000b0010000000020485884012:1c3500000006001000000002|1c3600000006000400000002:,1c3600000007000404b7214342
4064,1fc10000000b00100000000204182b403d:1fc100000006001000000002|1fc200000006000400000002:,1fc2000000070004042f754461
1794,0e050000000b001000000002042824bebe:0e0500000006001000000002|0e0600000006000400000002:,0e0600000007000404b4ae3ed9
986,07b50000000b001000000002041412bfc7:07b500000006001000000002|07b600000006000400000002:,07b60000000700040414d93ce4
2671,14df0000000b00100000000204e1b13f69:14df00000006001000000002|14e000000006000400000002:,14e00000000700040422aa4103
1408,0b010000000b00100000000204df3bbf6f:0b0100000006001000000002|0b0200000006000400000002:,0b0200000007000404c5943dec
111,00df0000000b0010000000020497f6c035:00df00000006001000000002|00e000000006000400000002:,00e00000000700040498273abe
3081,18130000000b00100000000204d4953fc1:181300000006001000000002|181400000006000400000002:,181400000007000404b9b54202
2345,12530000000b001000000002042e493edf:125300000006001000000002|125400000006000400000002:,1254000000070004049d48402e
1662,0cfd0000000b0010000000020496bcbf10:0cfd00000006001000000002|0cfe00000006000400000002:,0cfe00000007000404776d3e8b
1188,09490000000b0010000000020430bebfa1:094900000006001000000002|094a00000006000400000002:,094a00000007000404747f3d61
2988,17590000000b00100000000204624e3fb0:175900000006001000000002|175a00000006000400000002:,175a00000007000404066241bf
225,01c30000000b00100000000204e632c02a:01c300000006001000000002|01c400000006000400000002:,01c40000000700040404493b0c
715,05970000000b00100000000204e83ebff9:059700000006001000000002|059800000006000400000002:,059800000007000404d1813c36
3710,1cfd0000000b00100000000204e5c9401b:1cfd00000006001000000002|1cfe00000006000400000002:,1cfe000000070004046ae14388
2481,13630000000b001000000002049c783f22:136300000006001000000002|136400000006000400000002:,1364000000070004042654408a
2027,0fd70000000b00100000000204c28fbcf5:0fd700000006001000000002|0fd800000006000400000002:,0fd800000007000404e9c13f6e
1505,0bc30000000b001000000002047e91bf4b:0bc300000006001000000002|0bc400000006000400000002:,0bc40000000700040435cb3e24
2994,17650000000b0010000000020482aa3fb1:176500000006001000000002|176600000006000400000002:,176600000007000404ef6341c2
3411,1aa70000000b00100000000204b7e93fff:1aa700000006001000000002|1aa800000006000400000002:,1aa800000007000404fd4942c6
3313,19e30000000b00100000000204566d3fed:19e300000006001000000002|19e400000006000400000002:,19e400000007000404f712428e
3561,1bd30000000b00100000000204ed29400d:1bd300000006001000000002|1bd400000006000400000002:,1bd4000000070004040b4e4325
522,04150000000b001000000002040d84c00f:041500000006001000000002|041600000006000400000002:,041600000007000404a7e23bbe
950,076d0000000b00100000000204d639bfcd:076d00000006001000000002|076e00000006000400000002:,076e00000007000404f8af3cc9
3485,1b3b0000000b00100000000204cbfb4006:1b3b00000006001000000002|1b3c00000006000400000002:,1b3c0000000700040467c642ff
4028,1f790000000b00100000000204b7174039:1f7900000006001000000002|1f7a00000006000400000002:,1f7a0000000700040468214447
3412,1aa90000000b00100000000204e9103fff:1aa900000006001000000002|1aaa00000006000400000002:,1aaa00000007000404ad8d42c7
2327,122f0000000b00100000000204a9fc3ed1:122f00000006001000000002|123000000006000400000002:,12300000000700040450e94024
2960,17210000000b0010000000020422d13fab:172100000006001000000002|172200000006000400000002:,172200000007000404d0ec41ad
71,008f0000000b001000000002045810c039:008f00000006001000000002|009000000006000400000002:,00900000000700040489663aa6
1737,0d930000000b00100000000204e8a7bee8:0d9300000006001000000002|0d9400000006000400000002:,0d9400000007000404a0563eb3
2161,10e30000000b001000000002044a8c3e2a:10e300000006001000000002|10e400000006000400000002:,10e400000007000404b8423fbb
147,01270000000b0010000000020436e3c032:012700000006001000000002|012800000006000400000002:,0128000000070004043bc93ad7
1287,0a0f0000000b00100000000204a162bf8e:0a0f00000006001000000002|0a1000000006000400000002:,0a100000000700040468bd3d9d
385,03030000000b00100000000204e5c9c01b:030300000006001000000002|030400000006000400000002:,030400000007000404342c3b70
40,00510000000b001000000002043fe6c03c:005100000006001000000002|005200000006000400000002:,00520000000700040401a63a96
1047,082f0000000b00100000000204a29cbfbb:082f00000006001000000002|083000000006000400000002:,0830000000070004041b693d0c
3427,1ac70000000b001000000002045b574001:1ac700000006001000000002|1ac800000006000400000002:,1ac800000007000404015442d2
138,01150000000b001000000002040f28c033:011500000006001000000002|011600000006000400000002:,011600000007000404ca3f3ad0
3576,1bf10000000b00100000000204559b400f:1bf100000006001000000002|1bf200000006000400000002:,1bf2000000070004049ebd432d
1890,0ec50000000b0010000000020456d6be6c:0ec500000006001000000002|0ec600000006000400000002:,0ec600000007000404776f3f16
842,06950000000b00100000000204161ebfe2:069500000006001000000002|069600000006000400000002:,0696000000070004044f773c8c
1340,0a790000000b00100000000204af4fbf84:0a7900000006001000000002|0a7a00000006000400000002:,0a7a000000070004043f723dbc
137,01130000000b0010000000020427bbc033:011300000006001000000002|011400000006000400000002:,01140000000700040411fd3ad0
3171,18c70000000b00100000000204b6ae3fd2:18c700000006001000000002|18c800000006000400000002:,18c8000000070004041deb4231
128,01010000000b001000000002040000c034:010100000006001000000002|010200000006000400000002:,010200000007000404d7593ac9
3688,1cd10000000b00100000000204d6394019:1cd100000006001000000002|1cd200000006000400000002:,1cd2000000070004045682437d
3857,1e230000000b00100000000204aee64029:1e2300000006001000000002|1e2400000006000400000002:,1e240000000700040402e443e0
3086,181d0000000b00100000000204c3ca3fc2:181d00000006001000000002|181e00000006000400000002:,181e00000007000404f0fa4204
3522,1b850000000b0010000000020443fe400a:1b8500000006001000000002|1b8600000006000400000002:,1b8600000007000404ad574310
1533,0bfb0000000b00100000000204f909bf40:0bfb00000006001000000002|0bfc00000006000400000002:,0bfc00000007000404826d3e34
1693,0d3b0000000b00100000000204f766bf04:0d3b00000006001000000002|0d3c00000006000400000002:,0d3c00000007000404d5d63e9a
3721,1d130000000b00100000000204ed91401c:1d1300000006001000000002|1d1400000006000400000002:,1d140000000700040491cf438d
1753,0db30000000b00100000000204ed91bedc:0db300000006001000000002|0db400000006000400000002:,0db40000000700040491f63ebd
1581,0c5b0000000b00100000000204f9dbbf2e:0c5b00000006001000000002|0c5c00000006000400000002:,0c5c000000070004043a073e54
4065,1fc30000000b001000000002042f1b403d:1fc300000006001000000002|1fc400000006000400000002:,1fc400000007000404e9954461
3344,1a210000000b0010000000020426183ff3:1a2100000006001000000002|1a2200000006000400000002:,1a2200000007000404b829429e
1818,0e350000000b001000000002042f83beac:0e3500000006001000000002|0e3600000006000400000002:,0e360000000700040408113eec
1114,08b50000000b001000000002041412bfaf:08b500000006001000000002|08b600000006000400000002:,08b6000000070004049d463d2f
1763,0dc70000000b0010000000020466cfbed5:0dc700000006001000000002|0dc800000006000400000002:,0dc80000000700040418b83ec4
2376,12910000000b001000000002046cf43ef6:129100000006001000000002|129200000006000400000002:,129200000007000404db384041
770,06050000000b001000000002049724bfef:060500000006001000000002|060600000006000400000002:,060600000007000404199a3c5c
2699,15170000000b0010000000020460aa3f74:151700000006001000000002|151800000006000400000002:,1518000000070004041e5b4110
1360,0aa10000000b00100000000204ef35bf80:0aa100000006001000000002|0aa200000006000400000002:,0aa20000000700040462e43dc9
3345,1a230000000b00100000000204573f3ff3:1a2300000006001000000002|1a2400000006000400000002:,1a240000000700040444c1429f
2233,11730000000b00100000000204295f3e8b:117300000006001000000002|117400000006000400000002:,117400000007000404564b3fef
2989,175b0000000b0010000000020493753fb0:175b00000006001000000002|175c00000006000400000002:,175c00000007000404af9241bf
2121,10930000000b0010000000020491d13ddc:109300000006001000000002|109400000006000400000002:,10940000000700040406653fa4
3362,1a450000000b00100000000204872b3ff6:1a4500000006001000000002|1a4600000006000400000002:,1a4600000007000404aac042a8
2760,15910000000b00100000000204a1cb3f85:159100000006001000000002|159200000006000400000002:,1592000000070004040f514131
3336,1a110000000b00100000000204a6b53ff1:1a1100000006001000000002|1a1200000006000400000002:,1a12000000070004048026429a
1098,08950000000b0010000000020412d7bfb2:089500000006001000000002|089600000006000400000002:,089600000007000404670e3d26
888,06f10000000b00100000000204758ebfd9:06f100000006001000000002|06f200000006000400000002:,06f200000007000404ddcc3ca3
1773,0ddb0000000b00100000000204ed29becd:0ddb00000006001000000002|0ddc00000006000400000002:,0ddc00000007000404cd0a3eca
3917,1e9b0000000b001000000002044f0e402f:1e9b00000006001000000002|1e9c00000006000400000002:,1e9c0000000700040421e74409
741,05cb0000000b0010000000020407c8bff5:05cb00000006001000000002|05cc00000006000400000002:,05cc0000000700040494d13c47
3656,1c910000000b00100000000204d5d04016:1c9100000006001000000002|1c9200000006000400000002:,1c920000000700040467b54363
3832,1df10000000b00100000000204573f4027:1df100000006001000000002|1df200000006000400000002:,1df200000007000404e81043cd
399,031f0000000b0010000000020495eac01a:031f00000006001000000002|032000000006000400000002:,032000000007000404d0633b7b
2761,15930000000b00100000000204cfab3f85:159300000006001000000002|159400000006000400000002:,159400000007000404a1ac4131
74,00950000000b001000000002040ff9c039:009500000006001000000002|009600000006000400000002:,0096000000070004043b873aa8
1469,0b7b0000000b00100000000204fc50bf58:0b7b00000006001000000002|0b7c00000006000400000002:,0b7c0000000700040472053e11
2049,10030000000b001000000002042de03b10:100300000006001000000002|100400000006000400000002:,100400000007000404a66a3f80
948,07690000000b00100000000204353fbfce:076900000006001000000002|076a00000006000400000002:,076a00000007000404a0953cc8
535,042f0000000b00100000000204d495c00d:042f00000006001000000002|043000000006000400000002:,0430000000070004043a503bc7
1558,0c2d0000000b001000000002049a6bbf37:0c2d00000006001000000002|0c2e00000006000400000002:,0c2e0000000700040461983e44
438,036d0000000b00100000000204ecc0c016:036d00000006001000000002|036e00000006000400000002:,036e00000007000404a1ad3b8f
1209,09730000000b0010000000020442c4bf9d:097300000006001000000002|097400000006000400000002:,097400000007000404f8173d71
63,007f0000000b0010000000020417c2c03a:007f00000006001000000002|008000000006000400000002:,0080000000070004041c273aa2
546,04450000000b00100000000204cccdc00c:044500000006001000000002|044600000006000400000002:,044600000007000404c08a3bce
984,07b10000000b001000000002047319bfc7:07b100000006001000000002|07b200000006000400000002:,07b200000007000404903f3ce2
3890,1e650000000b00100000000204c63f402c:1e6500000006001000000002|1e6600000006000400000002:,1e66000000070004045ce843fa
3792,1da10000000b0010000000020495814023:1da100000006001000000002|1da200000006000400000002:,1da200000007000404dfea43b3
3236,19490000000b00100000000204e6323fde:194900000006001000000002|194a00000006000400000002:,194a0000000700040486af425c
1020,07f90000000b00100000000204b439bfc0:07f900000006001000000002|07fa00000006000400000002:,07fa00000007000404cb353cff
4020,1f690000000b00100000000204f7664038:1f6900000006001000000002|1f6a00000006000400000002:,1f6a000000070004041b424442
350,02bd0000000b001000000002042e49c01f:02bd00000006001000000002|02be00000006000400000002:,02be0000000700040471273b55
570,04750000000b001000000002048c15c00a:047500000006001000000002|047600000006000400000002:,04760000000700040435163be0
887,06ef0000000b00100000000204a6b5bfd9:06ef00000006001000000002|06f000000006000400000002:,06f0000000070004044d2a3ca3
2798,15dd0000000b00100000000204bfb13f8c:15dd00000006001000000002|15de00000006000400000002:,15de000000070004043e1d4149
3972,1f090000000b00100000000204779a4034:1f0900000006001000000002|1f0a00000006000400000002:,1f0a0000000700040418e84425
2655,14bf0000000b00100000000204dd983f63:14bf00000006001000000002|14c000000006000400000002:,14c00000000700040474cf40f8
3775,1d7f0000000b00100000000204fd8b4021:1d7f00000006001000000002|1d8000000006000400000002:,1d8000000007000404da1043a9
3401,1a930000000b00100000000204d97f3ffd:1a9300000006001000000002|1a9400000006000400000002:,1a9400000007000404693b42c0
411,03370000000b00100000000204758ec019:033700000006001000000002|033800000006000400000002:,0338000000070004041d3f3b83
189,017b0000000b001000000002044745c02e:017b00000006001000000002|017c00000006000400000002:,017c00000007000404f9e93af7
660,05290000000b001000000002041cacc002:052900000006001000000002|052a00000006000400000002:,052a00000007000404da0e3c17
1450,0b550000000b0010000000020420c5bf60:0b5500000006001000000002|0b5600000006000400000002:,0b5600000007000404653e3e08
2251,11970000000b00100000000204adac3e98:119700000006001000000002|119800000006000400000002:,11980000000700040456563ffe
1027,08070000000b0010000000020462b7bfbf:080700000006001000000002|080800000006000400000002:,080800000007000404f7663d02
457,03930000000b001000000002042546c015:039300000006001000000002|039400000006000400000002:,03940000000700040420583b99
3959,1eef0000000b001000000002043eab4033:1eef00000006001000000002|1ef000000006000400000002:,1ef000000007000404fe6a441d
2765,159b0000000b0010000000020491003f86:159b00000006001000000002|159c00000006000400000002:,159c000000070004040fa94134
3104,18410000000b0010000000020424dd3fc6:184100000006001000000002|184200000006000400000002:,18420000000700040445f4420d
1856,0e810000000b00100000000204aacebe8f:0e8100000006001000000002|0e8200000006000400000002:,0e82000000070004042a4c3f06
2538,13d50000000b00100000000204fcb93f37:13d500000006001000000002|13d600000006000400000002:,13d6000000070004046fba40a7
3527,1b8f0000000b00100000000204bd3c400a:1b8f00000006001000000002|1b9000000006000400000002:,1b900000000700040429d74313
623,04df0000000b0010000000020494afc005:04df00000006001000000002|04e000000006000400000002:,04e000000007000404091a3c06
682,05550000000b001000000002040b78c000:055500000006001000000002|055600000006000400000002:,055600000007000404937e3c23
604,04b90000000b001000000002045c29c007:04b900000006001000000002|04ba00000006000400000002:,04ba0000000700040472f33bfb
2309,120b0000000b0010000000020432ca3ec4:120b00000006001000000002|120c00000006000400000002:,120c00000007000404a924401a
1796,0e090000000b00100000000204ac08bebc:0e0900000006001000000002|0e0a00000006000400000002:,0e0a000000070004042a153edb
1655,0cef0000000b0010000000020439c1bf13:0cef00000006001000000002|0cf000000006000400000002:,0cf00000000700040432a03e88
3844,1e090000000b0010000000020475f74028:1e0900000006001000000002|1e0a00000006000400000002:,1e0a000000070004045f7a43d6
2947,17070000000b00100000000204b0f23fa8:170700000006001000000002|170800000006000400000002:,170800000007000404566241a6
817,06630000000b00100000000204c56dbfe6:066300000006001000000002|066400000006000400000002:,066400000007000404f86c3c80
909,071b0000000b00100000000204844dbfd5:071b00000006001000000002|071c00000006000400000002:,071c00000007000404e8e73caf
2170,10f50000000b00100000000204ced93e37:10f500000006001000000002|10f600000006000400000002:,10f600000007000404834f3fc1
716,05990000000b00100000000204b717bff9:059900000006001000000002|059a00000006000400000002:,059a0000000700040473723c37
2579,14270000000b001000000002045f703f47:142700000006001000000002|142800000006000400000002:,142800000007000404497b40c0
