,source_text,target_text
364,9.14,1380442370.781
863,9.8591,7228651486.699
846,9.8456,7007878050.9597
977,9.9622,9165802996.3744
89,1.5115,32.4704
165,7.666,46342207.4338
885,9.8832,7641434516.7641
834,9.837,6871307742.1088
797,9.8079,6425280134.7393
795,9.8067,6407017873.5838
905,9.9014,7969049536.2779
511,9.4359,2728356600.2355
162,7.6326,42915972.7678
358,9.1284,1343893494.6779
524,9.4629,2903225254.4693
547,9.4949,3125718266.9516
286,8.9321,855356174.0456
413,9.2538,1793775016.1236
752,9.7662,5837473629.98
181,7.9829,96145532.6538
63,-2.2719,0.0053
653,9.6546,4514860670.6659
877,9.8712,7434007532.9607
666,9.6764,4747330045.2085
163,7.6567,45367209.6378
823,9.8303,6765637382.702
276,8.88,758617154.1335
960,9.9504,8920296268.6841
88,1.4463,27.9449
445,9.3331,2153370651.3852
728,9.7464,5577485096.4689
799,9.8101,6458451227.0617
294,8.9518,894885014.7401
958,9.9493,8897622155.8316
137,6.6843,4833449.3552
652,9.6537,4504981986.6128
808,9.8191,6593832925.4245
453,9.3485,2230818664.0646
8,-9.233,0.0
330,9.0455,1110510069.1638
806,9.8183,6581380911.8525
804,9.8166,6555667612.4291
147,7.178,15065725.5295
639,9.6268,4234850064.3995
309,8.9925,982895542.2447
766,9.7791,6013240220.2304
14,-8.9085,0.0
427,9.2849,1927230053.6495
46,-4.538,0.0
188,8.0816,120683464.1244
749,9.7635,5801178642.6844
439,9.3217,2097592468.1175
980,9.9623,9169260856.9923
145,7.082,12078618.8292
529,9.4717,2962922028.3396
26,-7.4713,0.0
558,9.5075,3217290944.4061
670,9.6902,4900525251.3725
143,7.0182,10428801.2069
945,9.9414,8737637778.4835
58,-2.8838,0.0013
970,9.9579,9076221480.6124
790,9.801,6323882635.9047
741,9.759,5741304942.5338
433,9.2973,1982905911.6509
347,9.0978,1252548323.7682
747,9.7621,5781700288.9638
990,9.9677,9282497059.9979
933,9.9276,8464183847.0662
40,-5.3735,0.0
298,8.9602,912530734.7218
818,9.8271,6715217933.0221
954,9.9471,8853416127.808
34,-6.0752,0.0
460,9.3594,2287694870.8129
436,9.3083,2033942846.2513
146,7.1284,13439924.1757
133,6.3755,2373920.3945
557,9.5069,3213217573.5072
247,8.6748,472903023.0091
851,9.851,7094970369.6393
855,9.8543,7149520074.0242
241,8.6267,423352097.5881
227,8.4843,305034219.1598
695,9.7124,5156910885.0857
890,9.8848,7669708126.1283
599,9.5627,3653049255.5235
37,-5.744,0.0
250,8.709,511704764.7706
549,9.4961,3134021519.2961
999,9.9752,9445591395.5174
388,9.2054,1604882368.9122
743,9.7605,5760926401.662
151,7.2824,19159376.7385
21,-7.9814,0.0
98,2.4609,289.034
64,-2.0615,0.0087
912,9.9083,8097221844.2779
503,9.4309,2697053817.2579
198,8.1768,150247643.3391
268,8.8228,664995708.8982
644,9.6339,4304055911.2018
826,9.8315,6783662673.0905
916,9.9112,8151223963.3745
602,9.5635,3660278081.1807
211,8.3621,230176921.6974
880,9.8787,7563650087.8413
105,3.3778,2386.6389
754,9.767,5848112527.2276
59,-2.6337,0.0023
645,9.6399,4363840336.5309
486,9.3964,2491193557.9496
681,9.7022,5036758631.9747
521,9.4538,2843394464.9161
559,9.5077,3218675275.9863
459,9.3566,2272834870.5119
389,9.2106,1624176646.4768
292,8.9486,888360073.0504
391,9.218,1651900954.066
636,9.625,4216882084.5442
216,8.4142,259550417.9367
25,-7.6023,0.0
684,9.7043,5061579274.2831
784,9.7965,6258575900.9735
938,9.9364,8637999381.8505
822,9.8292,6749055856.0779
494,9.4136,2591637809.2296
148,7.2332,17106308.0047
449,9.3453,2214487018.8335
1007,9.9851,9661946776.3601
613,9.5835,3832693117.5005
989,9.966,9245984748.9304
379,9.184,1527715825.5617
378,9.1792,1510946482.0344
295,8.9525,896465341.1488
365,9.1461,1399822487.756
873,9.8679,7378025713.5695
972,9.9589,9096382704.7
689,9.707,5093164039.8566
434,9.2989,1990032354.1753
223,8.4622,289878661.0694
412,9.2535,1792731873.8374
844,9.8424,6956572769.4759
274,8.867,736288821.854
865,9.8607,7255599471.565
712,9.7262,5323565062.4932
49,-4.0667,0.0001
1014,9.99,9771656034.7714
392,9.2189,1655269826.1333
304,8.9751,944327735.4986
889,9.8847,7668329015.5341
986,9.9649,9224448225.9226
858,9.8562,7181420496.2016
254,8.7221,527347092.9333
28,-7.2708,0.0
576,9.5258,3355608312.7009
739,9.7548,5685813293.3173
929,9.9258,8428851334.3084
940,9.9372,8652681270.7573
119,5.1532,142303.8287
310,8.9971,993403211.8089
608,9.5724,3735552927.8592
322,9.0238,1056253231.5705
643,9.6335,4300770201.4035
264,8.8063,640166708.935
491,9.4095,2567145937.7912
831,9.8358,6851027303.0239
257,8.7412,551010447.0504
991,9.9705,9342835927.6859
562,9.5094,3231420479.1748
171,7.8501,70818577.2286
1015,9.9919,9816282132.0917
225,8.4689,294363720.0346
647,9.6432,4397555880.3229
1017,9.993,9839207085.0292
224,8.4672,293251291.2623
607,9.5719,3731855692.8483
917,9.9147,8216234433.3835
746,9.7619,5779074742.1737
232,8.5437,349742799.4028
623,9.602,3999736031.2107
625,9.6079,4053844802.4251
957,9.9489,8890337772.8581
54,-3.0485,0.0009
45,-5.0174,0.0
113,4.6424,43895.3895
367,9.1512,1416580645.2183
237,8.5937,392345050.8358
395,9.2278,1689800927.9949
545,9.4924,3107294100.8132
786,9.7988,6292426879.7756
354,9.1133,1298091984.1777
448,9.3437,2206302142.8948
495,9.4144,2596438821.1365
925,9.9249,8412918144.257
373,9.1728,1488813126.1659
41,-5.2815,0.0
261,8.773,592868093.2586
36,-5.8377,0.0
635,9.6244,4211304579.8875
174,7.8926,78096493.0371
922,9.9231,8376719176.1504
243,8.6424,438899364.9987
271,8.8365,686242662.3724
932,9.9272,8457362594.6573
302,8.9711,935629638.8683
123,5.2935,196546.1817
924,9.9247,8408047107.9877
343,9.0892,1228019298.4498
756,9.7685,5868269863.5008
581,9.531,3396361052.899
212,8.3738,236480220.8783
401,9.2361,1722240748.7535
914,9.9104,8136251683.6753
959,9.9501,8914514099.1832
476,9.3832,2416763746.1888
512,9.4359,2728415539.9479
537,9.4772,3000872819.3753
4,-9.5954,0.0
381,9.1914,1553694109.2246
363,9.1399,1380039788.5299
845,9.8428,6962498439.2481
350,9.1005,1260443175.0125
937,9.9351,8611276101.1687
824,9.8304,6766511409.349
249,8.704,505852790.8141
624,9.6078,4052923557.6856
857,9.8548,7158926876.1637
408,9.2474,1767486396.2209
179,7.96,91199979.9992
708,9.7206,5255249880.0596
236,8.5869,386259671.032
303,8.9713,936083711.3943
673,9.6934,4936066208.6648
94,2.057,114.0375
442,9.3293,2134362887.2577
345,9.0947,1243662166.2068
913,9.9101,8130133916.9473
755,9.768,5861235060.6568
27,-7.4506,0.0
965,9.9534,8983495834.6396
1006,9.9847,9654857213.3927
732,9.748,5597089297.8315
339,9.0803,1203090526.8481
158,7.5531,35737330.723
377,9.1778,1505930571.7966
668,9.6827,4816002604.8946
340,9.0835,1211950225.7559
313,9.0086,1019970852.9021
400,9.2356,1720398326.7798
887,9.884,7656199378.1866
777,9.79,6166043724.0798
91,1.5375,34.4766
893,9.8907,7775640420.5938
837,9.8379,6884669547.438
129,6.0008,1001897.5742
950,9.9455,8820137093.5198
461,9.3639,2311384081.1615
144,7.0685,11708181.1265
976,9.962,9162046851.5829
315,9.0101,1023626243.745
467,9.3702,2345088826.9753
380,9.1903,1549849799.1398
405,9.2436,1752088388.963
761,9.773,5928898434.0213
952,9.9464,8838820940.2726
185,8.0647,116064340.5327
71,-1.1734,0.0671
920,9.9218,8351655074.8255
420,9.268,1853422534.7767
574,9.5256,3354263858.661
30,-6.7065,0.0
704,9.7185,5229783735.6382
663,9.674,4720154756.0817
698,9.714,5175562646.6391
634,9.6237,4204285789.8328
156,7.48,30201139.7287
457,9.3537,2257742199.2173
580,9.5308,3394645791.6336
290,8.9409,872762480.2847
836,9.8379,6884144859.9296
768,9.7818,6051279282.5303
996,9.9746,9430881109.8528
214,8.3819,240929485.1873
372,9.1654,1463622189.9834
