,source_text,target_text
312,-3.9003,0.0001
370,-2.7664,0.0017
498,-0.2639,0.5446
1015,9.8436,6975852079.3768
275,-4.6237,0.0
587,1.4761,29.9261
793,5.5034,318728.8016
167,-6.7351,0.0
139,-7.2825,0.0
613,1.9844,96.4628
201,-6.0704,0.0
504,-0.1466,0.7135
485,-0.5181,0.3033
380,-2.5709,0.0027
399,-2.1994,0.0063
418,-1.828,0.0149
690,3.4897,3088.418
911,7.8104,64619215.5154
518,0.1271,1.3399
319,-3.7634,0.0002
69,-8.651,0.0
325,-3.6461,0.0002
254,-5.0342,0.0
37,-9.2766,0.0
885,7.3021,20047156.7388
130,-7.4585,0.0
64,-8.7488,0.0
845,6.52,3311609.3544
881,7.2239,16743699.3575
273,-4.6628,0.0
59,-8.8465,0.0
591,1.5543,35.8304
426,-1.6716,0.0213
390,-2.3754,0.0042
725,4.174,14927.8769
539,0.5376,3.4485
224,-5.6207,0.0
551,0.7722,5.9189
826,6.1486,1407934.9837
48,-9.0616,0.0
168,-6.7155,0.0
489,-0.4399,0.3632
147,-7.1261,0.0
578,1.3001,19.9571
735,4.3695,23415.3938
180,-6.4809,0.0
702,3.7243,5300.7848
187,-6.3441,0.0
641,2.5318,340.2274
786,5.3666,232578.1518
473,-0.7527,0.1767
471,-0.7918,0.1615
524,0.2444,1.7554
717,4.0176,10413.4661
938,8.3382,217881782.1333
1012,9.7849,6094614443.5291
540,0.5572,3.6073
676,3.216,1644.4902
528,0.3226,2.1017
412,-1.9453,0.0113
603,1.7889,61.4973
438,-1.437,0.0366
345,-3.2551,0.0006
621,2.1408,138.281
363,-2.9032,0.0012
549,0.7331,5.4093
689,3.4702,2952.4716
8,-9.8436,0.0
342,-3.3138,0.0005
629,2.2972,198.2281
698,3.6461,4427.2985
376,-2.6491,0.0022
318,-3.783,0.0002
639,2.4927,310.9343
776,5.1711,148274.1673
541,0.5767,3.7734
934,8.26,181978277.6702
10,-9.8045,0.0
494,-0.3421,0.4549
827,6.1681,1472763.2625
771,5.0733,118389.6626
590,1.5347,34.2533
538,0.5181,3.2967
280,-4.5259,0.0
968,8.9247,840874500.6671
696,3.607,4046.1141
378,-2.61,0.0025
834,6.305,2018298.2203
476,-0.694,0.2023
53,-8.9638,0.0
226,-5.5816,0.0
615,2.0235,105.5505
633,2.3754,237.3376
42,-9.1789,0.0
152,-7.0283,0.0
648,2.6686,466.2531
995,9.4526,2835243871.2619
1019,9.9218,8352156655.2459
292,-4.2913,0.0001
183,-6.4223,0.0
475,-0.7136,0.1934
577,1.2805,19.0786
870,7.0088,10204639.1942
431,-1.5738,0.0267
716,3.998,9955.0848
1002,9.5894,3885463336.1996
688,3.4506,2822.5093
61,-8.8074,0.0
835,6.3245,2111230.6364
874,7.087,12217969.1012
715,3.9785,9516.8807
379,-2.5904,0.0026
369,-2.7859,0.0016
811,5.8553,716683.6028
303,-4.0762,0.0001
332,-3.5093,0.0003
141,-7.2434,0.0
947,8.5142,326718704.2687
921,8.0059,101359650.0939
941,8.3969,249385928.6811
952,8.6119,409190656.7542
918,7.9472,88555201.6333
175,-6.5787,0.0
40,-9.218,0.0
2,-9.9609,0.0
574,1.2219,16.6685
923,8.045,110908743.9497
761,4.8778,75476.2582
467,-0.87,0.1349
104,-7.9668,0.0
463,-0.9482,0.1127
395,-2.2776,0.0053
346,-3.2356,0.0006
534,0.4399,2.7535
176,-6.5591,0.0
432,-1.5543,0.0279
238,-5.347,0.0
315,-3.8416,0.0001
701,3.7048,5067.4542
692,3.5288,3379.3779
277,-4.5846,0.0
762,4.8974,78951.5579
84,-8.3578,0.0
76,-8.5142,0.0
895,7.4976,31445333.6553
868,6.9697,9326033.4688
39,-9.2375,0.0
36,-9.2962,0.0
112,-7.8104,0.0
103,-7.9863,0.0
509,-0.0489,0.8936
374,-2.6882,0.0021
87,-8.2991,0.0
598,1.6911,49.1026
208,-5.9335,0.0
1008,9.7067,5090317458.5679
242,-5.2688,0.0
184,-6.4027,0.0
289,-4.35,0.0
863,6.8719,7446381.0955
499,-0.2444,0.5697
361,-2.9423,0.0011
301,-4.1153,0.0001
32,-9.3744,0.0
0,-10.0,0.0
243,-5.2493,0.0
791,5.4643,291286.68
976,9.0811,1205407584.7638
62,-8.7879,0.0
