,source_text,target_text
370,017300000006000300210001,017300000003008302
397,018e00000006000500230000,018e00000003008502
2121,084c0000001a004e6287a929a96364125095376586665005294c1a8c26dcb52f,084c0000000300ce01
1829,07270000001200341787c3432c3d70c1fd813d0e508cc607,07270000000300b401
1518,05f000000006000400000002,05f000000007000404e0603f0a
1907,077600000006000200090001,077600000003008202
1485,05cf00000006000400000002,05cf0000000700040481c03e82
873,036a0000000b00100000000204eff7411d,036a00000006001000000002
748,02ed0000000b0010000000020443f73f32,02ed00000006001000000002
2314,090e0000000600060009001e,090e00000003008602
1178,049c00000006000400020001,049c00000003008402
346,015b00000006000300000002,015b00000007000304dcde4231
894,037f0000001a0083c7ef1a4944b769e810439eda50c9c43c165ab4de21e43c88,037f00000003000301
2088,082b0000000b0010000000020419a24240,082b00000006001000000002
910,038f00000006000500070000,038f00000003008502
454,01c70000000b00100000000204c4764161,01c700000006001000000002
398,018f00000006000300000002,018f000000070003041852415c
973,03cf00000006000300000002,03cf0000000700030451794163
2246,08ca00000006000300000002,08ca000000070003045a153e88
531,02140000000b00100004000204f964409c,021400000003009002
891,037c00000006000400000002,037c0000000700040408803f7b
201,00ca00000006000400000002,00ca00000007000404fd763e16
372,01750000001a00f0ab5756c1b9342d4cacbf4eb3c3b04bddabf70475a3066b04,017500000003007001
2380,09500000000b001000000002040b4141b8,095000000006001000000002
2158,087100000006000400000002,0871000000070004048f803f00
834,03430000001a0027a70089fa15ec2f690a6e085cce1215081b8113a17acde2f3,03430000000300a701
1612,064e00000006000300000002,064e00000007000304d7324243
1104,045200000012003c11f8276aca7607f40b22da228abe508a,04520000000300bc01
2157,08700000000a008154d4a95ccf059ed0,087000000003000101
557,022e00000006000300000002,022e000000070003040be0422b
1103,045100000006000300000002,045100000007000304b167422c
312,013900000006000400000002,01390000000700040476203f61
1521,05f30000000b001000000002040b944156,05f300000006001000000002
157,009e0000000b0010000000020412c14228,009e00000006001000000002
231,00e800000006000400000002,00e800000007000404b0203f19
662,02970000000b0010000000020477774219,029700000006001000000002
1800,070a00000006000400000002,070a00000007000404a0203f30
115,007400000006000300000002,0074000000070003043e334239
2032,07f300000006000400250001,07f300000003008402
1285,050700000006000200160001,050700000003008202
2373,09490000001a00f653a9bdd8acb3f8dcf52e225cfb6da56626a717c4d44aa206,094900000003007601
1751,06d900000006000400000002,06d90000000700040404003ee2
