,source_text,target_text
58,003b0000000b001000000002047b0b473a:003b00000006001000000002|003c00000006000400000002:,003c0000000700040400003d30
1035,040c00000006000400000002:040c0000000700040400003e5c|040d0000000b001000000002044ec84719:,040d00000006001000000002
1375,056000000006000400000002:05600000000700040400003f1a|05610000000b0010000000020483c245a9:,056100000006001000000002
413,019e00000006000400000002:019e0000000700040400003f69|019f0000000b001000000002040280476c:,019f00000006001000000002
804,03250000000b0010000000020435c94773:032500000006001000000002|032600000006000400000002:,03260000000700040400003f49
969,03ca00000006000400000002:03ca0000000700040480003f7b|03cb0000000b0010000000020432a846e3:,03cb00000006001000000002
1424,05910000000b00100000000204d1d1475d:059100000006001000000002|059200000006000400000002:,05920000000700040400003f51
82,00530000000b00100000000204afd94729:005300000006001000000002|005400000006000400000002:,00540000000700040400003f59
1131,046c00000006000400000002:046c0000000700040480003f34|046d0000000b00100000000204711546e6:,046d00000006001000000002
626,02730000000b0010000000020429fa46ad:027300000006001000000002|027400000006000400000002:,02740000000700040400003f7d
1404,057d0000000b0010000000020416bf46d5:057d00000006001000000002|057e00000006000400000002:,057e0000000700040400003ebf
1525,05f600000006000400000002:05f60000000700040400003e8c|05f70000000b00100000000204fee74756:,05f700000006001000000002
900,03850000000b00100000000204d0204712:038500000006001000000002|038600000006000400000002:,03860000000700040400003e00
1445,05a600000006000400000002:05a60000000700040480003eef|05a70000000b00100000000204799545b7:,05a700000006001000000002
1284,05050000000b0010000000020492ee4625:050500000006001000000002|050600000006000400000002:,05060000000700040480003f3b
220,00dd0000000b00100000000204f6f3449b:00dd00000006001000000002|00de00000006000400000002:,00de0000000700040498003f37
1148,047d0000000b0010000000020430da4729:047d00000006001000000002|047e00000006000400000002:,047e0000000700040400003f5a
562,02330000000b001000000002044821468f:023300000006001000000002|023400000006000400000002:,02340000000700040400003d84
128,00810000000b0010000000020401d9460c:008100000006001000000002|008200000006000400000002:,00820000000700040480003eec
360,01690000000b001000000002045f6f4719:016900000006001000000002|016a00000006000400000002:,016a0000000700040400003ede
1393,057200000006000400000002:05720000000700040400003e96|05730000000b00100000000204f77f46a3:,057300000006001000000002
1004,03ed0000000b0010000000020444fd46f8:03ed00000006001000000002|03ee00000006000400000002:,03ee0000000700040400003efd
