,source_text,target_text
2641,0a5300000006000300000002:0a53000000070003049a5c4154|0a5400000006000300090001:0a5400000003008302|0a550000000b001000000002045d483fc1:,0a5500000006001000000002
2056,080a000000060004002f0001:080a00000003008402|080b00000006000400000002:080b00000007000404be403f2f|080c0000000b00100000000204bbea4206:,080c00000006001000000002
1959,07a900000006000300000002:07a9000000070003045f154186|07aa0000000b0010000000020412e141fc:07aa00000006001000000002|07ab0000001200cbb06835395c586938ca03e8216fc01fc6:,07ab00000003004b01
504,01f90000001a00ad73cfbab876d4c42cf93b2a5a99c172eb1cc2a88e2992a226:01f900000003002d01|01fa00000006000400000002:01fa0000000700040443003e11|01fb0000000b00100000000204cb1440f8:,01fb00000006001000000002
1585,06330000000600060021002e:063300000003008602|063400000006000300000002:063400000007000304c033421b|06350000000b00100000000204650d4178:,063500000006001000000002
2846,0b2000000006000300000002:0b200000000700030492dc4242|0b210000000b0010000000020456fc40ad:0b2100000006001000000002|0b2200000006000200280001:,0b2200000003008202
237,00ee0000001a00911357e685783e4a9dc5bb59649adf3f5243ccb492a1f440f8:00ee00000003001101|00ef00000006000300000002:00ef00000007000304e6a7402a|00f000000006000400000002:,00f0000000070004049a9c3f2b
2822,0b0800000006000400000002:0b0800000007000404c1203f62|0b0900000006000300000002:0b0900000007000304160941df|0b0a0000000b00100000000204f5014165:,0b0a00000006001000000002
191,00c000000006000400000002:00c00000000700040433403e98|00c10000001200c4933630ed6e1a9e4eaa7d6e4455378916:00c100000003004401|00c20000000b001000000002048f19423b:,00c200000006001000000002
761,02fa00000008000f001c00040103:02fa00000003008f02|02fb00000006000400000002:02fb000000070004048d003dbf|02fc0000000b001000000002041c614204:,02fc00000006001000000002
1207,04b800000006000400000002:04b80000000700040440e03eca|04b90000000b00100031000204a19a4032:04b900000003009002|04ba0000000b00100000000204af9e4154:,04ba00000006001000000002
455,01c80000001a00f0fe7d2c1217a8b6d04e104a0c4f9fc63dd60230646116517f:01c800000003007001|01c900000006000400000002:01c9000000070004040e003edd|01ca0000000b0010001000020453d741b8:,01ca00000003009002
3448,0d7a00000006000400000002:0d7a000000070004047dc03f05|0d7b00000006000300000002:0d7b000000070003042bee41ec|0d7c0000000b0010000000020421b03fd8:,0d7c00000006001000000002
2290,08f4000000120030631d6cfc548d1aa8dbe5b4d3b4984d5b:08f40000000300b001|08f500000006000300000002:08f500000007000304936240c7|08f60000000b0010000000020467773fb3:,08f600000006001000000002
2386,09540000001a0068dc2b6d156da64f4d9163c0ec01f0bd7b6b12de2f1d4bb60a:09540000000300e801|095500000006000400000002:095500000007000404db403e96|09560000000b00100000000204c8ee3f8c:,095600000006001000000002
2044,07fe0000001a00964e075c3ffc261f1c63250e693d79b07dc48c51f345a21c7f:07fe00000003001601|07ff00000008000f00030004010a:07ff00000003008f02|080000000006000400000002:,080000000007000404c2303f49
