,source_text,target_text
56,006c0000000d00100002000306000000000001,006c00000003009002
151,00cb0000000d0010e222000306000900010000,00cb00000003009002
155,00cf0000000d0010e222000306000900010009,00cf00000003009002
118,00aa000000060003e2220001,00aa00000003008302
6,003a00000009001000000001020009,003a00000006001000000001
88,008c0000000d00100002000306000100090009,008c00000003009002
48,006400000006000300010002,006400000003008302
62,00720000000d00100002000306000000010001,007200000003009002
70,007a0000000d00100002000306000000090009,007a00000003009002
78,00820000000d00100002000306000100010000,008200000003009002
69,007900000006000300020001,007900000003008302
19,004700000006000300000002,00470000000700030400000001
117,00a90000000d0010e222000306000000010001,00a900000003009002
17,004500000006000300000002,00450000000700030400000000
21,004900000006000300000002,00490000000700030400000009
7,003b00000006000300000001,003b000000050003020009
158,00d2000000060003e2220001,00d200000003008302
105,009d00000006000300020001,009d00000003008302
135,00bb0000000d0010e222000306000100010001,00bb00000003009002
144,00c4000000060003e2220001,00c400000003008302
3,003700000006000300000001,0037000000050003020000
80,00840000000d00100002000306000100010001,008400000003009002
90,008e0000000d00100002000306000900000000,008e00000003009002
122,00ae000000060003e2220001,00ae00000003008302
63,007300000006000300020001,007300000003008302
131,00b70000000d0010e222000306000100000009,00b700000003009002
119,00ab0000000d0010e222000306000000010009,00ab00000003009002
16,00440000000b0010000000020400000000,004400000006001000000002
11,003f00000009001000010001020001,003f00000006001000010001
71,007b00000006000300020001,007b00000003008302
128,00b4000000060003e2220001,00b400000003008302
28,00500000000b0010000000020400090000,005000000006001000000002
112,00a4000000060003e2220001,00a400000003008302
9,003d00000009001000010001020000,003d00000006001000010001
82,00860000000d00100002000306000100010009,008600000003009002
84,00880000000d00100002000306000100090000,008800000003009002
104,009c0000000d00100002000306000900090001,009c00000003009002
64,00740000000d00100002000306000000010009,007400000003009002
47,00630000000b0010000100020400090000,006300000003009002
138,00be000000060003e2220001,00be00000003008302
102,009a0000000d00100002000306000900090000,009a00000003009002
146,00c6000000060003e2220001,00c600000003008302
55,006b00000006000300020001,006b00000003008302
10,003e00000006000300010001,003e000000050003020000
50,006600000006000300010002,006600000003008302
67,007700000006000300020001,007700000003008302
72,007c0000000d00100002000306000100000000,007c00000003009002
0,003400000006000300010001,0034000000050003020009
134,00ba000000060003e2220001,00ba00000003008302
57,006d00000006000300020001,006d00000003008302
