,source_text,target_text
2159,08700000001a00aeb9539ba6c0f008490b0fd49962f6884b8d38fa68b8deab69:08700000000300ae01|087100000006000300000001:0871000000050003020000|0872000000060006001c0000:087200000003008602|08730000001a0072c73192512757a737c371996c2f74d0e2a2a9ebcb5cc7bfeb:08730000000300f201|087400000006000500210000:087400000003008502|087500000006000200000001:08750000000400020100|08760000000600050000ff00:,087600000003008502
1789,06fe0000000a00fc5aaf5d5cac28a4e6:06fe0000000300fc01|06ff00000006000500000000:06ff00000003008502|070000000006000600090009:070000000003008602|0701000000060006000a0000:070100000003008602|070200000006000200000001:07020000000400020100|07030000000600050000ff00:070300000003008502|0704000000060005002fff00:,070400000003008502
2217,08aa00000006000300000001:08aa000000050003020000|08ab00000006000200000001:08ab0000000400020100|08ac00000006000600010000:08ac00000006000600010000|08ad00000006000300000001:08ad000000050003020000|08ae0000000600050000ff00:08ae00000003008502|08af0000001a00a23d16c2c70bc3a25579c52c5aab02ac6d68168354bcf6e69d:08af0000000300a201|08b000000006000600110000:,08b000000003008602
2049,080200000006000200000001:08020000000400020100|080300000006000500000000:080300000003008502|08040000001200538be0510e7f5523916a1fcf4d1502f4bb:08040000000300d301|080500000006000200000001:08050000000400020100|080600000006000500000000:080600000003008502|08070000000a004a58a9f152919111b2:08070000000300ca01|080800000006000600290000:,080800000003008602
1185,04a20000000a009a940221d70a316fc7:04a200000003009a01|04a300000006000200000001:04a30000000400020100|04a400000006000500000000:04a400000003008502|04a500000006000200000001:04a50000000400020100|04a600000006000500000000:04a600000003008502|04a700000006000300000001:04a7000000050003020000|04a800000012008a57987e0ee5139fb327bb5811e7ed5c91:,04a800000003008a01
960,03c100000006000300000001:03c1000000050003020000|03c200000006000200000001:03c20000000400020100|03c300000006000500240000:03c300000003008502|03c40000000a00cbb162735c134e5adc:03c40000000300cb01|03c50000000600050000ff00:03c500000003008502|03c600000006000600220000:03c600000003008602|03c70000000a0085f1ce80b244d30cf9:,03c700000003008501
2325,091600000006000300000001:0916000000050003020000|091700000006000200000001:09170000000400020100|091800000006000500000000:091800000003008502|09190000000600050000ff00:091900000003008502|091a00000006000600240000:091a00000003008602|091b00000006000300000001:091b000000050003020000|091c00000006000200000001:,091c0000000400020100
1363,0554000000060006001a0000:055400000003008602|05550000001a0054492d54ffdf8fe925a3f31ce29993432250ff4c3ae0dcf6f7:05550000000300d401|055600000006000200000001:05560000000400020100|055700000006000300000001:0557000000050003020000|055800000006000300170001:055800000003008302|05590000000600050000ff00:055900000003008502|055a00000006000300000001:,055a000000050003020000
290,012300000006000500000000:012300000003008502|01240000001a00dcee2aadd36d67a556b9bd85b7779274f1611bea355ec19168:01240000000300dc01|012500000006000300000001:0125000000050003020000|012600000006000300120001:012600000003008302|012700000006000500000000:012700000003008502|0128000000060006000e0000:012800000003008602|012900000006000200000001:,01290000000400020100
1857,074200000006000200000001:07420000000400020100|074300000006000300000001:0743000000050003020000|0744000000060006000b0000:074400000003008602|074500000006000500000000:074500000003008502|07460000001200c0f453d51384c13055c9641d3247a542d8:07460000000300c001|074700000006000300000001:0747000000050003020000|074800000006000300150001:,074800000003008302
1752,06d900000006000500020000:06d900000003008502|06da0000000a006c2892728f0d553eba:06da0000000300ec01|06db00000006000600060000:06db00000003008602|06dc0000000600050000ff00:06dc00000003008502|06dd00000006000300000001:06dd000000050003020000|06de00000006000200000001:06de0000000400020100|06df00000006000600020004:,06df00000003008602
