,source_text,target_text
2320,091100000006000200000001:091100000003008204|091200000006000500070000:,091200000003008504
1047,04180000000600050013ff00:041800000003008504|041900000006000200010001:,041900000003008204
2359,09380000000600050000ff00:093800000003008504|093900000006000300060001:,093900000003008304
1954,07a300000006000200000001:07a300000003008204|07a40000001a00227580b24e43281bbc81cefe62078de00e0861eb5214da66b9:,07a40000000300a201
1474,05c30000001a0079cb145f54d3aa529fb05d308f30e0629e02d99220a0546233:05c30000000300f901|05c400000006000500000000:,05c400000003008504
2263,08d800000006000600000013:08d800000003008604|08d900000006000300000001:,08d900000003008304
1317,052600000006000600050019:052600000003008604|052700000006000200000001:,052700000003008204
557,022e00000006000200010001:022e00000003008204|022f00000006000600000043:,022f00000003008604
2237,08be0000000600060000001e:08be00000003008604|08bf00000006000200010001:,08bf00000003008204
1791,07000000000600050000ff00:070000000003008504|07010000000a00303b017ad2abb6d7b3:,07010000000300b001
1026,040300000006000200010001:040300000003008204|040400000006000600000033:,040400000003008604
1333,053600000006000300000001:053600000003008304|053700000006000200000001:,053700000003008204
56,003900000006000300000001:003900000003008304|003a0000000a009755d13221ace9a143:,003a00000003009701
913,0392000000060002002a0001:039200000003008204|039300000006000300000001:,039300000003008304
41,002a00000006000500000000:002a00000003008504|002b00000006000200000001:,002b00000003008204
1535,060000000006000200000001:060000000003008204|060100000006000200230001:,060100000003008204
1074,04330000000600060000001a:043300000003008604|043400000012008db41a818f59e10134312804965851d77d:,043400000003008d01
785,031200000006000200010001:031200000003008204|031300000006000500000000:,031300000003008504
1157,048600000006000300000001:048600000003008304|048700000006000500000000:,048700000003008504
1879,075800000006000200000001:075800000003008204|075900000006000300000001:,075900000003008304
1071,043000000006000200000001:043000000003008204|043100000006000200010001:,043100000003008204
1608,064900000006000200000001:064900000003008204|064a00000006000200260001:,064a00000003008204
1972,07b50000000a002a1daf6636a95b9e55:07b50000000300aa01|07b600000006000200010001:,07b600000003008204
1732,06c500000006000200010001:06c500000003008204|06c600000006000300000001:,06c600000003008304
377,017a0000000a00f80a7db43010e234a0:017a0000000300f801|017b0000000600060000005b:,017b00000003008604
669,029e00000006000200010001:029e00000003008204|029f0000000600060000001b:,029f00000003008604
1967,07b000000006000600000038:07b000000003008604|07b100000006000200000001:,07b100000003008204
1086,043f0000000600050000ff00:043f00000003008504|0440000000060006002e0043:,044000000003008604
1905,077200000006000200010001:077200000003008204|07730000001a00b8a2e48838e1df7ed967061fa991b714776cc862816a2a4da4:,07730000000300b801
