,source_text,target_text
2940,0b7d00000006000600000042:0b7d00000003008604|0b7e00000006000200010001:0b7e00000003008204|0b7f0000000600050000ff00:0b7f00000003008504|0b8000000006000200000001:0b8000000003008204|0b810000001200df6422651dd4087ccaade20a68abfe9485:,0b810000000300df01
3476,0d9500000006000600000039:0d9500000003008604|0d9600000006000200170001:0d9600000003008204|0d9700000006000200010001:0d9700000003008204|0d980000000600050000ff00:0d9800000003008504|0d99000000060005002dff00:,0d9900000003008504
308,013500000006000200010001:013500000003008204|01360000001200d883b61a264bf1e778334936ef5009d43e:01360000000300d801|013700000006000300000001:013700000003008304|013800000006000600060038:013800000003008604|013900000006000600000021:,013900000003008604
2728,0aa90000000a0092ce493627cac3f065:0aa900000003009201|0aaa0000000600050000ff00:0aaa00000003008504|0aab00000006000200000001:0aab00000003008204|0aac00000006000200010001:0aac00000003008204|0aad000000060006001c0026:,0aad00000003008604
2852,0b2500000006000300000001:0b2500000003008304|0b260000000600050000ff00:0b2600000003008504|0b2700000006000200000001:0b2700000003008204|0b280000000600060000005c:0b2800000003008604|0b2900000006000200010001:,0b2900000003008204
839,034800000006000200010001:034800000003008204|034900000006000200010001:034900000003008204|034a00000006000200000001:034a00000003008204|034b0000000a002aaf1b576e6c2a32f8:034b0000000300aa01|034c00000006000300000001:,034c00000003008304
1758,06df0000000600060000000c:06df00000003008604|06e000000006000200010001:06e000000003008204|06e100000006000300000001:06e100000003008304|06e200000006000500000000:06e200000003008504|06e300000006000200000001:,06e300000003008204
1123,046400000006000300000001:046400000003008304|04650000001a009bbfe3132d82522b166cf1caa8958ed7b71c1bf12f2ddeb4af:046500000003009b01|04660000000600060000003c:046600000003008604|04670000000600050021ff00:046700000003008504|046800000006000200010001:,046800000003008204
804,032500000006000500000000:032500000003008504|03260000001200fcecfea702752f77694eece203ac8bdb96:03260000000300fc01|032700000006000200200001:032700000003008204|032800000006000200010001:032800000003008204|03290000000600050000ff00:,032900000003008504
1968,07b100000006000300000001:07b100000003008304|07b200000006000200000001:07b200000003008204|07b300000006000200010001:07b300000003008204|07b400000006000200020001:07b400000003008204|07b50000000a0031b377dd4767aa5900:,07b50000000300b101
1191,04a800000006000200010001:04a800000003008204|04a900000006000300170001:04a900000003008304|04aa0000001a0063cbc75410be63e49a248fca5bba0ba714a7ed20855cac4c56:04aa0000000300e301|04ab00000006000500000000:04ab00000003008504|04ac00000006000200000001:,04ac00000003008204
1690,069b00000006000300020001:069b00000003008304|069c0000001a00da457158b8de526b6ee073b61a858e55163b2bab5e0a58724a:069c0000000300da01|069d00000006000500000000:069d00000003008504|069e00000006000200000001:069e00000003008204|069f00000006000600000059:,069f00000003008604
3166,0c5f00000006000300000001:0c5f00000003008304|0c6000000006000500000000:0c6000000003008504|0c6100000006000200010001:0c6100000003008204|0c6200000006000200000001:0c6200000003008204|0c6300000006000600000017:,0c6300000003008604
2493,09be0000000600050000ff00:09be00000003008504|09bf0000001200982c7b7824a153934992500c76745f576e:09bf00000003009801|09c000000006000600000052:09c000000003008604|09c100000006000300000001:09c100000003008304|09c200000006000200000001:,09c200000003008204
3258,0cbb00000006000200010001:0cbb00000003008204|0cbc00000006000500000000:0cbc00000003008504|0cbd00000006000300000001:0cbd00000003008304|0cbe00000012009204f507229039f809a42d05a01639b019:0cbe00000003009201|0cbf00000006000200010001:,0cbf00000003008204
199,00c800000006000200010001:00c800000003008204|00c900000006000300000001:00c900000003008304|00ca0000000a004de0542f9072e1c0f0:00ca0000000300cd01|00cb0000000600060000003f:00cb00000003008604|00cc00000006000300000001:,00cc00000003008304
2816,0b0100000006000200010001:0b0100000003008204|0b020000000a00893e1239351f941bf4:0b0200000003008901|0b0300000006000600000000:0b0300000003008604|0b0400000006000200000001:0b0400000003008204|0b0500000006000500000000:,0b0500000003008504
2008,07d9000000060006002a000d:07d900000003008604|07da00000006000200010001:07da00000003008204|07db00000006000500000000:07db00000003008504|07dc00000006000600000002:07dc00000003008604|07dd00000006000500220000:,07dd00000003008504
1184,04a100000006000300000001:04a100000003008304|04a20000000600060000001d:04a200000003008604|04a30000001a00d66dba5c8e9690a13269efb2df36372d0a9dcfbe953f0336c5:04a30000000300d601|04a40000000600050004ff00:04a400000003008504|04a500000006000200010001:,04a500000003008204
57,003a00000006000200010001:003a00000003008204|003b0000001a00c224ad492f060b6dfdcb599f0ac33e93212d681032a4990eae:003b0000000300c201|003c00000006000200030001:003c00000003008204|003d00000006000200000001:003d00000003008204|003e00000006000500000000:,003e00000003008504
205,00ce00000006000600000022:00ce00000003008604|00cf00000006000200000001:00cf00000003008204|00d0000000060003002c0001:00d000000003008304|00d100000006000200010001:00d100000003008204|00d20000001a006c562fff19a5f831dab6be0f4a0a07743da226690d69aa8d6a:,00d20000000300ec01
145,009200000006000200010001:009200000003008204|00930000001a00aa4fd087f71a4012bcc0e1b1aa45d34aadc5f53e1096c2c441:00930000000300aa01|009400000006000600180042:009400000003008604|009500000006000200010001:009500000003008204|009600000006000300000001:,009600000003008304
2977,0ba20000000600050000ff00:0ba200000003008504|0ba300000006000200010001:0ba300000003008204|0ba4000000060006000f003d:0ba400000003008604|0ba500000006000200000001:0ba500000003008204|0ba60000000a008439117e82c9c8818d:,0ba600000003008401
985,03da00000006000300000001:03da00000003008304|03db00000006000500000000:03db00000003008504|03dc00000006000600000011:03dc00000003008604|03dd00000006000200010001:03dd00000003008204|03de00000006000600320043:,03de00000003008604
154,009b0000000600050000ff00:009b00000003008504|009c00000006000200000001:009c00000003008204|009d00000006000300100001:009d00000003008304|009e0000000a007e714aa1d0c8aba3dc:009e0000000300fe01|009f00000006000200010001:,009f00000003008204
3264,0cc10000000600050000ff00:0cc100000003008504|0cc200000006000300000001:0cc200000003008304|0cc300000006000200000001:0cc300000003008204|0cc400000006000600000010:0cc400000003008604|0cc500000006000200250001:,0cc500000003008204
766,02ff0000000600060018001a:02ff00000003008604|03000000000a0022eae1f838e8c3cd1a:03000000000300a201|030100000006000600000007:030100000003008604|03020000000600050000ff00:030200000003008504|030300000006000200010001:,030300000003008204
3298,0ce300000006000300000001:0ce300000003008304|0ce400000006000200010001:0ce400000003008204|0ce50000001a00e23637827932672066b420c7754185884bb0114d02b68311b6:0ce50000000300e201|0ce600000006000500000000:0ce600000003008504|0ce700000006000300020001:,0ce700000003008304
1426,0593000000060003001b0001:059300000003008304|059400000006000200000001:059400000003008204|059500000006000600000033:059500000003008604|0596000000060003001c0001:059600000003008304|05970000001200f420d11d56c3776dfabdf0924e723a2963:,05970000000300f401
118,007700000006000200000001:007700000003008204|007800000006000300000001:007800000003008304|007900000006000500000000:007900000003008504|007a00000006000600000002:007a00000003008604|007b0000000a007c1dc898c177389b4b:,007b0000000300fc01
2274,08e30000000600050000ff00:08e300000003008504|08e400000006000200010001:08e400000003008204|08e500000006000200230001:08e500000003008204|08e60000001a0078af4e49fe98af8f639afb96c70f1f82f7f1b402219843e8ee:08e60000000300f801|08e700000006000300000001:,08e700000003008304
1916,077d00000006000200000001:077d00000003008204|077e00000006000600000060:077e00000003008604|077f00000006000600000031:077f00000003008604|078000000006000300000001:078000000003008304|07810000000a009f55c93e4d8ae00cac:,078100000003009f01
33,002200000006000300000001:002200000003008304|00230000000600050000ff00:002300000003008504|002400000006000300000001:002400000003008304|002500000006000200000001:002500000003008204|002600000006000200010001:,002600000003008204
2586,0a1b00000006000600000041:0a1b00000003008604|0a1c00000006000300000001:0a1c00000003008304|0a1d00000006000200000001:0a1d00000003008204|0a1e0000000600050000ff00:0a1e00000003008504|0a1f00000006000600000001:,0a1f00000003008604
2727,0aa800000006000500210000:0aa800000003008504|0aa90000000a0092ce493627cac3f065:0aa900000003009201|0aaa0000000600050000ff00:0aaa00000003008504|0aab00000006000200000001:0aab00000003008204|0aac00000006000200010001:,0aac00000003008204
3111,0c28000000060005001f0000:0c2800000003008504|0c2900000006000200010001:0c2900000003008204|0c2a00000006000300000001:0c2a00000003008304|0c2b00000006000500000000:0c2b00000003008504|0c2c00000006000300000001:,0c2c00000003008304
848,0351000000060002001f0001:035100000003008204|03520000000600060000003c:035200000003008604|03530000000600050000ff00:035300000003008504|035400000012003154cabe28eb70444558248aafc3c06538:03540000000300b101|035500000006000200000001:,035500000003008204
3518,0dbf00000006000200000001:0dbf00000003008204|0dc000000006000600000023:0dc000000003008604|0dc100000006000300000001:0dc100000003008304|0dc200000012003dbea184195131b7b59fa9d306b239c197:0dc20000000300bd01|0dc300000006000600000030:,0dc300000003008604
1696,06a10000000600050000ff00:06a100000003008504|06a200000006000200000001:06a200000003008204|06a300000006000300000001:06a300000003008304|06a40000000a00cec9ed60f789101095:06a40000000300ce01|06a500000006000600240054:,06a500000003008604
908,038d0000000600060000000c:038d00000003008604|038e00000006000300000001:038e00000003008304|038f0000000600050029ff00:038f00000003008504|03900000001a009614fd68d874be7ee215b83729bb567d1e35bd60f6836104c4:039000000003009601|039100000006000300000001:,039100000003008304
2953,0b8a000000060005000dff00:0b8a00000003008504|0b8b0000000600060000002b:0b8b00000003008604|0b8c00000006000600210022:0b8c00000003008604|0b8d00000006000200010001:0b8d00000003008204|0b8e00000006000300000001:,0b8e00000003008304
3110,0c270000000a005f6d982bc418208fc5:0c270000000300df01|0c28000000060005001f0000:0c2800000003008504|0c2900000006000200010001:0c2900000003008204|0c2a00000006000300000001:0c2a00000003008304|0c2b00000006000500000000:,0c2b00000003008504
1788,06fd00000006000200010001:06fd00000003008204|06fe0000000600060000004d:06fe00000003008604|06ff00000006000300000001:06ff00000003008304|070000000006000500000000:070000000003008504|070100000006000200100001:,070100000003008204
