,source_text,target_text
392,018900000006000400000001:0189000000050004020009|018a00000006000300010001:018a000000050003020000|018b00000006000200000001:,018b00000003008202
1923,078400000006000400020001:0784000000050004020000|078500000006000300010001:0785000000050003020000|078600000006000200000001:,078600000003008202
243,00f400000006000400310001:00f400000003008402|00f500000006000400030001:00f5000000050004020022|00f600000006000300010001:,00f6000000050003020000
276,011500000006000500000000:011500000003008502|011600000006000300180001:011600000003008302|011700000012007b9ab7369d10a47b26551810720655710d:,01170000000300fb01
974,03cf00000006000400010001:03cf00000005000402003e|03d000000006000400000001:03d0000000050004020000|03d10000001200c94c8a2d92305c0b41cd769abddaeaa40d:,03d10000000300c901
311,01380000000a00f5328658f783f2c4cb:01380000000300f501|013900000006000400000001:0139000000050004020006|013a00000006000400020001:,013a000000050004020004
1606,06470000000600050000ff00:064700000003008502|064800000006000300000001:0648000000050003020000|064900000006000300010001:,0649000000050003020000
1845,073600000006000500000000:073600000003008502|073700000006000400010001:073700000005000402003e|073800000006000300010001:,0738000000050003020000
547,022400000006000200000001:022400000003008202|022500000006000300010001:0225000000050003020000|022600000006000400010001:,0226000000050004020000
1620,065500000006000400010001:065500000005000402003e|065600000006000300000001:0656000000050003020000|065700000006000400020001:,0657000000050004020000
117,007600000006000200050001:007600000003008202|007700000006000400030001:007700000005000402003d|007800000006000300000001:,0078000000050003020000
957,03be00000006000400020001:03be000000050004020000|03bf00000006000500000000:03bf00000003008502|03c000000006000200000001:,03c000000003008202
1295,051000000006000400030001:0510000000050004020032|051100000006000300010001:0511000000050003020000|051200000006000400010001:,051200000005000402000c
1351,054800000006000400000001:0548000000050004020000|054900000006000400010001:054900000005000402000c|054a000000060002002c0001:,054a00000003008202
1669,06860000000600050000ff00:068600000003008502|068700000006000300000001:0687000000050003020000|06880000000600050000ff00:,068800000003008502
1512,05e900000006000400030001:05e9000000050004020000|05ea00000006000400020001:05ea000000050004020000|05eb0000001a00b31c819416e9310c218a52ef72a8deb052936ff1353affc067:,05eb0000000300b301
2155,086c00000006000300000001:086c000000050003020000|086d00000006000500000000:086d00000003008502|086e00000006000600270003:,086e00000003008602
1324,052d00000006000500000000:052d00000003008502|052e00000006000400020001:052e000000050004020000|052f000000060005000dff00:,052f00000003008502
965,03c60000000a00d6c75887f105d9c5a3:03c60000000300d601|03c700000006000300000001:03c7000000050003020000|03c800000006000200000001:,03c800000003008202
672,02a100000006000400030001:02a1000000050004020000|02a200000006000300000001:02a2000000050003020000|02a300000006000200000001:,02a300000003008202
90,005b00000006000200000001:005b00000003008202|005c00000006000500300000:005c00000003008502|005d00000006000300010001:,005d000000050003020000
2112,08410000001a00a792b0a3c6a47ddf0dcefec1c47102db1ea4d3c3e5c786c095:08410000000300a701|084200000006000400030001:0842000000050004020032|0843000000060006001c0000:,084300000003008602
1069,042e00000006000300010001:042e000000050003020000|042f00000006000300010001:042f000000050003020000|043000000006000300000001:,0430000000050003020000
1747,06d400000006000300000001:06d4000000050003020000|06d500000006000300010001:06d5000000050003020000|06d60000001a00221df30ae18ac00cbcc894851410bf1cad7953fa5a2ce1f740:,06d60000000300a201
1386,056b00000006000300000001:056b000000050003020000|056c00000006000400000001:056c000000050004020000|056d00000006000400020001:,056d000000050004020000
1556,061500000006000200270001:061500000003008202|061600000006000200000001:061600000003008202|06170000000600050000ff00:,061700000003008502
26,001b00000006000400070001:001b00000003008402|001c00000006000400000001:001c000000050004020003|001d00000006000300000001:,001d000000050003020000
500,01f50000000600050000ff00:01f500000003008502|01f600000006000400010001:01f6000000050004020000|01f700000006000400000001:,01f7000000050004020006
315,013c00000006000400030001:013c000000050004020031|013d00000006000400010001:013d000000050004020032|013e0000000600050026ff00:,013e00000003008502
1432,059900000006000300010001:0599000000050003020000|059a00000006000400010001:059a00000005000402003e|059b00000006000200000001:,059b00000003008202
1244,04dd00000006000400220001:04dd00000003008402|04de00000006000300010001:04de000000050003020000|04df0000000a0070f3c22e7e7ebe0e7e:,04df0000000300f001
381,017e00000006000400020001:017e000000050004020003|017f00000006000300010001:017f000000050003020000|01800000001200596e628a4138f0b0c9e01476a3b24d7756:,01800000000300d901
1349,054600000006000200000001:054600000003008202|054700000006000400030001:0547000000050004020032|054800000006000400000001:,0548000000050004020000
2049,080200000006000300010001:0802000000050003020000|080300000006000300000001:0803000000050003020000|080400000006000400020001:,0804000000050004020000
894,037f0000001a00a7432804c6102faade27f3b175a1027c41a2049a6d11587098:037f0000000300a701|038000000006000300010001:0380000000050003020000|038100000006000400010001:,038100000005000402003e
616,026900000006000200000001:026900000003008202|026a00000006000300010001:026a000000050003020000|026b00000006000300000001:,026b000000050003020000
775,030800000006000200000001:030800000003008202|03090000001a006f179ffcdc784441c1a80ba41e39ab3601a180ab521339c058:03090000000300ef01|030a00000006000400010001:,030a00000005000402000c
654,028f0000001200be885bade2103836e96e1f5069678ccdb6:028f0000000300be01|029000000006000400030001:0290000000050004020030|029100000006000300010001:,0291000000050003020000
568,023900000006000200000001:023900000003008202|023a00000006000400000001:023a000000050004020002|023b00000006000400000001:,023b000000050004020002
1912,077900000012007a9952e85b85af7e3cf8d75574d66ba6ae:07790000000300fa01|077a000000060005001d0000:077a00000003008502|077b00000006000400020001:,077b000000050004020000
64,004100000006000500000000:004100000003008502|004200000006000400020001:0042000000050004020004|004300000012003fdecd64da84dc3b456674aa2d8fcd56e8:,00430000000300bf01
1024,040100000006000500000000:040100000003008502|040200000006000300010001:0402000000050003020000|040300000006000400000001:,0403000000050004020000
719,02d0000000060003001c0001:02d000000003008302|02d100000006000400020001:02d1000000050004020000|02d200000006000300010001:,02d2000000050003020000
387,018400000006000400030001:018400000005000402000f|018500000006000400000001:0185000000050004020009|018600000006000500000000:,018600000003008502
847,035000000006000200000001:035000000003008202|035100000006000400000001:0351000000050004020000|03520000000600050000ff00:,035200000003008502
2293,08f600000006000400020001:08f6000000050004020000|08f700000006000300000001:08f7000000050003020000|08f800000006000500000000:,08f800000003008502
374,01770000000600050015ff00:017700000003008502|017800000006000400010001:0178000000050004020061|017900000006000400000001:,0179000000050004020008
49,0032000000060006001d0053:003200000003008602|003300000006000500000000:003300000003008502|003400000006000400000001:,0034000000050004020008
1433,059a00000006000400010001:059a00000005000402003e|059b00000006000200000001:059b00000003008202|059c00000006000400000001:,059c000000050004020000
2189,088e00000006000300000001:088e000000050003020000|088f0000000600050027ff00:088f00000003008502|089000000006000400000001:,0890000000050004020000
1557,061600000006000200000001:061600000003008202|06170000000600050000ff00:061700000003008502|061800000006000400020001:,0618000000050004020000
1899,076c00000006000200000001:076c00000003008202|076d0000001a0067292c32e635f0cbb6d5ecdf7f04ad39da8aa928db0d6b166a:076d0000000300e701|076e00000006000200000001:,076e00000003008202
1255,04e80000000a009fc7dc0f9389de01e2:04e800000003009f01|04e900000006000300000001:04e9000000050003020000|04ea00000006000400000001:,04ea000000050004020000
1537,060200000006000500000000:060200000003008502|060300000006000200000001:060300000003008202|060400000006000400020001:,0604000000050004020000
895,038000000006000300010001:0380000000050003020000|038100000006000400010001:038100000005000402003e|038200000006000200000001:,038200000003008202
1982,07bf00000006000300010001:07bf000000050003020000|07c00000000600050014ff00:07c000000003008502|07c100000006000300000001:,07c1000000050003020000
1144,047900000006000300000001:0479000000050003020000|047a00000006000400010001:047a00000005000402000c|047b00000006000500090000:,047b00000003008502
544,022100000006000400000001:0221000000050004020006|022200000006000300000001:0222000000050003020000|022300000006000400020001:,0223000000050004020002
744,02e900000006000300010001:02e9000000050003020000|02ea00000006000400010001:02ea00000005000402003e|02eb00000006000400020001:,02eb000000050004020000
936,03a900000006000300100001:03a900000003008302|03aa0000000600050000ff00:03aa00000003008502|03ab00000006000200000001:,03ab00000003008202
2275,08e400000006000400010001:08e400000005000402000c|08e500000006000300010001:08e5000000050003020000|08e600000006000300000001:,08e6000000050003020000
2210,08a300000006000500000000:08a300000003008502|08a4000000120020b00ae129acb0500717b4ef857e478491:08a40000000300a001|08a500000006000200000001:,08a500000003008202
261,010600000006000200000001:010600000003008202|0107000000060004000b0001:010700000003008402|010800000006000400020001:,0108000000050004020002
93,005e00000006000400030001:005e00000005000402000f|005f00000006000400010001:005f00000005000402005a|006000000006000400020001:,0060000000050004020004
347,015c00000012005c7d47159c68e2262edd81b6e0729bcb99:015c0000000300dc01|015d00000006000500050000:015d00000003008502|015e00000006000400000001:,015e000000050004020008
1674,068b00000006000300010001:068b000000050003020000|068c00000006000200000001:068c00000003008202|068d00000006000400030001:,068d000000050004020000
1195,04ac00000006000400010001:04ac00000005000402003e|04ad00000006000200000001:04ad00000003008202|04ae00000006000300010001:,04ae000000050003020000
1568,062100000006000300010001:0621000000050003020000|06220000001a005c2e574d5e672cf8c60ea54f4256f4de4fd2bb2a27957fec2c:06220000000300dc01|062300000006000400010001:,062300000005000402000c
937,03aa0000000600050000ff00:03aa00000003008502|03ab00000006000200000001:03ab00000003008202|03ac00000006000400020001:,03ac000000050004020000
377,017a0000000a0058d92a6c0faa1885ae:017a0000000300d801|017b00000006000300000001:017b000000050003020000|017c00000006000200000001:,017c00000003008202
2028,07ed00000006000300000001:07ed000000050003020000|07ee00000006000400030001:07ee000000050004020000|07ef00000006000400020001:,07ef000000050004020000
2054,080700000006000300010001:0807000000050003020000|08080000001200a9c4ccb4c8cedb6b095abe70789d7a96f1:08080000000300a901|080900000006000400030001:,0809000000050004020032
1151,048000000006000200000001:048000000003008202|048100000006000400020001:0481000000050004020000|04820000001a0050bd9f1f0a7feb4e19b550f9487be6a81c72006973310e249c:,04820000000300d001
319,014000000006000300010001:0140000000050003020000|014100000006000300000001:0141000000050003020000|014200000006000400010001:,0142000000050004020000
1319,052800000006000200000001:052800000003008202|052900000012001c5f62e2d19196422ca2799fdb847131d3:052900000003009c01|052a00000006000400030001:,052a000000050004020000
1424,059100000006000400000001:0591000000050004020000|059200000006000300010001:0592000000050003020000|059300000006000400020001:,0593000000050004020000
1866,074b00000006000400020001:074b000000050004020000|074c00000006000200000001:074c00000003008202|074d00000006000400000001:,074d000000050004020000
2166,087700000006000300000001:0877000000050003020000|0878000000060005001b0000:087800000003008502|08790000000600050000ff00:,087900000003008502
1548,060d00000006000300000001:060d000000050003020000|060e00000006000300010001:060e000000050003020000|060f00000006000300000001:,060f000000050003020000
1712,06b100000006000500000000:06b100000003008502|06b200000006000400030001:06b2000000050004020000|06b300000006000300010001:,06b3000000050003020000
1202,04b300000006000300000001:04b3000000050003020000|04b400000006000400010001:04b400000005000402000c|04b500000006000500000000:,04b500000003008502
463,01d000000006000400020001:01d0000000050004020005|01d100000006000500000000:01d100000003008502|01d200000006000400030001:,01d2000000050004020048
560,023100000006000300010001:0231000000050003020000|02320000001a00a0c2c51ce1c0f1d998238ec122a4243cfe166744b57a2c248f:02320000000300a001|023300000006000500000000:,023300000003008502
916,039500000006000400010001:039500000005000402003e|03960000001a007ca10492ac592fb4afcf28308e6eb86b644c4006206124de19:03960000000300fc01|039700000006000400030001:,0397000000050004020000
1384,056900000006000200000001:056900000003008202|056a00000006000300010001:056a000000050003020000|056b00000006000300000001:,056b000000050003020000
865,036200000006000300010001:0362000000050003020000|036300000006000500000000:036300000003008502|036400000006000400000001:,0364000000050004020000
466,01d300000006000200000001:01d300000003008202|01d400000006000400010001:01d4000000050004020032|01d500000006000500160000:,01d500000003008502
389,018600000006000500000000:018600000003008502|018700000006000300000001:0187000000050003020000|018800000006000400020001:,0188000000050004020003
2055,08080000001200a9c4ccb4c8cedb6b095abe70789d7a96f1:08080000000300a901|080900000006000400030001:0809000000050004020032|080a00000006000400000001:,080a000000050004020000
1361,05520000000a0028661273763687df5a:05520000000300a801|05530000000600050000ff00:055300000003008502|0554000000060004000f0001:,055400000003008402
643,028400000006000200000001:028400000003008202|028500000006000400020001:0285000000050004020000|028600000006000400000001:,0286000000050004020001
1544,06090000001a00a2200e10c1565d89642117e2cbea81b292d50d8bf2743daa3c:06090000000300a201|060a00000006000400020001:060a000000050004020000|060b00000006000400000001:,060b000000050004020000
1171,04940000001a0078ae921515572bcdd796f9008a52502f7603b738eeab10a595:04940000000300f801|049500000006000300010001:0495000000050003020000|0496000000060006000f003c:,049600000003008602
872,036900000006000400020001:0369000000050004020000|036a00000006000400030001:036a000000050004020000|036b00000006000200000001:,036b00000003008202
2363,093c00000006000400030001:093c000000050004020000|093d00000006000400020001:093d000000050004020000|093e00000006000300010001:,093e000000050003020000
2130,08530000001a00d6fefccf5871aa4dea474a197ce14d56aa373f85066734724f:08530000000300d601|085400000006000500000000:085400000003008502|085500000006000400010001:,085500000005000402000c
1538,060300000006000200000001:060300000003008202|060400000006000400020001:0604000000050004020000|060500000006000400010001:,060500000005000402000c
1375,056000000006000400030001:0560000000050004020000|056100000006000300010001:0561000000050003020000|056200000006000300000001:,0562000000050003020000
1352,054900000006000400010001:054900000005000402000c|054a000000060002002c0001:054a00000003008202|054b00000006000300000001:,054b000000050003020000
156,009d0000001200331547c4abb0ac9b7a6a8e4fc223e872b7:009d0000000300b301|009e00000006000400000001:009e00000005000402000b|009f00000006000300000001:,009f000000050003020000
601,025a00000006000500000000:025a00000003008502|025b00000006000400000001:025b000000050004020002|025c00000006000300300001:,025c00000003008302
906,038b00000006000400010001:038b00000005000402000c|038c00000006000300000001:038c000000050003020000|038d00000006000600040039:,038d00000003008602
1285,05060000001200bdc919bbc13ce9672ce8d7f8a38110bc84:05060000000300bd01|050700000006000200000001:050700000003008202|050800000006000400030001:,0508000000050004020000
1678,068f00000006000400000001:068f000000050004020000|06900000001200d519efd6669a196a785d219fdd52ae2794:06900000000300d501|069100000006000200000001:,069100000003008202
1955,07a4000000120050ef81bac82959f07b82e79cf017134c2f:07a40000000300d001|07a500000006000400010001:07a500000005000402003e|07a600000006000200000001:,07a600000003008202
804,032500000006000300000001:0325000000050003020000|032600000006000400030001:0326000000050004020000|032700000006000400010001:,032700000005000402003e
1564,061d00000006000300000001:061d000000050003020000|061e00000006000600260056:061e00000003008602|061f00000006000200000001:,061f00000003008202
2285,08ee00000006000400020001:08ee000000050004020000|08ef0000000600050000ff00:08ef00000003008502|08f000000006000400010001:,08f000000005000402003e
