,source_text,target_text
1658,067b00000006000400020001:067b000000050004020003|067c00000006000400030001:067c000000050004020000|067d00000006000400000001:,067d000000050004020002
3204,0c8500000006000300010001:0c85000000050003020000|0c8600000006000200000001:0c8600000003008202|0c8700000006000400030001:,0c87000000050004020000
71,004800000006000400120001:004800000003008402|004900000006000200000001:004900000003008202|004a00000006000400030001:,004a000000050004020000
1226,04cb00000006000200000001:04cb00000003008202|04cc00000006000300010001:04cc000000050003020000|04cd00000006000300080001:,04cd00000003008302
2899,0b5400000006000300010001:0b54000000050003020000|0b5500000006000400030001:0b55000000050004020000|0b5600000006000200000001:,0b5600000003008202
1985,07c200000006000300010001:07c2000000050003020000|07c300000006000400010001:07c3000000050004020000|07c40000000600050000ff00:,07c400000003008502
1886,075f00000006000400030001:075f000000050004020000|076000000006000400010001:0760000000050004020000|076100000006000200000001:,076100000003008202
239,00f000000006000500000000:00f000000003008502|00f100000006000400000001:00f1000000050004020002|00f20000000600050000ff00:,00f200000003008502
1665,06820000001200f934b8db0802051e55010b682598cf220e:06820000000300f901|068300000006000400020001:0683000000050004020003|068400000006000400010001:,0684000000050004020000
1197,04ae00000006000300000001:04ae000000050003020000|04af00000006000500000000:04af00000003008502|04b000000006000400010001:,04b0000000050004020000
2156,086d0000000600050021ff00:086d00000003008502|086e00000006000500000000:086e00000003008502|086f00000006000400030001:,086f000000050004020000
2993,0bb20000000600050000ff00:0bb200000003008502|0bb300000006000400030001:0bb3000000050004020000|0bb400000006000400010001:,0bb4000000050004020000
178,00b300000006000400010001:00b3000000050004020000|00b4000000060004001b0001:00b400000003008402|00b500000006000400010001:,00b5000000050004020000
2198,089700000006000400000001:0897000000050004020002|089800000006000400030001:0898000000050004020000|089900000006000200000001:,089900000003008202
1527,05f800000006000200000001:05f800000003008202|05f900000006000300010001:05f9000000050003020000|05fa000000090010002a0001020008:,05fa00000003009002
3355,0d1c00000006000500000000:0d1c00000003008502|0d1d00000006000200000001:0d1d00000003008202|0d1e00000006000400030001:,0d1e000000050004020000
81,0052000000060003000d0001:005200000003008302|00530000001a0053a379c10128d7d52167debf6a4fde4507879e22d11a9f516c:00530000000300d301|005400000006000400020001:,0054000000050004020003
3297,0ce200000006000200000001:0ce200000003008202|0ce300000006000400000001:0ce3000000050004020002|0ce400000006000400020001:,0ce4000000050004020003
223,00e000000006000300010001:00e0000000050003020000|00e100000006000400000001:00e1000000050004020002|00e200000006000300000001:,00e2000000050003020000
2617,0a3a0000000a00a56c6450ed8ced36f8:0a3a0000000300a501|0a3b00000006000300000001:0a3b000000050003020000|0a3c00000006000200000001:,0a3c00000003008202
1368,05590000001200eab1fc31d1259c4606ac317d8638000324:05590000000300ea01|055a00000006000300010001:055a000000050003020000|055b00000009001000310001020060:,055b00000003009002
327,014800000012006ae7ff42baa75dbf498e49e9e026ffc41f:01480000000300ea01|014900000006000200000001:014900000003008202|014a00000006000400020001:,014a000000050004020003
1967,07b000000006000400030001:07b0000000050004020000|07b100000006000400010001:07b1000000050004020000|07b200000006000300010001:,07b2000000050003020000
2817,0b020000001200f6493a9c96f9314c67adbf7a7f70b6ac07:0b020000000300f601|0b030000000900100019000102003a:0b0300000003009002|0b0400000006000300000001:,0b04000000050003020000
1050,041b0000000600050000ff00:041b00000003008502|041c00000006000200000001:041c00000003008202|041d0000001a00a4dc1c81bd32792569382aeb8e8bc624e5d4eb20ca41577ff3:,041d0000000300a401
551,022800000006000400020001:0228000000050004020003|022900000006000400010001:0229000000050004020000|022a00000009001000320001020031:,022a00000003009002
2611,0a3400000006000400030001:0a34000000050004020000|0a3500000006000400010001:0a35000000050004020000|0a3600000006000400000001:,0a36000000050004020002
2511,09d000000006000300250001:09d000000003008302|09d100000012008623736184870c2474b1983200662daee3:09d100000003008601|09d200000006000400000001:,09d2000000050004020002
996,03e50000001a0046090f0cf2cab173fb167253f619be1f00f5689e4b3838275e:03e50000000300c601|03e600000006000400020001:03e6000000050004020003|03e700000006000400030001:,03e7000000050004020000
563,023400000006000300010001:0234000000050003020000|023500000006000400010001:0235000000050004020000|023600000006000400030001:,0236000000050004020000
2760,0ac900000006000400000001:0ac9000000050004020002|0aca0000000600050000ff00:0aca00000003008502|0acb00000006000200000001:,0acb00000003008202
2793,0aea00000006000400000001:0aea000000050004020002|0aeb00000006000400030001:0aeb000000050004020000|0aec00000006000200120001:,0aec00000003008202
2386,095300000006000400030001:0953000000050004020000|095400000006000500000000:095400000003008502|095500000006000400000001:,0955000000050004020002
126,007f00000009001000260001020039:007f00000003009002|008000000006000400010001:0080000000050004020000|008100000006000400030001:,0081000000050004020000
1769,06ea00000006000400010001:06ea000000050004020000|06eb00000006000200000001:06eb00000003008202|06ec00000006000300220001:,06ec00000003008302
407,019800000006000400000001:0198000000050004020002|019900000006000400020001:0199000000050004020003|019a000000060003001c0001:,019a00000003008302
1254,04e700000006000300000001:04e7000000050003020000|04e800000006000400010001:04e8000000050004020000|04e900000006000400020001:,04e9000000050004020003
2004,07d500000006000400000001:07d5000000050004020002|07d600000006000400030001:07d6000000050004020000|07d700000006000200000001:,07d700000003008202
1078,043700000006000400010001:0437000000050004020000|043800000006000400030001:0438000000050004020000|043900000006000300010001:,0439000000050003020000
3207,0c88000000060005002eff00:0c8800000003008502|0c8900000006000400020001:0c89000000050004020003|0c8a0000000600050000ff00:,0c8a00000003008502
3172,0c6500000006000400020001:0c65000000050004020003|0c6600000006000300000001:0c66000000050003020000|0c6700000006000400030001:,0c67000000050004020000
859,035c00000006000300200001:035c00000003008302|035d00000006000300010001:035d000000050003020000|035e00000006000400030001:,035e000000050004020000
1799,070800000006000300000001:0708000000050003020000|070900000006000400010001:0709000000050004020000|070a00000006000300010001:,070a000000050003020000
2324,09150000000600050000ff00:091500000003008502|091600000006000400000001:0916000000050004020002|091700000006000400030001:,0917000000050004020000
916,0395000000090010001c0001020059:039500000003009002|039600000006000400010001:0396000000050004020000|039700000006000200000001:,039700000003008202
2067,081400000006000400030001:0814000000050004020000|081500000006000500240000:081500000003008502|081600000006000300010001:,0816000000050003020000
1876,07550000001200fabf72364283aba24c621beae1586448dd:07550000000300fa01|07560000000600050000ff00:075600000003008502|075700000006000400030001:,0757000000050004020000
1088,044100000006000500000000:044100000003008502|04420000001a00bffa2e5d68ccf9b30dc62bccb399860ff00842d8826b8784eb:04420000000300bf01|044300000006000400000001:,0443000000050004020002
1942,079700000006000400010001:0797000000050004020000|079800000006000200000001:079800000003008202|079900000006000400000001:,0799000000050004020002
3276,0ccd00000006000200000001:0ccd00000003008202|0cce00000006000400030001:0cce000000050004020000|0ccf000000060003002a0001:,0ccf00000003008302
3308,0ced00000006000300010001:0ced000000050003020000|0cee00000006000200000001:0cee00000003008202|0cef00000006000400010001:,0cef000000050004020000
1873,075200000006000200000001:075200000003008202|075300000006000300010001:0753000000050003020000|075400000006000400020001:,0754000000050004020003
377,017a0000000a0074214c3dbe712643a8:017a0000000300f401|017b00000006000500170000:017b00000003008502|017c00000006000400030001:,017c000000050004020000
719,02d000000006000400020001:02d0000000050004020003|02d100000006000400010001:02d1000000050004020000|02d200000006000200000001:,02d200000003008202
1178,049b00000006000400020001:049b000000050004020003|049c000000090010001c0001020007:049c00000003009002|049d0000000a00d57006411284d01e5b:,049d0000000300d501
3358,0d1f00000006000400000001:0d1f000000050004020002|0d2000000006000400020001:0d20000000050004020003|0d2100000006000400010001:,0d21000000050004020000
3406,0d4f00000006000200000001:0d4f00000003008202|0d5000000006000300010001:0d50000000050003020000|0d5100000006000400010001:,0d51000000050004020000
3529,0dca00000006000400010001:0dca000000050004020000|0dcb00000006000400000001:0dcb000000050004020002|0dcc00000006000400020001:,0dcc000000050004020003
2875,0b3c00000006000500230000:0b3c00000003008502|0b3d00000006000300000001:0b3d000000050003020000|0b3e00000006000400030001:,0b3e000000050004020000
1328,053100000006000400290001:053100000003008402|053200000006000300000001:0532000000050003020000|053300000006000400010001:,0533000000050004020000
1125,046600000006000400020001:0466000000050004020003|04670000000600050008ff00:046700000003008502|046800000006000300010001:,0468000000050003020000
832,034100000006000400010001:0341000000050004020000|034200000006000300000001:0342000000050003020000|034300000006000400000001:,0343000000050004020002
2842,0b1b00000006000400010001:0b1b000000050004020000|0b1c00000006000300010001:0b1c000000050003020000|0b1d00000006000300000001:,0b1d000000050003020000
615,026800000006000400020001:0268000000050004020003|026900000006000400030001:0269000000050004020000|026a00000006000200140001:,026a00000003008202
3211,0c8c00000006000200000001:0c8c00000003008202|0c8d00000006000300010001:0c8d000000050003020000|0c8e00000006000400020001:,0c8e000000050004020003
1784,06f900000006000300010001:06f9000000050003020000|06fa00000006000400000001:06fa000000050004020002|06fb00000006000400010001:,06fb000000050004020000
662,0297000000090010002e0001020039:029700000003009002|029800000006000300010001:0298000000050003020000|029900000006000300000001:,0299000000050003020000
1513,05ea00000006000400010001:05ea000000050004020000|05eb00000006000400020001:05eb000000050004020003|05ec00000006000300010001:,05ec000000050003020000
1290,050b00000012007bbac93ad50419e6c0d37a84d8ea14b8c3:050b0000000300fb01|050c00000006000400030001:050c000000050004020000|050d00000006000200000001:,050d00000003008202
295,012800000006000400030001:0128000000050004020000|012900000006000200000001:012900000003008202|012a00000006000300000001:,012a000000050003020000
3342,0d0f0000000a009fc0cf830a7ed9437c:0d0f00000003009f01|0d1000000006000400000001:0d10000000050004020002|0d1100000006000200000001:,0d1100000003008202
1662,067f00000006000500000000:067f00000003008502|068000000006000400030001:0680000000050004020000|0681000000060002000c0001:,068100000003008202
1481,05ca00000006000400010001:05ca000000050004020000|05cb00000006000300010001:05cb000000050003020000|05cc00000006000400030001:,05cc000000050004020000
1691,069c00000006000300000001:069c000000050003020000|069d00000006000400030001:069d000000050004020000|069e00000006000400000001:,069e000000050004020002
1928,078900000006000400030001:0789000000050004020000|078a00000006000300010001:078a000000050003020000|078b00000006000300000001:,078b000000050003020000
2385,095200000006000300010001:0952000000050003020000|095300000006000400030001:0953000000050004020000|095400000006000500000000:,095400000003008502
765,02fe00000006000400030001:02fe000000050004020000|02ff0000000600050000ff00:02ff00000003008502|030000000006000400010001:,0300000000050004020000
24,001900000006000400010001:0019000000050004020000|001a00000006000400030001:001a000000050004020000|001b00000006000500000000:,001b00000003008502
911,039000000006000400000001:0390000000050004020002|039100000006000300010001:0391000000050003020000|039200000006000400020001:,0392000000050004020003
2318,090f0000000a00edfd8f465ee1c4227e:090f0000000300ed01|091000000006000400030001:0910000000050004020000|091100000006000300010001:,0911000000050003020000
1230,04cf00000006000300030001:04cf00000003008302|04d000000006000400020001:04d0000000050004020003|04d100000006000200000001:,04d100000003008202
1636,06650000000600050000ff00:066500000003008502|066600000006000400020001:0666000000050004020003|066700000006000400030001:,0667000000050004020000
1991,07c800000006000400030001:07c8000000050004020000|07c900000006000500000000:07c900000003008502|07ca00000006000400010001:,07ca000000050004020000
757,02f60000000600050000ff00:02f600000003008502|02f700000006000400000001:02f7000000050004020002|02f800000006000400010001:,02f8000000050004020000
1730,06c300000006000400020001:06c3000000050004020003|06c400000006000300010001:06c4000000050003020000|06c500000006000400010001:,06c5000000050004020000
78,004f00000006000300010001:004f000000050003020000|005000000006000400010001:0050000000050004020000|005100000006000300010001:,0051000000050003020000
1847,073800000006000300010001:0738000000050003020000|073900000006000400020001:0739000000050004020003|073a00000006000400230001:,073a00000003008402
2251,08cc00000006000400020001:08cc000000050004020003|08cd00000006000500000000:08cd00000003008502|08ce000000060005000eff00:,08ce00000003008502
932,03a500000006000400010001:03a5000000050004020000|03a600000006000400030001:03a6000000050004020000|03a700000006000400000001:,03a7000000050004020002
2872,0b3900000006000300010001:0b39000000050003020000|0b3a00000006000400000001:0b3a000000050004020002|0b3b00000006000400010001:,0b3b000000050004020000
3125,0c3600000006000500000000:0c3600000003008502|0c3700000006000400030001:0c37000000050004020000|0c3800000006000300010001:,0c38000000050003020000
939,03ac00000006000400020001:03ac000000050004020003|03ad00000006000400010001:03ad000000050004020000|03ae00000006000200000001:,03ae00000003008202
1958,07a700000006000500000000:07a700000003008502|07a800000006000200000001:07a800000003008202|07a900000006000400020001:,07a9000000050004020003
3454,0d7f00000006000500000000:0d7f00000003008502|0d8000000006000400010001:0d80000000050004020000|0d8100000006000400030001:,0d81000000050004020000
97,006200000006000400010001:0062000000050004020000|006300000006000300000001:0063000000050003020000|006400000006000300010001:,0064000000050003020000
1697,06a200000006000400010001:06a2000000050004020000|06a300000006000300010001:06a3000000050003020000|06a40000001a00393d0d05b2b106a76dd21a65924bc3dffecbe45cea8c6a31cd:,06a40000000300b901
840,034900000006000400010001:0349000000050004020000|034a00000006000400030001:034a000000050004020000|034b0000001a007873df6bc739ff9942d1fa2a424db4894e6a19e0df72131377:,034b0000000300f801
441,01ba00000006000400230001:01ba00000003008402|01bb00000006000400030001:01bb000000050004020000|01bc00000006000400000001:,01bc000000050004020002
1972,07b500000006000500000000:07b500000003008502|07b600000006000400020001:07b6000000050004020003|07b700000006000300160001:,07b700000003008302
1261,04ee00000006000200000001:04ee00000003008202|04ef00000006000400030001:04ef000000050004020000|04f000000006000400000001:,04f0000000050004020002
3542,0dd700000006000200000001:0dd700000003008202|0dd80000000600050000ff00:0dd800000003008502|0dd900000006000400000001:,0dd9000000050004020002
2749,0abe0000000600050000ff00:0abe00000003008502|0abf00000006000500000000:0abf00000003008502|0ac000000006000400000001:,0ac0000000050004020002
1973,07b600000006000400020001:07b6000000050004020003|07b700000006000300160001:07b700000003008302|07b800000006000200000001:,07b800000003008202
2940,0b7d00000006000200000001:0b7d00000003008202|0b7e00000006000300010001:0b7e000000050003020000|0b7f00000006000400000001:,0b7f000000050004020002
3114,0c2b00000006000300080001:0c2b00000003008302|0c2c00000006000300000001:0c2c000000050003020000|0c2d00000006000200000001:,0c2d00000003008202
1735,06c800000006000400000001:06c8000000050004020002|06c900000006000300000001:06c9000000050003020000|06ca00000006000500000000:,06ca00000003008502
2440,098900000006000300010001:0989000000050003020000|098a00000006000200000001:098a00000003008202|098b00000012006312557ebd7adc10fc2b17e3a7f6a8c7b8:,098b0000000300e301
1046,041700000006000300010001:0417000000050003020000|041800000006000400030001:0418000000050004020000|041900000006000500000000:,041900000003008502
311,01380000000600050020ff00:013800000003008502|01390000001a00c1c6fcb368ab33f127df0d1e299fb022a61fa5b169066185fb:01390000000300c101|013a00000006000300010001:,013a000000050003020000
471,01d800000006000300010001:01d8000000050003020000|01d90000000a00a0fe602edb44212cbb:01d90000000300a001|01da00000006000400020001:,01da000000050004020003
1826,072300000006000300010001:0723000000050003020000|072400000006000400020001:0724000000050004020003|072500000006000400000001:,0725000000050004020002
404,01950000001a00e783f2bb25fe7e18a0edbe90aaeddd58769ec9f8c8538d4f85:01950000000300e701|019600000006000400030001:0196000000050004020000|019700000006000400010001:,0197000000050004020000
1207,04b800000006000300260001:04b800000003008302|04b900000006000400010001:04b9000000050004020000|04ba00000006000400030001:,04ba000000050004020000
557,022e00000006000200000001:022e00000003008202|022f0000000600050000ff00:022f00000003008502|023000000006000400030001:,0230000000050004020000
2086,082700000006000200000001:082700000003008202|08280000000600050029ff00:082800000003008502|082900000006000400030001:,0829000000050004020000
3367,0d2800000006000500000000:0d2800000003008502|0d29000000090010000e0001020061:0d2900000003009002|0d2a00000006000400030001:,0d2a000000050004020000
3167,0c6000000006000400000001:0c60000000050004020002|0c6100000006000400010001:0c61000000050004020000|0c620000000600050000ff00:,0c6200000003008502
1530,05fb00000006000300020001:05fb00000003008302|05fc00000006000400010001:05fc000000050004020000|05fd00000006000400000001:,05fd000000050004020002
35,002400000006000300010001:0024000000050003020000|002500000006000400030001:0025000000050004020000|002600000006000400010001:,0026000000050004020000
1863,074800000012005143ece7c0b4d8db219ddacdbdcf5736ec:07480000000300d101|074900000006000200000001:074900000003008202|074a00000006000300010001:,074a000000050003020000
867,036400000006000300000001:0364000000050003020000|0365000000060002000a0001:036500000003008202|036600000006000200000001:,036600000003008202
2383,095000000006000500240000:095000000003008502|095100000006000300000001:0951000000050003020000|095200000006000300010001:,0952000000050003020000
766,02ff0000000600050000ff00:02ff00000003008502|030000000006000400010001:0300000000050004020000|030100000006000400000001:,0301000000050004020002
3190,0c7700000006000500000000:0c7700000003008502|0c7800000006000300010001:0c78000000050003020000|0c7900000006000400000001:,0c79000000050004020002
2219,08ac00000006000300010001:08ac000000050003020000|08ad00000006000400270001:08ad00000003008402|08ae00000006000400020001:,08ae000000050004020003
314,013b00000006000400030001:013b000000050004020000|013c00000006000400010001:013c000000050004020000|013d00000006000400020001:,013d000000050004020003
2520,09d900000006000200000001:09d900000003008202|09da00000006000400000001:09da000000050004020002|09db00000006000300000001:,09db000000050003020000
2598,0a2700000006000300010001:0a27000000050003020000|0a280000000600050000ff00:0a2800000003008502|0a2900000006000500000000:,0a2900000003008502
2252,08cd00000006000500000000:08cd00000003008502|08ce000000060005000eff00:08ce00000003008502|08cf00000006000400000001:,08cf000000050004020002
