,source_text,target_text
2319,091000000006000400220001:091000000003008402|091100000006000400000001:0911000000050004020007|091200000006000200000001:091200000003008202|091300000006000400010001:0913000000050004020032|091400000006000200070001:091400000003008202|09150000000a00e44ed8d3d5e9743b52:09150000000300e401|091600000006000400020001:0916000000050004020005|091700000006000400030001:0917000000050004020027|091800000006000500000000:,091800000003008502
492,01ed00000006000500000000:01ed00000003008502|01ee00000006000200000001:01ee00000003008202|01ef00000006000400030001:01ef000000050004020010|01f000000006000300010001:01f0000000050003020000|01f100000006000400000001:01f100000005000402000a|01f20000001200b036fa232fcdee44a77c11b110fe1eebd8:01f20000000300b001|01f300000006000300000001:01f3000000050003020000|01f400000006000400010001:01f4000000050004020000|01f500000006000400020001:,01f5000000050004020007
3412,0d5500000006000400030001:0d55000000050004020023|0d5600000006000300000001:0d56000000050003020000|0d57000000060006001a0012:0d5700000003008602|0d5800000006000200000001:0d5800000003008202|0d5900000006000400020001:0d59000000050004020003|0d5a0000000a00bf0164d867c3af1d3d:0d5a0000000300bf01|0d5b00000006000300010001:0d5b000000050003020000|0d5c00000006000400010001:0d5c000000050004020044|0d5d00000006000300000001:,0d5d000000050003020000
3072,0c0100000006000400030001:0c01000000050004020027|0c0200000006000400010001:0c02000000050004020050|0c0300000006000200000001:0c0300000003008202|0c0400000006000500000000:0c0400000003008502|0c0500000006000300010001:0c05000000050003020000|0c060000001200f8757f1b253b9683778d74b286b6ab8685:0c060000000300f801|0c0700000006000400220001:0c0700000003008402|0c0800000006000400000001:0c08000000050004020009|0c090000000600050000ff00:,0c0900000003008502
3354,0d1b00000006000300010001:0d1b000000050003020000|0d1c0000001a00a52436d75eabc208bcd0cd1b245601d07143591f0519810226:0d1c0000000300a501|0d1d00000006000400020001:0d1d000000050004020003|0d1e00000006000400000001:0d1e000000050004020008|0d1f00000006000200120001:0d1f00000003008202|0d2000000006000500000000:0d2000000003008502|0d2100000006000400010001:0d21000000050004020021|0d220000001200c766ba59e349077bb044e47563a99326c9:0d220000000300c701|0d2300000006000200000001:,0d2300000003008202
2486,09b700000006000300000001:09b7000000050003020000|09b80000000600050000ff00:09b800000003008502|09b900000006000400020001:09b9000000050004020004|09ba00000006000200000001:09ba00000003008202|09bb00000006000400030001:09bb00000005000402000c|09bc00000006000200000001:09bc00000003008202|09bd00000006000400020001:09bd000000050004020004|09be000000060006002c0049:09be00000003008602|09bf00000006000400000001:,09bf00000005000402000c
3559,0de800000006000400010001:0de8000000050004020011|0de900000006000200000001:0de900000003008202|0dea00000006000400280001:0dea00000003008402|0deb00000006000500000000:0deb00000003008502|0dec00000006000300000001:0dec000000050003020000|0ded00000006000400030001:0ded000000050004020000|0dee00000006000400010001:0dee000000050004020043|0def00000006000400020001:0def000000050004020000|0df00000000a00fc8e827851a3cec58a:,0df00000000300fc01
918,039700000006000200000001:039700000003008202|039800000006000300000001:0398000000050003020000|039900000006000300000001:0399000000050003020000|039a00000006000400030001:039a000000050004020000|039b00000006000300010001:039b000000050003020000|039c00000006000400000001:039c000000050004020005|039d00000006000200280001:039d00000003008202|039e0000001200b4c9a8e7f405e4907ad556b80da763af3c:039e0000000300b401|039f00000006000500000000:,039f00000003008502
443,01bc00000006000400020001:01bc000000050004020003|01bd00000006000300010001:01bd000000050003020000|01be00000006000400010001:01be000000050004020050|01bf0000001200cf7bfe9b45a843ab49d9765388992c8f23:01bf0000000300cf01|01c000000006000400320001:01c000000003008402|01c100000006000400030001:01c1000000050004020025|01c200000006000300000001:01c2000000050003020000|01c30000000600060023003f:01c300000003008602|01c400000006000500000000:,01c400000003008502
1836,072d00000006000200000001:072d00000003008202|072e00000006000400020001:072e000000050004020006|072f00000006000400010001:072f00000005000402000e|073000000006000400180001:073000000003008402|073100000006000400020001:0731000000050004020006|073200000006000200000001:073200000003008202|073300000006000300010001:0733000000050003020000|07340000000a008818915f4870308c96:073400000003008801|073500000006000400010001:,0735000000050004020011
