,source_text,target_text
163,c99446f2,d9324875
798,a8bc475d,06d44988
854,34664725,71d24990
672,bfdc4767,bdd3496a
1337,f4d444ae,9b6049da
519,fd4e4691,2964492f
546,1ca6476c,f8094941
1531,8823451e,765f49f9
544,30914748,b47f493e
1211,cc5f4683,1d4749c8
626,2952477a,9b69495d
140,054646a8,d67c484f
1158,e72a4752,d2c549c4
166,f83a4606,1aa34865
1205,08db4715,de7249c9
1246,46df477f,c91049d3
130,37fd4606,a9c44835
1349,5ca84641,5ee049dd
306,38d24614,0cf948c9
842,4f544762,d4e1498f
499,d0194771,3b5e4933
608,729346ba,8352494c
391,e2244717,3ba0490a
270,1cf746d1,5c6f48b8
928,b1cb45b5,e65d4998
330,fce3471e,482748e9
1291,6adb46a1,436a49d6
169,e2494704,057e4881
1556,05c3458f,ec2b49fd
686,bff5468a,9fb84963
868,d4cd4622,102c498f
1097,3e02455c,d03849b4
20,0a1946c3,b4394745
1092,b9214768,b75949ba
61,5a9e4697,0a7c47c4
1196,ee9a4769,7d7449cb
1440,4f104621,f65149ea
1590,f46b4718,7d084a03
1043,7cca456b,603f49ab
343,282a475c,c74e48f9
1239,3f314736,cfa849cf
1352,3087468e,838849de
1360,2a684640,e47f49de
253,d5244684,35cc48a9
1320,dabb4663,564c49d9
206,9176471b,1978489b
900,911e4769,7944499a
1047,8e9646e4,1f7b49af
559,705a46cc,c5e1493e
679,fc4f455b,e75a495e
736,bbe0459e,7f49496f
1578,cac4440d,43074a00
875,59364710,41554993
1223,a6b34730,4d4549cd
1597,781246fd,74634a03
796,a32a464c,645a4982
1529,148b46d3,1ec949fc
99,06df4706,8db94820
284,737a46b5,a42148c1
978,661746d2,754149a3
125,dbbe4716,84d84849
1334,bc14463d,7ee049db
1457,4f7d4765,626649f3
572,7cc3474b,531a4948
1260,c47c473a,ed6449d3
699,78e04752,33604971
590,7ebc4635,a0bf4944
60,5c3b46b8,b24c47ca
1010,ebcc474d,fa8449ab
1290,e7a646ce,ddb849d6
1499,ae354768,2c8b49fb
759,64ac4628,558f4977
1339,fbd74525,dfe849da
778,06bb46d8,e2f64980
811,b1f84622,a85a4984
477,2bc3469d,1dc44921
1408,34e34739,0f2b49ea
1073,aa44468d,c11049b2
289,0a8745b6,3c8e48bc
287,bf0a472c,d01c48cd
472,1c4445b6,7263491c
1003,63ab4606,379c49a5
1413,41674630,8f0649e6
1385,de094711,49ad49e5
1016,e3564740,a0cc49ac
136,584a46ef,ba3a4852
1311,9c52473e,896b49dc
892,5f724685,c54f4993
234,2c8e4654,2019489b
1277,fcff4728,f3a149d6
8,e2f3471f,4a11474a
652,df06449c,52754955
1168,7b6f46bf,e8b949c2
208,324e4650,ac8b488e
1404,01ac4682,9f8449e5
335,6f57473c,1f3648f0
959,4c324762,ab8249a4
344,556044ef,7f3f48df
1394,98c34621,4eb549e3
466,c8364697,49e3491e
851,3f9c4750,2b794991
748,b01445a4,c1364972
1402,83914723,69f749e8
873,0f35458f,22f3498f
725,c32f4646,6e5e496e
334,2f894723,0e1e48ec
1161,9c8746cf,c8fe49c1
821,f4054756,89dc498b
126,e19a474a,6c644858
1238,d91a46ca,153749cd
249,b07f473a,c59c48b5
147,259f45fe,aae4484a
525,9552472b,3f0b4937
1348,594e46a2,537449de
737,8c4746b9,3de84974
404,22d64691,300a4909
275,fbdc4779,8e2c48ce
103,2aef474e,08964839
1034,49c2472d,b07049ae
1538,189b4637,beb049fb
799,198c471d,39ca4986
255,c6244682,2e6f48aa
1322,5c70473d,e8f849dd
1027,3eb0468c,3cb149aa
1354,dbb04755,563849e3
920,7b45470e,043e499b
1510,a5574778,325949fd
901,6dbe4714,06784998
366,671546ce,dcc748fa
1014,80d0474f,cc7049ac
1598,2eb54733,60c14a04
481,93924770,0e9b492d
195,1afb4757,7e72489b
847,13924733,36c8498f
476,9a3e4641,0d58491f
613,e0b1473a,24ee4954
951,6f4f4779,ded449a3
0,6c9d4763,3f3b476a
651,a7e145f2,e2204956
848,fa98475a,b8e14990
696,fcaf459b,1f534964
1025,cbd246cf,1fff49ab
1321,23564740,c25e49dd
101,9b2e46f0,05504820
63,462e4724,1f6347f6
18,875e4668,7fff4714
1243,3e864775,cca649d2
566,70814739,b5a14945
675,db69472a,f9384967
91,59ad4729,42d7481d
611,e9d04691,76ba494c
762,9af646ee,0d31497d
1256,7c1f4776,255449d5
403,1e2e46df,6b35490b
1249,14df474d,ba1349d2
1591,f0ad452e,4c604a01
154,66f145d6,48ba4852
300,a576461e,4c3848c5
85,73414654,019147f3
750,c4074741,45f7497e
936,eb9b474f,f668499f
209,efaa46f6,21234898
14,193b4251,6016469b
1115,118446f4,b46d49ba
1065,a4ea465c,d43e49b0
697,600446fe,1a85496b
1434,15ca463d,77ae49ea
949,fb7e471c,9f8149a0
1017,706f4712,5fc749ab
511,7c9c4569,94e04928
1061,38a4476a,f61b49b5
109,3ba64777,ae52484c
331,f5ac4731,84f848ec
747,fcaf4745,ae12497d
285,155146b8,43a248c2
493,6b0146c6,40804928
31,e07f46d3,715c4783
138,2d714755,77a4486e
1251,7a83449f,9c3549cc
1395,96274700,324c49e6
689,28344701,6bf24968
148,6127471d,5481486b
621,c4d446c2,77e54951
1036,2ceb4766,c38349b0
780,4e3246f3,b91d4981
461,bf174697,98e0491c
694,1b53470d,424e496b
1438,028a469d,d36749eb
1124,2f3e476c,f85449bf
743,d8144736,6a23497b
105,0066471a,c816482e
1237,90304741,ce8249cf
1403,7b30470c,e08049e7
310,d1f8470f,7e8348d8
698,11954727,fd29496d
245,c11a46b9,5efa48a7
48,21724755,4e5e47e7
479,ec56475d,25c6492b
884,8dbc46e3,2f0d4994
437,bd884557,ead3490f
304,7ace4584,6b5048c5
1159,3f2f4677,49bf49c0
607,ecc24707,ec0a494e
1350,f1b3469d,6ac049de
325,47c54506,713748d2
47,5d524612,a80c478b
565,7221442b,f0064939
1143,cc62473e,07ab49c2
1054,a5b4467f,c3e149ae
1487,3e294724,04c249f7
1571,5e5846da,6ad94a01
217,090a46cc,e0194899
1101,7de34425,a39849b4
1090,5925470d,4b4a49b7
1483,ccea4720,447349f6
918,8129462b,b07c4997
1046,46ec4779,281949b3
1549,12cc4697,60eb49fe
915,e10c46ef,c7014999
1280,28084741,52f149d8
1371,b9de461a,f3f949df
966,64b4471c,40a149a3
480,39134676,60f34921
395,afad4711,2062490b
720,80c146d9,773a4970
141,af43458e,a34f483f
531,06154739,dae34939
967,87fe4513,b5f9499e
1473,6fbd4759,31d649f6
311,930d4684,3b1d48cf
38,e9d44689,e23d477e
1262,fe0446e3,22b149d2
805,d4974756,09224989
670,d0894717,9ceb4964
383,b037471d,6a6d4907
912,767746ce,a4114998
617,1b494681,c87e494d
795,fe3d45f5,b2564981
1387,52874758,da5349e7
1011,63f344b9,cb5c49a5
1032,3bb64683,d40649aa
117,04d34703,f7b44839
591,9b434636,c25d4944
1068,f9a24732,103e49b5
1292,d79b475c,dff249da
107,008b470c,2672482d
489,63dc476d,c3d1492f
110,47134722,46fb4839
297,96744693,784748c7
422,0e1a470b,da4e4912
517,b67646b8,bd70492f
421,114546ec,34554911
1165,9e99476a,944649c6
1175,25a64722,bd0c49c5
1328,32ba4758,d87549df
648,185246b0,caee4959
710,3246472a,be004971
384,7afb4749,a10b490a
894,907046a9,96184994
176,4e364703,86e74884
449,6b974706,9069491b
90,88874609,539847f4
1496,c1af4750,be6c49f9
538,e38c4737,0f31493c
646,2a9a4639,d1ee4956
1381,3854460c,533149e1
570,309146fd,d1114942
27,b5ce4756,523147b1
132,266d4743,8e194861
80,d34a477c,ce654826
62,07724713,4d0247ea
1560,4fc14769,93664a02
662,36a54731,4a554963
849,9bfe476c,903a4991
818,dc7b46b6,3ac34987
1518,e63b4583,73f449f7
1284,1fb74745,3f1d49d9
1048,9f37469c,1bae49ae
1351,530b4749,743349e2
1099,eaed45dc,4d6a49b5
347,692e46a7,5ee948ea
321,5fb9472b,f76a48e3
386,09b04779,aaf6490e
194,4f0446a7,26be488a
584,5a5d46bc,1a2e4946
1040,327a471f,8c0d49af
552,5a96476b,96354944
317,08bd474c,39ae48e5
1234,96184746,5c0649cf
781,a3a34680,079e4980
468,47bb46b6,9b8d491f
560,f84b473e,bde84944
1522,73e54698,eb4d49f9
298,deb64762,8c1f48db
1033,a3eb477a,dd9d49b0
291,d5dd464c,64e448c0
1202,878545c7,573e49c5
314,4edb4749,e6c248e1
363,1ceb45db,4fab48ef
1596,b9724759,c86e4a04
642,dd444679,02dc4957
1463,a10146db,843249f0
1289,ac9446d0,c39e49d6
183,7a4346de,17944887
64,ff1245fc,17f247b5
313,8b564713,3dda48da
1258,92ec4752,627c49d4
615,4c934718,75b44952
773,46494723,1b9f4982
530,6b604606,06004930
1219,9f4f4607,308549c8
272,027c472d,84cc48c2
633,96c64723,d966495a
1409,b0994761,980449eb
927,2b3346aa,cd16499a
1178,02404710,b25a49c5
1001,25004730,602b49a9
1415,a7144717,1e2a49ea
911,1a3b476c,9f5f499c
1536,334d473c,e18749ff
749,f1a046fe,afdd4979
620,f1e9476b,cc5e4959
424,ebac4733,23214916
728,a5b24756,9c444979
831,02e5471e,9132498b
887,d0e646aa,c58f4993
569,979446af,19794940
1230,331f4754,3a0f49cf
49,c31d4705,b1a847c2
1015,bed44601,6c4b49a7
237,5f1e475b,14e048b2
1424,4bfc46ee,87c849ea
77,ce7b46fa,29624803
1452,5d26474f,c01149f1
1555,a4204709,cd7c4a00
507,f72246f3,2f91492e
932,651b46e3,7509499c
210,5cb646f5,a53c4898
718,037e4656,c32d496c
355,2441474a,d98e48fe
1461,5cdd45a1,91d849ed
295,de044760,8c9648d9
997,319e46e0,96b349a6
974,ec5c4724,c4d749a4
1185,67ca4659,da0d49c3
45,32164639,00ac478b
1554,7d7b476c,3ee84a02
740,7127472f,f5564979
825,71954651,00c54987
1552,a37c4710,8a1a4a00
278,49a7474d,30ee48cb
693,f987476d,e6634970
1228,b8a44712,d59149cc
536,0e964627,6e954932
1137,2bf2473e,a12749c0
722,5b5e4760,512b4978
683,fce54686,36f54963
729,a217477a,76b0497c
840,579f46ca,6035498b
500,82e14680,67fc4928
1310,1a3b45d5,39c249d7
881,3b624734,93d04995
142,eab746c5,b4974854
282,e641464a,297d48bb
358,b9584744,74654900
1534,cb494744,d38b49ff
42,a9ab4756,f0e047d5
1236,16aa46d0,cb9449cc
833,ea294762,264e498e
704,a975467b,c6cc4968
1329,39c54731,dc8149de
1588,0de64721,5f434a03
641,486d4725,3780495d
1182,928346df,72c949c5
893,9b6446ef,90554995
682,ccf044b4,3827495f
1509,0e7b46c6,41cf49f8
171,bf4346d6,467e487d
930,a94a4686,a4b1499a
861,a6a94703,d4984990
173,17f64590,bc6b4869
994,776744c5,def349a2
1453,b36646ae,258449ee
1425,d5fa4772,a91849ee
1156,6dd34727,265849c3
1563,bab9463c,e77d49ff
563,154d46cb,013f4940
378,6b254736,e8094906
72,9eb84761,4fc64813
1007,01164779,df6f49ac
1585,b59e46a5,ef524a01
1064,bf5945e2,ee3249af
96,aa4c4743,9cdd482c
