,source_text,target_text
652,028d00000006000300000002:028d00000007000304ee004724|028e00000006000400000002:028e000000070004048fe2423a|028f00000006000300000002:028f00000007000304ee004724|02900000000b00100000000204e4004774:029000000006001000000002|029100000006000400000002:,0291000000070004040cd0423b
532,021500000006000400000002:02150000000700040433a04227|021600000006000300000002:021600000007000304ec00469b|02170000000b001000000002041d00475f:021700000006001000000002|021800000006000400000002:021800000007000404ae824227|021900000006000300000002:,0219000000070003041d00475f
1147,047c0000000b00100000000204c1004717:047c00000006001000000002|047d00000006000300000002:047d00000007000304c1004717|047e00000006000300000002:047e00000007000304c1004717|047f0000000b0010000000020458004716:047f00000006001000000002|048000000006000400000002:,048000000007000404202a4285
105,006a00000006000300000002:006a00000007000304260046fd|006b0000000b0010000000020404004756:006b00000006001000000002|006c00000006000400000002:006c0000000700040466a841c6|006d0000000b00100000000204e80046c3:006d00000006001000000002|006e00000006000300000002:,006e00000007000304e80046c3
245,00f600000006000400000002:00f6000000070004048fd041f2|00f70000000b00100000000204c80046ac:00f700000006001000000002|00f800000006000300000002:00f800000007000304c80046ac|00f900000006000400000002:00f900000007000404859441f3|00fa00000006000400000002:,00fa00000007000404d78041f3
575,02400000000b001000000002047600476e:024000000006001000000002|02410000000b0010000000020419004767:024100000006001000000002|024200000006000300000002:02420000000700030419004767|024300000006000400000002:0243000000070004048fd3422e|024400000006000400000002:,024400000007000404b8c9422e
669,029e0000000b0010000000020484004757:029e00000006001000000002|029f00000006000300000002:029f0000000700030484004757|02a000000006000400000002:02a000000007000404712d423d|02a100000006000400000002:02a1000000070004049a23423d|02a20000000b001000000002047300475f:,02a200000006001000000002
674,02a300000006000300000002:02a3000000070003047300475f|02a400000006000400000002:02a4000000070004041505423e|02a500000006000300000002:02a5000000070003047300475f|02a60000000b00100000000204e7004719:02a600000006001000000002|02a70000000b001000000002043c004666:,02a700000006001000000002
138,008b0000000b0010000000020435004772:008b00000006001000000002|008c00000006000400000002:008c00000007000404a42341d0|008d00000006000300000002:008d0000000700030435004772|008e0000000b001000000002040a00468a:008e00000006001000000002|008f00000006000300000002:,008f000000070003040a00468a
1062,042700000006000300000002:042700000007000304d7004777|04280000000b00100000000204600046d0:042800000006001000000002|042900000006000400000002:04290000000700040452b3427c|042a00000006000300000002:042a00000007000304600046d0|042b0000000b00100000000204a000477b:,042b00000006001000000002
361,016a00000006000300000002:016a00000007000304d400475f|016b00000006000400000002:016b000000070004040051420c|016c00000006000300000002:016c00000007000304d400475f|016d00000006000400000002:016d00000007000404523d420c|016e0000000b001000000002043e0046cb:,016e00000006001000000002
1428,059500000006000300000002:059500000007000304a6004726|059600000006000400000002:0596000000070004045cb6429b|05970000000b0010000000020416004727:059700000006001000000002|05980000000b00100000000204c60046a5:059800000006001000000002|059900000006000400000002:,0599000000070004049a27429b
271,01100000000b001000000002049d004747:011000000006001000000002|011100000006000400000002:01110000000700040433b041fb|011200000006000400000002:011200000007000404859c41fb|01130000000b00100000000204ee0046da:011300000006001000000002|011400000006000300000002:,011400000007000304ee0046da
1381,05660000000b0010000000020433004706:056600000006001000000002|056700000006000300000002:05670000000700030433004706|05680000000b00100000000204e9004743:056800000006001000000002|056900000006000400000002:056900000007000404c3174297|056a00000006000300000002:,056a00000007000304e9004743
1117,045e00000006000300000002:045e000000070003040e0046dd|045f0000000b001000000002047500477c:045f00000006001000000002|046000000006000300000002:0460000000070003047500477c|046100000006000400000002:046100000007000404a4404282|04620000000b00100000000204b7004736:,046200000006001000000002
