,source_text,target_text
87,005800000006000300000002:00580000000700030430004600|00590000000b00100000000204f0004621:005900000006001000000002|005a00000006000400000002:005a000000070004040a344157|005b00000006000300000002:005b00000007000304f0004621|005c0000000b00100000000204ac004632:005c00000006001000000002|005d00000006000400000002:005d00000007000404f5b94158|005e0000000b00100000000204200044df:,005e00000006001000000002
1837,072e00000006000400000002:072e00000007000404b90c42a6|072f0000000b001000000002046b00473d:072f00000006001000000002|073000000006000400000002:073000000007000404e20242a6|07310000000b001000000002048f00475d:073100000006001000000002|073200000006000300000002:0732000000070003048f00475d|07330000000b00100000000204f4004663:073300000006001000000002|073400000006000300000002:,073400000007000304f4004663
1746,06d30000000b00100000000204920046f1:06d300000006001000000002|06d400000006000400000002:06d40000000700040485ce429f|06d500000006000300000002:06d500000007000304920046f1|06d60000000b001000000002047000452e:06d600000006001000000002|06d700000006000400000002:06d700000007000404c33f429f|06d800000006000300000002:06d8000000070003047000452e|06d900000006000300000002:,06d9000000070003047000452e
1817,071a00000006000400000002:071a000000070004041f7042a5|071b0000000b00100000000204f40046eb:071b00000006001000000002|071c00000006000400000002:071c00000007000404486642a5|071d00000006000300000002:071d00000007000304f40046eb|071e00000006000400000002:071e00000007000404715c42a5|071f00000006000300000002:071f00000007000304f40046eb|07200000000b00100000000204f400465a:,072000000006001000000002
959,03c000000006000300000002:03c000000007000304fa00470a|03c100000006000400000002:03c1000000070004041f634241|03c200000006000300000002:03c200000007000304fa00470a|03c30000000b00100000000204660046b6:03c300000006001000000002|03c400000006000400000002:03c4000000070004049a454241|03c500000006000300000002:03c500000007000304660046b6|03c60000000b0010000000020470004744:,03c600000006001000000002
1033,040a00000006000300000002:040a000000070003047e00472b|040b0000000b00100000000204d0004531:040b00000006001000000002|040c00000006000400000002:040c00000007000404217f424d|040d00000006000300000002:040d00000007000304d0004531|040e0000000b00100000000204a2004777:040e00000006001000000002|040f0000000b001000000002045400471b:040f00000006001000000002|041000000006000300000002:,0410000000070003045400471b
1783,06f80000000b00100000000204c000471c:06f800000006001000000002|06f900000006000300000002:06f900000007000304c000471c|06fa00000006000400000002:06fa00000007000404901042a2|06fb00000006000300000002:06fb00000007000304c000471c|06fc0000000b0010000000020446004700:06fc00000006001000000002|06fd0000000b00100000000204420046df:06fd00000006001000000002|06fe00000006000400000002:,06fe00000007000404e1fc42a2
1944,079900000006000300000002:079900000007000304f400466d|079a00000006000400000002:079a000000070004045cf042af|079b0000000b00100000000204db00476b:079b00000006001000000002|079c0000000b00100000000204120046f5:079c00000006001000000002|079d00000006000400000002:079d000000070004049a6142af|079e00000006000300000002:079e00000007000304120046f5|079f0000000b00100000000204ac004678:,079f00000006001000000002
1331,053400000006000300000002:05340000000700030414004723|05350000000b00100000000204f6004707:053500000006001000000002|053600000006000400000002:053600000007000404cdc9427c|053700000006000300000002:053700000007000304f6004707|05380000000b00100000000204e000458c:053800000006001000000002|053900000006000400000002:05390000000700040448ab427d|053a00000006000300000002:,053a00000007000304e000458c
546,02230000000b00100000000204ec004772:022300000006001000000002|022400000006000300000002:022400000007000304ec004772|022500000006000400000002:022500000007000404670241fe|02260000000b001000000002042900473d:022600000006001000000002|022700000006000300000002:0227000000070003042900473d|022800000006000400000002:0228000000070004045cc641ff|022900000006000300000002:,0229000000070003042900473d
2025,07ea00000006000300000002:07ea000000070003046400464f|07eb00000006000400000002:07eb00000007000404d7db42b5|07ec0000000b0010000000020490004533:07ec00000006001000000002|07ed00000006000300000002:07ed0000000700030490004533|07ee0000000b00100000000204c0004664:07ee00000006001000000002|07ef00000006000400000002:07ef0000000700040429c742b6|07f000000006000400000002:,07f0000000070004043e4242b6
796,031d00000006000400000002:031d00000007000404e1ce4226|031e00000006000300000002:031e00000007000304e00045c9|031f0000000b0010000000020485004711:031f00000006001000000002|032000000006000400000002:0320000000070004045cb04227|032100000006000300000002:03210000000700030485004711|032200000006000400000002:032200000007000404ae9c4227|03230000000b00100000000204e4004608:,032300000006001000000002
1995,07cc00000006000300000002:07cc00000007000304c200474b|07cd00000006000400000002:07cd00000007000404717142b3|07ce0000000b001000000002048200472d:07ce00000006001000000002|07cf0000000b00100000000204100046c5:07cf00000006001000000002|07d000000006000400000002:07d000000007000404aee242b3|07d100000006000300000002:07d100000007000304100046c5|07d20000000b0010000000020408004766:,07d200000006001000000002
1251,04e400000006000300000002:04e40000000700030486004695|04e500000006000400000002:04e500000007000404d7f4426f|04e60000000b00100000000204280045cf:04e600000006001000000002|04e70000000b0010000000020424004745:04e700000006001000000002|04e800000006000300000002:04e80000000700030424004745|04e900000006000400000002:04e9000000070004047bcc4270|04ea0000000b001000000002047c004698:,04ea00000006001000000002
566,023700000006000400000002:02370000000700040414cd4202|02380000000b001000000002049900476f:023800000006001000000002|023900000006000400000002:02390000000700040466b94202|023a00000006000300000002:023a000000070003049900476f|023b00000006000400000002:023b00000007000404b8a54202|023c00000006000300000002:023c000000070003049900476f|023d0000000b00100000000204900046ba:,023d00000006001000000002
1250,04e30000000b0010000000020486004695:04e300000006001000000002|04e400000006000300000002:04e40000000700030486004695|04e500000006000400000002:04e500000007000404d7f4426f|04e60000000b00100000000204280045cf:04e600000006001000000002|04e70000000b0010000000020424004745:04e700000006001000000002|04e800000006000300000002:04e80000000700030424004745|04e900000006000400000002:,04e9000000070004047bcc4270
