,source_text,target_text
573,023e00000006000600000004:023e00000006000600000004|023f00000006000400000002:023f0000000700040415c34485|024000000006000400000002:0240000000070004041d714485|02410000000600060000001c:02410000000600060000001c|024200000006000300000001:,024200000005000302001c
1124,046600000006000400000002:04660000000700040497194503|04670000001a00a12b13398393f30775cee23a8cf4e2014491d8086c8f64cf05:046700000003002101|046800000006000300070001:046800000003008302|046900000006000600000026:046900000006000600000026|046a00000006000300000001:,046a000000050003020026
912,039200000012005ce8acfcb44876fae78dd747acdb26ee83:03920000000300dc01|039300000006000400000002:0393000000070004040e3f44d4|039400000006000300000001:0394000000050003020005|03950000000a003dbe5b055bf2d556b0:03950000000300bd01|039600000006000500180000:,039600000003008502
425,01aa000000120043e76cfcf7ed41d9bdba2c67c1a67eea6a:01aa0000000300c301|01ab000000060003001d0001:01ab00000003008302|01ac00000006000300000001:01ac000000050003020000|01ad00000006000600000029:01ad00000006000600000029|01ae00000006000400000002:,01ae0000000700040438034442
638,027f00000006000300000001:027f000000050003020011|028000000006000400000002:028000000007000404dfea4494|028100000006000300000001:0281000000050003020011|028200000006000500040000:028200000003008502|02830000000a00d475d317911fc9ce54:,028300000003005401
453,01c600000006000200130001:01c600000003008202|01c70000001a00b236859492466720505df0bb5584d4ae210f9efcf91646ccb4:01c700000003003201|01c800000006000500070000:01c800000003008502|01c900000006000400000002:01c9000000070004042e964452|01ca0000000600060000002f:,01ca0000000600060000002f
721,02d200000008000f000a00040106:02d200000003008f02|02d30000001a008b0dd463918471aa0ce59efc723508c0d11ce3b25d1ae28e51:02d300000003000b01|02d400000006000400000002:02d400000007000404d35d44a1|02d50000000600060000000c:02d50000000600060000000c|02d600000006000400300001:,02d600000003008402
725,02d600000006000400300001:02d600000003008402|02d70000000600060000002b:02d70000000600060000002b|02d800000006000400000002:02d800000007000404b24144a7|02d900000006000300000001:02d900000005000302002b|02da0000001200d19fb1137dd6db085d0830bf4bf75230b2:,02da00000003005101
249,00fa00000006000600000021:00fa00000006000600000021|00fb00000006000300000001:00fb000000050003020021|00fc0000000f001000100004080002000700030008:00fc00000003009002|00fd00000006000600000008:00fd00000006000600000008|00fe00000006000400000002:,00fe000000070004048e2243f1
455,01c800000006000500070000:01c800000003008502|01c900000006000400000002:01c9000000070004042e964452|01ca0000000600060000002f:01ca0000000600060000002f|01cb00000006000300000001:01cb00000005000302002f|01cc0000001a006ceb93fdf981afd51fa61fd011a385b6fa70f612cd019874b6:,01cc0000000300ec01
929,03a300000006000300000001:03a3000000050003020018|03a400000006000600000032:03a400000006000600000032|03a500000006000400000002:03a5000000070004047d1644dd|03a60000001a0020c5b1ba214c0a49e174dfaa473d601608c7e555c88ac96cfa:03a60000000300a001|03a700000006000100150001:,03a700000003008102
289,0122000000060005000c0000:012200000003008502|012300000006000400000002:0123000000070004041b904412|012400000006000200000001:012400000003008202|012500000006000600000019:012500000006000600000019|01260000000a004edb464de7ed92bda6:,01260000000300ce01
795,031c00000006000600000019:031c00000006000600000019|031d00000006000300000001:031d000000050003020019|031e00000006000400000002:031e00000007000404ab0844ba|031f000000120070f7b313c119da62888b41c6498a448661:031f0000000300f001|032000000006000300180001:,032000000003008302
876,036e00000006000300000001:036e000000050003020003|036f00000006000400000002:036f00000007000404af7144ca|037000000006000500210000:037000000003008502|03710000000600060000002d:03710000000600060000002d|03720000001a003be952a4ff04e1d5d2e870f7cb6c89f2718a647122b0f6c1c9:,03720000000300bb01
197,00c60000001a002e7579b304d86c6ff0258cb4d60937e96e233d97f312eb9a9b:00c60000000300ae01|00c7000000060004001e0001:00c700000003008402|00c800000006000400000002:00c800000007000404cb8343d1|00c9000000060001001c0001:00c900000003008102|00ca00000006000400000002:,00ca00000007000404985143d3
1169,04930000001a00eab9171ff1a55dddb3cb195f05515ffecd3bf2f7ffd2f6bb00:049300000003006a01|049400000006000400000002:04940000000700040419cb450a|049500000006000300000001:0495000000050003020021|04960000000600060000001e:04960000000600060000001e|049700000008000f001300040103:,049700000003008f02
483,01e40000000a00190d95c8b63874a30a:01e400000003009901|01e500000006000600000012:01e500000006000600000012|01e60000000600060000002a:01e60000000600060000002a|01e700000006000500060000:01e700000003008502|01e80000000a004841f601c33c028277:,01e80000000300c801
126,007f00000006000300000001:007f000000050003020022|008000000006000400000002:0080000000070004047a044388|008100000006000600000000:008100000006000600000000|0082000000060006001a0010:008200000003008602|008300000006000300000001:,0083000000050003020000
650,028b0000000a00372785fd0b8473ee51:028b0000000300b701|028c00000006000400000002:028c000000070004044e1e4494|028d00000006000300000001:028d000000050003020002|028e0000000600060000000b:028e0000000600060000000b|028f00000006000100100001:,028f00000003008102
73,004a00000006000400000002:004a00000007000404328c430c|004b0000000a007823a65131e8b72b16:004b0000000300f801|004c00000006000300000001:004c000000050003020015|004d00000006000300320001:004d00000003008302|004e0000000600060000000b:,004e0000000600060000000b
952,03ba00000006000600000021:03ba00000006000600000021|03bb0000000600050006ff00:03bb00000003008502|03bc00000008000f002e00040102:03bc00000003008f02|03bd00000006000600000001:03bd00000006000600000001|03be00000006000400000002:,03be000000070004048a4c44dc
71,0048000000060004001a0001:004800000003008402|004900000006000600000015:004900000006000600000015|004a00000006000400000002:004a00000007000404328c430c|004b0000000a007823a65131e8b72b16:004b0000000300f801|004c00000006000300000001:,004c000000050003020015
